"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160283197&doi=10.1016%2fbs.adcom.2023.04.006&partnerID=40&md5=2be9ef5bf463fe86f2d80a50044d1c50","Artificial intelligence; Future mobility; Intelligent systems; Irregular situations; Privacy and safety; SOTIF",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146884353&doi=10.1016%2fS0065-2458%2823%2900008-6&partnerID=40&md5=c74db53de4c0babe4461195c57db57ce","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162914969&doi=10.1016%2fbs.adcom.2023.04.003&partnerID=40&md5=07b708f8ddb45064ae015a7f7c07b1cb","IoT; PAM; PDP; PEP; PIP; ZT; ZTA; ZTAA; ZTNA; ZTSM",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165009788&doi=10.1016%2fbs.adcom.2023.06.002&partnerID=40&md5=c22534033af15bd6b922bb982e09dff2","OODA-RL; Open-world learning; Open-world novelty detection; Out-of-distribution detection",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121712557&doi=10.1016%2fbs.adcom.2021.09.007&partnerID=40&md5=0bf3124b9088b63b0bc2abc3933ace80","BigGraph; Deep learning; Graph convolutional network; Medical data",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107453992&doi=10.1016%2fS0065-2458%2821%2900051-6&partnerID=40&md5=8a0f1de3ca0fc6e93bfaca20fec434eb","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123733039&doi=10.1016%2fbs.adcom.2021.12.001&partnerID=40&md5=8224ccd294d0a5dd58895ac0afb61060","Challenges; Features of microservices; Microservices architecture for fog computing",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124475390&doi=10.1016%2fbs.adcom.2021.10.009&partnerID=40&md5=538e1c7530fca1c20acfd675cae5de21","Crossover; Energy optimization; Genetic algorithm; Mutation; Tree; WSN",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102415222&doi=10.1016%2fbs.adcom.2021.01.006&partnerID=40&md5=c3dff85e34f3e35b491729c6155e9302","Article screening; Automatic screening process; Software engineering; Systematic literature review; Systematic mapping study; Systematic review; Tool",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127317923&doi=10.1016%2fbs.adcom.2022.02.015&partnerID=40&md5=88a1a69f5029f0b051a2b2b7fa9ddd3b","Agriculture; B-IoT; Blockchain; IoT",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123737757&doi=10.1016%2fbs.adcom.2021.12.002&partnerID=40&md5=2cb28f69ac8afc721dc956b47c5a4969","Bufferless router; Computer architecture; Deflection routing; Emerging technologies; Energy efficiency; High-performance computing; Latency; Low-latency computing; Network-on-chip; Topology",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168755767&doi=10.1016%2fS0065-2458%2823%2900065-7&partnerID=40&md5=9c2adac153a3ae2b6e21c6c88a63fb7f","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123741979&doi=10.1016%2fbs.adcom.2021.10.005&partnerID=40&md5=6b147c7d2faa7b0c9632bffc5accc144","Node; Quantum binary tree; Quantum gate; Qubit; Superposition; Tree operations",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125476967&doi=10.1016%2fbs.adcom.2021.10.012&partnerID=40&md5=0102f992091a6bdd837f3b566c274233","Big graph; Collaborating learning; Online learning; Social learning networks; Textbook enrichment",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123709573&doi=10.1016%2fbs.adcom.2021.09.003&partnerID=40&md5=a4fa6e82d1e587f03aface312e61ac56","CPU-GPU integrated systems; Network-on-Chips; Performance; Power",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123371006&doi=10.1016%2fbs.adcom.2021.09.008&partnerID=40&md5=b2ff7011aac69f4502085e0baa7e702a","Community detection; Correlation analysis; Graph clustering algorithms; Quality and accuracy measures",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127461773&doi=10.1016%2fbs.adcom.2022.02.004&partnerID=40&md5=a1aa0782a49d00900956c8b01a90ffe2","Benefits; Edge analytics; Tools; Use cases",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122136927&doi=10.1016%2fbs.adcom.2021.11.012&partnerID=40&md5=12ff1b4e7fc4689e9589cc210b7b48b8","2D/3D NoC; Networks-on-Chip; Power consumption; Regular/irregular NoC; Routing algorithms; Temperature",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144744039&doi=10.1016%2fbs.adcom.2022.08.003&partnerID=40&md5=3303dd2e5cbc4f0b2b9ae6850fd10c21","DNA codons; DNA steganography; Image steganography; MSE; PSNR; SSIM",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127365065&doi=10.1016%2fbs.adcom.2022.02.002&partnerID=40&md5=af32b10794dc2e3e4486b41be3f8dcdf","Adaptive EEM; Anomaly nomination; Basic subset enhancement; Edge analytics; IoT; IoT health data; Multivariate anomaly nomination",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121744163&doi=10.1016%2fbs.adcom.2021.09.001&partnerID=40&md5=ebd3e11de41ac2bfc837a1a88adfd17b","Network-on-Chips; Performance; Power; Virtual channels",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121705192&doi=10.1016%2fbs.adcom.2021.10.010&partnerID=40&md5=2612dfbda460a81b36aba6d73d2d0ed4","Big data; Big graph; Complex networks; Digital world; Large-scale graph",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160077601&doi=10.1016%2fbs.adcom.2023.04.004&partnerID=40&md5=12eea4cf328f21abd199c86346ea8aa2","Broad learning system; Digital forensics; Fingerprint liveness detection; Fraudulent attack; Uniform local binary pattern",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121577353&doi=10.1016%2fbs.adcom.2021.10.006&partnerID=40&md5=75a036674e923e738f1bd9104bf25476","Big graph data; Machine learning; Multi-label classification; Social network analysis",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123366965&doi=10.1016%2fbs.adcom.2021.09.005&partnerID=40&md5=4e5af4bec3e348958b85e95b2d558e71","Adjacency matrix; CESDAM; Ego network; Large graph representation",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141516360&doi=10.1016%2fbs.adcom.2022.08.008&partnerID=40&md5=52133b9a5fa31bddcbfd359bc7e8e281","Arithmetic progression; Decryption; DNA domain; Encryption; Logistic map; Permutation shuffling",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127505289&doi=10.1016%2fbs.adcom.2022.02.007&partnerID=40&md5=e77b7bc269ec279036cfc871ab2f7688","Internet of Things; Machine learning; Smart agriculture; Wireless sensor networks",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128201315&doi=10.1016%2fbs.adcom.2022.02.012&partnerID=40&md5=63e53e5d93b2c5f11c2ff3612ea9fd9f","Cloud computing; Edge computing; Fog computing; Internet of things; Mobility analytics; Security",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128340414&doi=10.1016%2fbs.adcom.2022.02.006&partnerID=40&md5=c03bf0cdd80a844dd7daf0c172bba621","Cloud computing; Edge computing; Edge computing enabled devices; EdgeOS; Fog computing; Gaming-as-a-service; IoT devices; Remote monitoring; Security monitoring; Video streaming",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148375970&doi=10.1016%2fbs.adcom.2022.08.010&partnerID=40&md5=3067486b0482f369ad1dad5b3e7a02f4","Chaotic maps; Confusion; Diffusion; DNA computing; Image cryptography",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158832314&doi=10.1016%2fbs.adcom.2023.03.001&partnerID=40&md5=588af96b20a06b628a1f4ef99f343520","Distribution shift; Domain generalization; Offline learning; Offline reinforcement learning; Out-of-distribution error",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143167313&doi=10.1016%2fbs.adcom.2022.09.002&partnerID=40&md5=ce32a5569f9f941d29b67133b3648de4","Cloud computing; Cloudlet computing; Edge computing; Migration",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124740202&doi=10.1016%2fbs.adcom.2022.01.001&partnerID=40&md5=f8ecf374a8181270333b6ecfdfd00e86","Algorithms; Applications; Creativity; SuperComputing; Teaching; VLSI",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121690860&doi=10.1016%2fbs.adcom.2021.10.011&partnerID=40&md5=50520a8428eff725b2574bb0b3bc6694","Criminals; Cyber stalking; E-mail bombing; E-mail spoofing; Financial crimes; Telecommunication fraud",""
