Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
An empirical analysis of the relationship between capital adequacy and performance optimisation through a comparative standpoint among banking sectors in India,2024,Afro-Asian Journal of Finance and Accounting,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198588950&doi=10.1504%2fAAJFA.2024.139936&partnerID=40&md5=62bb7232494c7ff8750e82426d54e847,"This study aims to assess the impact of capital adequacy on the performance optimisation of the Indian banking industry across and among the banking sectors. The study employs a balanced panel data regression model to examine the firm-level balanced panel data of 78 banks from the public and private sectors over 15 years (2007–2022). The findings confirm that capital adequacy significantly impacts bank profitability across the industry, but there is also a sector-specific impact. This study provides the most recent information on the differences in tactics used by public and private sector banks to maintain capital adequacy standards. Furthermore, using two-step system GMM analyses, the possibility of heteroscedasticity, autocorrelation, and endogeneity was considered. Copyright © 2024 Inderscience Enterprises Ltd.",banks performance; capital adequacy ratio; India; Indian banking industry; panel data,
Human resource disclosure practices: a comparative analysis of public and private sector manufacturing companies of Indian corporate sector,2024,Afro-Asian Journal of Finance and Accounting,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198603895&doi=10.1504%2fAAJFA.2024.139928&partnerID=40&md5=c08fa68b9233110ecd4fe7222cfa7f4b,"The aim of the study is to identify the effect of a company’s characteristics on human resource disclosure index in public and private sector manufacturing companies listed in India. The outcome of one-way LSDV regression model depicts that in the case of public sector manufacturing companies, some hypotheses such as company size, type of auditor, total number of pages of an annual report have significant and profitability, liquidity have partly effect on HRDI. In case of private sector manufacturing companies, some hypotheses such as company age, ownership concentration, liquidity, total number of pages of an annual report have significant and company size, profitability have partly effect on the level of HR disclosure. Further, the outcome of the Mann-Whitney U test shows that there are significance variations of HR disclosure practices between public and private sector manufacturing companies listed in India. Copyright © 2024 Inderscience Enterprises Ltd.",annual reports; content analysis; HRDI; human resource; human resource disclosure index; India; manufacturing companies; private sector; public sector,
"Structural change, information asymmetry and volatility in Indian stock market: evidence from pre-and-post-COVID-19 outbreak",2024,Afro-Asian Journal of Finance and Accounting,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192835834&doi=10.1504%2fAAJFA.2024.138390&partnerID=40&md5=39cac6a62ffc056f0bf71651b5fa28d2,"This paper examines the Indian stock market’s interconnection with the stock markets of the top four economies before and after the COVID-19 outbreak. The log-returns of daily data for Sensex, S&P 500, SSE Composite, Nikkei 225 and DAX were used in the study. The log-return series of all stock indices were found to be stationary. The exponential-GARCH model is applied to assess the information asymmetry and to model the volatility spillover on the Indian stock market. The ARCH and GARCH terms were positive and significant during both the pre-COVID and post-COVID outbreak periods representing that market news and previous period variances were significantly increasing the volatility in the market. The ensemble of events during the pre-COVID period confirms the negative significant volatility spillover of bourses on the Indian markets, and continues to be so in the post-COVID period, except in case of the US market where there is a positive significant return and volatility spillover. The portfolio managers, regulators, policymakers and other market participants may consider the change in information transmission during the pre-COVID and post-COVID-19 outbreak phases from these foreign markets to India while making investment-related decisions. Copyright © 2024 Inderscience Enterprises Ltd.",asymmetry; COVID-19; EGARCH; investment; market returns; spillover; volatility,
The efficiency and the stability of efficiency rankings of Vietnamese commercial banks through mergers and acquisitions from 2008 to 2018,2024,Afro-Asian Journal of Finance and Accounting,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198578344&doi=10.1504%2fAAJFA.2024.139933&partnerID=40&md5=a81d9f4842ff360a7717f224c84010b8,"This study applied DEA window analysis in combination with non-parametric testing to evaluate the efficiency of the Vietnamese commercial banks pre-and post-mergers and acquisitions (M&A) as well as to test the stability of the banking efficiency during M&A period. The results showed that the average technical efficiency calculated from the window analysis model ranged from 81% to 99%. Many banks carrying out M&As have grown in all aspects such as increasing in scale, improving technology capabilities and success management. However, there were also some banks that showed weakness through M&As. The reasons for the inefficiency of those banks were mainly the excess of customer deposits in balance sheet of the banks and their bad debts. Copyright © 2024 Inderscience Enterprises Ltd.",banks; DEA window analysis; mergers and acquisitions; ranking statistics; Vietnam,
The downside deviation quadratic programming for stock portfolio optimisation: an empirical study of shariah and conventional indices in Indonesia,2024,Afro-Asian Journal of Finance and Accounting,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192820178&doi=10.1504%2fAAJFA.2024.138386&partnerID=40&md5=29b2f5c9fcdd52000a26983ef9810f80,"The quadratic programming (QP) for portfolio optimisation may yet be improved to generate better results on the risk. This study presents the downside deviation quadratic programming (DDQP) to optimise the risk of portfolio as a refinement of QP. The data deals with the price of stocks listed in Jakarta Islamic Index and IDX30 Indonesia for a definite interval. The selection of portfolio for all the stocks considered the sectoral approach. Upon selection, the DDQP model was constructed and applied to the selected portfolio before benchmarking to QP. The results showed that the portfolio group 1 had the best risk on the shariah platform, while the portfolio group 7 was superior to conventional. Additionally, the empirical analysis revealed that ten scenarios can be inferred based on the DDQP as it is consistently stable in producing a lower risk portfolio than the QP. Lastly, heuristic pattern search also verified the results of DDQP. Copyright © 2024 Inderscience Enterprises Ltd.",DDQP; downside deviation quadratic programming; Indonesia; pattern search; portfolio optimisation; portfolio selection; quadratic programming; risk,
Firm size effect and the price and volume reaction to corporate news: evidence from India,2024,Afro-Asian Journal of Finance and Accounting,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192823990&doi=10.1504%2fAAJFA.2024.138388&partnerID=40&md5=235db0c598a8727564f0eb4a1e57f773,"This study examines the price and volume reaction to corporate news for a sample of firms quoted on the National Stock Exchange of India, an Asian emerging market. We take into account the market capitalisation of the firms to examine the firm size effect on market reaction using the event study methodology. It is observed that small firms, on average, are associated with 1.12% and 0.43% more positive abnormal returns than large and mid-sized firms on the day of the positive news flow. On the other hand, when the news is negative, small firms, on average, are associated with –1.1% and –0.62% more negative abnormal returns than large and mid-sized firms on the day of the news flow. Further, the evidence suggests that the price reaction is consistent while the volume reaction differs according to the type and sentiment of the news in different size groups. Copyright © 2024 Inderscience Enterprises Ltd.",abnormal return; corporate news; event study; firm size; India; market capitalisation; trading volume,
Impact of efficiency and ownership concentration in Indian banks on their NPAs: a panel data analysis,2024,Afro-Asian Journal of Finance and Accounting,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192852481&doi=10.1504%2fAAJFA.2024.138392&partnerID=40&md5=153efb8854521faeb0e8f642e168a340,"Non-performing assets (NPAs) in banks are a serious issue and have attracted considerable academic research attention. This study contributes to banking literature by assessing banks’ technical efficiency (TE) by applying data envelope analysis (DEA) and NPAs for the sample of 34 banks in India from 2016 through 2019. This study empirically investigates the impact of technical efficiency and ownership concentration on NPAs of Indian banks by applying both static and dynamic panel data models. Ownership concentration is taken as the proportion of the holdings of promoters (promo), the institutional investors (iih) and retail investors (rih). The static model’s findings reveal that TE has a positive association with NPAs, while in the dynamic model, TE surprisingly has no impact on NPAs in Indian banks. Both models indicate ownership concentration has a mixed effect on NPAs depending on holdings. This study provides important insights into bank performance leading to economic growth. Copyright © 2024 Inderscience Enterprises Ltd.",banks; DEA; dynamic panel data; non-performing asset; NPA; ownership,
Valuation effect of the extent and quality of corporate sustainability disclosure across sectors in Nigeria,2024,Afro-Asian Journal of Finance and Accounting,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198586467&doi=10.1504%2fAAJFA.2024.139929&partnerID=40&md5=70e4c1b4061ca800b725a1929cdcacc0,"This paper examines the value impact of the extent and quality of CSP disclosure across industries in Nigeria. Results reveal that the value effect of the scope and quality of corporate sustainability performance (CSP) disclosure varies among industries, indicating that the investing public in various industries see this information differently. Some investors see these data favourably and reward reporting entities with higher share prices, while others see superior quality reporting as the rationale for immoderate investment in a costly project, which has an adverse value impact on these industries. Nevertheless, other investors see no value in such information. The value impact also varies among CSP dimensions. The study has implications for managers, the investing public and for policy makers in strengthening policies that promote more socially responsible investment among sectors. Copyright © 2024 Inderscience Enterprises Ltd.",disclosure extent; firm value; Nigeria; reporting quality; sustainability dimensions; sustainability reporting; sustainable development; value effect,
Firm attributes and discretionary disclosures of financial institutions in Nigeria,2024,Afro-Asian Journal of Finance and Accounting,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192811127&doi=10.1504%2fAAJFA.2024.138387&partnerID=40&md5=a962bed9ded706effcccfe10daf8c48d,"Investors and other stakeholders require corporate reports that are comprehensive and informative in order to make sound economic decisions. However, few entities voluntarily disclose information about their performance and activities beyond mandatory reporting frameworks. This study examined the influence of firm attributes on discretionary disclosure of listed financial services firms in Nigeria. The study adopted an ex-post facto research design. The analysis revealed that the selected firm attributes jointly exerted a positive and significant effect on discretionary disclosure. The isolated effects were mixed. The study concluded that firm attributes affect the extent of discretionary disclosure of information by the financial firms in Nigeria and recommended that the management of firms should be intentional in disclosing non-mandatory information to meet the need of users and possibly enhance the reputation and brand value of their firms. Copyright © 2024 Inderscience Enterprises Ltd.",discretionary disclosure; firm attributes; firm size; leverage; liquidity; Nigeria; ROE,
The nexus between liquidity and lottery-like features: evidence from Tehran stock exchange,2024,Afro-Asian Journal of Finance and Accounting,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193265324&doi=10.1504%2fAAJFA.2024.138393&partnerID=40&md5=1595986852ba191a1048b04fa765982b,"To shed further light on the nexus between the stock liquidity and the lottery-like features, this paper provides evidence from the monthly data of the companies listed in Tehran Stock Exchange from December 21, 2008 to May 21, 2020. Furthermore, we intend to clarify whether having lottery-like features in countries like Iran with religious, social and legal restrictions on gambling leads the stocks to be more liquid or not. Our target variables are illiquidity (the average of four well-established illiquidity benchmarks) and lottery-like (a defined dummy variable that is 1 or 0 for having or not having lottery-like features, respectively) and we define some control variables according to the previous researches. The econometric methods utilised in this study are GLS, Granger causality test and vector auto regressive model (VAR). The results evince that being lottery-like causes stocks to be more liquid and there is no decisive evidence to the contrary. Moreover, capital market participants perform overreaction to the lottery-like stocks despite the anti-gambling setting. Copyright © 2024 Inderscience Enterprises Ltd.",anti-gambling setting; liquidity; lottery-like stocks; VAR,
