"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131513751&doi=10.1007%2fs40745-022-00421-9&partnerID=40&md5=df74af5bd287cb2ef670df3e679c4f6f","Generalized t distribution; Maximum likelihood; Stock indices","Economics; Financial markets; Maximum likelihood estimation; Risk management; Distribution fitting; Generalized t distribution; Ma ximum likelihoods; Maximum-likelihood; Parametric distributions; Price process; Stock indices; Stock price; T distribution; Uncertainty; Statistics"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107887397&doi=10.1007%2fs40745-021-00324-1&partnerID=40&md5=709cf6aed2ca8f7ab4e5496a77e37c69","Dual generalized order statistics; Lower records; Order statistics; Product moments; Recurrence relations; Single moments; Topp-Leone weighted Weibull distribution and characterization",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091311540&doi=10.1007%2fs40745-020-00283-z&partnerID=40&md5=29f7bb49316ac78334b78b19bd851ba7","Bayes estimates; Importance sampling; Lindley approximation; Maximum likelihood estimates; One-sample prediction",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164941567&doi=10.1007%2fs40745-023-00482-4&partnerID=40&md5=1b059208a144ff9d78651f73363c9aae","Artificial Neural Network (ANN); Early diagnosis; Feature selection; Parkinson’s disease (PD); Patient questionnaire (PQ)","Cost effectiveness; Diagnosis; Economic and social effects; Feature Selection; Neurodegenerative diseases; Principal component analysis; Statistical tests; Artificial neural network; Condition; Disease classification; Disease diagnosis; Disease monitoring; Early diagnosis; Features selection; Neurodegenerative; Parkinson’s disease; Patient questionnaire; Neural networks"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089622866&doi=10.1007%2fs40745-020-00251-7&partnerID=40&md5=0eafb9b4382b65f60f6a7107cc2a08c6","Big data; Feature selection; Machine learning; χ<sup>2</sup>-statistic",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103572586&doi=10.1007%2fs40745-021-00327-y&partnerID=40&md5=95f30a6cec9f01e8d9aedbdc7ef9cc97","Bayesian estimation; Cramér-von-Mises; Discretization; Gibbs sampler; Markov chain Monte Carlo; Maximum likelihood; Metropolis hastings",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145505021&doi=10.1007%2fs40745-022-00458-w&partnerID=40&md5=af94064ed2246aa5189e754fa60a7a29","Artificial neuronal networks; Exchange rate; Forecasting; GARCH model; Hybrid model","Economics; Finance; Neural networks; Neurons; Artificial neuronal network; Exchange rate forecasting; Exchange rates; Garch modelling; Hybrid model; Hybridization methods; Modeling approach; Modelling techniques; Policy makers; Tunisia; Forecasting"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084045527&doi=10.1007%2fs40745-020-00241-9&partnerID=40&md5=c64faae7ce6d2c63a11c3018d0a4649f","Alternative human capital evaluation and prediction method; Calculation of human capital by activity regrouping centers; Hybridization; Intangible management control; Standardized human capital scores; Standardized mean difference",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094101956&doi=10.1007%2fs40745-020-00249-1&partnerID=40&md5=9abc086fc6dc5df55c874ce96c1a052b","Adaptive type-II progressive hybrid censoring; Exponentiated pareto distribution; Monte-carlo simulation; Newton–raphson technique; Step-stress partially accelerated life test",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106422990&doi=10.1007%2fs40745-021-00339-8&partnerID=40&md5=bd26bcb032b5c2b5d8e2d31fc790e32a","Censoring; Product moments; Progressive Type-II right censored order statistics; Rayleigh distribution; Recurrence relations; Single moments",""
