"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101484543&partnerID=40&md5=b9ae41df46213e844c071b7d75116da2","Experimental design; Optimisation; Process improvement",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127585592&partnerID=40&md5=26486b45c0d2556661a251bcdd4b19f2","customer insights; customer research; data sources; multi-method research; research questions",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150722395&partnerID=40&md5=74b3c5e2b405f47a3cd4738aac32fe72","correlation; digital voice assistants; multiple regression analysis; quantitative survey; SPSS; TAM; technology acceptance; UTAUT; voice commerce",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127690036&partnerID=40&md5=32696607666d61e06a17837586905136","analytics; customer; data; growth; intelligence; marketing; revenue; sales",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151002031&partnerID=40&md5=90d6de938ae73498c7405b2fd96abc4e","data narratives; data storytelling; data visualisation; marketing analytics; marketing skills; marketing training; presentation skills",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120914268&partnerID=40&md5=a74d6c4eeee237ca327687192129f10b","Customer experience; Full-journey measurement; Shopper analytics; Shopper measurement; Store analytics; Store optimisation",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128292471&partnerID=40&md5=41df7e664352865cc84f9abfbef963a1","Classification; Consumer behaviour; Decision tree; Logistic regression; Naive Bayes model; Online shoppers; Random forest; RBFNN",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113202858&partnerID=40&md5=acf84b5f4d1333f1cbfcd71babfb5e19","Analytical hierarchy process; Bali; Local culture; Low season; Marketing mix; Tourism",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143596315&partnerID=40&md5=78a18886f994db2c1e3b54c2adfbbe11","digital marketing; digital transformation; open innovation performance; partial least square (PLS) approach",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161046497&partnerID=40&md5=dce249811174a62734990eba850b341a","customer orientation; intrinsic motivation; MASEM; meta-analytic structural equation modelling; organisational commitment; sales force management",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143616387&partnerID=40&md5=cf6089eb100272cdfcf83f8c0e48b813","AI framework; AI/ML; artificial intelligence; marketing AI",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135631160&partnerID=40&md5=3481eed1eedb64b145fdfcc3c4ee29a7","automotive; call centres; ensemble learning; Erlang-C; forecasting; optimisation; staffing",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135627204&partnerID=40&md5=2e7f06b281aa2c9142dea25e67767131","customer relationships; customer segmentation; data-science approaches; marketing",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113224762&partnerID=40&md5=da2631c6553c1064902019a889348e3a","Analytics; Development; Legal; Measurement; Privacy",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150840035&partnerID=40&md5=5c292470f28442d15fdae0a2c0a3dc6a","analytics professionals; European Union; job requirements; United Kingdom; United States",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150730326&partnerID=40&md5=22c9bb7144fa16d039848b9574eebdfc","attribution; content marketing; data-driven; digital; marketing; search; social media",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120919795&partnerID=40&md5=cae6b456f100bf13ce89bb8eb2b50a29","Artificial intelligence; Chaos; Complexity; Emergence; Entropy; Singularity; Superintelligence",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118804450&partnerID=40&md5=6827365f209c6ed0f62f6b6b41fdc3db","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143632592&partnerID=40&md5=1db37ddab327cb63e235128e4370f4af","e-commerce; information systems success; m-commerce; online shopping; usability; user experience",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113219108&partnerID=40&md5=4156f956a04105078549839722910361","Analytics; Classification; Demand planning; Forecasting; Prediction; Supply chain",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125406474&partnerID=40&md5=97be59aa418330d1fc9fb22e5ed3c14d","Business intelligence; Communication in business; Marketing analytics; Predictive analytics; Project design; Stakeholder engagement; Strategic analytics",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143603054&partnerID=40&md5=af4d2191315feaeb7545c70f84d29681","blockchain; data privacy; digital marketing; NFTs; walled gardens; Web3; zero-party data",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100895803&partnerID=40&md5=e285a041ff7aa46aedbbc6e99e5a34bd","Combining stated and revealed preferences; Consumer scan panel; Eco-labelling",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103432272&partnerID=40&md5=64e0d0dda097d3894a2c88f3fdc7b598","Digital analytics; ROI; SEO data; Social media analytics; Strategic dashboards; Vanity metrics; Web analytics",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127638085&partnerID=40&md5=88372d7b4b38c1bc996062f3dec607b1","electric car; sentiment analysis; sustainable competitive advantage; text mining; topic model analysis",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161021362&partnerID=40&md5=59f96094a8523f874c3e5fc9a3ecbfe0","big data; CRM; customer data platform; Key Performance Indicators; KPI; lead scoring; marketing automation; personalisation; targeting; user profiling",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136236753&partnerID=40&md5=bbd9380aeb0b34eeafd16a4b291ba9cb","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113200387&partnerID=40&md5=78d8401fb01b063195b177280adedd24","Ad-tech; Apple; Cookies; Facebook; Google; Privacy",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150844926&partnerID=40&md5=185c959ce2987a60e02a1830dd25ed0b","data integration; decision tree; fashion; segmentation",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127888622&partnerID=40&md5=74324b1d2cb2e10c92002e904a1f974b","Brand image; Car; Price; Product quality; Promotion; Service quality",""
