"Title","Year","Link","Abstract","Author Keywords","Index Keywords"
"Systematic investigation of the logistics service quality of cross-border e-commerce: a mixed-methods perspective","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169681102&doi=10.1108%2fAPJML-03-2023-0203&partnerID=40&md5=02483ae373f1cbe4485cd9724edb297b","Purpose: This study explores the factors that characterize the logistics service quality (LSQ) of cross-border e-commerce and identifies the different relationships between these factors with respect to customer satisfaction. Design/methodology/approach: The study applied a two-stage mixed-methods design. The first stage (Stage 1) was a qualitative study of 3,000 reviews from the Amazon China e-commerce platform. The second stage (Stage 2) included a quantitative study that analyzed survey data from 590 Chinese cross-border e-commerce customers using the Kano model. Findings: Stage 1 involved developing a conceptual framework for the LSQ of cross-border e-commerce, including six dimensions: timeliness, safety, reliability, economy, personnel contact quality and information quality. In Stage 2, the study found that only reliability and personnel contact quality indicators are linearly related to customer satisfaction. Timeliness and the safety of packaging greatly contribute to customer satisfaction, but do not cause dissatisfaction when unfulfilled. Economics and information quality indicators, and the safety of goods, are basic requirements that tend to provoke customer dissatisfaction when unmet, but do not increase customer satisfaction when they are met. Originality/value: This study is one of the first to construct a conceptual model of LSQ that applies to cross-border e-commerce and to identify the instrumental nature of various LSQ attributes and their impact on improved customer satisfaction. © 2023, Emerald Publishing Limited.","Cross-border logistics; Customer satisfaction; Kano model; Logistics service quality of cross-border e-commerce",""
"Impacts of information asymmetry on users' payment rates: evidence from trading data of Chinese knowledge payment platform","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179959439&doi=10.1108%2fAPJML-08-2023-0766&partnerID=40&md5=4c2d00e5d5c22ed9812837afa6953052","Purpose: This paper aims to clarify the impact of information asymmetry on users' payment rates and examine the role of perceived uncertainty (PU) and acceptable price (AP) in the relationship between information asymmetry and users' payment rates. Design/methodology/approach: To test the influences of information asymmetry on users' payment rates, this paper collects 18,489 transaction data from the Chinese knowledge payment platform Zhihu with a Python crawler. This paper constructs a mediation model to define the relationship between information asymmetry and users' payment rates by introducing PU and AP as the mediators. Findings: Information asymmetry negatively affects users' payment rates. In addition, PU and AP mediate the information asymmetry in users' payment rates bond. Research limitations/implications: This study only explores the mediators of the information asymmetry users’ payment rates bond, ignoring the effect of potential moderators, which would be an important direction for future research. Practical implications: The findings of this paper suggest that information communication is essential in knowledge market transactions. Knowledge providers, as well as knowledge platforms, should enhance information exchange with consumers in order to increase product sales. Social implications: This paper provides a new perspective for understanding how information asymmetry affects users' payment rates and helps to guide suppliers to improve product quality. The research framework of this paper is universal to a certain extent. Originality/value: This paper is one of the first to propose using PU and AP to construct a mediation model to study the information asymmetry between users' payment rates relationship. It provides a new perspective for understanding the channel of information asymmetry in customer behavior. © 2023, Emerald Publishing Limited.","Acceptable price; Information asymmetry; Perceived uncertainty; Users' payment rates",""
"The effect of self-construal on solo dining intentions: an empirical study of Chinese consumers","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171795222&doi=10.1108%2fAPJML-04-2023-0356&partnerID=40&md5=17a880bea327f76630642df4d476776e","Purpose: This study aims to examine the effect of self-construal on solo dining intentions and its underlying mechanism through consumer emotions. Furthermore, the study also investigates the moderating effect of the composition of other diners on the relationship between self-construal and solo dining intentions. Design/methodology/approach: A 2 (self-construal: independent vs interdependent) × 2 (other diners: solo diners vs social diners) between-subjects experimental design was adopted to test the hypotheses. The data were collected from 317 Chinese consumers, followed by an analysis using IBM SPSS 23.0 and AMOS 23.0. Findings: The findings indicate that consumers with an independent self-construal are more likely to have the intention to dine alone at a restaurant. Nevertheless, this effect is contingent upon the composition of other diners. The effect is significant only when nearby diners are social diners, and perceived enjoyment partly mediates the relationship. Conversely, when nearby diners are also solo diners, consumers' self-construals do not significantly affect their solo dining intentions. Moreover, the results indicate that consumers generally experience low levels of perceived stress when dining alone. Originality/value: This study incorporates individual personality traits into research on solo diners and highlights the crucial role of positive emotions in solo dining, which provides insights for relevant enterprises to develop effective marketing strategies. © 2023, Emerald Publishing Limited.","Behavioral intention; Consumer emotions; Self-construal; Social identity theory; Solo dining",""
"How broadcasters' characteristics affect viewers' loyalty: the role of parasocial relationships","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165192518&doi=10.1108%2fAPJML-10-2022-0856&partnerID=40&md5=ad0786d0842c2aebed77e1ee68cfa41d","Purpose: This study applies parasocial relationship theory to identify the role of broadcaster characteristics in the highly interactive business setting of live streaming commerce. Design/methodology/approach: A total of 401 online questionnaires were distributed to individuals with live streaming showroom shopping experience, and SmartPLS software was used to analyse the data and test the hypotheses. Findings: Broadcasters' characteristics are positively associated with viewers' parasocial relationships, thus further enhancing viewers' attitudinal and behavioural loyalty towards that broadcaster's streams. Parasocial relationships mediate the effects of most broadcaster characteristics (except for expertise) on attitudinal and behavioural loyalty. In addition, parasocial relationships have a stronger positive effect on viewer behaviours for hedonic products and under high match-up. Originality/value: The broadcaster is a key indicator of the success of live streaming commerce. This study establishes a well-organized framework to understand how broadcaster characteristics influence viewer loyalty towards that broadcasters' streams based on parasocial relationship theory. © 2023, Emerald Publishing Limited.","Broadcaster characteristics; Live streaming commerce; Parasocial relationships; Product characteristics; Product match-up; Viewer loyalty",""
"How does frugality influence customer complaints through the mediation of the zone of tolerance? Empirical evidence from Chinese consumers purchasing Shanzhai products","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176966651&doi=10.1108%2fAPJML-03-2023-0202&partnerID=40&md5=b50ef3361ee337380f030a94bf89884e","Purpose: This study aims to investigate whether frugality increases customer complaints via the mediating role of the zone of tolerance (ZOT) of quality for Shanzhai products. Additionally, the study seeks to explore how customer empathy as a boundary condition affects the relationship between the ZOT of quality and customer complaints. Design/methodology/approach: Based on the purchasing data of 241 low-income customers from business-to-consumer (B2C) e-commerce and social platforms in China, hierarchical analysis was conducted in the study. Moreover, “PROCESS SPSS Macro” was used to test the mediation effect of the ZOT of quality and the moderated mediation effect with customer empathy as a moderator. Findings: The results indicate a positive impact of frugality on customer complaints, which is mediated by the ZOT of quality. Moreover, with an increase in customer empathy, the negative effect of the ZOT of quality on customer complaints increases, and the positive influence of frugality on customer complaints, through the mediation of the ZOT of quality, also becomes stronger. Originality/value: Drawing upon the principle of cognitive consistency, this study not only extends the stream of research on frugality by exploring how frugality influences customer complaints via the mediation of the ZOT of quality but also sheds new light on the research on customer empathy by exploring its moderating role in the relationship between the ZOT of quality and customer complaints. © 2023, Emerald Publishing Limited.","Customer complaints; Customer empathy; Frugality; Quality perception; Zone of tolerance of quality",""
"Eating halal: a serial mediation model for the effect of religiosity on the intention to purchase halal-certified food","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165215284&doi=10.1108%2fAPJML-10-2022-0868&partnerID=40&md5=13759efeb3854bd357930de4e11d2eee","Purpose: This research discloses the effect of religiosity on purchasing intention through serial-mediation paths in a halal-certified food context. Borrowing from the identity theory while supplemented by the theory of planned behaviour (TPB) and the knowledge–attitude–practice (KAP) theory, a 4-layered framework is developed to investigate such an issue. Design/methodology/approach: 264 questionnaires are collected in the field study conducted in Tunis, Tunisia. Quota sampling method is applied. Testing of the hypotheses is performed using partial least square analysis. Findings: The findings reveal that religiosity affects the four mediators—awareness, trust, subjective norm and perceived behavioural control—which in turn affect attitude, and purchase intention towards halal-certified food is eventually aroused. These four serial-mediation paths are further proved to form the mechanisms. Research limitations/implications: The field study participants are limited to consumers in Tunis. Besides, a mechanism to collect the data from general public including lower educated consumers should be necessary. Originality/value: This research is a pioneering work investigating the sequential intervening effect in the religiosity-intention relationship in halal-certified food. The authors provide unique and fruitful insights into this relatively untapped field for academia and firms. © 2023, Emerald Publishing Limited.","Attitude; Halal certification; Halal food; Purchase intention; Religiosity",""
"Exploring e-deal proneness: the interplay of price consciousness and anticipatory regret","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177580582&doi=10.1108%2fAPJML-05-2023-0459&partnerID=40&md5=a786940d6e6de26673e479efd4df9f96","Purpose: This research investigates the factors influencing consumers' intention to purchase e-deals from group buying websites, focussing on e-deal proneness, price consciousness and anticipatory regret. Design/methodology/approach: Three studies (n = 539) were conducted using data collected from an online consumer panel and tested via structural equation modelling and PROCESS macro in SPSS. Findings: The findings suggest that subjective norms, perceived behavioural control and attitudes positively influence consumers' e-deal purchase intention. Additionally, price consciousness amplifies the relationship between consumers' e-deal proneness and purchase intention, and price-conscious respondents are more likely to have the intention to buy e-deals when faced with some form of anticipatory regret. Practical implications: Based on the research findings, practitioners are advised to prioritise social norms and entertainment value when promoting the attractiveness of e-deals, using strategies such as social media and influencer marketing. Brands should also emphasise the value of e-deals by showcasing comparative price savings and discounts to motivate consumers to buy. Originality/value: This paper addresses an interesting and practical issue related to the effects of group buying websites, focussing on e-deal proneness, price consciousness and anticipatory regret. © 2023, Emerald Publishing Limited.","Anticipatory regret; Attitude; e-deals; Price consciousness; Purchase intention; Theory of planned behaviour",""
"The impact of corporate philanthropy on the evolution of social media brand community – based on the case of ERKE","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169427650&doi=10.1108%2fAPJML-04-2023-0326&partnerID=40&md5=2ae54210bbfd207075865dbd4feb2050","Purpose: Corporate philanthropy is increasingly a vital decision-making basis for consumers to purchase and establish relationships with enterprises. However, few studies have examined corporate philanthropy from the perspective of community evolution. To address this gap, this study aims to provide a more in-depth and holistic investigation of corporate philanthropy by examining the evolution of social media brand communities caused by corporate philanthropy and the characteristics of consumer interactive behavior. Design/methodology/approach: Web crawlers developed by Python were employed to collect data of ERKE from Sina Weibo (the Chinese equivalent of Twitter). A total of 2,736 posts and 7,774 comments were collected and investigated using social network and sentiment tendency analyses. Findings: The results showed that the evolution of the social media brand community presented a prominent three-stage characteristic influenced by corporate philanthropy. The findings not only support the benefits of corporate philanthropy but also show the possible disadvantages. Besides, this study further concluded the characteristics of consumer interactive behavior in the social media brand community. Originality/value: This paper addresses an attractive and practical issue related to the impact of corporate philanthropy. Moreover, this study is one of the first studies to examine the impact of corporate philanthropy in the context of the social media brand community. The findings of this study will provide a valuable reference for community operations and practitioners of brands. © 2023, Emerald Publishing Limited.","Community evolution; Consumer behaviour; Consumer sentiment; Corporate philanthropy; Social media brand community",""
"Downward social comparison in explaining pro-environmental attitude-sustainable consumption behavior gap","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198829496&doi=10.1108%2fAPJML-05-2024-0665&partnerID=40&md5=1e76e1528467a16355cca93d4c2d6406","Purpose: While consumers are increasingly concerned about the environment and commit themselves to environmental protection, they are still reluctant to act. This phenomenon, to date, has remained a puzzle and gained much attention from practitioners and researchers. As a contribution to the understanding of the phenomenon, this study aims to examine the role of downward social comparison as an explanation for the inconsistency of the relationships between two types of pro-environmental attitudes, namely attitudes toward the environment and attitudes toward sustainable consumption, and two sustainable consumption behaviors including electricity-saving behavior and unneeded consumption reduction. Design/methodology/approach: Hierarchical multiple regressions were employed to test the hypotheses with survey data from 381 consumers in a large city in a Southeast Asian country. Findings: The regression results support our expectation that downward social comparison negatively moderates the relationships between the two attitude variables and the two sustainable consumption behaviors. Originality/value: Our findings provide some insights into the complexity of the attitude-behavior relationship and offer some practical recommendations for governments and policymakers in designing more effective behavioral interventions for the sustainability of human society. © 2024, Emerald Publishing Limited.","Downward social comparison; Environmental attitude-behavior gap; Environmental attitudes; Green gap; Sustainable consumption",""
"Perceived risk-based sport spectator segmentation during the pandemic situation","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181698333&doi=10.1108%2fAPJML-08-2023-0801&partnerID=40&md5=50217f3fd03b244d0dd5a9c0e6a08b9e","Purpose: Although many attempts to discover key segments of sport spectators have been extant, little segmentation effort has been made to reflect pandemic situations such as the COVID-19 pandemic. The purpose of this research is twofold: (1) to classify sport spectators into key segments based on perceived risks associated with a mass-gathered sporting event during the COVID-19 pandemic and (2) to identify each segment’s profiles. Design/methodology/approach: Questionnaire surveys of spectators attending a Japanese rugby game during the COVID-19 pandemic (January–June 2021) were conducted (n = 1,410). A combination of hierarchical and non-hierarchical clustering methods was executed. Findings: The results revealed the five-cluster solution as the optimal number of clusters representing the samples (i.e. spectators with extremely low-risk perception, those with low-risk perception, those with moderate-risk perception, those with high-risk perception and those with higher social risk perception). This five-cluster solution showed sufficient stability and validity. Moreover, each segment had different profiles regarding three background aspects – demographics, psychographics and behavioral variables. Originality/value: This study is the first effort to segment sport spectators based on perceived risks associated with a mass-gathered sporting event in the pandemic situation. Despite extensive segmentation studies to explore sport fans, contribution reflecting the post-crisis situations is scant. Therefore, the findings provide insight into this realm by providing a new viewpoint for understanding sport spectators during a possible future pandemic era. © 2023, Emerald Publishing Limited.","Cluster analysis; Mass gatherings; Pandemic situations; Perceived risks; Sport spectators",""
