Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
"THE RELATIONSHIP BETWEEN CORPORATE GOVERNANCE, EMPLOYEE SALARIES, SALARY GAPS AND FINANCIAL PERFORMANCE",2024,Asian Academy of Management Journal of Accounting and Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196615204&doi=10.21315%2faamjaf2024.20.1.4&partnerID=40&md5=9e3505c7227fe72f1db7b5f81ce854ff,"Given the scarcity of literature exploring the nexus between corporate governance and employee salaries, this study investigates the impact of corporate governance on employee compensation and its subsequent effects on financial performance. We identify a positive correlation between robust corporate governance and higher employee salaries, which in turn enhances firm profitability and value. Our findings also suggest that employee salaries act as a partially mediate in the relationship between corporate governance and firm value, indicating a nuanced mechanism through which governance quality influences organisational outcomes. Notably, we observe that enhanced corporate governance is associated with a wider salary gap between management and non-management employees, a factor that might adversely affect financial performance. These results underscore the complex dynamics between corporate governance and employee compensation strategies, contributing to a deeper understanding of their interplay. © Asian Academy of Management and Penerbit Universiti Sains Malaysia, 2024.",Corporate governance; Employee salary; Financial performance; Firm values; Salary gap,
CEO POWER AND TAX AVOIDANCE IN MALAYSIA: THE MODERATING EFFECT OF BOARD GENDER DIVERSITY,2024,Asian Academy of Management Journal of Accounting and Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196628887&doi=10.21315%2faamjaf2024.20.1.3&partnerID=40&md5=6cde323aeaf1281e20a8197af7e6de3b,"This study examines the relationship between chief executive officer (CEO) power and tax avoidance and the moderating effects of board gender diversity on this relationship. Based on companies listed on the Main Market of Bursa Malaysia from 2009 to 2019, it is found that CEO power is positively associated with tax avoidance. This suggests that CEOs with more dimensions of power are more competent in reducing the firm’s tax burden. Further tests show that this positive relationship is strengthened by board gender diversity. This implies that CEO competence in tax avoidance increases as the proportion of female directors on the board increases. © Asian Academy of Management and Penerbit Universiti Sains Malaysia, 2024.",Board gender diversity; CEO power; Effective tax rate; Emerging market; Female director; Tax avoidance,
INTERNATIONALISATION STRATEGY AND MANAGEMENT ACCOUNTING AND CONTROL SYSTEMS: A NETWORK APPROACH,2024,Asian Academy of Management Journal of Accounting and Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196659713&doi=10.21315%2faamjaf2024.20.1.5&partnerID=40&md5=d2dbb481ffc14d7e2b840a38e1b9505f,"Internationalisation has become crucial to economic development, especially for companies that are more technological and scientific. These companies arouse curiosity, as they quickly begin their internationalisation process (IP), adopting the Born Global model shortly after its creation. It has also been noted that, when they seek to benefit from mutual flexibility, the opportunity to use technical and economic knowledge, and even the collective assumption of costs and risks, it is common for them to resort to the internationalisation model based on Network Theory. Considering that internationalisation is part of the company’s growth strategy, and that this may require an adjustment of the information structure, namely the Management Accounting and Control System (MACS), it becomes relevant to understand how IP affects MACS. In this way, our study aims to respond to how MACS adjusts to Born Global internationalisation model (BGIM) and Network Model of Internationalisation (NMI) for a successful internationalisation strategy? In this study, we evaluate how MACS is adjusted in order to become a tool capable of collecting and processing the set of useful information necessary for the implementation of the internationalisation strategy. We conducted a single case study in a Portuguese health-sector company. Our results show that MACS needs to be adjusted to facilitate the implementation of IP. © Asian Academy of Management and Penerbit Universiti Sains Malaysia, 2024.",Born Global; Internationalisation; Management Accounting and Control System; Network; Strategy,
CRUDE PALM OIL PRICE PREDICTION USING SIMULATED ANNEALING-BASED SUPPORT VECTOR REGRESSION (SA-SVR),2024,Asian Academy of Management Journal of Accounting and Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196671446&doi=10.21315%2faamjaf2024.20.1.10&partnerID=40&md5=c4facb0d1c9b5a2d0520a74c140a0686,"Palm oil is one of the major export products of Malaysia. Predicting the price of crude palm oil futures (FCPO) traded on BURSA Malaysia Derivative is essential as agricultural markets have an inherent tendency towards instability, and thus are more vulnerable to price shocks than other industrial sectors. Hence, if the price of the futures contract on crude palm oil can be forecasted accurately, many parties such as farmers, refiners and distributors can manage the risk of price fluctuations through FCPO. This study proposes the metaheuristic and machine learning hybridised model of simulated annealing-based support vector regression (SA-SVR). The SVR in this model produces close price predictions of the FCPO with minimum deviation from the actual value with the help of SA, which first determines the best hyperparameter set to be utilised in the SVR. Although the proposed Radial Basis Function (RBF) kernelised SA-SVR model inputs only 10% of training data due to memory overload issues, it has produced a satisfying prediction result with an average execution time of 2 minutes and 34 seconds. The model performance was analysed further by using different ratios in data splitting, varying temperature combinations for the SA algorithm and initiating the parameter search based on the previous best hyperparameter set. Results show that keeping the test size constant and extracting more historical data on FCPO price for model training is better than varying train-test split ratios. The temperature schedule strategy showed that different initial and minimum SA temperature combinations affects the overall optimisation results. The best combination was the initial temperature of 100 and minimum of 40. In addition, the number of temperature reductions and average execution time to reach the best state decreases when the starting point of the parameter search space is close to the best values. © Asian Academy of Management and Penerbit Universiti Sains Malaysia, 2024.",Crude palm oil price prediction; Hyperparameter tuning; Simulated annealing; Support vector regression,
"DOES THE SHARIA-COMPLIANT STATUS REMOVAL ANNOUNCEMENT MATTER? LIQUIDITY, TRADING ACTIVITIES AND INSTITUTIONAL INVESTORS",2024,Asian Academy of Management Journal of Accounting and Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196673973&doi=10.21315%2faamjaf2024.20.1.8&partnerID=40&md5=f25cb6c33739baec73a15a636da59fb2,"On 29th November 2013, the Security Commission Malaysia revised the Sharia-compliant screening policy and about 20% of the Sharia firms lost their certification for not meeting the additional criteria. Using 107 affected firms, we examine the removal announcement effect on the stocks’ liquidity and trading activities. Our analysis focuses only on the removal announcement due to the screening policy changes. We use 181 days event window for the short-term effect and multivariate panel estimation models for the long-term effect. The event study observes a decreasing trend for the liquidity measures, indicating a higher liquidity post-Sharia removal announcement among the affected stocks. Conversely, trading activities decrease substantially within the first few days post-event date before picking up gradually. The regression analysis confirms the results, but we do not find consistent results supporting the relationship between institutional investors and liquidity and trading activities. The study is among the pioneers to unfold the effect of Sharia-compliant status removal announcement due to the policy changes on the stock liquidity and trading activities within short and long-term perspectives. We also provide post-effect evidence on the change of the institutional investors due to the removal announcement on the liquidity and trading aspect. © Asian Academy of Management and Penerbit Universiti Sains Malaysia, 2024.",Sharia screening policy; Sharia status removal; Sharia-compliant firms; Stock liquidity; Trading activities,
THE IMPACT OF CORPORATE GOVERNANCE ON FINANCIAL DECISION-MAKING: EVIDENCE FROM NON-FINANCIAL INSTITUTIONS IN THE AUSTRALIAN SECURITIES EXCHANGE,2024,Asian Academy of Management Journal of Accounting and Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196622751&doi=10.21315%2faamjaf2024.20.1.2&partnerID=40&md5=b5d39af1ed0c8201f9282b1c6754571d,"The objective of this study was to examine the impact of corporate governance on the financial choices of non-financial companies operating in the Australian Securities Exchange. A purposive sampling technique was employed to select a total of 113 firms representing 14 sectors listed in the Australian Securities Exchange during the period from 2008 to 2021. The findings of the study revealed a positive and significant relationship between the size of the board, gender diversity among board members, board member affiliation, and board compensation with the financial decisions of the corporations. Additionally, the study identified that the presence of experienced and non-executive board members had a negative and significant impact on internally generated funding. Furthermore, it was observed that board gender diversity, board size, board member affiliation, and board compensation displayed a positive and significant association with debt financing, internally generated financing, and equity financing. Most organisations displayed a preference for internal and debt financing over equity funding. Aligning governance with financial decisions enhances firms’ cost of capital. Governance quality affects capital market access, debt, and equity costs. Effective governance leads to favorable financing terms. © Asian Academy of Management and Penerbit Universiti Sains Malaysia, 2024.",Agency problem; Australian Securities Exchange; Financial decision; Resource dependency theory; Shareholders,
THE MULTIFACETED IMPACT OF DIRECTORS AND OFFICERS (D&O) INSURANCE ON CORPORATE GOVERNANCE AND PERFORMANCE,2024,Asian Academy of Management Journal of Accounting and Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196669153&doi=10.21315%2faamjaf2024.20.1.1&partnerID=40&md5=a285f58bb0fe79209a719683dd75ea6b,"In the ever-evolving capital market, safeguarding shareholder rights and interests is paramount for Chinese listed companies facing escalating risks. This article explores the dynamic discourse surrounding Directors and Officers (D&O) insurance, focusing on its implications in emerging markets with lower institutional support and disclosure quality. Spanning 2000 to 2020, this study rigorously examines the impact of D&O insurance in China, investigating its associations with capital markets, regulatory frameworks, managerial practices and financial reporting. My analysis reveals that D&O insurance correlates negatively with CEO turnover and litigation risk. However, its influence on investment efficiency, earnings management, financial reporting and corporate governance is comparatively modest. I also uncover nuanced disparities between stateowned enterprises (SOEs) and non-state-owned enterprises (non-SOEs). In SOEs, where CEOs are appointed by the government and litigation risk is lower, D&O insurance’s impact is less pronounced. Conversely, non-SOEs, facing higher litigation risk, find greater significance in D&O insurance as protection against legal action. In summary, this article highlights D&O insurance’s role as a protective shield for CEOs and underscores its evolving dynamics in Chinese listed companies’ corporate governance and risk management. © Asian Academy of Management and Penerbit Universiti Sains Malaysia, 2024.",agency problem; CEO turnover; D&O insurance; financial reporting; litigation risk,
"CORPORATE SOCIAL RESPONSIBILITY PRACTICES, CORPORATE SUSTAINABLE DEVELOPMENT, VENTURE CAPITAL AND CORPORATE GOVERNANCE: EVIDENCE FROM CHINESE PUBLIC-LISTED FIRMS",2024,Asian Academy of Management Journal of Accounting and Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196640290&doi=10.21315%2faamjaf2024.20.1.9&partnerID=40&md5=ef5ef8e158f411e237b9977310c2dab0,"This study intends to investigate the relationship between the different corporate social responsibility (CSR) practices of firms and their corporate sustainable development (CSD) as well as whether venture capital (VC) and corporate governance (CG) moderate this relationship and capital allocation efficiency (CAE) mediates the relationship. The sample of this study consist of Chinese A-share public-listed firms as well as the Growth Enterprise Market (GEM) listed firms in China. The duration covered is from 2013 to 2020. There are significant positive relationships between CSR and CSD among Chinese A-shares listed firms and GEM listed firms. In addition, there is a significant positive moderating effect of CG and no significant moderating effect of VC on the relationship between CSR and CSD among Chinese A-shares listed firms. However, for GEM listed firms, there is no significant moderating effect of both VC and CG on the relationship between CSR and CSD. Finally, there is a significant positive mediating effect of CAE on the relationship between CSR and CSD among Chinese A-shares listed firms and GEM listed firms. © Asian Academy of Management and Penerbit Universiti Sains Malaysia, 2024.",Capital allocation efficiency; Corporate governance; Corporate social responsibility; Corporate sustainable development; Venture capital,
ASYMMETRIC EFFECTS OF INVESTOR SENTIMENT ON MALAYSIAN SECTORAL STOCKS: A NONLINEAR AUTOREGRESSIVE DISTRIBUTED LAG APPROACH,2024,Asian Academy of Management Journal of Accounting and Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196666273&doi=10.21315%2faamjaf2024.20.1.6&partnerID=40&md5=0858336db58264f72ddc892f8cab0843,"Extant literature fails to conclusively shed light on the asymmetric effects of market sentiment during bulls and bears, especially for small open markets like Malaysia. This study constructs a sentiment index for Malaysia using Principal Component Analysis. A nonlinear Autoregressive Distributed Lag (ARDL) model is applied to capture and distinguish the optimistic and pessimistic sentiments to justify sectoral stock price movements. Our threefold findings reveal the significant explanatory power of sentiment on sectoral stock prices for both market phases, validated by bound test statistics and error correction terms. Furthermore, the study uncovers long-run asymmetric effects in most sectors (excluding technology) and emphasises their insignificance in the short run, attributable to limited and regulated short selling. Dynamic multiplier graphs underscore the temporal nature of sentiment effects, peaking in the 3rd to 7th months for most stocks, with technology stocks exhibiting an overreaction to negative sentiments. Notably, most stocks respond to positive adjustments, indicating that investors are not driven by loss aversion stemming from diverse market news. These insights are vital for individual traders, fund managers, and regulatory bodies involved in risk assessment and hedging strategy formulation. The study contributes to non-conventional equity analyses, offering valuable perspectives for navigating the complexities of small open markets. © Asian Academy of Management and Penerbit Universiti Sains Malaysia, 2024.",Asymmetric effect; Investor sentiment; Malaysian sectoral stocks; Nonlinear Autoregressive Distributed Lag (NARDL) modelling; Principal component analysis,
VOLATILITY SPILLOVERS EFFECTS BETWEEN ENERGY COMMODITIES AND ISLAMIC STOCK MARKETS,2024,Asian Academy of Management Journal of Accounting and Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196614772&doi=10.21315%2faamjaf2024.20.1.7&partnerID=40&md5=4d17676c603a500712341927614449f4,"Empirical research exploring the relationship between capital markets and energy prices plays a crucial role in shaping policies for the growth of the Islamic financial system. This study aims to investigate potential shock transmission and volatility spillover effects among Islamic stock indices from selected Middle East and Northern Africa countries as well as crude oil prices and natural gas, over the period from August 2007 to September 2020. Applying VAR-BEKK-GARCH representation, the results reveal the evidence of bidirectional cross-market shock and volatility spillover effects between Kuwait and Qatar Islamic stock indexes, crude oil prices, and natural gas. Moreover, the results indicate the existence of bidirectional/unidirectional shock and volatility spillovers between Islamic indexes and all other variables, meaning there are information flows between these variables in all four countries except Turkey. Regarding the results of volatility spillovers, there is no spillover effect between Turkey’s MSCI Islamic index and Brent crude oil. These findings bear significant implications for portfolio management, offering valuable insights to financial market participants for making improved portfolio allocation decisions. Also, comprehending the volatility transmission mechanism across these markets is vital to provide policymakers and regulatory authorities with insight into the impact of energy prices on Islamic stock markets. © Asian Academy of Management and Penerbit Universiti Sains Malaysia, 2024.",Commodity markets; Energy; Islamic equity markets; Volatility Spillover Effects,
