"Title","Year","Link","Abstract","Author Keywords","Index Keywords"
"Investigating the factors of consumers’ purchase intention towards life insurance in bangladesh: An application of the theory of reasoned action","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098062630&doi=10.21315%2faamj2020.25.2.6&partnerID=40&md5=6337709ca470f47f426a003b37783193","This study aims to examine the factors that influence consumer purchase intention towards life insurance. The study included religiosity, risk aversion motives, saving motives, and financial literacy with classical Theory of Reasoned Action (TRA), therefore extending the model. A convenience sampling method was employed to collect data from 315 respondents working in different public and private institutions in Bangladesh. Collected data were analysed using the structural equation model (SEM). The results revealed that attitude, subjective norms, risk aversion motives, saving motives, and financial literacy have a significant positive impact on consumer purchase intention towards life insurance. Moreover, religiosity was found to have a negative impact on purchase intention. In addition, saving motives was found as a mediator in the relationship between risk aversion motives and purchase intention, as well as between financial literacy and purchase intention. Since attitude and subjective norms were found to have the most effect on purchase intention, the study implicated that marketers should emphasise company image, reputation, and the credibility of the agents, together with the significant others to whom we often turn to before making any financial decision. Finally, the study offered directions for further research after divulging several limitations. © Asian Academy of Management and Penerbit Universiti Sains Malaysia, 2020.","Bangladesh; Financial literacy; Life insurance; Religiosity; TRA",""
"THE MEDIATING EFFECT OF INNOVATION ON THE RELATIONSHIP BETWEEN CORPORATE GOVERNANCE AND FIRM PERFORMANCE: EVIDENCE FROM DEVELOPED AND DEVELOPING COUNTRIES","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194287481&doi=10.21315%2faamj2024.29.1.3&partnerID=40&md5=c5cf0772955b5453826be1d3ce28c46f","Prior studies have shown that innovation has a mediating effect on the relationship between corporate governance and firm performance. This study compares this mediating effect in developed and developing countries using agency theory and signaling theory. A panel sample of 2,688 firms in developing and developed countries is analysed for the period of 2002–2017. The empirical findings demonstrate that corporate innovation fully mediates the relationship between corporate governance and firm performance in developed countries. However, innovation partially mediates the relationship between corporate governance and firm performance in developing countries. This could be because of different socioeconomic factors and capabilities of innovators involved in corporate governance structure. The study has both theoretical and policy implications and provides insights for policy makers for identifying the influence of innovation on firm value and evaluating the importance of corporate governance. © Asian Academy of Management and Penerbit Universiti Sains Malaysia, 2024.","corporate governance; developed and developing countries; firm performanceinnovation; mediating effect",""
"Outward fdi and its implication on indonesian domestic investment","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108624979&doi=10.21315%2faamj2021.26.1.6&partnerID=40&md5=9d9c1714fade785ba841638716fbe85f","Since becoming a democratic country in the late 1990s, Indonesia has been changing into a more promising countries with a remarkable reduction in poverty by more than 50% during the last decade. To achieve a developed or high-income country, Indonesia must grow by 8% to 9% annually with huge investment is needed in every sector, ranging from infrastructure to human development in the digital era. Apart from strengthening tax revenue collection, Indonesian government must also investigate the role of outward foreign direct investment (OFDI) that potentially affects domestic investment in the negative way. Hence, it is the objective of this study to examine the impact of OFDI on Indonesian domestic investment for the period between 1980 and 2018. By applying vector error correction model, we observe that OFDI has significant adverse effect on domestic investment. With current inflows of foreign direct investment (FDI) has also never reached to the level prior to the 1997 economic crisis, discouraging the outflows of FDI could be a desirable strategy. © Asian Academy of Management and Penerbit Universiti Sains Malaysia, 2021. T.","Divestment; Domestic investment; Indonesia; Outward FDI; Time series analysis",""
"The interaction effect of independent boards on corporate governance-corporate social responsibility (CG-CSR) and performance nexus","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088939435&doi=10.21315%2fAAMJ2020.25.1.4&partnerID=40&md5=6398257ebc06f4c05f69aaa54bd8acde","The financial crises over the past two decades were identified as the main reason for the economic collapse. Malaysia suffered the same fate when many organisations crumpled from inappropriate compliance of governance mechanisms and corporate social responsibility (CSR) disclosure practices. Given this condition, this study intends to examine the effects of governance mechanisms and CSR practice on firm performance and the moderating effect of board independence is investigated on corporate governance-CSR (CG-CSR) and performance nexus of 588 Malaysian companies listed on Bursa Malaysia between 2006 and 2017. Both accounting-based (ROA) and market-based (Tobin’s Q) performance measures have been used for measuring performance. Dynamic model using Generalized Method of Moments (GMM) has been employed on the dataset to control for potential endogeneity, reverse causality, and dynamic heterogeneity. Findings indicate that ownership concentration negatively affects ROA; chief executive officer (CEO) duality positively affects ROA and negatively affects Tobin’s Q. Moreover, investment on CSR is negatively related to both performance measures. Finally, board independence negatively moderates the CG mechanisms, CSR practice, and performance relationship. Findings of the study have implications for Bursa Malaysia and Securities Commission Malaysia to reset the limit of independent directors on board so that their unnecessary interference in operations of management may be avoided. Furthermore, companies need to reassesstheir CSR strategies whether they are spending on CSR activities or hiding their financial malfeasance in the name of investment on CSR. © Asian Academy of Management and Penerbit Universiti Sains Malaysia, 2020.","Board independence; Corporate governance; Corporate social responsibility; Firm performance; Malaysia",""
"THE RELATIONSHIP BETWEEN MINDFULNESS AND SOCIAL ENTREPRENEURIAL INTENTION WITH PERCEIVED BEHAVIOURAL CONTROL AS MEDIATOR","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164427904&doi=10.21315%2faamj2023.28.1.2&partnerID=40&md5=4dd037a34722ad1db9a5a53b5dcc64d4","There is in an ongoing conflict between economic development and social needs, especially in developing countries. Social enterprises have been seen as a key to solving this problem. Universities however, has not focused much social entrepreneurship as an academic course, unlike corporate social responsibility. The aim of this study therefore, was to examine the relationship between mindfulness and social entrepreneurial intention (SEI) and the intermediary role of perceived controllability and self-efficacy to generate ideas for academics to develop new generations of social entrepreneurs. The study used structural equation modelling (SEM) to test the research hypotheses. A total of 294 students at all academic levels (bachelor, master, and PhD) at selected universities in southern Vietnam participated in this study. The data was collected between August 2019 and October 2019 by using questionnaires. The results showed a positive relationship between mindfulness and SEI.. Additionally, the study noted students’ perceived controllability and especially self-efficacy can enhance this relationship. © Asian Academy of Management and Penerbit Universiti Sains Malaysia, 2023.","intention; mindfulness; perceived controllability; selfefficacy; social entrepreneurship",""
"Integrating Corporate Social Responsibility in Reforming Trade Union Recognition Process","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132588446&doi=10.21315%2faamj2022.27.1.10&partnerID=40&md5=914a3b3a15bd8a76bdcd642f6217cb47","Employees are one of the most important stakeholders in organisations but their interests are often neglected by employers, particularly from the perspective of trade unionism that plays an essential role in safeguarding employee interests. Currently, the existing legislation has discouraged trade union activities and this has directly deprived the employees of their rights for a better working conditions at the workplace. There is also an evidence of anti-union actions taken by employer in recognition claims in order to prevent collective bargaining with trade unions. Corporate social responsibility (CSR) is an important tool in an organisation where the interests of the stakeholders is sustained. This paper investigates the relationship between employer’s CSR practice and its role in reforming recognition process of trade union in Malaysia. Qualitative research is employed to achieve the objective of this study by way of analysing secondary data and conducting legalistic analysis of the case law and statutes related to the issue. Based on the findings of this study, it is found that trade union recognition process can be reformed through integrating CSR practice in the organisation. © 2022, Penerbit Universiti Sains Malaysia. All rights reserved.","collective bargaining; corporate social responsibility; recognition process; stakeholder theory; trade union",""
"WHY DO SUBSIDIARIES DIVEST? THE ROLE OF SUBSIDIARY PERFORMANCE, SLACK RESOURCES, AND SUNK COSTS","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164409127&doi=10.21315%2faamj2023.28.1.5&partnerID=40&md5=5db004feb5dd3f4eadce298df4c0c5cc","Subsidiaries are important in the global strategy of multinational enterprises (MNEs). However, in the face of uncertainty and competition, the decision to divest a subsidiary from a market becomes a critical decision for MNEs. This study suggests that the factors for divesting subsidiaries are related not only to the performance of the subsidiary but also to slack resources and sunk costs. It analysed 254 subsidiaries in Taiwan and found that the better the subsidiary’s performance is, the less it would decide to divest from the market. Additionally, it was found that the subsidiary with slack resources would be a moderating variable with a positive impact. In addition, the presence of sunk costs reinforces the positive effect of slack resources on the relationship between subsidiary performance and the non-divestment of the subsidiary. Overall, this study points to the significance of subsidiary performance on decision-making and explains the influence of slack resources and sunk costs. © Asian Academy of Management and Penerbit Universiti Sains Malaysia, 2023.","divestment; MNEs; slack resources; subsidiary; sunk cost",""
"Corporate Website Job Recruitment Platform: A Moderated Mediation Model of Organisational Image","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132550628&doi=10.21315%2faamj2022.27.1.5&partnerID=40&md5=0eb48d555fd0cb04559b3afdfdab708c","Corporate companies’ websites recruitment in advanced countries is well established. However, lesser is known about the Malaysian students and employed jobseekers’ intention to apply for jobs on the corporate companies’ websites. Therefore, this study aims to assess the subjective perceptions of these two groups’ intentions to apply for jobs on the websites. This study also aims to analyse the mediating effect of organisational image on perceived person-job fit (P-J fit) and perceived website usability (PWSU) which may be moderated by these two groups of jobseekers’ intentions. The conceptual model was first analysed using two-level confirmatory factor analysis. Adopting Hayes’ Model 7 template, AMOS software was used to differentiate the two groups’ perceptions. The results indicate that the perceived P-J fit and PWSU are the main factors influencing jobseekers’ intentions to apply for jobs on corporate websites. The moderated mediation technique has identified an indirect effect between perceived P-J fit and the intention to apply for jobs indicating the importance of established organisational image that it arouses applicants’ pursuit intention. Thus, the corporate human resource managers need to ensure the sites are designed for easy navigation and job advertisements that contain updated job information and realistic job preview. Using this platform, companies can reduce costs and time for the recruitment of talents. This study provides the subjective perceptions of jobseekers’ intention study and it contributes to the first component of Planning Theory of Intention. Lastly, this research also contributed to an alternate research method of analysing the moderated mediation using AMOS. © 2022, Penerbit Universiti Sains Malaysia. All rights reserved.","moderated mediation; organisational image; person-job fit; website recruitment; website usability",""
"EFFECT OF INTERNAL BARRIERS ON INNOVATION PERFORMANCE IN EMBRYONIC SMEs IN MALAYSIA","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178937201&doi=10.21315%2faamj2023.28.2.2&partnerID=40&md5=adc6cd9976bc79fe91a5d109ec4bc919","Manufacturing small and medium enterprises (SMEs) need to propel their creativity and innovativeness to enhance their innovation performance in the competitive and fast-changing environment. The current environment has transformed the internal working pattern, structure, and communication system to survive the rough business ecosphere. Consequently, SMEs encountered innumerable barriers to achieve the innovation performance and the SMEs should recognise the internal barriers so that they are able to accelerate their innovation performance. Therefore, this study aims at examining the internal barriers namely constraint in financial resources, constraint in technology, and constraint in human resources that hamper the innovation performance among the Malaysian manufacturing SMEs. This study embarked on two phases of data collection. First phase includes a series of semi-structured interviews with 15 participants from 5 SMEs via snowballing technique to gather their insights on internal barriers that impede innovation performance. For second phase, the survey method was adopted, and 217 SMEs responded to the survey. All the responses were analysed using SmartPLS technique. The interview findings demonstrate that all the internal constraints are indeed important for SMEs to grasp and serve as the obstacles for innovation performance. Nevertheless, from the quantitative analysis, only financial constraints serve as the significant barrier that impede innovation performance. To summarise, this research produces insights on decisive proof regarding internal barriers that inhibit the manufacturing SMEs to achieve innovation performance. © Asian Academy of Management and Penerbit Universiti Sains Malaysia, 2023.","financial constraints; human resources; innovatioperformance; internal barriers; SMEs; technology",""
"The mediating effect of overcompensation of rationalisation on instrumental climate and escalation of corruption relationship","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098094069&doi=10.21315%2faamj2020.25.2.1&partnerID=40&md5=287f20652133aa3c8f5ccc45b6b8a23b","This paper employs cognitive dissonance theory to investigate the mediating effect of Overcompensation of Rationalisation (OCR) on instrumental climate and escalation of corruption relationship. Moreover, this study examines the role of loyalty as a moderator to reduce the impact of instrumental climate on OCR. This study uses laboratory experiments with 94 master’s degree students as participants. The results show that OCR fully mediates the relationship between the instrumental climate and the escalation of corruption. Instrumental climate leads an individual to OCR, which impacts on the corruption escalation. The analysis also shows that loyalty can moderate the effect of instrumental climate on OCR. It indicates that a level of loyalty enables an individual to filter the impact of instrumental climate on OCR. Besides, the intention of corruption also contributes to the escalation and snowballing effect of corruption. Surprisingly, it is also found that individuals with their experiences tend to be more expert, skilful, and efficient in committing acts of corruption. Those enable the perpetrator to be corrupt smoothly; the amount of corruption, in aggregate, is more massive without the increase of maximum scores so it can lead the evaluator on. © Asian Academy of Management and Penerbit Universiti Sains Malaysia, 2020.","Cognitive dissonance; Escalation of corruption; Instrumental climate; Loyalty; Overcompensation of Rationalisation",""
