"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100790511&doi=10.26599%2fBDMA.2020.9020022&partnerID=40&md5=4074040dfd549f7788587e89e816ceb6","Ant Lion Optimization (ALO); Forward-Backward Rules (FBR); gSpan; Internet of Things(IoT); optimization; smartphone; smartwatch","Graph algorithms; Optimization; Smartphones; Association patterns; Biometric features; Human activity recognition; Intelligent data analysis; Multilevel optimization; Optimization algorithms; Optimization techniques; Selection algorithm; Wearable computers"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096444256&doi=10.26599%2fBDMA.2020.9020009&partnerID=40&md5=d6f597b8e51f4e278dc3c6ea50d2a2be","human cognition; intelligent machine; knowledge interpretation; machine knowledge; principle of functional similarity; Probable Approximative Correction (PAC) model","Human cognition; Intelligent machine; Knowledge structures; Knowledge system; Machine knowledge; Artificial intelligence"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144106470&doi=10.26599%2fBDMA.2022.9020024&partnerID=40&md5=ecdabc23e5b4dd8cf4626545e2494bd9","accuracy loss models; collaborative filtering; performance loss; rating matrix; recommendation system; root mean square error; simulation; subsampling","Deterioration; Errors; Mean square error; Regression analysis; Singular value decomposition; Accuracy loss; Accuracy loss model; Loss model; matrix; Model-based OPC; Performance loss; Rating matrix; Root mean square errors; Simulation; Subsampling; Collaborative filtering"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122609903&doi=10.26599%2fBDMA.2020.9020028&partnerID=40&md5=b0febc9a3ceaab8fbc30ffcd1e8296f1","blockchain; identity authentication; social network; trusted service evaluation model","Authentication; Big data; Public key cryptography; Social networking (online); Authentication scheme; Block-chain; Decentralisation; Evaluation models; Identity authentication; Key characteristics; Public key infrastructure; Service evaluation; Social network; Trusted service evaluation model; Blockchain"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094681425&doi=10.26599%2fBDMA.2020.9020008&partnerID=40&md5=c3f019ce8922cc6a2512b9866460a1a5","Belief propagation; Data sanitization; Factor graph; Single nucleotide polymorphism (SNP)-trait association","Bayesian networks; Genes; Graphic methods; Belief propagation; Biomedical information; Differential privacies; Genome-wide association studies; Inference attacks; Probabilistic graphical models; Single nucleotide polymorphisms; Statistical relations; Data privacy"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135279385&doi=10.26599%2fBDMA.2021.9020031&partnerID=40&md5=41c6dfbdf2f51ddd5030db8e2e666875","cloud computing; data storage; energy consumption; Internet of Things (IoT)","Digital storage; Fading channels; Green computing; Internet of things; Cloud-computing; Communication capacity; Computing capacity; Data retransmission; Data storage; Energy-consumption; Future technologies; Internet of thing; Lightweight sensors; Minimizing energy; Energy utilization"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132034626&doi=10.26599%2fBDMA.2022.9020007&partnerID=40&md5=47018d7805f0745255b39c318baeaae1","association rules hiding; data publication; data sanitization; evolutionary algorithm","Economic and social effects; Particle swarm optimization (PSO); Privacy-preserving techniques; Publishing; Sensitive data; Association rules hiding; Data driven; Data publications; Data sanitization; Data utilities; Malicious entity; Particle swarm optimization algorithm; Privacy concerns; Sanitization; Sensitive informations; Association rules"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135256024&doi=10.26599%2fBDMA.2022.9020010&partnerID=40&md5=5d43a8b9a74aa9e78adf57205cfa0ca9","COVID-19; data analysis; extreme random forest regression; HDI; spectral clustering","Clustering algorithms; Decision trees; Disease control; Geographical distribution; Population statistics; Regression analysis; Viruses; Clusterings; Descriptive statistics; Extreme random forest regression; Global analysis; Human development index; Prevention and controls; Random forests; Regression modelling; Response strategies; Spectral clustering; COVID-19"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132009948&doi=10.26599%2fBDMA.2022.9020008&partnerID=40&md5=8407c87e5236beccde7f95739f1344c3","broad learning; negative emotion; p-norm; RoBERTa; social networks","Automatic classification; Broad learning; Complexes structure; Emotion classification; Learning models; Negative emotion; P-norm; Pre-training; Robustly optimized BERT pretraining approach; Social network; Deep learning"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105861813&doi=10.26599%2fBDMA.2021.9020004&partnerID=40&md5=33952690fc9a4a6a6fa3ee2c175134b3","Artificial Intelligence (AI); automated machine learning; High-Performance Computing (HPC)","Machine learning; Scalability; Automated machines; Benchmark suites; Computing power; Customizable; High performance computing (HPC); Highly parallels; Nvidia teslas; Stack performance; Benchmarking"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114009566&doi=10.26599%2fBDMA.2021.9020009&partnerID=40&md5=834e182ca51321f59f39feae9a7ac059","big data; C++; query optimization; Structured Query Language (SQL)","Big data; Data handling; Digital storage; Engines; Query languages; User interfaces; De facto standard; Debugging efforts; Evaluation results; Java virtual machines; Query optimization; Relational analysis; Runtime environments; Structured query languages; C++ (programming language)"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100714999&doi=10.26599%2fBDMA.2020.9020013&partnerID=40&md5=261be78ce50ce9e9166b00535ecb21a9","correlation; COVID-19; machine learning; prediction; regression","Linear regression; Autoregression; Coronaviruses; Correlation coefficient; Forecasting models; Multiple linear regressions; Forecasting"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100730568&doi=10.26599%2fBDMA.2020.9020007&partnerID=40&md5=cd63ec0699d74e06dbcc1f2b1c515dad","clinical healthcare; coronavirus; deep learning; Deep Neural Network (DNN); protein-ligand interactions","Deep learning; Deep neural networks; Diagnosis; Diseases; Drug interactions; Health care; Learning systems; Ligands; Proteins; Viruses; Diagnosis systems; Efficient predictions; Genome sequences; Health-care system; Healthcare industry; Machine learning methods; Optimized solutions; Protein-ligand interactions; Neural networks"
