"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124578546&doi=10.1089%2fbig.2021.29048.cfp2&partnerID=40&md5=79fd2277a0fd6249fde4a38ca34177bd","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163898922&doi=10.1089%2fbig.2021.0471&partnerID=40&md5=80f789b54e4000b400f5f6d4f4c747d7","anomaly detection; multiple SAX; pattern recognition; positive unlabeled learning; smart meter; time series","Big Data; Computer Systems; Humans; Intelligence; Machine Learning; Time Factors; big data; human; intelligence; machine learning; time factor"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153120321&doi=10.1089%2fbig.2023.29057.rtd&partnerID=40&md5=537001d182d122fa7fb10c6569c402b9","","Decision Making; decision making"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137422050&doi=10.1089%2fbig.2022.0203&partnerID=40&md5=63d3a62da2e8434343e9c0b0ed38a727","","Public Health; public health"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121706036&doi=10.1089%2fbig.2020.0141&partnerID=40&md5=f3c2a4de7d76e67e8d97670549af9710","big data; data granularities; join, aggregation, sort; multiquery optimization; reused-based opportunity; sharing data; sharing opportunity; sharing work","Algorithms; Big Data; Query processing; Search engines; Data granularity; Join, aggregation, sort; Multi-way join; Multiple queries; Multiquery optimization; Optimizers; Performance; Reused-based opportunity; Sharing opportunity; Sharing work; algorithm; Big data"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124578147&doi=10.1089%2fbig.2021.0202&partnerID=40&md5=7d16dd3c38736b5e3785d52ccc930c17","CoAP; DTLS; IoMT; IoT; RSA","Algorithms; Communication; Computer Security; Delivery of Health Care; Humans; Internet of Things; Energy utilization; Internet of things; Multicasting; Network security; Public key cryptography; Sensor networks; Application protocols; Constrained application protocol; Datagram transport layer security; Datagrams; Energy efficient; Internet of medical thing; Key sizes; Rivest-shamir-adleman; Secure session; Transport layer security; algorithm; computer security; health care delivery; human; interpersonal communication; Energy efficiency"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114400827&doi=10.1089%2fbig.2021.29047.cfp&partnerID=40&md5=5e6de4fbf90bc287d7cbc1eda99a1561","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124577739&doi=10.1089%2fbig.2021.0012&partnerID=40&md5=fd6041909d044e4d094bbc316b52eefe","Carmichael's Theorem-based Homomorphic Encryption; Health Care Data Security and Privacy; homomorphic encryption; Modified Enhanced Homomorphic Encryption","Algorithms; Computer Security; Computer Systems; Delivery of Health Care; Humans; Privacy; Blood pressure; Computation theory; Data privacy; Digital storage; Health care; Military applications; Polynomial approximation; Carmichael theorem-based homomorphic encryption; Data security and privacy; Health care data security and privacy; Health care datum; Ho-momorphic encryptions; Homomorphic-encryptions; Modified enhanced homomorphic encryption; algorithm; computer security; computer system; health care delivery; human; privacy; Cryptography"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153123434&doi=10.1089%2fbig.2021.0064&partnerID=40&md5=7c1d6eaf2953fbd812544483cdf9ae4a","outlier; particle swarm optimization; Pi-Sigma artificial neural networks; robust learning algorithms","Algorithms; Australia; Forecasting; Neural Networks, Computer; Beer; Learning algorithms; Network architecture; Particle swarm optimization (PSO); Statistics; Swarm intelligence; Data set; Forecasting problems; Outlier; Outlier case; Particle swarm; Particle swarm optimization; Performance; Pi-sigma artificial neural network; Robust learning algorithm; Swarm optimization; algorithm; Australia; forecasting; Neural networks"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143644328&doi=10.1089%2fbig.2021.0049&partnerID=40&md5=27e89863648a3ce3357dfb652b70317d","attention model; image captioning; multimodal; reinforcement learning","Algorithms; Artificial Intelligence; Neural Networks, Computer; Convolutional neural networks; Learning algorithms; Learning systems; Recurrent neural networks; Transfer learning; Attention model; Convolutional neural network; Image caption; Image captioning; Large-scales; Multi-modal; Multi-modal data; Multilevels; Natural languages; Reinforcement learnings; algorithm; artificial intelligence; Reinforcement learning"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117135064&doi=10.1089%2fbig.2020.0192&partnerID=40&md5=fe9999bdb27fd3272dd3838f95726014","classification; enterprises; feature selection; financial crisis prediction; machine learning","Algorithms; Computer Simulation; Internet of Things; Smartphone; Classification (of information); Data acquisition; Feature extraction; Finance; Internet of things; Machine learning; Classification models; Effective tool; Features selection; Financial crisis; Financial crisis prediction; Financial data; Optimal feature subset selections; Optimisations; Optimization algorithms; Selection based; algorithm; computer simulation; smartphone; Forecasting"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143645145&doi=10.1089%2fbig.2022.0217&partnerID=40&md5=bb159358062799ca923315dc88743c99","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119457973&doi=10.1089%2fbig.2021.29047.cfp2&partnerID=40&md5=af095928ac3fd9ff571b00927e11cdde","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127552380&doi=10.1089%2fbig.2021.0193&partnerID=40&md5=5e6384b3722758e6f9b463d3897cbd9b","characteristic matrix; large data set; maximal information coefficient (MIC); relationship overestimation; unbiased associations; weighted information coefficient mean (WICM)","Algorithms; Microwave integrated circuits; Characteristic matrix; Complex relationships; Information coefficient; Large datasets; Maximal information; Maximal information coefficient; Relationship overestimation; Unbiased association; Weighted information coefficient mean; algorithm; Matrix algebra"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168372195&doi=10.1089%2fbig.2021.0473&partnerID=40&md5=67ae85ece672348bf5e07192a5e545ce","access control; big data; context awareness; graph neural network","Big data; Graph neural networks; Graph theory; Learning systems; Neural network models; Context information; Context- awareness; Context-aware access control; Context-aware approaches; Control methods; Data access control; Dynamic access control; Graph neural networks; Key elements; Neural network model; Access control"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117706257&doi=10.1089%2fbig.2020.0392&partnerID=40&md5=919bbda1f34fb8537c6935e93c548261","data mining and analysis; edge computing; geohazard prevention; internet of things (IoT); monitoring and early warning","Cloud Computing; Data Mining; Humans; Internet of Things; Data acquisition; Data handling; Data mining; Edge computing; Geology; Hazards; Internet of things; Data mining and analyse; Early warning; Edge computing; Edge-based; Geohazards; Geological hazard prevention; Geological hazards; Hazard prevention; Internet of thing; Monitoring and early warning; cloud computing; data mining; human; Monitoring"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117773092&doi=10.1089%2fbig.2020.0350&partnerID=40&md5=cfbbb87a5c64f0dea7d1d81089f6b5ca","drought; gross primary production; leaf area index; normalized difference vegetation index; solar-induced chlorophyll fluorescence; vegetation","Chlorophyll; Droughts; Fluorescence; Seasons; Sunlight; Chlorophyll; Drought; Fluorescence; Soil moisture; Spatial variables measurement; chlorophyll; Chlorophyll fluorescence; Gross primary production; Heilongjiang; Leaf Area Index; Normalized difference vegetation index; Photosynthetically active radiation; Solar-induced chlorophyll fluorescence; Space-based; Spatial measures; Summer droughts; drought; fluorescence; season; sunlight; Vegetation"
