"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163015009&doi=10.18331%2fBRJ2023.10.2.2&partnerID=40&md5=ff9581dcc8bbec88895df5a72e52a930","Acetate; Acetoclastic; Caldicellulosiruptor bescii; Methanogenesis; Syntrophic; Volatile fatty acids","Biogas; Concentration; Digesters; Digestion; Energy; Fertilizers; Production; Anaerobic digestion; Biogas; Fertilizers; Gibbs free energy; Hydrogen production; Methanogens; Suspensions (fluids); Acetate; Acetate concentrations; Acetoclastic; Acetoclastic methanogens; Biogas production; Caldicellulosiruptor bescii; Gibbs energy change; Methanogenesis; Syntrophic; Thermodynamic methods; Volatile fatty acids"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085869806&doi=10.18331%2fBRJ2020.7.2.3&partnerID=40&md5=6118c8f4dcc86250aad8d48723dccaec","Butanol; Butyrate; Ethanol; Genomic analysis; Second-generation biofuels","Acetone; Biofuels; Genes; Metabolism; Organic solvents; Substrates; Volatile fatty acids; Animal dungs; Argentina; Buenos Aires; Butyrate; Genomics; Genomics analysis; Second generation; Second-generation biofuel; Solvent production; Thermoanaerobacterium; Ethanol"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131430249&doi=10.18331%2fBRJ2022.9.2.2&partnerID=40&md5=740362396174ed785849560eb3930f64","Biofuels; Carbon footprint; Climate change mitigation; Indirect land-use change (iluc); Life cycle assessment; Uncertainty","Biofuels; Carbon footprint; Crops; Fossil fuels; Gasoline; Global warming; Greenhouse gases; Land use; Sensitivity analysis; Uncertainty analysis; Climate change mitigation; Electricity-generation; Greenhouses gas; Indirect land-use change; Indirect land-use changes; Landuse change; Life cycle assessment model; Modeling approach; Sources of uncertainty; Uncertainty; Life cycle"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028935198&doi=10.18331%2fBRJ2017.4.3.7&partnerID=40&md5=2b94d96e0dcc7282163c62521dac9c04","Biochemical; Biofuel; Biopolymer; Biorefinery; Sugarcane; Techno-economic assessment","Bagasse; Biofuels; Biomolecules; Biopolymers; Chemical industry; Climate change; Decision making; Fighter aircraft; Fossil fuels; Fuel economy; Lactic acid; Bio-based; Biochemical; Biofuel production; Biopolymer; Biorefineries; Recent trends; Resource depletion; Sugar-cane bagasse; Sugarcane; Techno-economic assessment; Refining"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153326680&doi=10.18331%2fBRJ2023.10.1.3&partnerID=40&md5=3709d35ff0c94c01573ec55326793f7a","Amines; Biogas upgrading; CO<sub>2</sub> removal; Hybrid solvent; Ionic liquid; Sustainability assessment","Amines; Biogas; Carbon dioxide; Computer software; Costs; Economics; Energy conservation; Ethanolamines; Exergy; Fossil fuels; Investments; Ionic liquids; Sustainable development; Biogas upgrading; CO2 removal; Diethanolamine; Energy; Environmental concerns; Hybrid solvent; Imidazolium-based ionic liquid; Sustainability analysis; Sustainability assessment; Tetrafluoroborates; Solvents"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125742056&doi=10.18331%2fBRJ2022.9.1.3&partnerID=40&md5=ca1d3662977a3d7f358741fad015be70","Bio-oil; Biochar; Bioenergy; Cork (quercus suber l.); Pyrolysis; Sustainability","Biofuels; C (programming language); Cerium oxide; Chemical analysis; Granulation; Hydrocarbons; Nitrogen; Pyrolysis; Sustainable development; Bio-energy; Bio-oils; Biochar; Cork (quercu suber l.); Nitrogen atmospheres; Product characterizations; Pyrolysis temperature; Quercus suber L; Slow pyrolysis; Valorisation; Feedstocks"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150395907&doi=10.18331%2fBRJ2022.9.4.2&partnerID=40&md5=b5395fe86cc05c03d08e2d6c58cfdbc9","Agricultural waste; Biomass; Fuel pellet; Sugarcane bagasse; Torrefaction","Agricultural wastes; Agriculture; Bagasse; Economic analysis; Fossil fuels; Gas emissions; Global warming; Greenhouse gases; Pelletizing; Ash contents; Biomass fuels; Economic feasibilities; Feasibility studies; Fuel pellet; Fuel substitution; Greenhouse gas emissions; Potential feedstock; Sugar-cane bagasse; Torrefaction; Biomass"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121820592&doi=10.18331%2fBRJ2021.8.4.4&partnerID=40&md5=c9dbc7faa16116f52ca7102d48a921b3","Cheese whey; Ethanol; Metabolic engineering; Renewable carbon sources; Yeast fermentation","Carbon; Fermentation; Metabolic engineering; Metabolism; Refining; Yeast; Biotechnological applications; Cheese whey; Circular economy; Dairy industry; Environmental concerns; Nutritional value; Renewable carbon sources; Valorisation; Yeast cell; Yeast fermentation; Ethanol"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137703423&doi=10.18331%2fBRJ2022.9.3.4&partnerID=40&md5=0f27dd1c4a286d0a3657fa6c37829b19","Biochar; Circular economy; Inert torrefaction; Oxidative torrefaction; Sustainability; Thermochemical biorefineries","Agricultural wastes; Agriculture; Bioconversion; Biomass; Calorific value; Microalgae; Microorganisms; Refining; Temperature scales; Biochar; Biorefineries; Biorefining; Circular economy; Inert torrefaction; Micro-algae; Oxidative torrefaction; Thermochemical biorefinery; Thermochemicals; Woody biomass; Sustainable development"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130822289&doi=10.18331%2fBRJ2022.9.2.3&partnerID=40&md5=09d8610be81ad840e34d498ef0199f21","Biodiesel; Cetane number; Cloud point; Emissions; Fractionation; Oxidation stability","Biodiesel; Carbon monoxide; Esters; Fractionation; Metabolism; Nitrogen oxides; Palm oil; Processing; Saturated fatty acids; Temperature; Cloud points; Emission; Fatty acids methyl esters; ITS applications; Low temperature performance; Oil fatty acids; Onset temperature; Oxidation stability; Petroleum diesel; Thermal crystallization; Urea"
