"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167403779&doi=10.1016%2fj.cor.2023.106368&partnerID=40&md5=177be88aa8fa2198c4b0efa316f5fd6f","Bike-sharing rebalancing; Final solution; Heuristic algorithm; Initial solution","Bicycles; Heuristic methods; Bike-sharing rebalancing; Delivery vehicle; Final solution; Heuristics algorithm; High quality; Initial solution; Pickup and delivery; Problem size; Rebalancing; Searching capacity; Heuristic algorithms"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165534145&doi=10.1016%2fj.cor.2023.106350&partnerID=40&md5=b656a2e7f080563cea7a5a74ebec1997","Heterogeneous economies of scale; Hub location problem; Meta-heuristics; Single allocation","Decomposition methods; Location; Optimization; Computational experiment; Demand Flow; Economy of scale; Heterogeneous economy of scale; Hub location problems; Metaheuristic; Neighborhood search algorithms; Routing demand; Single allocation; Variable neighborhood search; Economics"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152598093&doi=10.1016%2fj.cor.2023.106239&partnerID=40&md5=b7b3e605f31eeee74b77b6c4d485d3ac","Metamodel; Penalty function; Ranking and selection; Simulation; Stochastic constraint","Stochastic models; Stochastic programming; Constraint functions; Meta model; Objective functions; Optimization problems; Penalty function; Ranking and selection; Ranking and selection procedures; Simulation; Simulation optimization; Stochastic constraints; Stochastic systems"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159465246&doi=10.1016%2fj.cor.2023.106267&partnerID=40&md5=b4b8a163feda79f11de5aa2636d18f8f","Adaptive large neighborhood search; Branch-and-price-and-cut; Hybrid method; Time windows; Two-dimensional vector packing problem","Computational efficiency; Dynamic programming; Integer programming; Vectors; Adaptive large neighborhood searches; Branch-and-price-and-cut; Dimensional vectors; Hybrid method; Integer programming models; Sub-problems; Time windows; Two-dimensional; Two-dimensional vector packing problem; Vector packing problems; Heuristic algorithms"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152939588&doi=10.1016%2fj.cor.2023.106244&partnerID=40&md5=258198614e2c4806755b7dfcc44522bd","Accelerated Benders decomposition; Closed-loop supply chain; Dairy products; Multi-objective MILP; Net present value","Goal programming; Integer programming; Numerical methods; Product design; Accelerated bender decomposition; Benders' decompositions; Closed-loop; Closed-loop supply chain; Closed-loop supply chain networks; Financial flows; Multi objective; Multi-objective MILP; Physical flow; The net present value (NPV); Supply chains"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166655343&doi=10.1016%2fj.cor.2023.106288&partnerID=40&md5=4ac91ba32d348bdfb3ff4854a8422b57","Healthcare coverage and continuity; Healthcare delivery; Location routing; Mobile health units; Set-packing formulation","mHealth; Sensitivity analysis; Continuity of cares; Health services; Healthcare coverage; Healthcare coverage and continuity; Healthcare delivery; Location-routing; Mobile health unit; Multi-period; Set packing; Set-packing formulation; Location"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163530165&doi=10.1016%2fj.cor.2023.106284&partnerID=40&md5=cb857460faeb078776382991d28cdf45","Combinatorial optimization; Evolutionary search; Heuristics; Latin square problems; Parallel search; Partial graph coloring","Benchmarking; Evolutionary algorithms; Graph theory; Graphics processing unit; Heuristic algorithms; Evolutionary search; Graph colorings; Heuristic; Latin square; Latin Square problem; Massively parallels; Parallel evolutionary algorithms; Parallel search; Partial graph coloring; Partial Latin squares; Combinatorial optimization"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152601871&doi=10.1016%2fj.cor.2023.106248&partnerID=40&md5=5585271e43ab6fd2fde7841b3e3e0c3a","Branch and bound; Lagrangian relaxation; Mixed integer linear programming; Network optimization; Precedence constrained arborescences","Branch and bound method; Constrained optimization; Lagrange multipliers; Branch and bounds; Branch-and-bound algorithms; Integer Linear Programming; Lagrangian relaxations; Minimum cost; Mixed integer linear; Mixed integer linear programming; Network optimization; Precedence constrained arborescence; Precedence constraints; Integer programming"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165531706&doi=10.1016%2fj.cor.2023.106344&partnerID=40&md5=78b8395438b521d910350e96e0f77c88","Automatic algorithm configuration; CPLEX; Machine learning; Metaheuristics; MILP solvers; Parameter configuration problem","Heuristic algorithms; Integer programming; Machine learning; Parameter estimation; Algorithm configurations; Automatic algorithm configuration; Automatic algorithms; CPLEX; Machine-learning; Metaheuristic; MILP solver; Optimization problems; Parameter configuration problem; Parameters configuration; Tuners"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162900161&doi=10.1016%2fj.cor.2023.106323&partnerID=40&md5=83afc34abf553aad08fa1fb8fbeb3820","Assembly line balancing; Instance sets; Manufacturing; Packing; Precedence constraints","Assembly machines; Benchmarking; Polynomial approximation; Assembly line balancing problems; Assembly-line balancing; Instance set; Manufacturing; Performance; Precedence constraints; Problem complexity; Problem instances; Simple assembly line balancing; State-of-the-art methods; Assembly"
