"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163276896&doi=10.1016%2fj.dajour.2023.100270&partnerID=40&md5=25cc5972a4d4b9f357ad4c05a9b7cdfd","Analytical Hierarchy Process; Defence industry; Multi-Choice Conic Goal Programming; Multi-Criteria Decision Making; Multi-objective programming; TOPSIS",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163172049&doi=10.1016%2fj.dajour.2023.100267&partnerID=40&md5=bdd064c89e223128b56570b007fb59c2","Bayesian optimizations; Chinese market; Cross-validation; Gaussian process regression; Real estate price forecasting; Retail property",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163824578&doi=10.1016%2fj.dajour.2023.100276&partnerID=40&md5=491ce454a5bfc0fcb88f3cacbd6bb331","Adaptive control algorithm; Controller; Diabetes; Glucose; Pancreas; Remora optimization",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159216063&doi=10.1016%2fj.dajour.2023.100245&partnerID=40&md5=813bee261c932e8598b909f0b94ea827","Breast cancer; Extreme Gradient Boosting; Least Absolute Shrinkage and Selection Operator; Machine learning; Random forest; Support Vector Machine",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85154616903&doi=10.1016%2fj.dajour.2023.100235&partnerID=40&md5=a456dbc696b0a16095b51f891a876781","CSI300 futures; CSI300 spot; High frequency; Neural network; Prediction; Trading volume",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160066957&doi=10.1016%2fj.dajour.2023.100251&partnerID=40&md5=e6e7c69b5f9e9f2b1fb90979a0a9c3dd","Algorithm; Becnhmark; Dynamic economic dispatch; Economic dispatch; Evolutionary algorithm; Hummingbird flight; Large-scale optimization; Optimization; Particle swarm optimization",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161646693&doi=10.1016%2fj.dajour.2023.100262&partnerID=40&md5=12900c9283b13ba997e187bf6d642a4f","Aggarwal entropy; Cloud vendor selection; Decision-making; Intuitionistic fuzzy sets; Uncertainty",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163178823&doi=10.1016%2fj.dajour.2023.100266&partnerID=40&md5=19b50af605bd03c46a0861194b6d8817","Meta-heuristic algorithms; Static constraints; Stochastic Paint Optimizer; Structural optimization; Truss structures",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156162993&doi=10.1016%2fj.dajour.2023.100239&partnerID=40&md5=52df0da9171d578712d733da0ec7acc2","Euclidean distance; Hesitation grade; Multi-criteria decision-making; Quartic fuzzy sets; Similarity measures",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85157983115&doi=10.1016%2fj.dajour.2023.100236&partnerID=40&md5=481da8073ff0a43a2e784cd8a44f75ed","Bioethanol supply chain network; Demand projection; Machine learning; Mixed-integer linear programming; Sustainability; Switchgrass cultivation",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158061969&doi=10.1016%2fj.dajour.2023.100241&partnerID=40&md5=cbf285ea7c506c9da31a2e7e379a223f","Equilibrium; Fuzzy prey–predator model; Fuzzy transform; Granular transform; Inverse transform; Stability",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153518150&doi=10.1016%2fj.dajour.2023.100232&partnerID=40&md5=e8788ee575efa76cfcef3b746874d847","Decision-aid technology; Distance minimization; Methodi ordinatio; p-medians; Soccer; Sports analytics; Video assistant referee",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150842976&doi=10.1016%2fj.dajour.2023.100200&partnerID=40&md5=17f87ca2edfe2add5aa748e3bea98bec","Average consumption rate; Cloud computing; Data skew; IoT; Resource allocation",""
