"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160537599&doi=10.1140%2fepjds%2fs13688-023-00392-8&partnerID=40&md5=2106547d8228b5f6b503b94c49fed8ea","Blockchain; Dark Web; Percolation; Privacy; Social networks","Percolation (solid state); Solvents; Anonymous Networks; Block-chain; Dark web; Most probable number; Network node; Percolation; Privacy; Social network; Three networks; Web message boards; Blockchain"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133313645&doi=10.1140%2fepjds%2fs13688-022-00348-4&partnerID=40&md5=33b15c8504358f41b0c7e9f59fbf300a","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161041511&doi=10.1140%2fepjds%2fs13688-023-00394-6&partnerID=40&md5=1a58e4a13d50bac251e2d9b3ce825388","Computer vision; Street images; Urban inequalities; Visual similarity","Data visualization; Deep learning; Developing countries; Image analysis; Learning systems; Atlanta; Comparatives studies; Economic inequality; Large cities; Large-scales; Neighbourhood; Social inequalities; Street image; Urban inequality; Visual similarity; Computer vision"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168310836&doi=10.1140%2fepjds%2fs13688-023-00407-4&partnerID=40&md5=73c347168a0821fd1e70e6c89d3387b6","Coloring strategy; Election study; Political propaganda; Referendum; Social media","Social networking (online); Coloring strategy; Election study; Image-based; Internet users; Paradigm shifts; Political communication; Political propaganda; Referendum; Social media; Social network services; Color"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159962681&doi=10.1140%2fepjds%2fs13688-023-00390-w&partnerID=40&md5=9ca8409838093b1e59d7d15618dfe4dc","Census; Health Risk; Lifestyles; Mobility data; Non-negative matrix factorization; Segregation; Topic analysis; Transportation","Dynamics; Matrix algebra; Non-negative matrix factorization; Population dynamics; Population statistics; Risk assessment; Urban transportation; Activity behavior; Census; Demographic features; Human activities; Lifestyle; Mobility datum; Nonnegative matrix factorization; Segregation; Topic analysis; Urban dynamics; Health risks"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136972655&doi=10.1140%2fepjds%2fs13688-022-00360-8&partnerID=40&md5=5e30a5be7ef346c75a6f919cbb144ae0","Complex networks; Natural language processing; News consumption; Social media","Complex networks; Natural language processing systems; Social aspects; Social networking (online); Argentina; Language processing; Media outlets; Natural language processing; Natural languages; News consumption; Public opinions; Social media; Social ties; User's preferences; Polarization"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124980936&doi=10.1140%2fepjds%2fs13688-022-00319-9&partnerID=40&md5=daebe6f19a1306fcf375d78d035ed750","Algorithmic bias; Geometric deep learning; Hateful users","Classification (of information); Deep learning; E-learning; Learning algorithms; Social networking (online); African American; Algorithmic bias; Algorithmics; False positive; Geometric deep learning; Hateful user; Machine learning techniques; Network features; Network information; Neural-networks; Geometry"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125485608&doi=10.1140%2fepjds%2fs13688-022-00322-0&partnerID=40&md5=1378af749b2acd63916f64b0fa1ffbca","Academic failure; Campus behaviors; Clustering; Co-location network; Social contagion; Social network","Location; Smart cards; Social networking (online); Academic failure; Campus behavior; Clusterings; Co-location network; Colocations; Failure locations; Individual factors; Social contagion; Social network; Social network structures; Students"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137595799&doi=10.1140%2fepjds%2fs13688-022-00361-7&partnerID=40&md5=99742bb0134a6108f54e53b962804b8a","Causal effect; Change point detection; High-dimensional data; Regression discontinuity design","Change detection; Clustering algorithms; Anomaly detection; Causal effect; Change point detection; Change-points; High dimensional data; Natural experiment; Regression discontinuity design; Scene change; Self-training; Training model; Anomaly detection"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118710972&doi=10.1140%2fepjds%2fs13688-021-00309-3&partnerID=40&md5=780af47aed4765bbd667a9bc7400542b","Author profiling; Depression detection; Sentiment analysis","Classification (of information); Social networking (online); Author profiling; Bag of words; Benchmark datasets; Computational tools; Depression detection; Mental health; New approaches; Sentiment analysis; Social media; Text representation; Sentiment analysis"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148226324&doi=10.1140%2fepjds%2fs13688-023-00377-7&partnerID=40&md5=37d5c3eb7156d09c32ab845f7268abbb","Computational methods; Computational social science; Cultural novelty; Quantitative analysis","Change-over time; Computational social science; Creatives; Cultural evolution; Cultural novelty; Digital music; Extract informations; Large-scale analysis; Music information retrieval; Popular music; Music"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168672776&doi=10.1140%2fepjds%2fs13688-023-00410-9&partnerID=40&md5=8ab5a1dd7d7b2ba0586005623fa42998","Bot detection; Coordination detection; Encoding online behavior; Social media","Botnet; Modeling languages; Signal encoding; Bot detections; Coordination detection; Encoding online behavior; Encodings; Malicious behavior; Online behaviours; Social media; Stock price; Suspicious behaviours; User action; Social networking (online)"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147425037&doi=10.1140%2fepjds%2fs13688-022-00376-0&partnerID=40&md5=d887b9182943492bf442cdc2435ee4ac","Information theory; Judicial decisions; Topic model","Decision making; Decision theory; Decisions makings; Information-theoretic approach; Judicial decision; Landmark decision; Large corpora; Large database; Legislative changes; Social movements; Social norm; Topic Modeling; Information theory"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137574296&doi=10.1140%2fepjds%2fs13688-022-00362-6&partnerID=40&md5=19effbf20ebe7a9a05afebe4c4d06160","Land use; Planning support systems; Service provision; Spatial statistics; Urban analytics","Environmental regulations; Parks; Population statistics; Urban planning; Complex adaptive systems; Empirical studies; Personal income; Planning support systems; Scalings; Service provisions; Spatial statistics; Statistical pattern; Urban analytic; Urban indicators; Land use"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158093449&doi=10.1140%2fepjds%2fs13688-023-00388-4&partnerID=40&md5=05837e25d8d6ca6f51ff73df46908266","Cross-language measurement; Global inequalities; Global literacy; Information accessibility; Social media demography","Population dynamics; Population statistics; Social networking (online); Cross languages; Cross-language measurement; Facebook; Global inequalities; Global literacy; Information accessibility; Online population; Social media; Social medium demography; Socio-economics; Demography"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143360745&doi=10.1140%2fepjds%2fs13688-022-00372-4&partnerID=40&md5=b3500035b322e080f77d758e97177ef4","Artificial intelligence; Flow generation; GANs; Human mobility","Flow graphs; Taxicabs; Traffic congestion; Classical gravity; Flow generation; Geographic location; Human mobility; Mobility networks; Model-based OPC; Network generation; Public dataset; Realistic mobilities; Weighted directed graph; Generative adversarial networks"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142227960&doi=10.1140%2fepjds%2fs13688-022-00363-5&partnerID=40&md5=e89de022286134a997c610a21db5b989","Big data; Cultural integration; International migration; Twitter","Integration; Social networking (online); Condition; Cultural dimensions; Cultural integration; Economic integration; Globalisation; Host countries; International migration; Origin and destinations; Socio-economics; Twitter; Big data"
