"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151017005&doi=10.1039%2fd3ee90019c&partnerID=40&md5=97beb18f65c4f00a8131d58ec220af78","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163434112&doi=10.1039%2fd2ee03742d&partnerID=40&md5=514c0e5f187af5ce8c6f9aad5fbe6841","","Grain refinement; Kinetics; Layered semiconductors; Lead compounds; Perovskite solar cells; Environmentally friendly solvents; Formation kinetics; Green water; Incomplete transformation; Materials synthesis; Nanofluids; Performance; Photovoltaic performance; Solvent based; Water solvents; crystallization; fuel cell; microstructure; perovskite; reaction kinetics; reaction rate; Perovskite"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153175035&doi=10.1039%2fd3ee00371j&partnerID=40&md5=0e9e9a7ac7d2ae4e36397a2fd989bb1e","","Cobalt; Electrocatalysts; Nitrates; Ruthenium compounds; Sewage; Zinc compounds; Electrocatalytic nitrate reduction; Emerging technologies; Hetero-interfaces; High activity; Nitrate reduction; Orbital hybridization; Reduction reaction; Sluggish kinetics; Strong interaction; ]+ catalyst; ammonia; catalyst; electrokinesis; environmental technology; hybridization; in situ measurement; nitrate; reconstruction; reduction; Ammonia"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163512844&doi=10.1039%2fd3ee01302b&partnerID=40&md5=90ebb9a1d931ab22e91d01f68b5846c3","","Channel flow; Desalination; Effluents; Electrodes; Electrolytes; Energy utilization; Fluorine compounds; Magnesium compounds; Nickel compounds; Pumping (laser); Redox reactions; Reynolds number; Seawater; Sodium chloride; Water filtration; Brackish water; Deionization; Energy efficient; Flowthrough; Fresh Water; Hypersaline; Intercalation electrodes; Interdigitated flow field; Seawater desalination; Thermodynamic energy; brackish water; desalination; effluent; energy efficiency; freshwater; salinity; seawater; Energy efficiency"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162214912&doi=10.1039%2fd3ee00925d&partnerID=40&md5=8ef5f3cad6d1f025cdecff3da8e9b8cc","","Current density; Electric batteries; Electrodeposition; Electrodes; Morphology; Current status; Electric systems; Electro-deposition behaviors; High capacity; High current densities; High-capacity; Hydrogen evolution reactions; Mass transport limitation; Zinc electrodeposition; Zn electrodepositions; data interpretation; energy efficiency; fuel cell; hydrogen; morphology; zinc; Textures"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153052944&doi=10.1039%2fd3ee90020g&partnerID=40&md5=c7437cf06a339af3af394caef169a732","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159161946&doi=10.1039%2fd2ee04095f&partnerID=40&md5=e6875afd48d4f7d590f019fb4ee6ad37","","Ammonia; Conversion efficiency; Copper; Grain boundaries; Hydrogen; Nickel; Precious metals; Active hydrogens; Active metals; Ambient conditions; Ammonia synthesis; Electrochemicals; Grain-boundary defects; Hydrogen evolution reactions; Nitrate reduction; Reduction reaction; Water splitting; adsorption; ammonium nitrate; catalyst; electrochemical method; grain boundary; hydrogen; nickel; simulation; wave splitting; Nitrates"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149696676&doi=10.1039%2fd2ee03840d&partnerID=40&md5=9f4f52738f804367af67736bfe0fd469","","Cathodes; Charging (batteries); Coatings; Cost effectiveness; Degradation; Electrochemical electrodes; Electrolytes; Energy efficiency; Lithium compounds; Nickel compounds; Scanning electron microscopy; Solvents; Cathodes material; Coating process; Cobalt free; Dry Coating; Dry electrode; Electrode coating; High loadings; Higher energy density; Percolation networks; Sustainable materials; anion; cell; chemistry; commodity market; degradation; energy efficiency; fuel cell; manufacturing; performance assessment; Lithium-ion batteries"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149071293&doi=10.1039%2fd3ee00174a&partnerID=40&md5=0f98d53a1d173caf77e475f540bd0538","","Charge transfer; Conversion efficiency; Heterojunctions; Molecules; Organic solar cells; Bulk heterojunction organic solar cells; Bulk-heterojunction solar cells; Charge transfer state; Design strategies; Donor molecules; Molecular design; Performance; Power conversion efficiencies; Reorganization energies; Voltage loss; aid policy; halogenated hydrocarbon; power generation; reduction; solar system; substitution; Halogenation"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149068560&doi=10.1039%2fd2ee03793a&partnerID=40&md5=7920b5fe636c76bb204d05cf016ffa0d","","Capacitors; Corrosion; Electrolytes; Energy; Ions; Solvation; Storage; Zinc; Corrosion; Electrolytes; Hydrogels; Ions; Supramolecular chemistry; Zinc; Aqueous electrolyte; Energies (power); H 2 evolution; Hydrogel electrolytes; Inherent safety; Large-scales; Power densities; Zinc ions; Zn 2+; Zwitterionics; degradation; deposition; electrical conductivity; electrolyte; energy storage; zinc; Energy storage"
