"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156240697&doi=10.1016%2fj.esd.2023.04.005&partnerID=40&md5=472f11d99ba25097f2892052cfbcc50c","Carbon reduction; Collaboration; Integration; Refurbishment; Zero carbon","New Zealand; Carbon; Climate change; Decision making; Emission control; Intelligent buildings; Life cycle; Benefit and challenges; Carbon emissions; Carbon emissions reductions; Carbon reduction; Case-studies; Collaboration; New zealand; Refurbishment; Refurbishment projects; Zero carbons; building; climate change; complexity; empirical analysis; sustainable development; Integration"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162085269&doi=10.1016%2fj.esd.2023.101262&partnerID=40&md5=cc314e995bf3b03845a9fff34fc4989e","Carbon dioxide emissions; Coal boiler replacement; Economic benefits; Heat pumps; Low-carbon heat; Single family house; Techno-economic analysis","Carbon dioxide; Coal; Costs; Economic analysis; Economic and social effects; Energy efficiency; Fossil fuel power plants; Geothermal energy; Global warming; Natural gas; Profitability; Pumps; Air-source heat pumps; Carbon dioxide emissions; Coal boiler replacement; Economic benefits; Groundsource heat pump (GSHP); Heat pumps; Low carbon; Low-carbon heat; Single-family house; Techno-Economic analysis; building; carbon dioxide; carbon emission; economic impact; energy use; fossil fuel; sustainable development; technological development; Geothermal heat pumps"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149388872&doi=10.1016%2fj.esd.2023.02.002&partnerID=40&md5=e4c0b3a33cfde492aebc4e0943abd0ec","Exploitation and processing; Gas flaring; Oil and gas; Spatial analysis; VIIRS","China; Combustion; Environmental protection; Gas industry; Infrared radiation; Offshore gas fields; Petroleum prospecting; Petroleum transportation; Principal component analysis; Regional planning; Spatial variables measurement; Thermography (imaging); Center of gravity; Exploitation and processing; Gas exploitation; Gas flaring; Gas processing; Kernel clustering; Oil and gas; Oil exploitation; Spatial analysis; Visible infrared imaging radiometer suites; exploitation; gas industry; oil industry; principal component analysis; spatial analysis; VIIRS; Gases"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160714095&doi=10.1016%2fj.esd.2023.04.014&partnerID=40&md5=13124c45f5880803fbc293d055496adf","Energy demand; Full factorial analysis; Parametric run; Renovation; Residential building stock","Finland; Turkey; Carbon; Energy efficiency; Energy management; Housing; Laws and legislation; Parameter estimation; Walls (structural partitions); Building stocks; Carbon neutrals; Climatic zone; Energy demands; Finland; Full factorial analysis; Parametric run; Renovation; Residential building stocks; Savings potential; demand analysis; demand-side management; energy efficiency; energy planning; energy resource; energy use; European Union; insulation; regulatory framework; residential energy; targeting; Thermal insulation"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162914044&doi=10.1016%2fj.esd.2023.101266&partnerID=40&md5=bc53ced46cd58f8bba5275d4f69c261d","Building energy demand; Climate change; Energy efficiency; Iranian building code","Bandar Abbas; Hormozgan; Iran; Apartment houses; Building codes; Codes (symbols); Energy management; Energy utilization; Fossil fuels; Global warming; Laws and legislation; Building energy demands; Efficiency levels; Efficiency rankings; Energy mix; Future climate; Iranian building code; Iranian buildings; Multi-apartment buildings; Real case; Reducing energy consumption; assessment method; building code; climate change; demand-side management; energy efficiency; Energy efficiency"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152619670&doi=10.1016%2fj.esd.2023.04.008&partnerID=40&md5=b34adf8d428d7f120a5b50f14e05f126","Developing countries; Grants; International development investments; Loans; Nationally determined contributions; Renewable energy","Economics; Investments; Development investment; Energy expansion; Financial institution; Grant; International development; International development investment; Loan; Nationally determined contribution; Panel data; Renewable energies; alternative energy; developing world; heterogeneity; investment; lending behavior; panel data; policy making; Developing countries"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153350426&doi=10.1016%2fj.esd.2023.04.009&partnerID=40&md5=b67d100e0fddeda0b8a47a948f0c03de","Brazil; Itaipú; Paraguay; Security of electricity supply; Technological capabilities; Transboundary hydropower","Brazil; Brazil; Itaipu Reservoir; Paraguay; Parana [Brazil]; Hydroelectric power; Hydroelectric power plants; Brazil; Electricity supply; Hydropower plants; Itaipu; Paper analysis; Paraguay; Security of electricity supply; Technological capability; Trans-boundary; Transboundary hydropower; alternative energy; electricity supply; energy market; energy resource; hydroelectric power; hydroelectric power plant; qualitative analysis; transboundary cooperation; Energy security"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156229137&doi=10.1016%2fj.esd.2023.04.015&partnerID=40&md5=aec64480c577f4972c9389a185dbdeac","Biogas; Co-digestion; Dry anaerobic digestion; Fungal pretreatment; OFMSW","Colombia; Anaerobic digestion; Biogas; Meats; Methane; Source separation; Wastes; 'Dry' [; Anaerobic methane; Codigestion; Dry anaerobic digestions; Fungal pre treatments; Methane production; OFMSW; Organic wastes; Pre-treatments; White rot fungi; anaerobic digestion; anoxic conditions; biogas; methane; waste treatment; Substrates"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85154036160&doi=10.1016%2fj.esd.2023.04.012&partnerID=40&md5=44123c1e4d5726cf2ee394144b857b06","Energy saving; Green energy; Phase change material; Thermal energy storage; Thermoelectric generators","Developing countries; Energy conservation; Energy policy; Fossil fuels; Heat storage; Solar energy; Solar power plants; Thermoelectric equipment; Thermoelectric power plants; Clean energy; Energy  savings; Energy-savings; Future prospects; Green energy; In-phase; Material systems; State of the art; Thermal energy storage; Thermoelectric generators; alternative energy; developing world; efficiency measurement; energy efficiency; energy market; energy storage; future prospect; innovation; performance assessment; power generation; solar power; strategic approach; technology adoption; Phase change materials"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159203709&doi=10.1016%2fj.esd.2023.04.013&partnerID=40&md5=a7ac62e7b5a7efec7728a7023f4d7381","Degradation; Desert climate; Economic analysis; Grid-connected; Micromorph thin-film; Performance assessment; Rooftop PV Modules; Simulation tools","Economic analysis; Electric power systems; Landforms; Solar panels; Sustainable development; Desert climates; Economics analysis; Grid-connected; Micromorph; Micromorph thin-film; Performance assessment; PV modules; Rooftop PV module; Simulation tool; Thin-films; alternative energy; carbon emission; degradation; desert; economic analysis; performance assessment; photovoltaic system; power plant; solar power; Thin films"
