"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978917061&doi=10.1561%2f0600000066&partnerID=40&md5=7e9d7b406b93d74ea03667552b1fe029","","Algorithms; Artificial intelligence; Computer vision; Functions; Graphic methods; Optimization; Relaxation processes; Vision; Convex relaxation; Inference algorithm; Inference problem; Objective functions; Optimization principle; State of the art; State-of-the-art methods; Visual perception; Inference engines"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130244443&doi=10.1561%2f0600000100&partnerID=40&md5=986d643249f2673bcbe49ba794048a2a","","Backpropagation; Convolution; Convolutional neural networks; Economic and social effects; Image reconstruction; Image segmentation; Network architecture; Optical resolving power; Probability distributions; Recurrent neural networks; Restoration; Signal to noise ratio; Textures; Data driven; Feature space; Ideal images; Loss functions; Model-based method; Overfitting; Peak signal to noise ratio; Superresolution; Traditional models; Video restoration; Image enhancement"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-39149099465&doi=10.1561%2f0600000013&partnerID=40&md5=3198b797d24f2b4b350d99903a39aed4","","Computer graphics; Computer vision; Medicine; Physiology; Tissue; Cosmetology; Physio-anatomical characteristics; Skin"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859501537&doi=10.1561%2f0600000037&partnerID=40&md5=0e8be3116d9dfc972323f7a450276ff8","","Image quality; Image quality metrics; Objective methods; Perceived quality; Subjective evaluations; Quality control"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896128280&doi=10.1561%2f0600000053&partnerID=40&md5=7d1f1faff77b51ab39ac4b7948152481","","Signal processing; Compactly supported; Continuous-domain; Discretizations; Fundamental operations; Generalized samplings; Graphics paper; Monte-Carlo estimation; Quantitative comparison; Computer graphics"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159181593&doi=10.1561%2f0600000107&partnerID=40&md5=29b79284b8f038bd1309097166815469","","Data compression; Generative adversarial networks; Image coding; Signal distortion; Auto encoders; Compression algorithms; End to end; Generative model; Machine learning methods; Machine-learning; Neural data; Neural-networks; Probabilistic models; Statistical machine learning; Electric distortion"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-47549083305&doi=10.1561%2f0600000017&partnerID=40&md5=b8c7eb4dc39766146d8e6a610ebf2b66","","Detectors; Surveys; Feature detectors; Feature extraction methods; Future research directions; Invariant features; Point detectors; Feature extraction"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113781771&doi=10.1561%2f0600000096&partnerID=40&md5=65351c1ce97c60be00e45461153b18e7","","Forensic science; Multimedia systems; Signal processing; Terrorism; Artificial intelligence techniques; Criminal activities; Detection system; Learning approach; Multimedia contents; Multimedia forensics; Multiple applications; Research communities; Deep learning"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086299625&doi=10.1561%2f0600000084&partnerID=40&md5=50dc6396b401d5b9cafa51357b326b93","","Combinatorial optimization; Graphic methods; Markov processes; Optimization; Combinatorial optimization problems; Combinatorial problem; Energy minimization; Markov Random Fields; Maximum a posteriori; Probabilistic interpretation; Pseudo-Boolean optimization; Valued constraint satisfaction problems; Constraint satisfaction problems"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863572787&doi=10.1561%2f0600000036&partnerID=40&md5=ec75f8735e4c53c8cfee5f4b5c09e245","","Biomechanics; Computer graphics; Computer simulation; Physiology; Surveys; Body movements; Body shapes; Computational model; Data-driven approach; Modeling and simulation; Muscle deformation; Muscle function; Physiological functions; Realistic human motion; Skeletal muscle; Muscle"
