"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087202491&doi=10.1561%2f2200000074&partnerID=40&md5=e88107ded28b61699ee35960e981d327","","Depreciation; Learning systems; Monte Carlo methods; Recurrent neural networks; Stochastic models; Stochastic systems; Normalizing constants; Posterior distributions; Probabilistic graphical models; Probabilistic machines; Probabilistic programs; Sequential Monte Carlo; Stochastic recurrent neural network; Variational inference; Probability distributions"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890920160&doi=10.1561%2f2200000042&partnerID=40&md5=50fe0ea2279fbb4583d38512f7fe2904","","Dynamic programming; Learning algorithms; Least squares approximations; Markov processes; Reinforcement learning; Approximate dynamic programming; Complexity analysis; Decision-making problem; Dynamic programming methods; Empirical evaluations; Markov Decision Processes; Reinforcement learning method; Unified framework; Iterative methods"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983143287&doi=10.1561%2f2200000050&partnerID=40&md5=66d67bdcbc8d56d77afa0a749ac00de7","","Algorithms; Artificial intelligence; Computational complexity; Convex optimization; Learning systems; Mirrors; Random processes; Relaxation processes; Stochastic systems; Structural optimization; Algorithms and complexity; Black-box optimization; Combinatorial problem; Cutting plane methods; Interior-point method; Nesterov's smoothing; Stochastic gradient descent; Stochastic optimizations; Optimization"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77958497920&doi=10.1561%2f2200000002&partnerID=40&md5=0e581deecd66da2f4b7e9fe522b6f028","","Discriminant analysis; Fisher information matrix; Canonical correlation analysis; Correlation dimensions; Data sets; Dimension reduction; Fisher discriminant analysis; Intrinsic dimensions; Kernel PCA; Laplacian eigenmaps; Locally linear embedding; M method; Multi-dimensional scaling; Probabilistic PCA; Projection pursuits; Projective methods; Spectral clustering; Sufficient dimension reduction; Principal component analysis"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114863222&doi=10.1561%2f2200000090&partnerID=40&md5=c5b8df66cd2acef12e246590f18d91a6","","Dimensionality reduction; Newton-Raphson method; Open source software; Program processors; Semi-supervised learning; Vectors; Dimensionality reduction method; Distortion functions; Embedding problems; Euclidean distance; Force-directed layout; Minimum distortions; Multi-dimensional scaling; Quasi-Newton methods; Embeddings"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098223837&doi=10.1561%2f2200000078-1&partnerID=40&md5=df46a4626bcd44a0c654bb73f99009c2","Big data on graphs; Graph neural networks; Graph theory; Graph topology learning; Graphs; Machine learning on graphs; Random data on graphs; Signal processing on graphs; Systems on graphs; Tensors; Vertex-frequency estimation","Data Analytics; Data handling; Degrees of freedom (mechanics); Eigenvalues and eigenfunctions; Estimation; Graph structures; Graphic methods; Image enhancement; Image segmentation; Sensor networks; Signal analysis; Spectrum analysis; Ad-hoc sensor networks; Classical approach; Eigenvalues and eigenvectors; Estimation strategies; Graph representation; Low-dimensional manifolds; Probabilistic inference; Spectral representations; Graph theory"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874080932&doi=10.1561%2f2200000044&partnerID=40&md5=18e8fe609858d41e50ac7152c6b0c35c","","Algorithms; Inference engines; Markov processes; Random variables; Exact algorithms; High quality; Human pose; Machine learning communities; Marginalization; Markov Random Fields; Negative correlation; Nonoverlapping; Point process; Probabilistic models; Quantum physics; Random matrix theory; Real-world application; Search results; Structured model; Learning systems"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863534141&doi=10.1561%2f2200000036&partnerID=40&md5=c3564ce2d65570e64feb3629671fee5e","","Learning systems; Covariance function; Functional methods; Gaussian Processes; Kernel function; Kernel methods; Learning kernels; Multiple outputs; Multitask learning; Regularization theory; Reproducing Kernel Hilbert spaces; Supervised learning problems; Vector-valued function; Learning algorithms"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856463292&doi=10.1561%2f2200000035&partnerID=40&md5=a2df4ea70a8921a9d6bf34a3fcb4e2bc","","Algorithms; Asymptotic analysis; Numerical methods; Application domains; Asymptotic theories; Computational architecture; Computational time; Matrix problem; Model data; Numerical implementation; Randomized Algorithms; Research communities; SIMPLER algorithms; Matrix algebra"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084521025&doi=10.1561%2f2200000056&partnerID=40&md5=df8eaf1bcc0655fd50f9e7c61ebac858","","Computer science; Autoencoders; Inference models; Latent variable models; Learning systems"
