"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649346030&doi=10.1561%2f2000000014&partnerID=40&md5=08d52121852393bac9ca331d65f27f3f","","Algorithms; Forestry; Scalability; Signal encoding; Wavelet transforms; Bit stream; Block coders; Cambridge university; Coding system; Digital signals; Entropy coding; Hierarchical partitioning; Inverse transformations; JPEG 2000; JPEG 2000 standard; Principles and practices; Rate controls; Region of interest; Set partitioning in hierarchical tree; Sub-blocks; Subbands; Tree-based coding; Wavelet coding; Image coding"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350712194&doi=10.1561%2f2000000008&partnerID=40&md5=651fa37aebcf814cfc0465a15b6e088f","","Signal processing; Biased estimation; Cross validation; Estimating parameters; Least Square; Linear Gaussian model; Mean squared error; ML estimators; Performance bounds; Regularization parameters; Statistical estimation; Unbiased estimator; Unknown values; Estimation"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130265127&doi=10.1561%2f2000000111&partnerID=40&md5=9d59be6608340ba353c9490124f2ecc7","","Convolutional neural networks; Cost functions; Machine learning; Bi-level problems; Bilevel; Cost-function; Images reconstruction; Learn+; Learning parameters; Loss functions; Reconstruction problems; Regularizer; Training data; Image reconstruction"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006314644&doi=10.1561%2f2000000078&partnerID=40&md5=76c002f95f6683c0af8aa052ab5a53e3","","Codes (symbols); Computer graphics; Forecasting; Image coding; Multimedia systems; Signal encoding; Visual communication; Analysis of various; Coding efficiency; Digital video coding; Encoder optimization; Motion compensated prediction; Prediction errors; Video coding standard; Visual information; Video signal processing"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006272422&doi=10.1561%2f2000000069&partnerID=40&md5=0961b8291a032086d6c92fbd2d25d682","","Convex optimization; Data acquisition; Signal processing; Signal reconstruction; Statistical methods; Bandwidth requirement; Greedy algorithms; Model informations; Sensing functions; Sensing mechanism; Sensor scheduling; Sparse signal recoveries; Statistical inference; Data reduction"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888179675&doi=10.1561%2f2000000038&partnerID=40&md5=bc6cd18d97401c2a39b58de551008a38","Compressed pattern matching; Image compression; Performance measures; Searching; Text compression","Algorithms; Image compression; Surveys; Compressed datum; Compressed pattern matching; Compression methods; Lossless; Lossy compression methods; Performance measure; Searching; Text compressions; Pattern matching"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-76249085823&doi=10.1561%2f2000000001&partnerID=40&md5=a4fa9fb581e5deb51b6a9c107c6c0585","","Computer architecture; Signal processing; Speech processing; Automatic synthesis; Communication application; Communication research; Digital forms; Great depth; Integrated circuit technology; Speech signals; Technological environment; Speech recognition"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086315489&doi=10.1561%2f2000000107&partnerID=40&md5=35af0876b1ad26a55f5605296e4c448a","","Compressed sensing; Degrees of freedom (mechanics); Energy resources; Multiuser detection; Radio transmission; Signal reconstruction; Communication design; Compressive sensing; Mathematical fields; Reconstruction techniques; Signals and systems; Transmission rates; Wireless application; Wireless communications; Wireless sensor networks"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955056761&doi=10.1561%2f2000000034&partnerID=40&md5=acf6d27c6fc61a199945a9640d34c3da","","Estimation; Hidden Markov models; Object recognition; Optimization; Dirichlet distributions; EM algorithms; Expectation-maximization algorithms; Gaussian mixture models; Optimal mixtures; Practical issues; Superimposed signal; Algorithms"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899576543&doi=10.1561%2f2000000048&partnerID=40&md5=ebf1c43e41fdaba53debf823d3ad4518","","Algorithms; Decision making; Economic analysis; Signal processing; Surveys; Applied mathematics; Degree distributions; Game-theoretic learning; Information diffusion; Mathematical analysis; Problem formulation; Research communities; Statistical inference algorithm; Social networking (online)"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883416282&doi=10.1561%2f2000000043&partnerID=40&md5=91c41489e7039cd1a57f0dacc3d78977","","Biomedical engineering; Continuous time systems; Hidden Markov models; Queueing theory; Reliability theory; Batch Markovian arrival process; Continuous-time; Continuous-time bivariate markov chains; Diffusion process; Finite alphabet; Iterative parameter estimation; Markov modulated Poisson process; Recursive estimation; Estimation"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119874942&doi=10.1561%2f2000000106&partnerID=40&md5=4a4d16fae0c3d138e3a2ec6e7af46fc8","","Binary Hypothesis Testing; Binary state; Operating characteristics; Over-complete; Probability of detection; Probability of false alarm; Quantum measurement; Quantum setting; State discrimination; Thresholds tests; Quantum theory"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955345184&partnerID=40&md5=e66c4681db5a875465fe54d6fa6f3fe0","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903724014&doi=10.1561%2f2000000039&partnerID=40&md5=f0fc1ef7049e0a466dfc6ee147d03a47","","Speech recognition; Text processing; Application area; Deep learning; ITS applications; Multi-modal information; Natural languages; Signal and information processing; Data processing"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871254350&doi=10.1561%2f2000000015&partnerID=40&md5=e9cb4344ac0c596dc8bfb4d885ebd011","","Color matching; Decision theory; Design; Image matching; Image retrieval; Probability; Probability density function; Semantics; Density estimation methods; Feature space; Human users; Image search; Image semantics; Labeling techniques; Levels of abstraction; Low-level features; Minimum probability of error; Optimal solutions; Performance bounds; Query-by example; Retrieval systems; Similarity functions; Text query; Visual attributes; Visual feature; Search engines"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148660956&doi=10.1561%2f2000000115&partnerID=40&md5=6dd226515292728d2cc2ec05333a208d","","Computation theory; Cost engineering; Deep learning; Engineering education; Learning algorithms; Learning systems; Quantum theory; Speech recognition; Communications systems; Engineering systems; Game playing; Images classification; Learning models; Learning tasks; Machine-learning; Meta-applications; Metalearning; Real-world; Quantum computers"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034624704&doi=10.1561%2f2000000093&partnerID=40&md5=651b0b668eecea8b62827e39446a860a","","Channel estimation; Hardware; MIMO systems; Wireless telecommunication systems; Canonical systems; Hardware efficiency; Independent research; Mathematical tools; Rigorous model; Spatial channel correlation; Spectral efficiencies; Wireless communication network; Energy efficiency"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973659156&doi=10.1561%2f2000000050&partnerID=40&md5=de52747dee29a101a5aad18bf10ebc12","","Geometry; Learning algorithms; Linear algebra; Vector spaces; Co-ordinate system; Euclidean spaces; Geometric configurations; Infinite dimensional; Reproducing Kernel Hilbert spaces; Hilbert spaces"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092430040&doi=10.1561%2f2000000098&partnerID=40&md5=5f198ca34370bce9dcf734026360e064","","Acoustic wave propagation; Audio systems; Audition; Dimensionality reduction; Enclosures; Global system for mobile communications; Hearing aids; Mapping; Microphones; Reverberation; Semi-supervised learning; Speech enhancement; Teleconferencing; Acoustic source localization; Complex reflection patterns; Intrinsic dimensionalities; Localization and tracking; Low-dimensional manifolds; Nonlinear dimensionality reduction; Reproducing Kernel Hilbert spaces; Speech enhancement algorithm; Audio signal processing"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650160013&doi=10.1561%2f2000000013&partnerID=40&md5=27ae239db4215972d155c379eee6ef39","","Algorithms; Forestry; Numerical analysis; Signal encoding; Binary representations; Bit stream; Cambridge university; Coding system; Desirable outputs; Digital signals; Embedded zero tree wavelet; Embeddedness; Entropy coding; Hierarchical partitioning; Image coder; JPEG 2000; Low computational complexity; Numerical example; Principles and practices; Random access; Set partitioning; Set partitioning in hierarchical tree; Small files; SPECK (set partitioning embedded block); Subbands; Wavelet coding; Wavelet image coding; Wavelet transform coding; Image coding"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869471500&doi=10.1561%2f2000000035&partnerID=40&md5=5b361f085b17ce23f93dc9598310ec75","","Algorithms; Bayesian networks; Medical imaging; Parameter estimation; Remote sensing; Simulated annealing; Basic procedure; Bayesian estimations; Biomedical imaging; Change detection; Classical optimization; Clique potential; Color image segmentation; Convergence properties; Data-driven algorithm; Efficient implementation; Energy minimization methods; Expectation Maximization; Generic models; Image labeling; Markov Random Fields; Markovian; Maximum a posteriori estimation; Multilayer models; Multiscales; Non-convex energy; Optimal labeling; Parallelizations; Prior information; Probabilistic approaches; Real-life applications; Real-life problems; Image segmentation"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044856186&doi=10.1561%2f2000000096&partnerID=40&md5=a869807e0bcff75e8ccd3af371508dd4","","5G mobile communication systems; Ad hoc networks; Cellular radio systems; Synchronization; Cellular localization; Communication standards; Decentralized networks; Distributed localization; Fundamental limitations; Statistical estimation; Synchronization systems; Time of flight measurements; Indoor positioning systems"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151777007&doi=10.1561%2f2000000112&partnerID=40&md5=453b6129ea097c8661d268a4a36ab3c6","","Batch data processing; Biomedical engineering; Covariance matrix; Data reduction; Electric power utilization; Image denoising; Iterative methods; Principal component analysis; 'current; Component analysis; FastICA; Independent components analysis; Kernel components; Non linear; Principal-component analysis; Simple++; State of the art; Streaming data; Independent component analysis"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889780405&doi=10.1561%2f2000000018&partnerID=40&md5=21e282aba63e09406709ea4f9f6fd7a2","","Beamforming; Entropy; Gaussian noise (electronic); Information theory; Entropy power inequalities; Information measures; Minimum mean square errors; Multi user information theory; Mutual informations; Optimal power allocation; Relative entropy; Universal relationship; Estimation"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858221586&doi=10.1561%2f2000000033&partnerID=40&md5=273544994cda0dd59abb71525237f06f","","Geometrical optics; Compressed sensing; Disparity compensation; Experimental comparison; Motion video; Multi-view image; Multi-views; Multiview video; Object motion; Reconstruction algorithms; Reconstruction complexity; Reconstruction quality; Reduced memory; Still images; Signal reconstruction"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79251555966&doi=10.1561%2f2000000010&partnerID=40&md5=ce4fa422ae797b56602fbf41868e400e","","Algorithms; Digital storage; Electric distortion; Information theory; Visual communication; Digital media; Entropy coding; Integral part; Rate distortion-theory; Source-coding; Source-coding algorithm; Techniques used; Transform coding; Video coding; Image coding"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77649139343&doi=10.1561%2f2000000007&partnerID=40&md5=00c2119b524745529e778e32c1ccffec","","Computer vision; Inference engines; Visual communication; Activity analysis; Computer vision algorithms; Computer vision system; Design of algorithms; Geometric constraint; Incident light; Material property; Motion constraints; Noisy observations; Robust inference; Statistical estimation methods; Structure from motion; Video-based tracking; Vision problems; Visual information; Statistics"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349227947&doi=10.1561%2f2000000004&partnerID=40&md5=f064252ef5d6a42351e07a0e89a1534d","","Continuous speech recognition; Parameter estimation; Basic principles; Broadcast news; Covariance modelling; Feature projection; Hidden markov models (HMMs); Large vocabulary continuous speech recognition; Multi-pass; Noise compensation; Normalisation; Operating environment; Simplifying assumptions; Spectral vector; State-of-the-art performance; System combination; Time varying; Hidden Markov models"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151809205&doi=10.1561%2f2000000122&partnerID=40&md5=ed2a6509029305c32f4a775e5dd197aa","","Heuristic methods; Maximum likelihood estimation; Signal processing; Distributed optimization; Log likelihood; Loss functions; Maximum a posteriori probability estimations (MAP); Non negatives; Signal components; Signal decomposition; Simple++; Time series signals; Vector time; Optimization"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092091654&doi=10.1561%2f2000000108&partnerID=40&md5=9b814d3d4863f1844505793c5befacba","","Estimation; IEEE Standards; Long Term Evolution (LTE); Mechanical clocks; Mobile telecommunication systems; Packet networks; Packet switching; Probability density function; Queueing networks; Sensor networks; Stochastic models; Stochastic systems; Switching networks; Synchronization; Weibull distribution; Cellular base stations; Clock Synchronization; Intermediate switch; Mobile backhaul networks; Network time protocol; Precision time protocols; Probability density function (pdf); Time synchronization; Internet protocols"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866632061&doi=10.1561%2f2000000019&partnerID=40&md5=00d02fff72e6257a7b55d2c3496527b1","","Image coding; Image compression; Motion estimation; Surveys; Compression efficiency; Error concealment; Error resilience; Fast motion estimation; Global motion; Multiple reference frame motion compensation; Multiple references; Multiple-reference frames; Temporal correlations; Time-scales; Useful properties; Video encoder; Video sequences; Motion compensation"
