"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163192613&doi=10.1016%2fj.health.2023.100209&partnerID=40&md5=563a664357b19ecfb3d4fceb0ceb59f1","Bioanalytics; Fractional mathematical modeling; Fractional order system; Mathematical biology; Nonlinear partial differential equations","analytic method; Article; controlled study; coronavirus disease 2019; decomposition; fractional order neural network; human; mathematical model; nonlinear system; population group; Severe acute respiratory syndrome coronavirus 2; susceptible exposed infectious recovered model; virus transmission"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159079068&doi=10.1016%2fj.health.2023.100193&partnerID=40&md5=8e7d59b7a5e1593b6385de87b746ab30","Cost-effectiveness analysis; COVID-19; Higher education; Mathematical modelling; Optimal control; Sensitivity analysis","Article; controlled study; coronavirus disease 2019; cost effectiveness analysis; developing country; educational status; high risk population; human; mathematical computing; mathematical model; predictive value; process model; risk assessment; risk factor; sensitivity analysis; tertiary education"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148447327&doi=10.1016%2fj.health.2022.100130&partnerID=40&md5=708a1051d878ed79915c307a4b0d304e","Classification and regression trees; Data mining; Decision rule; Decision trees; Machine learning; Predictive analytics","adult; aged; algorithm; Article; clinical evaluation; clinical feature; clinical practice; controlled study; data processing; decision making; decision tree; disease classification; female; health care personnel; health care planning; heart disease; human; machine learning; male; middle aged; prediction; social determinants of health; validation study"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149897309&doi=10.1016%2fj.health.2023.100155&partnerID=40&md5=5f49a708c416a6f31fc06618e131e43d","Expected clinical output; Healthcare; Machine learning; Postconditions; Preconditions; Required clinical parameters","article; human; machine learning; software"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151293490&doi=10.1016%2fj.health.2023.100167&partnerID=40&md5=4dce6c97e4b35fd54bbfdb2bdd12630e","Fractional order model; Graphical evaluation; Laplace-Adomian Decomposition Method; Lassa fever; Sensitivity analysis","fractional order neural network; infection control; intermethod comparison; Laplace Adomian decomposition method; Lassa fever; mathematical analysis; mathematical computing; mathematical model; nonlinear system; Review; sensitivity analysis; stochastic model; uncertainty; virus transmission"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166636657&doi=10.1016%2fj.health.2023.100234&partnerID=40&md5=f1939ccc0bee29dec55ea53eddf7c4f6","Blood morphology parameters; Fuzzy intervals; Fuzzy logic in medicine; Fuzzy sets; Health assessment; Health monitoring","adult; article; blood cell count; fuzzy logic; fuzzy system; health status; human; synthesis"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166312269&doi=10.1016%2fj.health.2023.100232&partnerID=40&md5=1f0d7c5fe462e1e073c02bff07ed9e76","Business analytics; Comprehensive review; Decision sciences; Healthcare management; Management science; Multi-criteria decision making","classification; coronavirus disease 2019; data base; decision making; evaluation study; health care; health care quality; human; medical information system; Review; risk management; sensitivity analysis; uncertainty; waste management"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166301260&doi=10.1016%2fj.health.2023.100231&partnerID=40&md5=026bdb43ce23e999a05a71145383892d","Atangana–Baleanu operator; Basic reproduction number; Double dose vaccination; Fixed point theorem; Fractional derivative modeling; Measles infection","measles vaccine; Article; basic reproduction number; Indonesia; infection control; mathematical model; measles; measles vaccination"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161635428&doi=10.1016%2fj.health.2023.100205&partnerID=40&md5=6661c39d00be39c3ecf46477f92d3717","Banach fixed point method; Chikungunya virus; Fractional-order model; Optimal control theory; Pontryagin's maximum principle; Sensitivity analysis","adaptive immunity; analytic method; article; Chikungunya virus; cytotoxic T lymphocyte; human; human cell; immune response; memory; nonhuman; simulation; theoretical study; virus particle; virus transmission"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163071746&doi=10.1016%2fj.health.2023.100207&partnerID=40&md5=3b43786760996440fdcae6df4bdaf56f","Artificial intelligence; Breast cancer classification; Deep convolutional neural networks; Histopathologic images; Transfer learning","Article; artificial intelligence; automation; breast cancer; cancer classification; convolutional neural network; diagnostic accuracy; diagnostic test accuracy study; histopathology; human; image processing; machine learning; transfer learning (machine learning)"
