"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163676200&doi=10.1109%2fMCOM.2023.10155644&partnerID=40&md5=7bffb9fd21b66a9e453f95050d7dc6df","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147269005&doi=10.1109%2fMCOM.005.2200331&partnerID=40&md5=183fb2fd6bc653e2d1d7aa02c44cef34","","Accident prevention; Competition; Electronic data interchange; Global warming; Information management; Metadata; Network architecture; Next generation networks; Production efficiency; Remote control; Telecommunication industry; Conference; Device operations; Digital transformation; Industrial networks; Industrial operations; Intelligent management; Next generation networking; Operation safety; Surveillance; Worker safety; Passive optical networks"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163600075&doi=10.1109%2fMCOM.001.2200358&partnerID=40&md5=4dd8d723de456c346a5a6f16c3aa1f51","","5G mobile communication systems; Economic and social effects; Machine learning; Communication overheads; Communication-aware; Communications networks; Key operations; Learning frameworks; Machine learning models; Machine-learning; Model transfer; Next-generation networks; Smart infrastructures; Next generation networks"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163680426&doi=10.1109%2fMCOM.001.2200535&partnerID=40&md5=cdd37c280950dcb966d3615c08358947","","Automation; Computer crime; Intrusion detection; Learning systems; Network security; Real time systems; Automation process; Digital transformation; Ensemble learning; Internet of things technologies; Intrusion-Detection; ITS architecture; Machine-learning; Network resource; Network-based attacks; Performance; Internet of things"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148432460&doi=10.1109%2fMCOM.003.2200573&partnerID=40&md5=59139048ea518d5213ec8d26a164ec0f","","Computation theory; Distributed computer systems; Internet of things; Job analysis; Military applications; Quantum optics; Semantics; Smart power grids; Stochastic programming; Stochastic systems; Distributed quantum computing; Future networks; Military computing; Optimisations; Quanta computers; Quantum Computing; Quantum network; Smart grid; Task analysis; Teleportation; Quantum computers"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160828306&doi=10.1109%2fMCOM.2023.10129043&partnerID=40&md5=89c591dbfebc809295d58282e523aedd","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166736311&doi=10.1109%2fMCOM.001.2200442&partnerID=40&md5=504253f520e44c08f16b96656b896403","","Computer networks; Business models; Cost-efficient; Efficient communications; Future networks; Networks services; Platform business; Resource sharing model; Telecom networks; Telecommunication services"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166740886&doi=10.1109%2fMCOM.001.2200326&partnerID=40&md5=cd2bfe88da4ced9d597766e25539d362","","5G mobile communication systems; Computer architecture; Architecture designs; Cellular network; Design Principles; Efficiency scalability; High-level design; Large-scale network; Logical functions; Network deployment; Networks services; System efficiency; Network architecture"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149369157&doi=10.1109%2fMCOM.008.2200512&partnerID=40&md5=068ed2429dbe01597c8db116c36d87b4","","Cost effectiveness; Cost engineering; Disasters; Submarines; Volcanoes; Cable paths; Cost effective; Economic consequences; Risk factors; Social consequences; Submarine communications; Submarine-cables; Underwater cables; Volcano eruptions; Volcano risks; Motion planning"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166763921&doi=10.1109%2fMCOM.2023.10192296&partnerID=40&md5=c4fc9a6ddd2c84f16b429a6751e89300","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144782653&doi=10.1109%2fMCOM.001.2200130&partnerID=40&md5=122b641372c45956e22139f771ddc2b7","","5G mobile communication systems; Antennas; Digital devices; Digital radio; Global system for mobile communications; Obsolescence; Radio broadcasting; Railroad transportation; Railroads; Rails; Software radio; 3GPP; 5g mobile communication; Communications systems; Europe; Global system for mobile communication - railway; Mobile communications; Mobile communications systems; Quality-of-service; Rail transportation; Satellite communications; Quality of service"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149382811&doi=10.1109%2fMCOM.006.2200480&partnerID=40&md5=059c15202306244cb08aa44d3c4017b7","","Large dataset; Machine learning; Future wireless systems; Hardware; Hardware resources; Integrated sensing; Interference cancellation; Machine-learning; Optimisations; Performance Gain; Wireless communications; Wireless resources; Wireless sensor networks"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149413115&doi=10.1109%2fMCOM.011.2200527&partnerID=40&md5=b2861d3fbc5d724daef8a35e8c8cbc31","","5G mobile communication systems; Antennas; Commercial deployment; Coverage problem; Distributed antennas systems; Hardware; High frequency bands; Indoor coverage; Indoor solutions; Relay; Smart phones; Wireless fidelities; Smartphones"
