"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148473854&doi=10.1109%2fJSAC.2023.3240781&partnerID=40&md5=9ea869f378febe9a64daf8f272ad5b5c","channel estimation; channel feedback; model-driven deep learning; multiple-input multiple-output (MIMO); orthogonal frequency division multiplexing (OFDM); precoding; Rate-splitting multiple access (RSMA); reconfigurable intelligent surface (RIS); Tera-Hertz; transformer","Antenna arrays; Channel estimation; Codes (symbols); Deep learning; Feedback control; Frequency estimation; Mean square error; MIMO systems; Orthogonal frequency division multiplexing; Spectrum efficiency; Telecommunication repeaters; Channel feedbacks; Computational modelling; Model-driven; Model-driven deep learning; Multiple access; Multiple inputs; Multiple outputs; Multiple-input multiple-output; Orthogonal frequency division multiplexing; Orthogonal frequency-division multiplexing; Precoding; Radiofrequencies; Rate splitting; Rate-splitting multiple access; Reconfigurable; Reconfigurable intelligent surface; Robustness; Tera Hertz; Transformer; Channel state information"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161765253&doi=10.1109%2fJSAC.2023.3288239&partnerID=40&md5=3ccc300ca1dde7286878d0f062244ee3","Error probability; false-positive identification; goal-oriented communication; identity verification; performance metrics; probabilistic performance","Block codes; Concatenated codes; Signal encoding; Code; Encodings; Error probabilities; False-positive identifications; Goal-oriented communication; Identity verification; Performance metrices; Probabilistic performance; Reed -Solomon code; Robot kinematics; Tagging; Upper Bound; Reed-Solomon codes"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162889835&doi=10.1109%2fJSAC.2023.3288238&partnerID=40&md5=5d3f24214f1577cf56c2eee709dfa29c","image transmission; Information bottleneck; joint source and channel coding","Adaptive algorithms; Channel coding; Economic and social effects; Image coding; Image communication systems; Image enhancement; Imaging systems; Adaptive information; Decoding; Image communication; Images reconstruction; Information bottleneck; Joint source and channel coding; Mutual informations; Noise measurements; Reconstruction quality; Transmission rates; Image reconstruction"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162681818&doi=10.1109%2fJSAC.2023.3280976&partnerID=40&md5=eefc35abbae320c7afa0121d1c54f8dd","Cell-free massive MIMO; pilot reuse; power control; the undirected graph; URLLC","Channel estimation; Communication channels (information theory); Computational complexity; Mathematical programming; Mathematical transformations; MIMO systems; Power control; Cell-free; Cell-free massive multi-input multi-output; Low-latency communication; Multi-input multi-output; Partial transmit sequence; Payload; Pilot reuse; Power-control; Resource management; Reuse; Simulation; The undirected graph; Ultra reliable low latency communication; Ultra-reliable and low latency communication; Resource allocation"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162927767&doi=10.1109%2fJSAC.2023.3287613&partnerID=40&md5=49892368a02c220940cd450a4e9e1d34","Access point mode assignment; cell-free massive multiple-input multiple-output; energy efficiency; full-duplex; half-duplex; large-scale fading decoding weight; network-assisted full-duplex; power control; spectral efficiency","Approximation algorithms; Codes (symbols); Energy efficiency; Fading channels; Feedback control; Finite difference method; Heuristic methods; Integer programming; MIMO systems; Power control; Quality control; Radio transceivers; Spectrum efficiency; Telecommunication repeaters; Access point mode assignment; Access points; Cell-free; Cell-free massive multiple-input multiple-output; Duplex systems; Fadings channels; Full-duplex; Full-duplex system; Half-duplex; Large-scale fading decoding weight; Large-scales; Mode-assignment; Multiple inputs; Multiple outputs; Network-assisted full-duplex; Optimisations; Power-control; Quality-of-service; Spectral efficiencies; Transmitting antenna; Quality of service"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148467845&doi=10.1109%2fJSAC.2023.3242718&partnerID=40&md5=8b5c4ee43bbc954d6dc48bf72e88566c","6G; interference management; multi-user MIMO; next generation multiple access; non orthogonal multiple access; Rate-splitting; rate-splitting multiple access; space division multiple access","5G mobile communication systems; Base stations; Channel state information; Electric loads; Millimeter waves; MIMO systems; Multicasting; Multiple access interference; Network layers; Next generation networks; Quality of service; Terahertz waves; 5g mobile communication; 6g; Downlink; Interference; Interference cancellation; Interference management; Mobile communications; Multi-user MIMO; Multiaccess communication; Multiple access; Next generation multiple access; Next generation networking; Non orthogonal multiple access; Non-orthogonal; Non-orthogonal multiple access; Rate splitting; Rate-splitting multiple access; Space-division multiple-access; Space division multiple access"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159819924&doi=10.1109%2fJSAC.2023.3275622&partnerID=40&md5=44c2368ff3c276afeb0cfedd538ac889","6G and beyond; IoT; massive machine-type communication; mMTC; time-frequency warping; waveform","Discrete Fourier transforms; Frequency domain analysis; Internet of things; Orthogonal frequency division multiplexing; Spectrum efficiency; 6g and beyond; Frequency Warping; Machinetype communication (MTC); Massive machine-type communication; Spectral efficiencies; Symbol; Tail; Time frequency; Time-domain analysis; Time-frequency Analysis; Time-frequency warping; Waveforms; Time domain analysis"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148464731&doi=10.1109%2fJSAC.2023.3240710&partnerID=40&md5=f6080f092195c62b3596fed8dd9c6684","deep reinforcement learning; imitation learning; intelligent reflecting surface; Rate-splitting; virtual reality","Array processing; Base stations; Learning algorithms; Quality of service; Reinforcement learning; Video streaming; Virtual reality; Array signal processing; Bit rates; Deep reinforcement learning; Imitation learning; Intelligent reflecting surface; Quality-of-service; Rate splitting; Reflecting surface; Reinforcement learnings; Streaming medium; Wireless communications; Signal to noise ratio"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159815728&doi=10.1109%2fJSAC.2023.3273699&partnerID=40&md5=497d17f5ae3f080d7192a0d906f21671","Internet of Things; low earth orbit satellite; massive multiple-input multiple-output; random access","Codes (symbols); Communication satellites; Feedback control; Internet of things; Message passing; MIMO systems; Orbits; Satellite communication systems; Satellite links; Signal analysis; Telecommunication repeaters; Data-detection; Delay; Low earth orbit satellites; Massive multiple-input multiple-output; Multiple inputs; Multiple outputs; Random access; Satellite constellations; Signal processing algorithms; Channel estimation"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162908200&doi=10.1109%2fJSAC.2023.3287615&partnerID=40&md5=9a03f017f4fe8e241fb06cf865f3b876","eavesdropping; in-band full-duplex radio; jamming; Physical-layer security; self-interference","Laptop computers; Network layers; Radio transceivers; Security systems; Wi-Fi; Wireless local area networks (WLAN); Duplex systems; Eavesdropping; Filtering theory; Full-duplex; Full-duplex radios; Full-duplex system; In-band; In-band full-duplex radio; Interference cancellation; Jamming; Physical layer security; Portable computers; Security; Self-interferences; Bandpass filters"
