"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139502351&doi=10.1109%2fTCYB.2022.3205765&partnerID=40&md5=302b0faaae9f66aafaa7c0ed22d2ce11","Adaptive neural network (NN) control; deferred output constraint; injection and deception attacks; self-triggered mechanism; stochastic nonlinear systems","Adaptive control systems; Backstepping; Closed loop systems; Controllers; Fault tolerance; Lyapunov functions; Neural networks; Stochastic control systems; Adaptive neural network  control; Adaptive neural networks; Convergence; Deferred output constraint; Fault- tolerant systems; Fixed time; Injection and deception attack; Neural network control; Self-triggered mechanism; Stochastic nonlinear systems; article; control strategy; deception; feasibility study; human; nonlinear system; probability; simulation; stochastic model; Stochastic systems"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141615780&doi=10.1109%2fTCYB.2022.3215619&partnerID=40&md5=ef30108dd8ceca6b8c37ae3c31c60335","Consensus; hybrid multiagent systems (MASs); multiplayer games; Nash equilibrium","Computation theory; Continuous time systems; Cost functions; Game theory; Graph theory; Online systems; Social networking (online); Consensus; Cost-function; First order; Game; Hybrid multiagent system; Multiplayer games; Nash equilibria; Second orders; Social networking (online); Multi agent systems"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134249364&doi=10.1109%2fTCYB.2022.3181054&partnerID=40&md5=bc6aaa0572007db2f7c712b3c895b8d4","Behavior tree (BT); contour detection; deep learning; intelligent perception; one-shot learning; vision measurement","Behavioral research; Decision trees; Deep neural networks; Feature extraction; Forestry; Geometry; Image segmentation; Infrared devices; Intelligent systems; Job analysis; Knowledge management; Pixels; Behavior tree; Behavioral science; Behaviour Trees; Contour detection; Deep learning; Features extraction; Images segmentations; Intelligent perception; One-shot learning; Prototype; Shape; Task analysis; Vision measurement; Agnostic; article; attention; awareness; calculation; convolutional neural network; human; human experiment; learning; vision; Data mining"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125741921&doi=10.1109%2fTCYB.2022.3151793&partnerID=40&md5=7f735b53a9961a6e3d94173694fe261a","Constrained many-objective optimization; environmental selection; evolutionary algorithm (EA); mating selection; ranking","Constrained optimization; Evolutionary algorithms; Linear programming; Machine-to-machine communication; Routing algorithms; Vehicle routing; Constrained many-objective optimization; Convergence; Environmental selection; Evolutionary algorithm; Linear-programming; Many-objective optimizations; Mating selection; Matings; Optimisations; Ranking; article; crowding (area); evolutionary algorithm; feasibility study; mating; Automation"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168235961&doi=10.1109%2fTCYB.2022.3159343&partnerID=40&md5=2810c5ac4c233a5c40482e6f1883bbe7","Coupled nonlinear systems; distributed model predictive control (DMPC); parallel triggered","Constraint satisfaction problems; Model predictive control; Nonlinear systems; Predictive control systems; Condition; Control input constraints; Coupled nonlinear systems; Distributed Model predictive Control; Distributed MPC; Event-triggered; Parallel triggered; Predictive control strategy; State/input constraints; Lyapunov functions"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136849747&doi=10.1109%2fTCYB.2022.3195361&partnerID=40&md5=15539785c9dd9a512594d3d953b488c5","Aggregative games; external disturbances; linear systems; Nash equilibrium (NE) seeking","Computation theory; Cost functions; Disturbance rejection; Game theory; Perturbation techniques; Aggregative game; Distributed strategies; External disturbances; Internal models; Nash equilibria; Nash equilibrium  seeking; Passivity theory; Perfect informations; Rule based; Strategy updating; algorithm; article; linear system; Nash equilibrium; simulation; theoretical study; Linear systems"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132524463&doi=10.1109%2fTCYB.2022.3170942&partnerID=40&md5=c31bb98e293a75256bc3b29ecdb9f9f7","Adaptive observer design; fault estimation (FE); fuzzy-logic systems (FLSs); output quantization","Digital communication systems; Fuzzy logic; Iron; Nonlinear systems; Adaptive observer design; Digital communications; Fault estimation; Fuzzy logic system; Fuzzy-logic system; Observer; Output quantization; Quantisation; Quantization (signal); article; human; nonlinear system; quantization; simulation; validity; Quantization (signal)"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140735192&doi=10.1109%2fTCYB.2022.3209175&partnerID=40&md5=4c9bfb5090dff64aae9937e99ff41e3f","Adversarial attack; deep learning; healthcare security; medical image analysis","Deep Learning; Neural Networks, Computer; Classification (of information); Generative adversarial networks; Image analysis; Medical imaging; Adversarial attack; Black boxes; Deep learning; Feature space; Health informations; Healthcare security; Information economy; Medical image analysis; Performance; White box; artificial neural network; deep learning; Deep neural networks"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132734561&doi=10.1109%2fTCYB.2022.3178132&partnerID=40&md5=bdb5442fcb4e89dfd5187732b8726692","Constrained multiobjective optimization; multiform optimization (MFO); transfer optimization","Antenna arrays; Constrained optimization; Constraint handling; Evolutionary algorithms; Job analysis; Knowledge management; Multiobjective optimization; Pareto principle; Statistics; Constrained multiobjective optimization; Convergence; Multiform optimization; Optimisations; Pareto-optimization; Search problem; Task analysis; Transfer optimization; Benchmarking"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127751759&doi=10.1109%2fTCYB.2022.3158898&partnerID=40&md5=92efa15804a37484f577db51caa8419c","Adaptive dynamic programming (ADP); impulsive stochastic systems; optimal control; policy iteration; transition matrix","Adaptive control systems; Approximation algorithms; Dynamic programming; Heuristic algorithms; Iterative methods; Markov processes; Probability distributions; Stochastic control systems; Adaptive dynamic programming; Aerospace electronics; Dynamic programming algorithm; Heuristics algorithm; Impulsive stochastic systems; Optimal controls; Policy iteration; Probability: distributions; Transition matrices; Stochastic systems"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161734357&doi=10.1109%2fTCYB.2022.3159370&partnerID=40&md5=4f7540d4cb94f077ed2599cfd7755bb6","asynchronous dynamic eventtriggered scheme; cyber.physical systems (CPSs); H<sub>∞</sub>control; two time scale","Controllers; Dynamics; Embedded systems; Nuclear reactors; Time measurement; Asynchronoi dynamic eventtriggered scheme; Asynchronous dynamics; Cybe-physical systems; Cybe.; Cyber-physical systems; Event-triggered; H ∞ control; Physical system (CPS); Physical systems; Two time scale; Cyber Physical System"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137584949&doi=10.1109%2fTCYB.2022.3185554&partnerID=40&md5=eae2b58c64b5f7dbfa25eb5c60abaf62","Binary ant colony optimization (ACO); classification; information theory; multiobjective feature selection (FS); wrapper","Benchmarking; Classification (of information); Evolutionary algorithms; Feature Selection; Information theory; Multiobjective optimization; Binary ant colony optimization; Binary ant colony optimizations; Correlation; Features extraction; Features selection; Multi objective; Multiobjective feature selection; Optimisations; Search problem; Tuning; Wrapper; Ant colony optimization"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125731032&doi=10.1109%2fTCYB.2022.3150171&partnerID=40&md5=edc07aaa9f5213fbbb08fbf35541083e","Mobile actuators and sensors; robust H<sub>∞</sub>feedback compensator; semilinear parabolic distributed parameter systems (DPSs); well-posedness","Control theory; Distributed parameter control systems; Feedback; Numerical methods; Actuators and sensors; Aerospace electronics; Control design; Distributed parameter systems; Feedback compensators; Mobile actuator and sensor; Parabolics; Robust H; Robust H&#x221e;; Semilinear; Semilinear parabolic distributed parameter system; Wellposedness; Actuators"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139514616&doi=10.1109%2fTCYB.2022.3204806&partnerID=40&md5=289470e8234f737d0701fe0e9e18f4df","Fixed-time stable; fuzzy consensus control; nonlinear multiagent systems (MASs); state observer","Adaptive control systems; Design; Feedback; Fuzzy logic; Lyapunov functions; Lyapunov methods; Multi agent systems; State estimation; Consensus control; Control design; Convergence; Fixed time; Fixed-time stable; Fuzzy consensus control; Lyapunov's methods; Nonlinear multi-agent systems; Nonlinear multiagent system; Observer; Output-feedback; Stability analyze; States observer; Backstepping"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135744008&doi=10.1109%2fTCYB.2022.3185117&partnerID=40&md5=32ee5d2ea2a6eb26f3bc616e38d9e5be","Alternating least squares (ALSs); computational intelligence; data science; dynamic latent factor analysis (LFA); dynamics; intelligent computing; Kalman filter; temporal pattern; Web service","Artificial intelligence; Data structures; Factor analysis; Heuristic algorithms; Information management; Iterative methods; Kalman filters; Multivariant analysis; Quality control; Quality of service; Web services; Alternating least square; Alternating least squares; Computational modelling; Dynamic latent factor analyse; Heuristics algorithm; Latent factor analysis; Quality-of-service; Temporal pattern; Webs services; Websites"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128609696&doi=10.1109%2fTCYB.2022.3163608&partnerID=40&md5=78f05f4187c980652379e4f040183442","Algebraic state-space representation (ASSR) approach; Boolean network (BN); function perturbation; large-scale network; network aggregation; total-activity conservation","Boolean functions; Mass transportation; Matrix algebra; Neural networks; Perturbation techniques; State space methods; Algebraic state-space representation  approach; Boolean network; Boolean Networks; Function perturbation; Large-scale network; Network aggregation; Neural-networks; Perturbation method; Stability criterions; State space representation; Total-activity conservation.; article; Stability criteria"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144026739&doi=10.1109%2fTCYB.2022.3222351&partnerID=40&md5=91925fa68c5b8615219b5bcb876d42a3","Adaptive neural network (NN); deadzone; nonsmooth nonlinear systems; output feedback; saturation","Adaptive control systems; Approximation theory; Backstepping; Closed loop systems; Dead zones; Feedback; Lyapunov functions; Adaptive neural network; Adaptive neural networks; Dead zones; Input deadzone; Input saturation; Neural network control; Nonsmooth nonlinear system; Output-feedback; Practical process; Saturation; Stability criteria"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130444395&doi=10.1109%2fTCYB.2022.3165007&partnerID=40&md5=31fe65ee2b8a04f24c6b873ba746d4ed","Communication delays (CDs); external disturbances; Lipschitz nonlinear dynamics; time-varying formation (TVF); tracking oriented; unmanned aerial vehicle swarm system (UAVSS)","Aircraft control; Aircraft detection; Antennas; Asymptotic stability; Closed loop control systems; Dynamical systems; Eigenvalues and eigenfunctions; Feedback control; Nonlinear dynamical systems; Robust control; State feedback; Time varying control systems; Topology; Traffic congestion; Trajectories; Unmanned aerial vehicles (UAV); Vehicle to vehicle communications; Aerial vehicle; Communication delay; Communication delays; Delay; Eigenvalue and eigenfunctions; External disturbances; Lipschitz; Lipschitz nonlinear dynamic; Swarm systems; Time-varying formation; Time-varying formations; Tracking oriented; Trajectory-tracking; Unmanned aerial vehicle swarm system; Vehicle's dynamics; article; control system; decomposition; feedback system; neighborhood; nonlinear system; simulation; unmanned aerial vehicle; Dynamics"
