"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132172471&doi=10.1109%2fTEVC.2022.3175065&partnerID=40&md5=e02e261e772d6d762ac8d9bab01959d5","Auxiliary task; constrained multiobjective optimization; evolutionary multitasking (EMT); improved Ïμ method; knowledge transfer","Benchmarking; Constrained optimization; Job analysis; Knowledge management; Multiobjective optimization; Statistics; Auxiliary task; Constrained multi-objective optimizations; Convergence; Epsilon method; Evolutionary multitasking; Improved epsilon method; Knowledge transfer; Knowledge transfer.; Optimisations; Search problem; Task analysis; Multitasking"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166751300&doi=10.1109%2fTEVC.2023.3300181&partnerID=40&md5=5a48db3a92c24c4d7b27e3d4436334f7","data selection; Expensive constrained multi-objective optimization; Iron; Linear programming; multiple search modes; Optimization; Predictive models; Sociology; Statistics; surrogate model; Switches","Benchmarking; Constrained optimization; Constraint satisfaction problems; Data reduction; Digital storage; Evolutionary algorithms; Interpolation; Linear programming; Multiobjective optimization; Constrained multi-objective optimizations; Constraint Satisfaction; Data Selection; Expensive constrained multi-objective optimization; Linear-programming; Multiple search modes; Objective optimization; Optimisations; Predictive models; Surrogate modeling; Iron"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135760682&doi=10.1109%2fTEVC.2022.3194253&partnerID=40&md5=6e0d44bbab27347238d2f5d924285eff","Benchmark functions; constraints; evolutionary algorithms; multimodal; multiobjective; speciation","Constrained optimization; Function evaluation; Multiobjective optimization; Optimal systems; Pareto principle; Benchmark functions; Constraint; Convergence; Multi objective; Multi-modal; Optimisations; Pareto optimal solutions; Pareto-optimization; Speciation; Test-functions; Evolutionary algorithms"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117132631&doi=10.1109%2fTEVC.2021.3118593&partnerID=40&md5=d65dbfff244eb184af5bec9a97e518ad","Decision variable; evolutionary algorithms; fuzzy evolution; large-scale optimization; multiobjective optimization","Computational efficiency; Decision making; Fuzzy sets; Multiobjective optimization; Pareto principle; Convergence; Decision variable.; Decision variables; Fuzzy evolution; Large-scale optimization; Large-scales; Multi-objectives optimization; Optimisations; Pareto-optimization; Search problem; Evolutionary algorithms"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134258596&doi=10.1109%2fTEVC.2022.3189500&partnerID=40&md5=190050bd1efdd57f0702b8c7a17c3a88","Air quality forecasting; co-evolution; deep neural networks (DNNs); neural architecture search (NAS)","Air quality; Biological systems; Carbon monoxide; Computer architecture; Forecasting; MIMO systems; Network architecture; Nitrogen oxides; Ozone; Air quality forecasting; Atmospheric modeling; Biological system modeling; Co-evolution; Co-evolutionary; Europe; Neural architecture search; Neural architectures; Optimizers; Predictive models; Deep neural networks"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137914859&doi=10.1109%2fTEVC.2022.3203862&partnerID=40&md5=9f7644493fc85b7f57ee86d399c816c1","Class overlap; genetic programming (GP); high dimensionality; rough sets; unbalanced classification","Clustering algorithms; Cost benefit analysis; Data mining; Genetic algorithms; Genetic programming; Job analysis; Rough set theory; Support vector machines; Class overlap; Cost-sensitive; High dimensionality; Overlapping area; Rough set; Sampling method; Support vectors machine; Task analysis; Unbalanced classification; Classification (of information)"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105888335&doi=10.1109%2fTEVC.2021.3078478&partnerID=40&md5=33e844c3f1fdd68cb7ac7dd2caab12ed","Denoising; evolutionary algorithm; hyperspectral imagery; low-rank and sparse; multiobjective optimization; spatial-spectral total variation (SSTV)","Data acquisition; Data reduction; Gaussian noise (electronic); Hyperspectral imaging; Image denoising; Image reconstruction; Matrix algebra; Multiobjective optimization; Noise abatement; Parameterization; Relaxation processes; Spectroscopy; De-noising; Hyper-spectral imageries; Low-rank and sparse; Multi-objectives optimization; Noise measurements; Optimisations; Sparse matrices; Spatial-spectral total variation.; Task analysis; Total-variation; Evolutionary algorithms"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129435780&doi=10.1109%2fTEVC.2022.3171052&partnerID=40&md5=db214dc562e81a6ceecfd81b72762ab2","Backpropagation (BP) algorithm; deep neural networks (DNNs); large-scale optimization; metaheuristic algorithms; sequential motion optimization (SMO); stochastic gradient descent (SGD); surrogate gradient","Approximation algorithms; Benchmarking; Deep neural networks; Gradient methods; Heuristic methods; Multilayer neural networks; Random processes; Stochastic systems; Back-propagation algorithm; Computational modelling; Large-scale optimization; Meta-heuristics algorithms; Metaheuristic; Motion optimization; Neural-networks; Optimisations; Sequential motion optimization; Stochastic gradient descent; Surrogate gradient.; Optimization"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131763590&doi=10.1109%2fTEVC.2022.3178968&partnerID=40&md5=d2441e12d91e371fb18928a5b1bdad58","Constrained optimization problem (COP); constraint-handling techniques; differential evolution (DE) algorithms; hybrid island model (IM); stigmergy IM (Stgm-IM)","Constrained optimization; Constraint handling; Linear programming; Problem solving; Topology; Computational modelling; Constrained optimi-zation problems; Constraint-handling techniques; Differential evolution algorithms; Hybrid island model; Island model; Linear-programming; Optimisations; Search problem; Stigmergy; Stigmergy island model.; Evolutionary algorithms"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139475324&doi=10.1109%2fTEVC.2022.3210654&partnerID=40&md5=6348d8297b25491c9c2506a852da4545","Auto-tuning; evolutionary computing; fitness landscape analysis; graphical processing unit (GPU) computing; performance optimization","Benchmarking; Budget control; Computer graphics; Computer graphics equipment; Evolutionary algorithms; Optimization; Program processors; Autotuning; Benchmark testing; Code; Evolutionary computing; Fitness landscape analysis; Graphical processing unit computing; Graphical processing units; Kernel; Optimisations; Performance optimizations; Search problem; Graphics processing unit"
