"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139400602&doi=10.1109%2fTSUSC.2022.3209086&partnerID=40&md5=0998da450dd3385448d0c35909ca3c8a","accuracy; energy; Human activity recognition; Internet of Things; mobile devices; optimization","Data structures; Electric batteries; Energy utilization; Internet of things; mHealth; Mobile telecommunication systems; Pattern recognition; Power management; Telephone sets; Accuracy; Cloud-computing; Energy; Energy aware; Features extraction; Human activity recognition; Mobile handsets; Optimisations; Prediction algorithms; Predictive models; Optimization"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130780672&doi=10.1109%2fTSUSC.2022.3177688&partnerID=40&md5=44307d956d18a6190420b0d40f63fbbb","Background subtraction; cloud computing; computer vision; data analysis; motion estimation; video surveillance","Computer vision; Data reduction; Data structures; Digital storage; Image reconstruction; Monitoring; Motion estimation; Quality control; Security systems; Video recording; Video signal processing; Background subtraction; Cloud-based; Cloud-computing; Computational modelling; Frame selection; Quality of videos; Signal processing algorithms; Video surveillance; Cloud computing"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151375309&doi=10.1109%2fTSUSC.2023.3257223&partnerID=40&md5=ed4ff2abf9579c960a5c40739f6ab69b","Authorization; Cloud computing; eHealthcare systems; Encryption; forward privacy; Logic gates; Medical services; multiuser setting; Privacy; searchable encryption; Servers","Authorization; Efficiency; Internet of things; Medical computing; Patient treatment; Privacy-preserving techniques; Cloud-computing; E-healthcare; Ehealthcare system; Forward privacy; Medical record; Medical services; Multiuser setting; Multiusers; Privacy; Searchable encryptions; Cloud computing"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140734375&doi=10.1109%2fTSUSC.2022.3216461&partnerID=40&md5=b1baf9fedcabd2d514bc1dfd8c293930","cloud computing; Computation offloading; genetic algorithm; MEC; particle swarm optimization","Base stations; Computational efficiency; Energy efficiency; Energy utilization; Genetic algorithms; Green computing; Integer programming; Job analysis; Mobile cloud computing; Mobile edge computing; Nonlinear programming; Particle swarm optimization (PSO); Cloud-computing; Computation offloading; Energy-consumption; Particle swarm; Particle swarm optimization; Swarm optimization; Task analysis; Vehicle's dynamics; Wireless communications; computation offloading"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168743548&doi=10.1109%2fTSUSC.2023.3307790&partnerID=40&md5=d6fe816f7652c6930d8b5f19038c2501","Batteries; carbon-neutral computing; Costs; Data centers; energy storage; Green products; optimal sizing; Production; Renewable energy sources; renewable resources; Sustainable data centers; Task analysis",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149400322&doi=10.1109%2fTSUSC.2023.3251302&partnerID=40&md5=ca2b4cbc7b16d032945c269c92e1f022","Atmospheric modeling; Buildings; Computational modeling; Data models; human-in-the-loop control; HVAC; HVAC systems; meta-learning; model-based offline reinforcement learning; Optimization; Prediction algorithms","Controllers; HVAC; Learning algorithms; Online systems; Thermal comfort; Atmospheric modeling; Computational modelling; Conditioning systems; Heating ventilation and air conditioning; Heating, ventilation, and air conditioning system; Human-in-the-loop control; Metalearning; Model-based offline reinforcement learning; Model-based OPC; Offline; Optimisations; Prediction algorithms; Reinforcement learnings; Reinforcement learning"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127479864&doi=10.1109%2fTSUSC.2022.3164084&partnerID=40&md5=6c5135503bd959d12cac30ac5a1eba1b","Batch reinforcement learning; model-based offline performance evaluation; safe building HVAC control","Buildings; Climate control; Gaussian noise (electronic); Learning algorithms; Reinforcement learning; Batch reinforcement learning; HVAC control; Load modeling; Model-based offline performance evaluation; Model-based OPC; Off-line performance; Performances evaluation; Reinforcement learnings; Safe building HVAC control; Safer buildings; Controllers"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144812686&doi=10.1109%2fTSUSC.2022.3227749&partnerID=40&md5=43c918b10c7324b2a2e8b1c6ec6337ab","contribution; energy donation; energy sharing; evolutionary optimization; priority; service restoration; Smart grid","Evolutionary algorithms; Outages; Restoration; Smart power grids; System stability; Contribution; Energy; Energy donation; Energy sharings; Evolutionary optimizations; Index; Microgrid; Optimisations; Power systems stability; Priority; Resource management; Service restoration; Smart grid; Optimization"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141575835&doi=10.1109%2fTSUSC.2022.3221090&partnerID=40&md5=e82bb66757d283f1f97f257444627b74","Dynamic state estimation; event-triggering scheme; regularized particle filter; synchronous generators; wide-area measurement system (WAMS)","Data acquisition; Genetic algorithms; Monte Carlo methods; Parameter estimation; Phase measurement; Real time systems; State estimation; Synchronous generators; Dynamic state estimation; Event-triggering schemes; Generator; Operation parameters; Particle filter; Particle measurement; Power system dynamics; Regularized particle filter; Wide-area measurement system; Phasor measurement units"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162645455&doi=10.1109%2fTSUSC.2023.3284827&partnerID=40&md5=c3b3e86091db391270257a79c968aca2","Carbon; Carbon capture power plants; Carbon dioxide; carbon neutrality; deep learning; Dispatching; Power generation; Power systems; Security; security constrained economic dispatch; Wind power generation","Carbon capture; Constrained optimization; Cost reduction; Deep neural networks; Electric load dispatching; Power generation; Smart power grids; Wind power; Carbon capture power plant; Carbon neutralities; Deep learning; Dispatching; Power; Power system; Power- generations; Security; Security-constrained economic dispatch; Wind power generation; Carbon dioxide"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127534954&doi=10.1109%2fTSUSC.2022.3163229&partnerID=40&md5=756f31c4092dbe6fb9be996377f70c2b","Deep learning; harmful algal blooms; water quality","Algae control; Bioinformatics; Biological systems; Classification (of information); Deep learning; Forecasting; Genetic algorithms; Lakes; Learning algorithms; Learning systems; Monitoring; Biological system modeling; Climate data; Forecasting system; Genetic learning; Harmful algal blooms; Lake water quality; Machine-learning; Monitoring system; Predictive models; State of the art; Water quality"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148461225&doi=10.1109%2fTSUSC.2023.3240457&partnerID=40&md5=ec0813840329c0012cf7a5d0ad20fde1","Computational modeling; D2D; Dependency Task Offloading; Energy consumption; Energy Consumption; Mobile Edge Computing; Mobile handsets; Network Latency; Optimization; Real-time systems; Resource management; Task analysis","5G mobile communication systems; Computation offloading; Interactive computer systems; Internet of things; Job analysis; Mobile edge computing; Real time systems; Computational modelling; D2D; Dependency task offloading; Energy-consumption; Mobile handsets; Network latencies; Optimisations; Real - Time system; Resource management; Task analysis; Task offloading; Energy utilization"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134245675&doi=10.1109%2fTSUSC.2022.3190242&partnerID=40&md5=f9954d4c97b61c517fe738abda6a251b","Cryogenics; data center integration; energy efficiency; quantum computing; sustainability","Computer architecture; Cooling; Cooling systems; Cryogenics; Green computing; Parameter estimation; Quantum computers; Quantum optics; Data center integration; Datacenter; Energy use; Heating system; Quanta computers; Quantum Computing; Quantum data; Total energy; Energy efficiency"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127743727&doi=10.1109%2fTSUSC.2022.3165016&partnerID=40&md5=54379b7aaf4a9f6819d866edd7c8caea","collaborative rendering; IoT visualization; resource allocation; situation-aware orchestration; task scheduling","Computational complexity; Computer graphics equipment; Data reduction; Data visualization; Energy utilization; Genetic algorithms; Internet of things; Job analysis; Multitasking; Program processors; Reliability analysis; Rendering (computer graphics); Resource allocation; Scheduling; Scheduling algorithms; Stochastic systems; Three dimensional computer graphics; Visualization; Collaboration; Collaborative rendering; Dynamic scheduling; IoT visualization; Rendering (computer graphic); Resource management; Resources allocation; Situation-aware; Situation-aware orchestration; Task analysis; Tasks scheduling; Graphics processing unit"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161515784&doi=10.1109%2fTSUSC.2023.3279382&partnerID=40&md5=67cd65afad2a74ac56e528f8018dabde","Benchmark testing; Data models; Data Pruning; Database System; Database systems; Hollow Range; Join Query; Layout; Query Optimization; Query processing; Robustness; Transforms","Data handling; Distributed database systems; Efficiency; Query languages; Search engines; Benchmark testing; Centralized data-base; Data pruning; Hollow range; Join query; Layout; Pruning strategy; Queries optimization; Robustness; System database; Query processing"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133742821&doi=10.1109%2fTSUSC.2022.3186656&partnerID=40&md5=0e1e57740ea87cd74c76ad5022852a3e","Embedded systems; fault-tolerance; heterogeneous multicore systems; power/energy consumption; real-time scheduling; thermal design power","Embedded systems; Energy efficiency; Fault tolerance; Interactive computer systems; Job analysis; Real time systems; Redundancy; Reliability analysis; Scheduling; Transient analysis; Embedded-system; Energy-consumption; Fault- tolerant systems; Heterogeneous multi-core systems; Multi-core processing; Power; Power energy; Power/energy consumption; Real - Time system; Real time scheduling; Task analysis; Thermal design power; Thermal designs; Energy utilization"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141570308&doi=10.1109%2fTSUSC.2022.3221125&partnerID=40&md5=df21ba8bc1da287f26f8f386536fd21f","Authentication; Cloud computing; Computational efficiency; Costs; Fault tolerance; Fault tolerant systems; group data sharing in cloud computing; key agreement protocol; latin square; Protocols; Security","Cloud computing; Computational efficiency; Cryptography; Fault tolerance; Cloud data; Cloud-computing; Data Sharing; Fault- tolerant systems; Group data sharing in cloud computing; Key agreement protocol; Latin square; Security; Session key; Authentication"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167793681&doi=10.1109%2fTSUSC.2023.3303180&partnerID=40&md5=16b81cb50b63fa39d4f882b8d0639103","Anonymity; Bitcoin; Bitcoin; Blockchain; Blockchains; Data privacy; Information filtering; Information integrity; Monero; Privacy; Privacy; Receivers; Zcash","Bitcoin; Blockchain; Information filtering; Anonymity; Block-chain; Comparative analyzes; Information integrity; Monero; Privacy; Receiver; Zcash; Data privacy"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161004314&doi=10.1109%2fTSUSC.2023.3279111&partnerID=40&md5=270ef98fe0441ff0bd3f2fdbd3c91918","Blockchain; Blockchains; Data models; Federated learning; federated learning; internet of medical things; Medical services; Monitoring; privacy-preserving; Security; Training","Data privacy; Diagnosis; Health care; Hospital data processing; Learning systems; Patient monitoring; Block-chain; Federated learning; Internet of medical thing; Medical services; Model training; Privacy preserving; Rapid growth; Security; Blockchain"
