"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144800214&doi=10.1109%2fTSTE.2022.3226750&partnerID=40&md5=67d37d1ccf2cdb434bcee621b48baf67","Distribution service restoration; MILP; renewable resources; soft open points; two-stage accelerated algorithm","Electric load flow; Integer programming; Power quality; Renewable energy resources; Restoration; Distribution service restorations; Integer Linear Programming; Load flow; Mixed integer linear; Mixed-integer linear programming; Network topology; Renewable energy source; Renewable resource; Soft open point; Two-stage accelerated algorithm; Uncertainty; Network topology"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149860934&doi=10.1109%2fTSTE.2023.3252944&partnerID=40&md5=93706d382e4c0b1cdd376e5713bf543a","Distributed algorithms; photovoltaic systems; power distribution; quadratic programming; voltage control","Economic and social effects; Electric load flow; Electrolysis; Parallel algorithms; Quadratic programming; Reactive power; Solar power generation; Voltage control; Voltage distribution measurement; Voltage regulators; Distributed energies; Inverter; Load flow; Over-voltages; Percentage points; Photovoltaic systems; Power distributions; Power-distribution system; Solar photovoltaics; Electric power distribution"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149876321&doi=10.1109%2fTSTE.2023.3254597&partnerID=40&md5=e29cb21e2ed278db6263afcb68f32e31","Adaptive filters; constant power loads; electric vehicles; energy storage systems; supercapacitor; transient voltage stability","Adaptive control systems; Adaptive filtering; Adaptive filters; Bandpass filters; Battery management systems; Charging (batteries); Digital storage; Electric loads; Electric machine control; Electric power system control; Power quality; Quality control; Secondary batteries; Stability; Transient analysis; Battery; Battery energy storage systems; Constant power load; Energy storage system; Power filters; Power systems stability; Resource management; Stability analyze; Storage systems; Transient voltage stability; Supercapacitor"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147263300&doi=10.1109%2fTSTE.2023.3238523&partnerID=40&md5=a5a0e5199e046536a7f0831bb0f38ec1","Black-start; energy storage system; model predictive control; power system restoration; static var generator; voltage regulation; wind power generation","Electric machine control; Electric power system control; Electric utilities; Energy policy; Energy storage; Power control; Power generation; Power quality; Predictive control systems; Reactive power; Static Var compensators; Turbogenerators; Value engineering; Voltage control; Voltage regulators; Wind farm; Wind Turbine Generators; Black start; Energy storage system; Frequency control; Generator; Model-predictive control; Power system restoration; Power systems stability; Renewable energy source; Static VAR generator; Storage systems; Wind power generation; Model predictive control"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149811523&doi=10.1109%2fTSTE.2023.3253162&partnerID=40&md5=a6dbbcbbd9cddffdd3d3c9f3a38204db","ancillary service; electric vehicle; Transactive energy; V1G technology","Battery management systems; Blockchain; Charging (batteries); Commerce; Electric machine control; Electric power distribution; Electric power system control; Electric vehicles; Energy resources; Secondary batteries; Solar cells; Ancillary service; Battery; Block-chain; Energy; Power grids; States of charges; Transactive energy; V1G technology; Vehicle to grids; Vehicle-to-grid"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149421382&doi=10.1109%2fTSTE.2023.3244002&partnerID=40&md5=9ad1750ba36c8cc0923e245517f27217","and load-frequency control; Battery energy storage system; battery reserve; islanded residential microgrids","Battery storage; Benchmarking; Electric batteries; Electric circuit breakers; Electric control equipment; Electric frequency control; Electric loads; Electric power system control; Housing; Interactive computer systems; Power quality; Timing circuits; And load-frequency control; Battery; Battery energy storage systems; Battery reserve; Circuit-breakers; Frequency control; Islanded residential microgrid; Load-frequency control; Microgrid; Real - Time system; Residential microgrid; Real time systems"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149369555&doi=10.1109%2fTSTE.2023.3246171&partnerID=40&md5=186399aeff11e576917469e87d3e599a","deterministic sea wave prediction; model predictive control; robustness validation; Wave energy converter; wave tank testing","Controllers; Interactive computer systems; Model predictive control; Ocean currents; Predictive control systems; Real time systems; Robust control; Robustness (control systems); Tanks (containers); Wave energy conversion; Wave power; Deterministic sea wave prediction; Deterministics; Model-predictive control; Predictive models; Real - Time system; Robustness; Robustness validation; Sea state; Sea waves; Tank testing; Task analysis; Wave energy converters; Wave predictions; Wave tank; Wave tank testing; Damping"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147315742&doi=10.1109%2fTSTE.2023.3238583&partnerID=40&md5=c1c7780e51b0a00e22984d43a6ebb783","Active distribution systems; flexibility envelopes; flexibility pricing; grid-friendly smart sustainable building","Behavioral research; Costs; Electric power distribution; Frequency modulation; Intelligent buildings; Mapping; Smart power grids; Sustainable development; Active distribution systems; Cost mapping; Flexibility envelope; Flexibility pricing; Grid-friendly smart sustainable building; In-buildings; Multi-period; Power grids; Smart grid; Sustainable building; Amplitude modulation"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148420194&doi=10.1109%2fTSTE.2023.3243030&partnerID=40&md5=f8887319a9ad421150c57ecb0e04998c","actuator faults; adaptive control; fault-tolerant control; iterative learning control; Wave energy converter","Adaptive control systems; Continuous time systems; Fault tolerance; Iterative methods; Learning algorithms; Learning systems; Lyapunov functions; State space methods; Two term control systems; Wave energy conversion; Actuator fault; Adaptive Control; Fault- tolerant systems; Faults tolerant controls; Iterative learning control; Open area test sites; Power- generations; State-space method; Wave energy converters; Actuators"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149418481&doi=10.1109%2fTSTE.2023.3242807&partnerID=40&md5=40fdf6e13a395b2c773698244bb404f3","coordinated control; fault ride-through; harmonic injection; Offshore wind farm","Electric fault currents; Electric machine control; Electric power system control; Electric utilities; HVDC power transmission; Offshore wind farms; Power converters; Threshold voltage; Wind turbines; Co-ordinated control; Coordinated control; DC voltage; Fault ride-through; Harmonics injection; Offshores; Power systems stability; Ride-through control; Wind farm; Wind power generation; Harmonic analysis"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147283146&doi=10.1109%2fTSTE.2023.3239852&partnerID=40&md5=add74906d8ca0727c68b4ae4619b7ffa","deep reinforcement learning (RL); Photovoltaics (PV); proactive power smoothing; solar forecasting","Deep learning; Electric power system control; Forecasting; Power quality; Solar power generation; Deep reinforcement learning; Intermittency; Photovoltaic; Photovoltaic systems; Photovoltaics; Power smoothing; Proactive power smoothing; Reinforcement learnings; Smoothing controls; Solar forecasting; Reinforcement learning"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168297362&doi=10.1109%2fTSTE.2023.3305865&partnerID=40&md5=2ee8309546db711ec3cc20833c477b6a","decision-making; electrical grid; flexibility; Forecast uncertainty; forecasting; Optimization; Predictive models; Procurement; Real-time systems; risk; Sensitivity; Uncertainty; Weather forecasting","Costs; Electric loads; Electric power system planning; Interactive computer systems; Numerical methods; Power markets; Reactive power; Real time systems; Renewable energy resources; Weather forecasting; Decisions makings; Electrical grids; Flexibility; Forecast uncertainty; Optimisations; Predictive models; Procurement; Real - Time system; Sensitivity; Uncertainty; Decision making"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149358035&doi=10.1109%2fTSTE.2023.3246172&partnerID=40&md5=60105ccd799768bf54ec9590041a4a59","control-oriented modelling; system identification; Wave energy converter; wave tank testing","Controllers; Damping; Hydrodynamics; Identification (control systems); Model predictive control; Predictive control systems; State space methods; Tanks (containers); Wave energy conversion; Wave power; Control oriented models; D.C. motors; Energy output; Optimal controls; Sea measurements; System-identification; Tank testing; Wave energy converters; Wave tank; Wave tank testing; DC motors"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144757752&doi=10.1109%2fTSTE.2022.3229382&partnerID=40&md5=5df682ae8ee645e3798174bb2316c999","Biased min-consensus algorithm; computation efficiency; distribution network expansion planning; network cons- traint; shortest path algorithm","Charging (batteries); Computational efficiency; Electric power distribution; Electric vehicles; Graph theory; Integer programming; Neural networks; Nonlinear programming; Stochastic systems; Biased min-consensus algorithm; Computation efficiency; Computational modelling; Consensus algorithms; Distribution network expansion planning; Mixed-integer nonlinear programming; Network constraints; Shortest path algorithms; States of charges; Uncertainty; Random processes"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147273878&doi=10.1109%2fTSTE.2023.3237125&partnerID=40&md5=b82db0e45429182231861b11a7991367","control co-design; hydraulic PTO; Wave energy converter (WEC)","Electric load flow; Hydraulic accumulators; Hydraulic motors; Hydroelectric generators; Power control; Power takeoffs; Reactive power; Wave energy conversion; Co-designs; Control co-design; Force; Hydraulic PTO; Hydraulic system; Performances evaluation; Shaft; Time factors; Wave energy converter; Wave energy converters; Numerical models"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144072758&doi=10.1109%2fTSTE.2022.3226255&partnerID=40&md5=27b7844c0294361347cc21238f60aea6","Cost allocation; data-driven method; prediction error compensation; regulation reserve requirement","Commerce; Constrained optimization; Error compensation; Forecasting; Numerical methods; Allocation methods; Cost-allocation; Data driven; Data-driven methods; Market participants; Prediction error compensation; Prediction errors; Regulation reserve requirement; Renewables; Reserve requirements; Costs"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147306223&doi=10.1109%2fTSTE.2023.3236634&partnerID=40&md5=15fa05f74befc3121a471939c79764ab","Adaptive smoothing; battery energy storage system (BESS); clear sky model; filter tuning model; power allocation model; supercapacitor (SC)","Bandpass filters; Battery storage; Distributed computer systems; Electric batteries; Low pass filters; Power quality; Solar cells; Solar power generation; Adaptive smoothing; Allocation model; Battery; Battery energy storage system; Battery energy storage systems; Clear-sky models; Cloud-computing; Filter tuning; Filter tuning model; Fluctuation; Index; Low-pass filters; Power allocation model; Power allocations; Smoothing methods; Supercapacitor; Controllers"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149401362&doi=10.1109%2fTSTE.2023.3246173&partnerID=40&md5=cc5d05b5864fc59aa377ef7dbc1062b7","deterministic sea wave prediction; linear noncausal optimal control; Wave energy converter; wave tank testing","Damping; Forecasting; Interactive computer systems; Ocean currents; State space methods; Tanks (containers); Water waves; Wave energy conversion; Wave power; Deterministic sea wave prediction; Deterministics; Linear noncausal optimal control; Optimal controls; Prediction algorithms; Real - Time system; Sea measurements; Sea state; Sea waves; Tank testing; Tuning; Wave energy converters; Wave predictions; Wave tank; Wave tank testing; Real time systems"
