"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161989116&doi=10.1016%2fj.inffus.2023.101858&partnerID=40&md5=57ee8dbb6658e2576ea10208cec4fcf3","Aspect-based recommendation; Graph neural networks; Knowledge graph; Self-supervised learning","Graph neural networks; Graphic methods; Modal analysis; Recommender systems; Supervised learning; User profile; Aspect-based recommendation; Cross-modal; External knowledge; Graph neural networks; Graph-based; Knowledge graphs; Multi-modal data; Recommendation performance; Self-supervised learning; User's preferences; Knowledge graph"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166474482&doi=10.1016%2fj.inffus.2023.101901&partnerID=40&md5=c49ccefd6fbf937389e29a71150e6362","Benchmark dataset; Cross-directional center consistency; Layer normalization; Multi-spectral representation; Vehicle Re-ID","Benchmarking; Network layers; Benchmark datasets; Cross-directional center consistency; High quality; Layer normalization; Multi-spectral; Multi-spectral representation; Normalisation; Re identifications; Spectral representations; Vehicle re-identification; Vehicles"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166639252&doi=10.1016%2fj.inffus.2023.101912&partnerID=40&md5=fa3fbebf17cb11f55b3720b857c2f69d","Deep learning; Domain gap; Machine vision; Negative knowledge; Open-set domain adaptation; Transfer learning","Deep learning; Transfer learning; Data reviews; Deep learning; Domain adaptation; Domain gap; Labeled data; Machine-vision; Negative knowledge; Open-set domain adaptation; Target domain; Transfer learning; Computer vision"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162149978&doi=10.1016%2fj.inffus.2023.101887&partnerID=40&md5=5115749deef0b9b084598acd41f2e050","Back-translation; GPT; Hate-detection; TTA","Speech recognition; Augmentation techniques; Back translations; Breeding grounds; Ensemble approaches; GPT; Hate-detection; Social media platforms; Test time; Training time; TTA; Social networking (online)"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167791498&doi=10.1016%2fj.inffus.2023.101942&partnerID=40&md5=7de74fa449c47d8c685697f3a544777c","Data fusion; Data quality; Edit rules; Functional dependencies; Key constraints","Data integration; Repair; Data cleaning; Data quality; Duplicate detection; Edit rule; Functional dependency; Key constraints; Minimal cost; Multiple source; Schema mappings; Set cover methods; Data fusion"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164667262&doi=10.1016%2fj.inffus.2023.101903&partnerID=40&md5=77c5ae11b3097bace0f0a310612444a9","Autoencoder; Deep learning; Group decision-making; Group influence; Recommender system","Decision making; Deep learning; Learning systems; Adversarial learning; Auto encoders; Deep learning; Group Decision Making; Group influence; Information overloads; Performance; Recommendation algorithms; Recommendation methods; Sparse data; Recommender systems"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162972847&doi=10.1016%2fj.inffus.2023.101893&partnerID=40&md5=ee046759e0034bb78c085262796c13f5","Convolutional neural networks; Grouping functions; Image classification; Pooling functions","Convolution; Convolutional neural networks; Signal sampling; Convolutional neural network; Down sampling; Grouping function; Images classification; Images processing; Max-pooling; Optimization algorithms; Pooling function; Property; State of the art; Image classification"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161694368&doi=10.1016%2fj.inffus.2023.101837&partnerID=40&md5=5d7b1e9f514cf5baecd9fa40b0abac83","Cyber–physcial system; Representation learning; Traffic prediction; Transformer","Flow graphs; Forecasting; Learning systems; % reductions; 'current; Congestion prediction; Cybe–physcial system; Multiple sensors; Network congestions; Representation learning; Sensor modality; Traffic prediction; Transformer; Traffic congestion"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164026192&doi=10.1016%2fj.inffus.2023.101892&partnerID=40&md5=701da2ae137f0e798bff029615f85baa","Cross-domain recommendation; Graph representation learning; Heterogeneous information networks; Soft clustering; User cold-start problem","Clock and data recovery circuits (CDR circuits); Information services; Semantics; Transfer functions; User profile; Cold start problems; Cross-domain recommendations; Graph representation; Graph representation learning; Heterogeneous information; Heterogeneous information network; Information networks; Soft clustering; User cold-start problem; User's preferences; Large dataset"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165390632&doi=10.1016%2fj.inffus.2023.101918&partnerID=40&md5=7b14d141ded3b8261d109e2545f8380a","Deep learning; Ensemble learning; Machine learning; Multivariate prediction; Time-series forecasting","Convolutional neural networks; Encoding (symbols); Learning systems; Recurrent neural networks; Signal encoding; Time series; Deep learning; Encodings; Ensemble learning; Machine-learning; Model-based OPC; Multivariate prediction; Optimal dimensionality; Predictive models; Time series forecasting; Times series; Forecasting"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161268724&doi=10.1016%2fj.inffus.2023.101866&partnerID=40&md5=2cf37e0c667e2e2fd23a7e09410263e1","Group decision making; Maximum expert consensus; Mean-variance; Robust optimization; Uncertainty set","Optimization; Risk perception; Sensitivity analysis; Consensus models; Decision environment; Group Decision Making; Maximum expert consensus; Mean variance; Risk aversion; Robust optimization; Uncertainty; Uncertainty and risks; Uncertainty set; Covariance matrix"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160813563&doi=10.1016%2fj.inffus.2023.101855&partnerID=40&md5=461744fba026e2ce161b45a3851c516c","Budget constraint; Consensus reaching process; Group decision-making; Minimum conflict consensus; Non-cooperative behaviors","Behavioral research; Decision making; Nonlinear programming; Sewage; Budget constraint; Consensus models; Consensus reaching process; Decision makers; Group conflicts; Group Decision Making; Group decision making problems; Minimum conflict consensus; Non-cooperative behaviors; Social Network Analysis; Budget control"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168541345&doi=10.1016%2fj.inffus.2023.101963&partnerID=40&md5=287310858fc032870bc5c2a492dc011a","Covariance intersection fusion; Encoding–decoding scheme; Filter-and-forward relay; Fusion estimation; Measurement delay; Recursive algorithm","Decoding; Encoding (symbols); Signal encoding; Stochastic systems; Transmissions; Covariance intersection fusions; Decoding scheme; Encoding/decoding; Encoding–decoding scheme; Filter and forwards; Filter-and-forward relay; Fusion estimation; Measurement delays; Recursive algorithms; Relay measurements; Target tracking"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165658365&doi=10.1016%2fj.inffus.2023.101914&partnerID=40&md5=b63196087b461cc736e556e5e9e36a1d","Incomplete multi-view clustering; Low-rank tensor approximation; Similarity completion; Topological graph clustering","Iterative methods; Tensors; Topology; 'current; Graph clustering; High-order; Higher-order; Incomplete multi-view clustering; Low-rank tensor approximations; Multi-view clustering; Similarity completion; Topological graph clustering; Topological graphs; Clustering algorithms"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163149038&doi=10.1016%2fj.inffus.2023.101882&partnerID=40&md5=e0ff2fbe13a9146baf77f6ed825cdabf","Explainability; Explainable Artificial Intelligence; Generalised additive models; Interpretability; Interpretable modelling; Neural additive models","Artificial intelligence; Benchmarking; Additive models; Explainability; Explainable artificial intelligence; Generalized additive model; Intelligent models; Interpretability; Interpretable modeling; Neural additive model; Performance; Property; Additives"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162740678&doi=10.1016%2fj.inffus.2023.101859&partnerID=40&md5=2646a7108cee0951812eeda1f912dbcf","Computer vision; Convolutional neural network; Data augmentation; Deep learning; Food category recognition; Machine learning; Semi-supervised learning; Transfer learning","Computer vision; Convolution; Convolutional neural networks; Industrial research; Learning algorithms; Learning systems; Machine components; Transfer learning; Category recognition; Computational power; Convolutional neural network; Data augmentation; Deep learning; Food category recognition; Humaninteraction; Machine-learning; Semi-supervised learning; Transfer learning; Deep learning"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166644057&doi=10.1016%2fj.inffus.2023.101936&partnerID=40&md5=73559245426db5a72d267b8048402cdf","carbon peak and neutrality; graph model for conflict resolution; hesitant fuzzy sets; option prioritization; three-way decisions","Carbon; Decision making; Decision support systems; Fuzzy sets; Graph theory; Carbon neutralities; Carbon peaks; Conflicts analysis; Decision graphs; Decision makers; Graph Model for Conflict Resolution; Hesitant fuzzy sets; Option prioritization; Prioritization; Three-way decision; Supply chains"
