"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047736611&doi=10.4018%2fIJBAN.2018070105&partnerID=40&md5=649e5c9e4010c1b22a0cb68b4ee10966","Clustering; Data Warehouse; Group Detection; Hierarchical Semi-Supervised Clustering; Leader; Researcher; Scientific Network Warehousing; Scientific Social Network; Social Network",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047780052&doi=10.4018%2fIJBAN.2018070103&partnerID=40&md5=d98127047f8112957d44fc165518bb0a","AHP; Decision Matrix; MCDM; Pairwise Comparison; WSM",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114645740&doi=10.4018%2fIJBAN.2021100103&partnerID=40&md5=3675b3b3ac1c6d86f4856b83ebdf9a19","BDA Implementation; Big Data Analytic; Big Data Management; Data Analytics Management; Data Analytics Success",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046299187&doi=10.4018%2fIJBAN.2018040105&partnerID=40&md5=ec29a89fe6d0e814b2be5b0818a7ee89","Big Data; Business Intelligence; Data Mining; Data Mining Problems; Data Mining Techniques; Taxonomy",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160273275&doi=10.4018%2fIJBAN.321536&partnerID=40&md5=5a2b7c65e806615bca2eca08f10c50a6","Family Satisfaction; IT Sector; Job Satisfaction; Turnover Intentions; Work-Family Conflict",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059776498&doi=10.4018%2fIJBAN.2019010101&partnerID=40&md5=7ef6619cbe75e3096f839e1734398fe4","BWS; Chapman-Kolmogorov Equations; Choice Probability; DCM; Items Non-Availability; Markov Chains; Maxdiff; MNL; Network Effects",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077377892&doi=10.4018%2fIJBAN.2020040102&partnerID=40&md5=4b28dcfe2966c4cf9ce85168688b0e20","Advertising analytical framework; Advertising analytics; AHP; Online advertisement; Optimal internet advertising budget allocation; Search engine optimization (SEO); Web analytics",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104052079&doi=10.4018%2fIJBAN.2021040102&partnerID=40&md5=d2c8d57ec596c9ae03b22cade74872af","Adaptive Kalman filter; Beta estimation; Noise covariance adaptation; Value-at-risk estimation",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114593017&doi=10.4018%2fIJBAN.2021100106&partnerID=40&md5=9abda30835ab417dce0e88f2bd84ea9a","Business Analytics; Mobile Devices; Mobile Workforce; Technical Requirements",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072643494&doi=10.4018%2fIJBAN.2019100105&partnerID=40&md5=821105fd42cc28f35cdd65edbacd6200","E-Store Design; Fuzzy Linear Regression; Quality Function Deployment; Zero-One Goal Programming",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125060596&doi=10.4018%2fIJBAN.288518&partnerID=40&md5=87608509be7e3621c4c94db61fded5aa","E-business; E-commerce; Efficacy; Information technology; IT expertise; Management support",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064540302&doi=10.4018%2fIJBAN.2019040104&partnerID=40&md5=b2ce8d5a2d38ca2628755cecac3f4e02","Concept Link Graph; Deep Neural Network; Maximum Entropy; Naïve Bayes; Sentiment Classification; Text Mining",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092572499&doi=10.4018%2fIJBAN.2020100102&partnerID=40&md5=a2ca0fc84554a6b3b3fbe70b859b60b2","Academic Analytics; Big Data; Case Study; Educational Analytics; Educational Institution; Knowledge Analytics; Knowledge Management; Learning Analytics",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068042699&doi=10.4018%2fIJBAN.2019070102&partnerID=40&md5=7764698acb32167d92e5bb16065d1975","Face recognition; Fingerprint recognition; KNN; Miniutae matching; Score fusion; SIFT",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077581768&doi=10.4018%2fIJBAN.2020040101&partnerID=40&md5=39829c8cf04df6897bc787896a59b3f5","Big data; Data analytics; E-governance; Technology shifts",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072638187&doi=10.4018%2fIJBAN.2019100106&partnerID=40&md5=f96f73f7d9ca924ee3fe4b524b96eb04","Banking Sector; Carbon Emissions; Carbon Footprint; Carbon Footprint Indicators; Service Sector",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046294065&doi=10.4018%2fIJBAN.2018040103&partnerID=40&md5=3e9549a55eb8f629a0b9fb85e0bb2c45","CVaR; Disruption Risk; Multi-Objective Programming; Supplier Selection; VaR",""
