"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165112721&doi=10.1007%2fs41060-023-00430-8&partnerID=40&md5=54460d24dc81a58cdf96693b8942cefa","Complex network theory; Data-driven analysis; Distributed energy resources; Electrical distribution system; Granger causality; Graph neural network; Percolation threshold; Resilience","Complex networks; Computation theory; Electric load flow; Electric network parameters; Electric power distribution; Graph theory; Network architecture; Percolation (fluids); Sensor networks; Smart power grids; Solvents; Statistical tests; Complex network theory; Data-driven analysis; Distributed Energy Resources; Electrical distribution system; Granger Causality; Graph neural networks; Microgrid; Optimal allocation; Percolation thresholds; Resilience; Energy resources"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163675473&doi=10.1007%2fs41060-023-00406-8&partnerID=40&md5=f07de4bc53e74dbf154f232bdd2ddd3e","Dataset analysis; Feature–similarity graph; Graph theory; Learning to rank","Graphic methods; Learning algorithms; Learning systems; Benchmark datasets; Comparative analyzes; Data-set analysis; Feature–similarity graph; Graph-based; Node-based; Rank algorithms; Ranking algorithm; Ranking methods; Research communities; Graph theory"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167899663&doi=10.1007%2fs41060-023-00439-z&partnerID=40&md5=a99d597bfafc7b97a96840bab31814da","Complementarity; Feature intercooperation; Filter feature selection; High-order dependency; Information-theoretic measures; Interaction; Synergy","Data handling; Data mining; Economic and social effects; Filtration; Information theory; Learning algorithms; Complementarity; Feature intercooperation; Features selection; Filter feature selection; High-order; High-order dependency; Higher-order; Information theoretic measure; Interaction; Synergy; Feature Selection"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140962221&doi=10.1007%2fs41060-022-00367-4&partnerID=40&md5=89c413506b29106f01fcb2a2e1f072f3","Bayesian inference; Implicit feedback; Nearest neighbor; Ranking; Recommender systems; User modeling","Bayesian networks; Behavioral research; Inference engines; Inverse problems; Music; Nearest neighbor search; Recommender systems; Recurrent neural networks; User profile; Bayesian inference; Implicit feedback; Music recommendation; Nearest-neighbour; Network-based modeling; Neural-networks; Prediction accuracy; Probabilistics; Ranking; User Modelling; Forecasting"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142002596&doi=10.1007%2fs41060-022-00372-7&partnerID=40&md5=6222e224a28e2e5110064e12bfa6c684","Classification; Deconfounded; Embedding leaning; Multi-instance learning","Distillation; Embeddings; Forecasting; Data set; Deconfounded; Embedding leaning; Embedding method; Embeddings; Label predictions; Multi-instance learning; Objective facts; Optimization goals; Prediction algorithms; Classification (of information)"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114153172&doi=10.1007%2fs41060-021-00281-1&partnerID=40&md5=64849c27d264c8ffe19b0ec8f1e4513b","EVM bytecode; Heuristic; Interface; Smart contracts; Token standards; Transaction data","Blockchain; Compliance control; Ethereum; Regulatory compliance; Application area; Block-chain; Bytecodes; Decentralised; Digital assets; EVM bytecode; Heuristic; Local currencies; Token standard; Transaction data; Smart contract"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165083472&doi=10.1007%2fs41060-023-00427-3&partnerID=40&md5=a2014f0128bf49f384406f1ea2326efd","Object-centric process mining; Purchase-to-pay; SAP ERP","Data mining; Business objects; Business Process; Core business; Many to many; Mining techniques; Object-centric process mining; Process mining; Procurement process; Purchase-to-pay; SAP ERP; Enterprise resource planning"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134239714&doi=10.1007%2fs41060-022-00344-x&partnerID=40&md5=fbc15dd735951dfc38e044dcc0179f56","Dengue fever; Sentiment; Text analytics","Amazon's mechanical turks; Dengue fevers; Document collection; Domain specific; Re-evaluation; Semiautomatic methods; Sentiment; Sentiment dictionaries; Target domain; Text analytics; Artificial intelligence"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164492205&doi=10.1007%2fs41060-023-00424-6&partnerID=40&md5=8aa336bc2aac2c5b91afcbdec10867e6","Misinformation; Survival analysis; Time-to-event prediction","Bioinformatics; Fake detection; Social networking (online); User profile; Analysis approach; Censored data; Event prediction; Misinformation; Online social medias; Statistical analysis methods; Survival analysis; Time to events; Time windows; Time-to-event prediction; Forecasting"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164827308&doi=10.1007%2fs41060-023-00426-4&partnerID=40&md5=0ccb503271aef445edefe39a3b5572d6","Decision-making; Hesitant fuzzy sets theory; Renewable energy; Resource selection; Sustainable energy","Climate change; Decision theory; Economics; Fuzzy sets; Geothermal energy; Investments; Semantics; Decision-making frameworks; Decisions makings; Energy; Fuzzy-set theory; Hesitant fuzzy set theory; Hesitant fuzzy sets; Renewable energies; Renewable energy source; Resources selections; Sustainable energy; Decision making"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160822445&doi=10.1007%2fs41060-023-00397-6&partnerID=40&md5=9af994cb49ab7e9965dcfb33c4445d29","Climate change; Convolutional neural networks; Deep learning; Transformer; Wind speed","Bayesian networks; Climate models; Complex networks; Convolution; Convolutional neural networks; Deep neural networks; Inference engines; Risk management; Wind speed; Bayesian; Convolutional neural network; Deep learning; Down-scaling; General circulation model; General circulation model simulations; Transformer; Wind characteristics; Wind dynamics; Wind speed; Climate change"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168115302&doi=10.1007%2fs41060-023-00433-5&partnerID=40&md5=807c6f8892abc7c69fc0491918b212fb","Language models; Medicine; Natural language processing; Transformers","Computational linguistics; Data mining; Natural language processing systems; Surgery; High quality; Language model; Language processing; Language processing techniques; Natural language processing; Natural languages; Real-world; Scientific community; Still missing; Transformer; Modeling languages"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165307278&doi=10.1007%2fs41060-023-00428-2&partnerID=40&md5=56e21318c9d7e65da7d2c5c0d6ac0aaa","Object-based graphs; Object-centric feature extraction; Object-centric machine learning; Object-centric process mining","Anomaly detection; Data mining; Extraction; Graphic methods; Life cycle; Event logs; Features extraction; Machine-learning; Object based; Object-based graph; Object-centric feature extraction; Object-centric machine learning; Object-centric process mining; Objects-based; Process mining; Feature extraction"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131941223&doi=10.1007%2fs41060-022-00339-8&partnerID=40&md5=9b9b949abfca949fcea3d77e686b53fe","COVID-19 Infodemic; Evaluation–potency–activity; Information credibility; Linguistic features; Misinformation","Consumer behavior; Analytical approach; COVID-19 infodemic; Data driven; Evaluation–potency–activity; Information credibilities; Information data; Intrinsic characteristics; Linguistic features; Misinformation; Multi-class labeling; Linguistics"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164462120&doi=10.1007%2fs41060-023-00410-y&partnerID=40&md5=9e06cf6222ced4697762e37931dd4c3e","Biomedical data; Fourier transformation; Functional data; Permutation test; Recursive binary tree; Supervised classification","Classification (of information); Decision trees; Electrocardiograms; Fourier transforms; Metadata; Supervised learning; 'current; Biomedical data; Data classification; Electrocardiogram signal; Fourier transformations; Functional datas; Permutation tests; Recursive binary tree; Supervised classification; Tree-based; Binary trees"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164120125&doi=10.1007%2fs41060-023-00419-3&partnerID=40&md5=d719b10eff51fb047230e8a11c9a0bc5","Coronavirus; COVID-19; Hospital acquired infection; Mortality; Nosocomial infection","Diagnosis; Forestry; Hospitals; Machine learning; Coronaviruses; Empirical method; England; Hospital acquired infection; Infection rates; Low rates; Machine-learning; Mortality; Nosocomial infection; Random forest classifier; Coronavirus; COVID-19"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149031575&doi=10.1007%2fs41060-023-00386-9&partnerID=40&md5=fee7477ce3860bef3a9c1e88eb49e600","Big data analytics; Caribbean; Crime; Exploratory data analysis; Geocoding; Hotspot mapping; Kernel density estimation; Trinidad and Tobago; Twitter","Big data; Crime; Data Analytics; Developing countries; Economics; Predictive analytics; Social networking (online); Statistics; Big data analytic; Caribbean; Data analytics; Exploratory data analysis; Geo coding; Hotspot mapping; Hotspots; Kernel Density Estimation; Trinidad and Tobago; Twitter; Mapping"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158073814&doi=10.1007%2fs41060-023-00395-8&partnerID=40&md5=b43416a9d5d3fb8970d1ac49c93c0118","Count data; Data analysis; Discretization; Inference; XLindley distribution","Higher order statistics; Risk assessment; Count datum; Discretizations; Distribution theory; Generating functions; Index of dispersions; Inference; Mean variance; Probability modelling; Property; Xlindley distribution; Maximum likelihood estimation"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163842727&doi=10.1007%2fs41060-023-00413-9&partnerID=40&md5=0f8990561e0dba8aee2c47c6c18316a9","Big data; IoT; Sensor data classification; Signal pattern classification; Time series data classification","Big data; Classification (of information); Digital storage; Forestry; Internet of things; Machine learning; Sensor networks; Time series; Data classification; IoT; Patterns classification; Sensor data classifications; Sensors network; Signal pattern classification; Signal patterns; Time series data classification; Time-series data; Type classifications; Metadata"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137196458&doi=10.1007%2fs41060-022-00361-w&partnerID=40&md5=a7c41dcea532ec816a40bbd16c58058b","General Line Coordinates; Interactions in visualization; Multidimensional data visualization; Visual analysis","Data visualization; Complex data; Exploratory analysis; General line coordinate; Interaction in visualization; Line coordinates; Multi-dimensional data visualization; Multidimensional data; Multidimensional visualization; Visual analysis; Visualization technique; Visualization"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148504823&doi=10.1007%2fs41060-023-00383-y&partnerID=40&md5=132937dc6441aa7c78bf704c788e5b27","Trans-AI; Trans-AI/DS; Trans-DS; Transdisciplinary AI; Transdisciplinary data science; Transformative AI; Transformative data science; Translational AI; Translational data science","Data Science; Hybridisation; Ie, trans-AI, trans-DS and their hybridization; Trans-AI; Trans-data science; Transdisciplinary AI; Transdisciplinary data science; Transformative AI; Transformative data science; Translational AI; Translational data science; Deep learning"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168957964&doi=10.1007%2fs41060-023-00442-4&partnerID=40&md5=45fc0536acc9dc286909aecdcecda904","Federated learning; Federated recommender systems; Recommender systems","Data privacy; Learning systems; Distributed machine learning; Federated learning; Federated recommende system; Future challenges; Governmental regulations; Integral part; Personalized recommendation; Privacy awareness; User privacy; Users' experiences; Recommender systems"
