"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165972202&doi=10.1016%2fj.ijinfomgt.2023.102687&partnerID=40&md5=111afc9871f79758a1733576592665d7","COVID-19; Digital resources; Exogenous shock; Organizational resilience; Virtual teaching","E-learning; Human resource management; Case-studies; Digital resources; Exogenous shocks; Organisational; Organizational actors; Organizational resilience; Process-view; Resourcing; Virtual teaching; COVID-19"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166628519&doi=10.1016%2fj.ijinfomgt.2023.102683&partnerID=40&md5=e67e23c631d2a7c650fe84d9dedee53f","Balanced scorecard; Big data analytics; Information quality; Organizational factors; Strategic alignment","Advanced Analytics; Big data; Commerce; Marketing; Balanced scorecards; Big data analytic; Data analytics; Data informations; Information quality; Organizational factors; Performance; Project performance; Resource-based view; Strategic alignment; Data Analytics"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146054323&doi=10.1016%2fj.ijinfomgt.2023.102621&partnerID=40&md5=ed789b02c0dee7c9f39deede3fcc2611","E-commerce; Live stream; Social media; Social pricing; Uses and gratification","Costs; Electronic commerce; Least squares approximations; Purchasing; Social networking (online); Commerce platforms; Consumer interaction; E- commerces; E-tailers; Interaction levels; Live stream; Purchase intention; Social media; Social pricing; Uses and gratifications; Sales"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149818441&doi=10.1016%2fj.jjimei.2023.100162&partnerID=40&md5=03627ddb359519b1cb7bbeb124037afd","Approval process; Blockchain technology; Data-driven decision making; Decentralized apps; Reputation system",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146613143&doi=10.1016%2fj.ijinfomgt.2023.102625&partnerID=40&md5=e24a8fc628b770200d1db83fa01b7cca","Causality; Cross-sectional research; Cross-sectional study design; Cross-sectional survey; Cross-sectional survey design; Survey; Survey research design",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145689016&doi=10.1016%2fj.jjimei.2022.100149&partnerID=40&md5=2d5a42e561c2afd8bcaf21fdce3b9c4e","Adult learning; And coping strategies; Higher education; Inhibitors/ moderators; Psychological well-being; Technostress",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147547116&doi=10.1016%2fj.ijinfomgt.2023.102627&partnerID=40&md5=65e145caf48db7921eeb8a1f2bb66116","Activity Theory; Harms; Human-Machine Interaction; Humanitarian Crises; Misinformation","Man machine systems; Activity Theory; Amount of information; Harm; Human machine interaction; Human-machine; Humanitarian crisis; Large amounts; Misinformation; Short periods; Short term; Activity coefficients"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145289503&doi=10.1016%2fj.jjimei.2022.100150&partnerID=40&md5=5966b518984e973ed6ccea55f97ab3bd","Artificial intelligence; Big data; Literature review; Road space planning; Smart cities; Urban development",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146230006&doi=10.1016%2fj.ijinfomgt.2023.102620&partnerID=40&md5=06ae428b6abe019b15a0a0eb2ff1c580","Consumer metaverse; Industrial metaverse; Pollution-generating effects; Pollution-reducing effects; Sustainability",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163560007&doi=10.1016%2fj.jjimei.2023.100186&partnerID=40&md5=f2a54d551609689cedc535e7c5913441","Digital healthcare technologies; Perceived usefulness; Technology acceptance model; Technology adoption; UTUAT",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150288650&doi=10.1016%2fj.jjimei.2023.100171&partnerID=40&md5=46c7ff1842b0d6adb5463f6ed42edcae","Deep learning; Financial market sentiment; Machine learning; Opinion mining; Sentiment analysis",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156107599&doi=10.1016%2fj.jjimei.2023.100180&partnerID=40&md5=2e54a4b0421cd8c74bbb7539b0bc6b9a","Aviation sector; Machine learning; Natural language processing; Sentiment analysis; Social media",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162768229&doi=10.1016%2fj.jjimei.2023.100184&partnerID=40&md5=e8014ee160e4f1736030f5cc4c794ca4","Evaluation bias; Opinion mining; Rating behavior; Reviewer segmentation; Travel reviews",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162148813&doi=10.1016%2fj.ijinfomgt.2023.102678&partnerID=40&md5=99e55d456bfdbbba9641b2f63258bb41","Digital maturity; Digitalisation; Sector; Synthetic indicator","Digital maturity; Digitalization; Multiple dimensions; Multiple process; Sector; Synthetic indicators"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166247539&doi=10.1016%2fj.jjimei.2023.100191&partnerID=40&md5=7259f94e21d0ca5eceb2fd2aec5381e9","Cyber Awareness; Cybersecurity; Government Policy; NVIVO; Qualitative Research; Small Medium Enterprise (SME); SMEs; Wales",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147005495&doi=10.1016%2fj.jjimei.2022.100145&partnerID=40&md5=ce959a76ce32b571ee94a35675a30674","Feedback model; Machine learning; Online reviews; Predicting ratings; Recommender system; Restaurants; Tourism; Yelp",""
