"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134771803&doi=10.23889%2fIJPDS.V7I1.1713&partnerID=40&md5=12ee8933c7f6a211f097139c3a917a2a","electronic health records; primary care; validation",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108779971&doi=10.23889%2fijpds.v6i1.1362&partnerID=40&md5=48fd0f9a846aa7e8932b84581be64cb9","Concept libraries; Linked Electronic health records; Phenotype algorithms; Repeatable research; Review","Data Collection; Electronic Health Records; Libraries; Publications; Research Report; electronic health record; information processing; library; publication; research"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121811357&doi=10.23889%2fijpds.v6i1.1680&partnerID=40&md5=4d52ed2c142a21d72ae9a81714c0fa4b","Cohort studies; Comparable dataset; Data harmonization; Data pooling or combination; Harmonization strategies","Alberta; Cohort Studies; Data Collection; Data Management; Female; Humans; Pregnancy; Sample Size; Alberta; cohort analysis; female; human; information processing; pregnancy; sample size"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122212454&doi=10.23889%2fIJPDS.V6I1.1678&partnerID=40&md5=5afd60ae629075b2ac09d434e622d09c","COVID-19; People experiencing homelessness; SARS-CoV-2; Wales",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104857908&doi=10.23889%2fijpds.v6i1.1400&partnerID=40&md5=0a1c8b10f00c98e2635c5758a4a5403c","Mass distribution; Nicotine patches; NRT; Smoking; Tobacco cessation","Humans; Nicotine; Smoking; Smoking Cessation; Tobacco Use Cessation; Tobacco Use Cessation Devices; nicotine; epidemiology; human; smoking; smoking cessation"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102525271&doi=10.23889%2fIJPDS.V6I1.1342&partnerID=40&md5=44c7eca9b2ea3c995feca21af3661b38","","Adolescent; Censuses; Child; Child, Preschool; Disabled Persons; Family Characteristics; Female; Humans; Infant; Infant, Newborn; Intellectual Disability; Male; Prevalence; adolescent; child; disabled person; family size; female; human; infant; intellectual impairment; male; meta analysis; newborn; population research; preschool child; prevalence"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168704737&doi=10.23889%2fijpds.v8i1.2118&partnerID=40&md5=0ec5ad7b5492c360265894d8d88140ba","acute serious outcomes; Australia; electronic health records; linkage; linked data; MedicineInsight; primary care; validation","Acute Disease; Australia; Emergency Service, Hospital; General Practice; Hospitals; Humans; Pancreatitis; Venous Thromboembolism; acute disease; Australia; general practice; hospital; hospital emergency service; human; pancreatitis; venous thromboembolism"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126674138&doi=10.23889%2fijpds.v6i1.1397&partnerID=40&md5=ddc321b6b4e3dc7720eaddba7be0613d","coded health data; coder; inpatient; international classification of diseases; main condition","Alberta; Hospitalization; Humans; Inpatients; International Classification of Diseases; Patient Discharge; Alberta; epidemiology; hospital discharge; hospital patient; hospitalization; human; International Classification of Diseases"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165481763&doi=10.23889%2fijpds.v8i1.2139&partnerID=40&md5=ac88f8cc771cc229c4653305e8863679","clinical quality registry; protocol; sick newborns; special care nursery",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163557241&doi=10.23889%2fijpds.v8i1.2131&partnerID=40&md5=dc686d69f25eb80fc29b22597f574684","COVID-19; data privacy and protection; population-based cohorts; record linkage; routinely collected data",""
