"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158131519&doi=10.1080%2f15568318.2023.2201941&partnerID=40&md5=4f333e534a17d270906041b672c75bbd","behavior change; demographic and trip characteristics; sustainable mobility options; target audience personas; transportation mode shift programs","Behavioral research; Motor transportation; Population statistics; Behaviour changes; Demographic and trip characteristic; Mode shifts; Single occupancy vehicles; Sustainable mobility; Sustainable mobility option; Target audience; Target audience persona; Transportation mode; Transportation mode shift program; Leisure"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130929198&doi=10.1080%2f15568318.2022.2074326&partnerID=40&md5=5b549b1512a7897cb9a4e2eb40c750bf","CO<sub>2</sub> emissions; ICT; mobility; NTS; online shopping; SEM; travel behavior","England; United Kingdom; Carbon dioxide; Leisure; CO 2 emission; England; Grocery shopping; Home delivery; ICT; Mobility; National travel surveys; Online shopping; Substitution effect; Travel behaviour; carbon emission; electronic commerce; emission control; information and communication technology; travel behavior; Electronic commerce"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126781510&doi=10.1080%2f15568318.2022.2051099&partnerID=40&md5=1390c677f4418b2c6da7aeb4a0caf1f9","Dockless bike share; early adopter; multinomial logistic regression model; Network GIS","Nevada; Reno; Sparks; United States; Bicycles; Bus terminals; Bus transportation; Buses; Parks; Regression analysis; Analysis of data; Bus stop; Dockless bike share; Early adopter; Large cities; Last mile solutions; Multinomial logistic regression models; Network GIS; Sharing schemes; Transit systems; cycle transport; GIS; logistics; network analysis; regression analysis; transportation development; transportation system; Geographic information systems"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133254864&doi=10.1080%2f15568318.2022.2091496&partnerID=40&md5=c06268cc1f07d22fd84bd9ae0166aafc","bicycling; GSEM; social practice theory; Suburban transport; transport equity","Canada; Ontario [Canada]; Toronto; Behavioral research; Health; Principal component analysis; Bicycling; GSEM; Health and safety; Low incomes; Social practice theories; Suburban areas; Suburban transport; Toronto; Transport equity; Utilitarian cycling; cycle transport; health and safety; principal component analysis; urban transport; Bicycles"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124099609&doi=10.1080%2f15568318.2022.2029633&partnerID=40&md5=cdd12e5d380aa246720635dccb4349a2","Charging stations; electric vehicle; M/D/C queue; Method of Successive Averages; New York City; user equilibrium","New York [New York (STT)]; New York [United States]; United States; Electric vehicles; Investments; Nonlinear programming; Python; Queueing theory; Toys; Assignment models; Charging station; Direct-current; Electric vehicle charging; Level 2; M/D/C queue; Method of successive averages; New York city; Queue delays; User equilibrium; algorithm; electric vehicle; investment; numerical model; Charging (batteries)"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153473040&doi=10.1080%2f15568318.2023.2197865&partnerID=40&md5=22e70f9465abf49ac7e20bff091d1fd6","Catenary; economic impacts; electric road systems; road freight transport","Economic and social effects; Freight transportation; Secondary batteries; Catenary; Catenary networks; Economic impacts; Electric road system; Energy; Flanders; Road freight transport; Road freight vehicles; Road systems; Systems implementation; Roads and streets"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147040138&doi=10.1080%2f15568318.2022.2147109&partnerID=40&md5=c0bf6722f2a2b8b109c186def8936939","Cold-start extra emission (CSEE); light-duty vehicle (LDV); link-level vehicle emission; short vehicle trip; spatio-temporal distribution","Carbon monoxide; Motor transportation; Vehicles; Cold-start; Cold-start extra emission; Dynamics models; Light duty vehicles; Light-duty vehicle; Link-level vehicle emission; Short vehicle trip; Spatiotemporal distributions; Urban scale; Vehicle emission; Nitrogen oxides"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137765232&doi=10.1080%2f15568318.2022.2116739&partnerID=40&md5=6d4dc881b500d5edd077b7ff15af0cd5","Freight transportation; fuel supply chain; hydrogen fuel cell vehicles; hydrogen refueling infrastructure; life cycle assessment","North America; Alternative fuels; Decision making; Environmental management; Fossil fuels; Freight transportation; Fuel cells; Greenhouse gases; Hydrogen fuels; Investments; Logistics; Supply chains; Trucks; Freight transport; Freight trucks; Fuel supply; Fuel supply chain; Hydrogen fuel cell vehicles; Hydrogen refueling; Hydrogen refueling infrastructure; Hydrogen-fuelled; Life cycle assessment; Life cycle impacts; alternative fuel; comparative study; decision making; emission control; emission inventory; feasibility study; freight transport; fuel consumption; hydrogen; life cycle analysis; mitigation; supply chain management; transportation infrastructure; transportation planning; trucking; Life cycle"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125999872&doi=10.1080%2f15568318.2022.2039978&partnerID=40&md5=fdd86f49ee90ae2c927bd1f988718773","Environmental aspects; strategic choice of measures; Sweden; system perspective; transport and land-use planning","Stockholm [Sweden]; Sweden; Environmental protection; Land use; Sustainable development; Environmental aspects; Infrastructure project; Land Use Planning; Strategic choice; Strategic choice of measure; Sweden; System perspective; Transport and land use; Transport and land-use planning; Transport infrastructure; development project; environmental planning; land use planning; planning process; transportation infrastructure; transportation planning; Planning"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132893813&doi=10.1080%2f15568318.2022.2090036&partnerID=40&md5=7b40002298c5d36523448ac72bf45842","built environment; low-income neighborhoods; multigroup structural equation model; Walkability","Brazil; Rio de Janeiro [Brazil]; Rio de Janeiro [Rio de Janeiro (STT)]; Sao Paulo [Brazil]; Sao Paulo [Sao Paulo (STT)]; Economics; Built environment; Low incomes; Low-income communities; Low-income neighborhood; Multi-group; Multigroup structural equation model; Neighbourhood; Real-estates; Structural equation models; Walkability; low income population; neighborhood; numerical model; perception; regression analysis; walking; Investments"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144226253&doi=10.1080%2f15568318.2022.2152402&partnerID=40&md5=6cb3d1908b7a80e683606b59f7846702","Active transportation; bicycles; clusters; e-bikes; speed-pedelecs; the Netherlands; user groups","Cluster analysis; Sporting goods; Urban transportation; Active transportations; Cluster; High Speed; Maximum speed; Policy intervention; Speed-pedelec; The netherland; Urban transportation systems; User groups; Bicycles"
