"Title","Year","Link","Abstract","Author Keywords","Index Keywords"
"Information of employee decisions and stock returns in the Korean stock market","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139213749&doi=10.1111%2firfi.12394&partnerID=40&md5=2fc564eb360622e4385226ab77c1abc0","We study the role of rank-and-file employees on asset prices in the Korean stock market using monthly labor flow data from the national pension subscription descriptions. We find that firms experiencing high net labor outflows have lower future risk-adjusted returns. This return predictability is found to originate mainly from gross labor outflows. We further show that the workers' labor market decisions better reflect information on the firms' fundamentals when firm sales are greater related to wages or when workers can more easily transfer to better jobs. Finally, we confirm the workers' ability to predict firm performance. © 2022 International Review of Finance Ltd.","labor flows; labor market; rank-and-file employees; stock returns",""
"Rare disaster, economic growth, and disaster risk management with preferences for liquidity","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174830828&doi=10.1111%2firfi.12437&partnerID=40&md5=94f15ded25b278c5a6e27a56d5fb581c","This paper examines the effect of preferences for liquidity on the relationship between disasters and growth along with disaster risk management. It further demonstrates that preferences for liquidity lead to less consumption. Moreover, from preferences for liquidity perspective, our model can potentially reconcile the conflicting predictions on the interaction between disasters and growth in the empirical findings. Finally, we find that preferences for liquidity cause policymakers to become more incentivized in mitigating disaster risk and lead them overestimate the welfare benefit of policy instruments. © 2023 International Review of Finance Ltd.","economic growth; preferences for liquidity; rare disaster; risk management",""
"COVID-19 and ESG preferences: Corporate bonds versus equities","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104775448&doi=10.1111%2firfi.12351&partnerID=40&md5=1011ddbdbf531dd0e569718279a0ae36","I examine investors' within ESG investment preferences during the COVID-19 pandemic by investigating the return spillover effects across the three different corporate bonds and equities-based investment strategies. Investors prefer making investments in ESG leaders in the investment-grade corporate bond market over ESG leaders in the equity and high yield corporate bond markets during times of uncertainty. It suggests that capital flows away from high yield corporate bond and equity markets to the investment-grade corporate bond market. Investors find refuge in firms with relatively higher ESG ratings and creditworthiness in the fixed income market over the equity market during crisis periods. © 2021 International Review of Finance Ltd.","corporate bonds; COVID-19; equity; ESG leaders",""
"Bank risk-taking in a mixed duopoly: The role of the state-owned bank","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114444881&doi=10.1111%2firfi.12366&partnerID=40&md5=9ef58a4c6f2bcb88219a2b7e3f13bf60","We analyze the role of a state-owned bank, whose objective is to maximize social welfare, in a credit market with a mixed duopoly. The equilibrium reveals that the state-owned bank is exposed to lower credit risk than the private bank. Furthermore, when the deposit rate is raised by the monetary authority, both banks exert socially beneficial higher monitoring efforts. In modified models, we explore the effects of the cost-inefficiency and the political view of the state-owned bank. Extensions on partial nationalization, mixed oligopoly with multiple private banks, and the case of loan differentiation with price competition are also discussed. © 2021 International Review of Finance Ltd.","credit market; mixed duopoly; risk-taking; state-owned bank",""
"Do non-controlling blockholders with common ownership monitor controlling shareholders effectively? Evidence from China","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197472551&doi=10.1111%2firfi.12463&partnerID=40&md5=aaca033b9ac9c5d9c77bca6d193a42ca","Using a sample of Chinese listed firms during 2007–2020, we find that non-controlling blockholders (NCBs) with common ownership can exert effective monitoring on dominant owners' self-dealing behaviors captured by financial misconducts related to controlling shareholders. This effect is concentrated among state-owned enterprises (SOEs), especially for the common NCBs holding only SOEs. Finally, the monitoring effect is particularly evident when firms have more peer firms, when common NCBs hold more firms within the same industry, when common NCBs exert stronger exit threats, or when common NCBs hold long investment horizons, indicating that common ownership enhances NCBs' incentives and abilities to identify and curb controlling shareholders' misbehaviors. © 2024 International Review of Finance Ltd.","common ownership; financial misconducts; non-controlling blockholders; principal-principal conflict",""
"Political institutions and corporate risk-taking: International evidence","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164312125&doi=10.1111%2firfi.12423&partnerID=40&md5=395362684b51ab38a08d0915008d2f55","Tapping into firm-level accounting data across 90 countries over a 26-year period, we find that sound political institutions are positively associated with corporate risk-taking. This result is economically significant, robust to alternative proxies for corporate risk-taking and political institutions, and continues to hold after mitigating endogeneity concerns of political institutions. We also collect evidence that sound political institutions may compensate for weak legal institutions in inducing corporate risk-taking. We argue that sound political institutions improve the investment environment for firms and can induce higher levels of corporate risk-taking, which is ultimately associated with economic growth. © 2023 The Authors. International Review of Finance published by John Wiley & Sons Australia, Ltd on behalf of International Review of Finance Ltd.","behavioral theory of the firm; firm size; legal institution; managerial risk-taking; profitability",""
"Local green finance policies and corporate ESG performance","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159911814&doi=10.1111%2firfi.12417&partnerID=40&md5=f07d2b1b2f201f17d26cf111daf87073","Based on China's government-business relations theory, we use difference-in-differences and causal forest to find that local green finance policies can significantly enhance corporate ESG performance especially for nonstate-owned companies, companies with high levels of executive social capital, non-heavily polluting companies, and companies in developed regions. We also find that the corporate financing constraint mitigation effect and the regional environmental regulation effect of local green finance policies are important mechanisms for promoting corporate ESG performance. Additionally, local green finance policies can strengthen the positive role of corporate ESG performance in enhancing corporate value, which is conducive to corporate sustainability. © 2023 International Review of Finance Ltd.","causal forest; corporate ESG performance; difference-in-differences; government-business relations; local green finance policies",""
"Political protection: The case of large-scale oil spills and the stock prices of energy firms","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185931976&doi=10.1111%2firfi.12446&partnerID=40&md5=21630448e8024521df880d4bb5182bdc","In this study, we utilize a sample of publicly traded US energy firms to investigate the stock market responses to 40 large-scale oil spills. Our findings reveal that the stock prices of extraction and refining firms experience significant declines during the periods surrounding these oil spill incidents, and energy pipeline firms exhibit a relatively smaller decrease. These results underscore the risk exposure shared by all energy firms, irrespective of their direct involvement in the oil spill incident. Furthermore, our study uncovers an intriguing dynamic—the influence of political connections established through lobbying activities. We observe that these political ties serve to significantly mitigate the negative market reactions to oil spills. Our results suggest that, from the market's perspective, firms with political connections are less vulnerable to the impending costs associated with oil spills when compared to their non-politically connected counterparts. © 2024 International Review of Finance Ltd.","energy stock prices; financial markets; lobbying; oil spills; political connections",""
"Economic policy responses to the COVID-19 pandemic and growth of nonperforming loans","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112138158&doi=10.1111%2firfi.12362&partnerID=40&md5=ce88fa15d7316c1d038c79ec353a2019","In this paper, we investigate the relationship between various economic policy responses to the COVID-19 pandemic (liquidity support, prudential policies, borrower support, asset purchase, and policy rate decisions) and the growth of nonperforming loans (NPLs) in 2020 across 47 economies. Controlling for other relevant determinants of NPLs, our regression analyses show that economies in which policymakers have used prudential and borrower support measures reported significantly slower growth of aggregate NPLs. The prudential measures also confirmed a more robust relationship with NPL reductions compared with borrower support measures. Added to this, non-mortgage consumer loans are found to be more sensitive than mortgage loans to economic policy responses. © 2021 International Review of Finance Ltd.","COVID-19 pandemic; default; economic policy; nonperforming loans",""
"Climate risks and forecastability of the weekly state-level economic conditions of the United States","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167656998&doi=10.1111%2firfi.12431&partnerID=40&md5=fa13fcab904ab332d8224e8e15d890e6","In this paper, we first utilize a dynamic factor model with stochastic volatility (DFM-SV) to filter out the national factor from the local components of weekly state-level economic conditions indexes of the United States (US) over the period of April 1987 to August 2021. In the second step, we forecast the state-level factors in a panel data set-up based on the information content of corresponding state-level climate risks, as proxied by changes in temperature and its SV. The forecasting experiment depicts statistically significant evidence of out-of-sample predictability over a one-month- to one-year-ahead horizon, with stronger forecasting gains derived for states that do not believe that climate change is happening and are Republican. We also find evidence of national climate risks in accurately forecasting the national factor of economic conditions. Our analyses have important policy implications from a regional perspective. © 2023 International Review of Finance Ltd.","climate risks; dynamic factor model with stochastic volatility; forecasting; panel predictive regression; state-level economic conditions",""
