Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Investigating the relationship between processes and profit: A work-based assessment of process used in Australian financial planning firms,2024,Journal of Finance and Data Science,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189832862&doi=10.1016%2fj.jfds.2024.100128&partnerID=40&md5=62d6ab7b09bac35fc14545f4062637cc,"The research explores relationship dynamics between process and profit in Australian professional practise. We analyse data collected from 134 financial planning firms located in Southeast Queensland as a sample size. The research introduces a complete financial planning process framework designed to measure the impact that process may have on the relationship with firm profit. Quantitative profit data was recorded using Dovetail software to capture results and evidence regression between groups. The research found that firms’ processes are positively associated with profit, and both process and profit contribute to the decreasing influence of firm agency theory. The research suggests that process could be leveraged as an asset to develop commercial advantages. The research may help identify new measures of standard practise, develop the perception of Australian financial firms and assist to reduce barriers of accessing financial services. © 2024 The Authors",Agency Theory; Financial planning; Process; Profit,
Overlooked biases from misidentifications of causal structures,2024,Journal of Finance and Data Science,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188247432&doi=10.1016%2fj.jfds.2024.100127&partnerID=40&md5=04833ce58781aba3eadb797081005b9f,"Testing theories and explaining phenomena in empirical finance often requires estimating causal effects from observational data. In this note, we argue that some of the standard practices to address endogeneity concerns in regression-based estimation approaches can, when not correctly implemented and their results not appropriately interpreted, generate additional, often overlooked, problems. We identify three main systemic issues in empirical finance, provide theoretical and numerical examples to illustrate and support our arguments, and propose solutions to overcome these limitations. Overall, we suggest that these issues are caused by a systematic underestimation of the importance of robust ex-ante identification, and interpretation, of causal structures in empirical studies in finance. © 2024 The Authors",Causal inference; Empirical finance; Identification,
Cluster-based regression using variational inference and applications in financial forecasting,2024,Journal of Finance and Data Science,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194163761&doi=10.1016%2fj.jfds.2024.100130&partnerID=40&md5=9eb98cfeddd6f730a25feac2a22ffaab,"This paper describes an approach to simultaneously identify clusters and estimate cluster-specific regression parameters from the given data. Such an approach can be useful in learning the relationship between input and output when the regression parameters for estimating output are different in different regions of the input space. Variational Inference (VI), a machine learning approach to obtain posterior probability densities using optimization techniques, is used to identify clusters of explanatory variables and regression parameters for each cluster. From these results, one can obtain both the expected value and the full distribution of predicted output. Other advantages of the proposed approach include the elegant theoretical solution and clear interpretability of results. The proposed approach is well-suited for financial forecasting where markets have different regimes (or clusters) with different patterns and correlations of market changes in each regime. In financial applications, knowledge about such clusters can provide useful insights about portfolio performance and identify the relative importance of variables in different market regimes. An illustrative example of predicting one-day S&P change is considered to illustrate the approach and compare the performance of the proposed approach with standard regression without clusters. Due to the broad applicability of the problem, its elegant theoretical solution, and the computational efficiency of the proposed algorithm, the approach may be useful in a number of areas extending beyond the financial domain. © 2024 The Authors",Financial forecasting; Machine learning; Regression; Variational inference,
Explicit formulae for the valuation of European options with price impacts,2024,Journal of Finance and Data Science,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195019246&doi=10.1016%2fj.jfds.2024.100133&partnerID=40&md5=88dcdc99bdaa136b6726181be7eade07,"In this work, we examine the consequences of trading a large position in vanilla European options within a multi-period binomial model framework for the underlying asset price, S. Given the significant size of the transaction, we expect both the derivative's price and the underlying asset's price to be affected by market impacts. Consequently, derivative valuation should incorporate these effects. To address this, we not only utilize a multi-period binomial model to represent the price process S but also incorporate trading impacts in a multiplicative manner. Moreover, we conduct our analysis in discrete time to better capture the influence of price impacts. Our findings suggest, for instance, that the strike price should be determined by both the trade's magnitude and parameterized market impacts. We present explicit formulas for European option prices under market impacts and offer numerical examples to elucidate our findings. Upon request, we can provide code implemented in the statistical package R. © 2024 The Authors",91B24; 91B70; 91G15; 91G30; Multi-period binomial model; Price impacts; Valuation of derivatives,
CPC-SAX: Data mining of financial chart patterns with symbolic aggregate approXimation and instance-based multilabel classification,2024,Journal of Finance and Data Science,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195570951&doi=10.1016%2fj.jfds.2024.100132&partnerID=40&md5=f35380349818cd6305f1f7e528523319,"In order to be able to classify financial chart patterns through machine learning, we introduced and applied a novel classification algorithm on time series data of different financial assets through SAX (Symbolic Aggregate approXimation), a transformation algorithm. After applying a linear regression model on the features of a dataset to reduce the number of parameters needed, converting real valued data to strings of characters through Piecewise Aggregate Approximation (PAA) and labelling each level increasingly with Latin alphabets characters, the new algorithm called CPC-SAX (Chart Pattern Classification) compares vectors describing the ASCII value changes along the string and classifies them using already labelled SAX-transformed data. The results show satisfying accuracy scores on data of different time windows and types of assets. We also obtain information on the appearance of said patterns. By reaching our goal of properly classifying chart patterns as they appear, we can have a better indication of the future price trend, allowing the investor/trader to make better informed decisions. © 2024 The Authors",Chart Patterns; Classification; Multilabel; SAX; Time Series,
Deep unsupervised anomaly detection in high-frequency markets,2024,Journal of Finance and Data Science,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191445825&doi=10.1016%2fj.jfds.2024.100129&partnerID=40&md5=479efe8b5690a2bd305f984c2aa18eb2,"Inspired by recent advances in the deep learning literature, this article introduces a novel hybrid anomaly detection framework specifically designed for limit order book (LOB) data. A modified Transformer autoencoder architecture is proposed to learn rich temporal LOB subsequence representations, which eases the separability of normal and fraudulent time series. A dissimilarity function is then learned in the representation space to characterize normal LOB behavior, enabling the detection of any anomalous subsequences out-of-sample. We also develop a complete trade-based manipulation simulation methodology able to generate a variety of scenarios derived from actual trade–based fraud cases. The complete framework is tested on LOB data of five NASDAQ stocks in which we randomly insert synthetic quote stuffing, layering, and pump-and-dump manipulations. We show that the proposed asset-independent approach achieves new state-of-the-art fraud detection performance, without requiring any prior knowledge of manipulation patterns. © 2024 The Authors",Deep learning; Dissimilarity model; Limit order book; Time series anomaly detection; Trade–based manipulation; Unsupervised learning,
Research on credit card default repayment prediction model,2024,Journal of Finance and Data Science,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198569851&doi=10.1016%2fj.jfds.2024.100136&partnerID=40&md5=ddc3ddf513503742f14850b62e670631,"This study compares the predictive ability of various machine learning models for credit card default repayment within different prediction frameworks, using data from a commercial bank in China. Firstly, utilizing different tree models, we explore the impact on post-default repayment of different factors. Next, a split-sample time series prediction is carried out with two neural network algorithms, BPNN and ELM. The outcomes indicate that, ELM yields a significantly superior prediction performance compared to the BPNN model. Thirdly, the predictive performances of ten machine learning models are compared using full-sample data. The findings demonstrate that XGBoost and ELM models have superior predictive performances in full-sample analyses. Fourthly, this study employs the EMD data decomposition technique to examine the predictive ability of the XGBoost and ELM models in various frequency data. The results indicate that the predictive efficacy may differ depending on the frequency and repayment period after default. The findings are valuable for commercial banks in developing a framework and selecting a methodology to address the challenge of predicting credit card default payments. © 2024 The Authors",Credit card default repayment; ELM; EMD; XGBoost,
Revising data collection methodology - evidence from the Australian financial sector,2024,Journal of Finance and Data Science,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194333858&doi=10.1016%2fj.jfds.2024.100131&partnerID=40&md5=33fd642089b0c030ad93b6ad454a7358,Time requirements of data collection account for a significant portion of the total time required to provide financial advice. This research applies data collection software to the financial planning process seeking to identify benefits that may assist to reduce rising barriers of accessing financial advice. Experimental two-phase study seeks qualitative input surrounding problematic themes before quantitative input records impacts of data collection software use. The research seeks to evidence beneficial impacts that software use may have on the data collection requirements by way of comparison between traditional and software methodologies in Australian professional practice. Respondents were asked to complete data collection inputs using both traditional and digital methods with metrics recorded throughout the process. Input from 112 consumers and 71 practising advisers were recorded. Results suggest the use of software may decrease time taken to complete task and often results in higher levels of data accuracy. Traditional methods were affiliated with extended time periods and lower levels of data accuracy. Results aim to evolve methods of traditional practise within the financial sector. The research provides original contributions to financial planning literature by examining the potential impact data collection methodologies may have on reducing barriers to accessing financial services in Australia. © 2024 The Authors,Data collection; Experimental study; Financial planning,
An analysis of conditional mean-variance portfolio performance using hierarchical clustering,2023,Journal of Finance and Data Science,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185917397&doi=10.1016%2fj.jfds.2023.100112&partnerID=40&md5=f8d8da099a366f83bf3e77374511c9d9,"This paper studies portfolio optimization through improvements of ex-ante conditional covariance estimates. We use the cross-section of stock returns over a 52-year sample to analyze trading performance by implementing the machine learning algorithm of hierarchical clustering. We find that higher out-of-sample risk-adjusted returns are achieved relative to the traditional Markowitz portfolio through hierarchical clustering using a 3-month buy-and-hold, long-only strategy. Additionally, the average change in portfolio weights at each rebalancing period is significantly lower for the portfolio formed using machine learning relative to Markowitz, decreasing investor trading costs. The results are robust to various settings and subsamples. © 2023 The Authors",Asset allocation; Asset pricing; Covariances; Machine learning,
A dynamic partial equilibrium model of capital gains taxation,2023,Journal of Finance and Data Science,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180353547&doi=10.1016%2fj.jfds.2023.100111&partnerID=40&md5=1d15f3dd0ae9fe7ebeacb0a234e6939a,"We analyze a multi-period model of capital gains taxation with endogenous prices. Relative to an economy without taxation, a capital gains tax tends to lower prices and increase returns. Abstracting from tax redistribution policies, we find that a taxable investor's welfare falls, a nontaxable investor's welfare rises, and, depending on the tax rate, social welfare may either rise or fall. The taxable investor's tax-timing option increases social welfare but may either increase or decrease tax revenue. Tax rebates for capital losses have little effect on welfare or tax revenue. Implications for empirical asset pricing are identified. © 2023 The Authors",Asset pricing; Asset pricing theory; Capital gains taxation; Taxation,
Portfolio optimization using cellwise robust association measures and clustering methods with application to highly volatile markets,2023,Journal of Finance and Data Science,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85154035057&doi=10.1016%2fj.jfds.2023.100097&partnerID=40&md5=48b161d4ce19bc5c57273dbc16549696,"This paper introduces the minCluster portfolio, which is a portfolio optimization method combining the optimization of downside risk measures, hierarchical clustering and cellwise robustness. Using cellwise robust association measures, the minCluster portfolio is able to retrieve the underlying hierarchical structure in the data. Furthermore, it provides downside protection by using tail risk measures for portfolio optimization. We show through simulation studies and a real data example that the minCluster portfolio produces better out-of-sample results than mean-variances or other hierarchical clustering based approaches. Cellwise outlier robustness makes the minCluster method particularly suitable for stable optimization of portfolios in highly volatile markets, such as portfolios containing cryptocurrencies. © 2023 The Authors",Cellwise robustness; Distance correlation; Hierarchical clustering; Linkage; Portfolio allocation; Risk contribution,
What do we learn from stock price reactions to China's first announcement of anti-corruption reforms?,2023,Journal of Finance and Data Science,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152122751&doi=10.1016%2fj.jfds.2023.100096&partnerID=40&md5=82bf7ca07b6adcc4cc78190127c9ef54,"China's markets gained 3.86% around December 4, 2012, when the Party announced anti-corruption reforms. State-owned enterprises (SOEs) with higher past entertainment and travel costs (ETC) gained more. NonSOEs gained in more liberalized provinces, especially those with high past ETC, productivity, growth opportunities, and external financing. NonSOEs lost in the least liberalized provinces, especially those with high past ETC. These findings support investors' expect reduced official corruption to create value overall, reduce SOE waste, lower bureaucratic barriers to efficient resource allocation where markets function, and impede business in unliberalized provinces, where “getting things done” still requires investment in greasing bureaucratic gears. © 2023 The Authors",China; Corruption; Event study; Market liberalization; Shareholder value,
Stock pledged loans and market crash risk: Evidence from China,2023,Journal of Finance and Data Science,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175567723&doi=10.1016%2fj.jfds.2023.100104&partnerID=40&md5=f511685ea823ddd4c08ddb6bb20c1050,"Stock pledged loans have become prevalent among large shareholders of listed firms in China. The largest shareholder pledges a greater fraction of her holdings as collateral for credit when the firm is in growth industries, less profitable, not state owned, and has higher leverage. Stock performance of highly pledged firms is indistinguishable from that of firms with low pledge ratios in 2017. During 2018, however, highly pledged firms have worse stock returns and operating performance, and experienced ‘contagion’ – the crash risk of one highly pledged stock spreading to others. Using a regulatory reform in 2013 that allowed securities companies to provide stock pledged loans, we find that obtaining these personal loans had no adverse effects on the firms when the pledge ratio was low. Overall, forced sales of pledged stocks and worsened agency conflict are responsible for the poor performance of highly pledged firms during the 2018 bear market. © 2023 The Authors",Largest shareholder; Momentum; Related-party transactions; Return; Stock pledged loan,
The applications of big data in the insurance industry: A bibliometric and systematic review of relevant literature,2023,Journal of Finance and Data Science,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170243753&doi=10.1016%2fj.jfds.2023.100102&partnerID=40&md5=48c8e499f689b67729fbfe72798b2f10,"The insurance industry has changed rapidly over the last few decades. One factor in this change is the continuous growth of massive amounts of data that need to be processed properly to be optimally utilized. This has led to a strong wave of advanced processing technologies that can systematically manage big datasets, such as machine learning and artificial intelligence. This study analyzes the current state of research on big data and insurance. Bibliometric analysis and a systematic review were conducted to analyze the patterns and trends of the subject area, with the main focus on citations as a key measurement unit. This analysis is important to fill the existing gap in the examined area because no other bibliometric analysis has been conducted previously on the same subject; it will also help in establishing a scientific background for future research. The research findings verify that the United States is the most popular and cited country in the research area of big data and insurance at both the single authorship and co-authorship levels. Finally, the major impact of the relationship between big data and the insurance sector was marked by human-related aspects. © 2023 The Authors",Bibliometric analysis; Big data; Insurance; Insurance industry; Risk,
Topological tail dependence: Evidence from forecasting realized volatility,2023,Journal of Finance and Data Science,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176118266&doi=10.1016%2fj.jfds.2023.100107&partnerID=40&md5=7b4ef1603ceb49db56cc19fa255df1f6,"This paper proposes a novel theory, coined as Topological Tail Dependence Theory, that links the mathematical theory behind Persistent Homology (PH) and the financial stock market theory. This study also proposes a novel algorithm to measure topological stock market changes as well as the incorporation of these topological changes into forecasting realized volatility (RV) models to improve their forecast performance during turbulent periods. The results of the empirical experimentation of this study provide evidence that the predictions drawn from the Topological Tail Dependence Theory are correct and indicate that the employment of PH information allows nonlinear and neural network models to better forecast RV during a turbulent period. © 2023 The Authors",NBEATSx; Neural networks; Realized volatility forecasting,
The cross-section of Chinese corporate bond returns,2023,Journal of Finance and Data Science,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164715696&doi=10.1016%2fj.jfds.2023.100100&partnerID=40&md5=96d21d71b794748a021dfc906d43bfce,"We study the relation between bond characteristics and corporate bond returns in China's two distinct and segmented bond markets—the interbank market and the exchange market—with a large cross-sectional dataset of 8318 corporate bonds from January 2010 to December 2022. Corporate bonds with large sizes, long maturities, old ages, poor credit ratings and large Amihud illiquidity earn high monthly returns in the interbank market. The return predictive patterns of bond size, time to maturity, and credit rating are similar in the exchange market, but bond age and Amihud illiquidity predict returns in the opposite direction, implying market segmentation. We construct two factors based on credit rating and Amihud illiquidity to represent the common risk of corporate bonds—credit risk and liquidity risk—and use the Hansen-Jagannathan distance to evaluate the performances of factors in explaining the returns of corporate bond portfolios. We find that the two characteristic-based factors help reduce the model specification errors of the five factors in Fama and French (1993). © 2023 The Authors",Bond characteristics; Chinese corporate bond; Hansen–Jagannathan distance; Interbank and exchange markets,
