"Title","Year","Link","Abstract","Author Keywords","Index Keywords"
"Does culture matter? Corporate reputation and sustainable satisfaction in the Chinese and German banking sector","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175839613&doi=10.1057%2fs41270-023-00259-x&partnerID=40&md5=18e5f009af58aacc4797d501013fd1ac","Corporate reputation is important for all types of banks across the world, despite these countries differing culturally. Building on an extended corporate reputation model, we identify the key drivers of customer-based reputation and sustainable customer satisfaction in two culturally different countries, namely China and Germany. We also consider two reputation dimensions—perceived competence and likeability—and their effects on the target construct. Empirical data from 625 German and 734 Chinese commercial bank customers allow us to estimate the corporate reputation model with the partial least squares structural equation modeling (PLS-SEM) method, and by substantiating the relationships by means of a necessary condition analysis (NCA) and a predictive power analysis. By comparing the two countries’ results, we identify their cultural differences. Overall, we confirm the model’s relevance for the two cultures, finding that banks’ perceived attractiveness is the most important driver of both cultures’ customer-perceived bank reputation. By means of an importance-performance map analysis, we identify a large overlap between the two cultures’ set of important constructs, likeability’s much greater importance in Germany, and the perceived quality construct’s relevance in both countries. We contribute to research and scientific knowledge about corporate reputation models by identifying the similarities in and differences between two countries’ markets with respect to the banking sector, all of which have implications for international banks’ management. © The Author(s) 2023.","Commercial banks; Customer-perceived reputation; PLS-SEM; Sustainable satisfaction",""
"Social relationships as strategic variable in the sharing economy: an empirical analysis of accommodation-sharing market","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190804731&doi=10.1057%2fs41270-024-00299-x&partnerID=40&md5=bf85ae58709a879e05c67aaefd37dbdb","Accommodation services are perceived by consumers as possessing a greater purchase risk compared to goods, especially in first-purchase situations and during international travel. To mitigate this risk, consumer prospects look for cues that indicate the quality of service they can expect. This research investigates the role of social relationships in consumer purchase decision-making within rapidly growing accommodation sector of the sharing economy. Utilizing Airbnb’s social connection feature, consumers can see how they are socially connected with Airbnb hosts worldwide. We employ a censored proportional hazard model on a sample of 4,316 consumer prospects who have used social connection feature at least once. Additionally, we re-estimate the model using a propensity score matched sample of 8,632 consumers. The study reveals a positive association between the use of social connection feature and the hazard rate. Specifically, findings indicate that the using social connection feature for searching for accommodation reduces the time to make a first purchase. The article discusses the managerial implications of these findings. © The Author(s) 2024.","Bayesian models; Information search; Perceived risk; Sharing economy; Social relationships",""
"I will buy virtual goods if I like them: a hybrid PLS-SEM-artificial neural network (ANN) analytical approach","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170388258&doi=10.1057%2fs41270-023-00252-4&partnerID=40&md5=5ce1dc0d61ece5f69d159e15b92ecae9","Despite the popularity of Free-to-Play (F2P) games in recent years, the motivations behind players’ intention to purchase virtual goods in F2P games still require further investigations. This study aims to address this dilemma by investigating the antecedents of functional, emotional, and social values in shaping the purchase intention of virtual goods in F2P games. Using purposive sampling, data were collected through a survey from 352 F2P game participants in the United States. A hybrid PLS-SEM-Artificial Neural Network (ANN) modeling approach was employed to examine the impact of these factors on the intention to purchase virtual goods. The results reveal that perceived value positively influences the purchase intention of virtual goods. The findings also show that functional, emotional, and social values significantly impact the perceived value and purchase intention of virtual goods. Further, perceived value mediates the relationship between quality, achievement, enjoyment, aesthetics, customization, self-presentation, and the intention to purchase virtual goods. The ANN results reveal that quality and social presence are the most critical factors since they achieve the greatest normalized importance ratio compared to the others. The model illustrated considerable explanatory evidence for purchase intention in the context of F2P games. Additionally, this research significantly strengthens the marketing literature by developing an understanding of the intention to buy virtual goods in F2P games. The proposed model can provide insights for F2P game providers to design their games and marketing strategies. © The Author(s), under exclusive licence to Springer Nature Limited 2023.","Artificial neural network (ANN); Consumption value theory; F2P games; Perceived value; PLS-SEM; Purchase intention; Virtual goods",""
"Not your fault, but your responsibility: worsened consumer sentiment on work-from-home products","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192733598&doi=10.1057%2fs41270-024-00315-0&partnerID=40&md5=ae5ca5e65de4bbce39cfe80fdd765600","This study analyses the evolution of people’s sentiment towards Work from Home (WFH)-related products during the pandemic, using user-generated content from social media platform X on responses for the largest US online furniture stores. We find that people interacted more about WFH products during the Covid-19 lockdowns, but sentiment towards WFH products worsened. For some online furniture stores, Covid-19 restrictions may explain the changes in sentiment, but firms’ idiosyncrasies also play a role. The methodology of this study allows companies to assess the impact of external effects on customers’ sentiments, allowing them to identify specific problems and to connect more naturally with their customers. © The Author(s), under exclusive licence to Springer Nature Limited 2024.","Covid-19; Electronic word of mouth; Sentiment analysis; Work from home",""
"Randomized, Multicenter, Parallel-Arm (RMPA) research trial design: a potential solution to survey length, response rate and data quality in social science research","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161801311&doi=10.1057%2fs41270-023-00233-7&partnerID=40&md5=47f1978836b998acb5f680b8baf7c51f","Previous research has shown that long surveys negatively impact response rate and can negatively impact the quality of the data collected through respondent fatigue. Several solutions have been tried including survey design, incentivizing respondents, esthetically enhancing surveys, infusing secondary data and shortening the scales; however, these actions create their own problems that further impact the quality of data. The purpose of this paper is to illustrate the use of a modified version of a commonly used method in medical research, Randomized, Multicenter, Parallel-Arm Research Design. This methodology is proposed as a solution to lengthy surveys in social science research for specific types of applications. Using a typology research example, a survey with 1020+ items was divided (into three parallel arms) using this methodology, given to different respondents (randomly across multiple centers), later recombined and analyzed. Exploratory results demonstrate the potential of the methodology for use in social science research. The most critical element to ensure successful use of this methodology is the creation of relevant inclusion criteria for the samples of interest. © 2023, The Author(s), under exclusive licence to Springer Nature Limited.","Multi-Arm Research; Recombining survey data; Survey length",""
"Using Google Trends to predict and forecast avocado sales","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160409275&doi=10.1057%2fs41270-023-00232-8&partnerID=40&md5=6d9f11ae22fdec7f5858693c581d03e6","Making a successful sales prediction or forecasting in retail markets remains challenging despite years of practice and efforts. In this study, we attempt to address this challenge by incorporating the Google Trends search data into traditional time series models that feature geodemographic and industrial-level variables for the purpose of predicting Hass avocado sales in different regions of the United States. The results imply that, for conventional Hass avocados, the use of Google Trends search data can produce better predictions than the models without Google Trends search data. Moreover, using categorized Google Trends search data can improve predictive results even more. However, the models with Google Trends search data fail to improve the predictive power for the consumption of organic Hass avocados. The results suggest that categorized Google Trends search data can be helpful in improving prediction and forecasting for various business stakeholders in general. © 2023, The Author(s), under exclusive licence to Springer Nature Limited.","Data visualization; Forecasting; Geodemographics; Google Trends; Predictive analytics",""
"Different ethnicities with different fashion preferences, or one nationality with similar fashion preferences?","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141201990&doi=10.1057%2fs41270-022-00193-4&partnerID=40&md5=aecd194650d238604dcfcbf298bf53c3","This study assumes that the young generation in the US is demographically diverse but psychologically alike, especially in their shopping behaviors and fashion preferences; therefore, businesses might not need to differentiate their offers, in contrast to the suggestions of past research. The purpose of this study is to examine whether young female consumers from different races/ethnicities/cultures show heterogeneous or homogeneous shopping orientations and preferences toward fashion products. This study is quantitative research with two separate surveys. In contrast to the previous literature, the results showed homogenous shopping orientations and fashion attribute and style preferences among the young ethnic groups in the US. Marketers and educators are recommended to consider the homogeneity of today’s young female consumers’ fashion preferences, while respecting the diversity/heterogeneity of demographics among ethnic groups. © The Author(s), under exclusive licence to Springer Nature Limited 2022.","Cultural competency; Diversity; Equity; Ethnicity; Fashion preference; Inclusion; Shopping orientation",""
"A new approach to understanding involvement: linking involvement to the memorability of experience","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187464527&doi=10.1057%2fs41270-024-00295-1&partnerID=40&md5=6c2cfedec03cf1e70223fe9e261903ab","Based on the involvement literature, the current research redefines the involvement theory and proposes a new form of involvement, namely situated involvement. The research, then, develops a scale to measure this involvement employing a mixed methods procedure. Afterward, the relationships between enduring, response, and situated involvements as well as the memorability of experience are investigated using structural equation modeling (SEM). The results from a survey of 317 tourists in Queenstown, New Zealand show that the memorability of experience is only impacted by situated involvement, the type of involvement which occurs during an experience. Enduring and response involvements are found to influence situated involvement, and enduring involvement predicts response involvement. © The Author(s) 2024.","Involvement; Memorability of experience; Mixed methods; Scale development",""
"Analytics for all marketing majors: sparking interest in the uninterested","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182807980&doi=10.1057%2fs41270-023-00283-x&partnerID=40&md5=cf23f1695ba60ecba95ccb09581b904f","Marketing analytics has an impact on the role of every marketer in some way. However, faculty members often face challenges when recruiting students for courses focused on analytics, and many marketing students tend to avoid quantitative courses due to fear and hesitation. The lack of marketing pedagogy with classroom activities designed to help educators showcase marketing analytics as engaging, interesting, and practical adds to the problem. To meet this need, this paper presents a classroom activity focused on building interest in marketing analytics, designed to be completed in a single-class period in any marketing course by any instructor, regardless of expertise in analytics. Administered in four different marketing courses at three universities, results show that students experienced a significant increase in their awareness of, interest in, and excitement for marketing analytics. Students also experienced a significant decrease in how intimidating they perceive analytics to be. Qualitative comments provide more detail related to fears or hesitations that were lessened by the course activity. Overall, the results support that this activity provided students with a significant increase in their awareness of, interest in, and excitement for marketing analytics. © The Author(s) 2024.","Marketing analytics; Selling analytics; Teaching analytics",""
"Review of advanced issues in partial least squares structural equation modeling (second edition)","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182431949&doi=10.1057%2fs41270-023-00275-x&partnerID=40&md5=8e379c467108d5de266ec57084dab6d1","[No abstract available]","",""
