"Title","Year","Link","Abstract","Author Keywords","Index Keywords"
"Erratum to: Supplier Resources in the Sharing Economy: Three Regulatory Concerns (Journal of Marketing Channels, (2017), 24, 1, 2, (73–83), 10.1080/1046669X.2017.1393250)","2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038812068&doi=10.1080%2f1046669X.2017.1393250&partnerID=40&md5=a28e4f4e364046db3c3daaeb5197bc95","In the article “Supplier Resources in the Sharing Economy: Three Regulatory Concerns” that appeared in the Journal of Marketing Channels (Volume 24, Issue 1–2, 2017, pp. 73–83), the affiliation of the second author was not correct. We regret the error. The correct author credits for this article should be: Debbie M. Thorne Department of Marketing, McCoy College of Business Administration, Texas State University, San Marcos, Texas, USA Floyd F. Quinn Department of Management, McCoy College of Business Administration, Texas State University, San Marcos, Texas, USA. © 2017, Copyright © Taylor & Francis Group, LLC.","",""
"Relationship Flexibility in a 3PL Context: Impacts of Network Embeddedness, Guanxi, and Explicit Contract","2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951847388&doi=10.1080%2f1046669X.2015.1113490&partnerID=40&md5=7b9bbe803461ee97d53438119d3435c6","Based on governance value analysis, social network theory, and resource dependence theory, this study proposed and tested a conceptual model exploring relationship flexibility in the third-party logistics (3PL) context. It contributes to knowledge of the relationship management and value creation dynamics with 3PL providers, important members of today's marketing channels. Specifically, network embeddedness and explicit contract are found to be positively related to 3PL customer firms' relationship flexibility that further has a positive significant impact on logistics performance. Theoretical contributions and managerial implications are discussed. © 2015, Copyright © Taylor & Francis Group, LLC.","3PL providers; China; explicit contract; guanxi; logistics outsourcing; network embeddedness; relationship flexibility",""
"A perfect storm is facing U.S. supermarkets","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147119781&doi=10.1080%2f1046669X.2020.1739420&partnerID=40&md5=65cc6dd1fe38d4b1eace4da061e3f109","This article discusses a “perfect storm” that has evolved in recent years related to the composition of the U.S. Latino population—a dramatic demographic shift that threatens the economic stability of supermarkets and other retailers that have traditionally focused their services or products on the foreign-born segment of the Latino population. Using spatial analysis of recent data provided by the American Community Survey and the Consumer Expenditure Survey, the study identified four distinct segments of U.S. counties that provide different levels of market potential related to the concentration of native-born and foreign-born Latinos, their English-language proficiency, and their estimated food-at-home expenditures. Based on these findings, suggestions are made for marketers to re-align their marketing strategies to minimize the potential negative consequences of the developing perfect storm. © 2020 Taylor & Francis Group, LLC.","Data mining; Latino population; multivariate cluster analysis; site location analysis; supermarkets",""
"Sustainable Supply Chain Management and the End User: Understanding the Impact of Socially and Environmentally Responsible Firm Behaviors on Consumers' Brand Evaluations and Purchase Intentions","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962045002&doi=10.1080%2f1046669X.2016.1147885&partnerID=40&md5=b0d50ca2ad3c9978d028849be365e87a","Past research considering environmentally and socially sustainable supply chain management practices has demonstrated that focusing solely on upstream activities of the supply chain is no longer sufficient, warranting considerations of consumer perceptions of firm behaviors within the supply chain. This article addresses this directly, offering empirical evidence indicating that sustainable supply chain management practices result in more favorable consumer brand evaluations and increased purchase intentions. This effect is operationalized through consumers' self-brand connections and cognitive dissonance such that sustainable supply chain management simultaneously increases connections between individuals and the brand but decreases the psychological discomfort associated with cognitive dissonance. © 2016, Copyright © Taylor & Francis Group, LLC.","cognitive dissonance; environmental responsibility; self-brand connections; social responsibility; supply chain ethics; sustainable supply chain management; United States",""
"The Use of Technology in Direct-Selling Marketing Channels: Digital Avenues for Dynamic Growth","2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027361067&doi=10.1080%2f1046669X.2017.1346979&partnerID=40&md5=a8aa94c4e03325cbc8a1933d68da8dcb","Technology is transforming industries, challenging traditional marketing channels, and providing digital avenues for dynamic growth. The popularity of digital platforms has disrupted traditional distribution channels, increased reach of social networks, and changed the way people interact. This research examines how advanced technology is enabling direct sellers to create and maintain relationships. It investigates the multidimensional aspect of technology use and advances the proposition that it acts as a strategic success factor for customer relationship performance specifically within the peer-guided marketplace of direct selling. Using a survey of 114 direct sellers, findings suggest that, in general, technology use does enhance direct sellers' ability to create and maintain consumer relationships, especially among less-experienced salespeople. © 2017, Copyright © Taylor & Francis Group, LLC.","customer relationship management; digital business model; digital platform; direct selling; technology use; United States",""
"Waiting in Exit-Stage Operations: Expectation for Self-Checkout Systems and Overall Satisfaction","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994651626&doi=10.1080%2f1046669X.2016.1224309&partnerID=40&md5=4392211c91f163020f3afcb76b2e8252","Retailers have installed self-service technologies such as self-checkout that aim to improve the efficiency of checkout operations and minimize customers’ waiting experiences that reduce customer satisfaction. Customers’ expectation for self-checkout should influence their evaluation of checkout operations for existing checkout options when the new service is installed at the checkout. This study investigates how expectations about self-checkout affects perceptions of waiting in terms of social injustice, unattractiveness, and undistraction as well as customer satisfaction when retailers change checkout operations through installing self-service technologies. The results from an online survey in Japan revealed that social injustice has a stronger negative impact on satisfaction when customers have low expectations for self-checkout. In contrast, unattractiveness and undistraction tend to affect satisfaction negatively when expectation is high. This study clarifies the mechanism of how installing self-service technologies influences customer satisfaction with pre-existing services in terms of the psychological factor of waiting. © 2016, Copyright © Taylor & Francis Group, LLC.","customer satisfaction; Japan; perceptions of waiting; retail operations; self-service technologies; supermarkets",""
"The role of newly emergent wholesalers in the food and drink industry in Japan, c.1880 to 1940: Focusing on the case of Kokubu","2018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147107689&doi=10.1080%2f1046669X.2019.1658013&partnerID=40&md5=06fd48970ee78f78132055ab5f1f4ab4","This article explores the historical development of Japanese wholesalers in the food and drink industry in modern Japan. Despite many criticisms of Japanese wholesalers as being “multi-layered,” “old-fashioned,” and “outmoded,” there were historical reasons for the existence of wholesalers. While the traditional wholesalers remained even after the Meiji Restoration, the new wholesalers emerged by dealing with new products that appeared for the first time in modern Japan. Utilizing the historical conditions of both producers and retailers, the newcomers such as Kokubu boosted their development by innovative activities and gradually superseded the traditional wholesale market, firmly establishing their position as general wholesalers before the Second World War. © 2018 Taylor & Francis Group, LLC.","food and drink industry; Kokubu; marketing history; modern Japan; Wholesale distribution channels",""
"Toward a Taxonomy of Food Supply Chain Security Practices","2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038835734&doi=10.1080%2f1046669X.2017.1393237&partnerID=40&md5=b824135ce359307fec6b2cc5a24145a6","Supply chain security (SCS) breaches in the food supply chains are distressing respective firms across the globe. They also have the potential of inflicting pain on the society at large. Despite the abundance of practices that have been advocated to cope with SCS breaches, the literature lacks a conceptual taxonomy to organize them. Classifying practices into respective taxa can advance theory building and stimulate the testing of substantive hypotheses. Toward this end, we develop a taxonomy which conceptually rests on the human immune system and its attempts to protect the human body from pathogens. We deploy a metaphorical transfer process and postulate that SCS practices can be classified into four classes based on their intent: prevention, detection, reaction, and restoration. We then discuss the implications of the taxonomy and assert that our taxonomy can be exploited to a variety of domains in the realm of risk management. © 2017, Copyright © Taylor & Francis Group, LLC.","classification; food safety; food supply chain; practices; risk; risk management; supply chain security; taxonomy",""
"Some Managerial Thinking About the Sharing Economy","2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027329501&doi=10.1080%2f1046669X.2017.1347006&partnerID=40&md5=feed957283460cdbecfbd85d897bacc3","[No abstract available]","",""
"A Cross-National Comparison of Brand Perceptions of Global Franchise Chains in the BRICS","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994631199&doi=10.1080%2f1046669X.2016.1224304&partnerID=40&md5=b98db9c485a1c5a37b6cb0df210f80a2","This study compares consumers’ brand perceptions across the five BRICS countries. We executed a cross-national comparison of how two United States-based global franchise brands in the fast-food restaurant industry (i.e., McDonald's and Burger King) are perceived by local consumers in a host market. The cultural distance index, drawn from Hofstede's cultural typology, is used to examine cultural influences on the development of brand perceptions. Our findings confirm that the smaller the cultural distance between a host market and the United States the stronger the brand perceptions of the two iconic United States brands. In particular, South African and Indian consumers, where the cultural distance indexes are smaller compared with the United States, perceived McDonald's more positively compared with consumers in Brazil, Russia, and China. Our comparative study demonstrates that generalizations drawn from single-country studies might lead to erroneous conclusions about global marketing strategies such as standardization versus localization. © 2016, Copyright © Taylor & Francis Group, LLC.","brand commitment; brand perception; brand reputation; brand satisfaction; BRICS; cross-national comparison; cultural distance index; global franchising; United States; word-of-mouth",""
