"Title","Year","Link","Abstract","Author Keywords","Index Keywords"
"The power of “Likes”: the effects of “Liked By” and number of likes cues on perceived descriptive norms and behavioral intention to receive the flu vaccine","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165187842&doi=10.1080%2f13527266.2023.2235753&partnerID=40&md5=b7bd5562490612435da37938ae24b1ba","Social media messages promoting vaccination are often presented with information showing (a) the number of Likes received (i.e., ‘number of Likes’ cue) and (b) whether such messages are liked by friends or followers of the recipients (i.e., ‘Liked by’ cue). This study examines if and how these cues influence vaccination intention by implementing an experiment with a 2 (‘Liked by’ cue: no vs. yes) × 2 (‘number of Likes’ cue: low vs. high) between-subjects factorial design with current flu immunization status as a measured moderator. Results from an experimental study (N = 182) showed that exposure to ‘Like’ cues including ‘Liked by’ cue and ‘number of Likes’ cue in a social media post led to favorable behavioral intention toward the flu vaccine through perceived descriptive social norms. The indirect effect of ‘Like’ cues on behavioral intention toward the flu vaccine through perceived normative perceptions was greater among participants without current immunization status while the direct effect of ‘Like’ cues on behavioral intention was not significant. Collectively, the results of this study offer important theoretical and practical implications for interactive health marketing communication endeavors on social media. © 2023 Informa UK Limited, trading as Taylor & Francis Group.","flu vaccine; health information; Health marketing communications; social media virality metrics; social norm theory",""
"Multicultural advertising: Impact of consumers’ need to belong and brand use on self-brand connection and communal-brand connection","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136600743&doi=10.1080%2f13527266.2022.2099953&partnerID=40&md5=4dba66e25f25cbec7fd5254dba2e916e","The purpose of this study is to explore the effect of need to belong and brand use as an identity signal in multiethnic advertising compared to other advertising approaches. The results indicate that consumers’ need to belong has a positive direct relationship with self-brand connection and communal-brand connection for ads featuring ethnically mismatched models but not for ads featuring ethnically matched or multiethnic models. Additionally, brand use as an identity signal had a weak relationship with self-brand connection (with 90% significance) for the mismatched condition but not for the matched or multiethnic condition, and no significant relationship was found with communal-brand connection in any of the three conditions. Moreover, for all three conditions, self-brand connection (but not communal-brand connection) had a significant relationship with purchase intention. Marketing practitioners may benefit from this research by understanding how consumer traits influence consumer-brand relationships in reaction to three different advertising approaches (i.e., matched, mismatched, and multiethnic approach). © 2022 Informa UK Limited, trading as Taylor & Francis Group.","communal-brand connection; multicultural advertising; Need to belong; self-brand connection",""
"Unravelling relational dynamics between experiential value and customer engagement: Does customer gender matter?","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172071937&doi=10.1080%2f13527266.2023.2261946&partnerID=40&md5=7d0a0fb874005f9dd0fdcbb20191ee04","Considering the strategic significance and contemporary scholarly investigations into the characteristics and dynamics of experiential value and engagement, this study empirically investigates the relational dynamics between experiential value and customer engagement in a service setting. Using structural equation modeling, this study analyzed data collected from 355 customers of selected fine dine up-scale restaurants of North-Indian state of Jammu and Kashmir. The results corroborate multiple dimensions of experiential value such as aesthetics, service excellence, playfulness, and customer return on investment as critical drivers of customer engagement. The results further reveal a strong positive association between customer engagement and customers’ revisit intention and their willingness to pay a premium price. The moderation results reveal that the effects of service excellence and customer return on investment are moderated by gender, whereas the effects of aesthetics and playfulness remain invariant across males and females. The results were further validated by repeating the study on another sample set. This study contributes by suggesting experiential value and customer engagement as sustainable marketing approaches to service marketers interested in designing fine dine restaurants in ways that adequately attract customers, drive their revisit intentions, and encourage them to even pay more money. © 2023 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","customer engagement; Experiential value; gender; revisit intention; willingness to pay premium price",""
"The Role of confidence in the effects of endorsing images","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168377250&doi=10.1080%2f13527266.2023.2248146&partnerID=40&md5=7dfee58cfd823c9c16e41fe0c15f55e1","Even though research on the use of endorsing images in marketing is plentiful, the majority of prior works have mainly focused on investigating the effects of revealed endorsing images and leaves open the question of whether the use of concealed endorsing images would produce any differential effects. This research aims to address this important theoretical gap. We propose that in comparison with the use of revealed endorsing images, the use of concealed endorsing images can enhance ad appeals, which then help increase purchase intentions. However, this effect only happens when consumer confidence is low, and not when consumer confidence is high. Two studies reported in this research provide evidence to support these propositions. © 2023 Informa UK Limited, trading as Taylor & Francis Group.","concealed; confidence; Endorsing; experiment; images; revealed",""
"Linear TV audience deficiency units in marketing mix models: Tilting at windmills or misleading marketing communication spend optimization","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183611649&doi=10.1080%2f13527266.2024.2309949&partnerID=40&md5=28395d64229c6e4569edc599a834c5f0","Audience deficiency units (ADUs) have become a standard part of ‘making good’ the guaranteed media delivery for linear TV. However the impact of unadjusted linear TV ADUs on marketing mix models (MMM) has not been studied. This research illustrates how unadjusted ADUs in MMM can lead to artificially inflated return on advertising spend (ROAS) and inaccurate efficiency calculations. Utilizing data from a national consumer packaged goods brand, the paper finds that using unadjusted linear TV ADUs can artificially inflate ROAS, prescribe an incorrect investment allocation at constant spend and potentially reduce case units and net returns. These findings support the need for standardized treatment of linear TV ADUs in MMM and emphasizes the significance of accurate data for evaluating media channel performance and optimizing returns. © 2024 Informa UK Limited, trading as Taylor & Francis Group.","advertising effectiveness; audience deficiency units (ADUs); linear TV; Marketing mix modeling (MMM); media efficiency; return on advertising spend (ROAS)",""
"Effects of dietary restraint on perceived healthfulness and purchase intention: the moderating effects of source credibility and product label","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164483179&doi=10.1080%2f13527266.2023.2225074&partnerID=40&md5=ae9292ba06bba3a538c30f51a2686e48","This study investigates how labeling genetically modified (GM) food influences the perceptions and purchasing intentions of dietary-restrained consumers. The research is based on varying product labels (GM vs. non-GM) and source credibility (low vs. high). Utilizing a 2 × 2 between-subjects experimental design, the study reveals that individuals with higher dietary restraint associate greater perceived healthfulness with food labels. Furthermore, this perception increases their intent to purchase products across all combinations of source credibility and GM status. Contrary to our initial hypothesis, there was no significant difference in the purchase intent for non-GM products from a low-credibility source compared to GM products from the same source. However, the purchase intent was higher for GM products from a low-credibility source than from a high-credibility source, and for non-GM products from a high-credibility source compared to GM products from the same source. © 2023 Informa UK Limited, trading as Taylor & Francis Group.","dietary restraint; perceived healthfulness; Product labeling; purchase intention; source credibility",""
"The more, the not merrier? exploring information overload in the context of electronic word-of-mouth (eWOM)","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158831208&doi=10.1080%2f13527266.2023.2209783&partnerID=40&md5=d7ceca1fd239a459c980c39e94838713","The power of consumer-to-consumer recommendation has long been known to marketers. With so-called electronic word-of-mouth (eWOM) that reaches a much wider audience, consumers easily express opinions to and access others’ opinions on products or brands, and are frequently exposed to vast amounts of information. While past research separately focuses on the significance of eWOM for consumer opinion, and the effects of information overload on consumer opinion, the relationship between eWOM and information overload has been overlooked. Drawing from the Elaboration Likelihood Model, the present research investigates this relationship by comparing eWOM sentiment across different information levels. For the analysis, 8,213 tweets containing the keyword ‘Bitcoin’ are retrieved and scored for positive, and negative sentiments and polarity. The sentiment scores are then tested for their relationship with (1) the number of articles, and (2) the number of tweets on Bitcoins using the logistic regression models. We find strong evidence that information overload increases both eWOM negativity and polarity. The findings provide further insight for marketers in order to dedicate more resources to information management, and to prevent information overload on consumers. © 2023 Informa UK Limited, trading as Taylor & Francis Group.","Bitcoin; Elaboration Likelihood Model; Electronic word-of-mouth; sentiment analysis; Twitter",""
"In the eye of the (fire)storm: better safe or sorry? Crisis communication strategies for managing virality of online negative brand-related content","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135894623&doi=10.1080%2f13527266.2022.2109056&partnerID=40&md5=7bd01eed8a44789468c0297511bb022c","Companies face a considerable number of online complaints on social media, with some escalating into major virality (online firestorms). Given the risks associated with reputation and sales, companies implement crisis response communication strategies to refrain audiences from forwarding content to others. Despite the positive effects of such strategies, the mechanism that underpins the effects are not yet analyzed in the literature. The current study proposes that in situations of potential online firestorms, brand attitude influences conative responses, including intentions to forward negative content to others. An apology is the response strategy most often implemented, despite others being mentioned in the literature. The current study evaluates how corrective actions compare with an apology in dealing with complaints, with the type of responses being proposed as a moderator of the effects of brand attitude. Results show that brand attitudes following exposure to a crisis response strategy have significant effects on refraining intentions to forward negative e-WOM. An apology is the preferred option as a response strategy in general. However, when specific triggers of complaint are analyzed, corrective actions and apology perform similarly. Implications for theory and practice are discussed. © 2022 Informa UK Limited, trading as Taylor & Francis Group.","Crisis management; online firestorm; scct; situational crisis communication theory; social media",""
"The effectiveness of health warning labels and environmental warning labels in different contexts of advertisements and public service announcements","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186551647&doi=10.1080%2f13527266.2024.2323958&partnerID=40&md5=fbba546efa1a650caffda99f66c23ff6","Previous research has proposed the positive effects of warning health/safety labels. Nevertheless, their effectiveness compared to environmental warning labels (i.e., ecolabels), especially in limiting the harmful outcomes of health- and safety-related products, is still questioned. Two studies were conducted to investigate the effectiveness of different label messages in different context formats (contextually incongruent commercial advertisements (ads) vs. contextually congruent public service announcements (PSAs); Study 1, N = 332) and different context-induced moods (positive vs. negative; Study 2, N = 334). Findings indicated that PSAs were more effective than ads in influencing individuals’ attitudes toward labels and behavioral change intention. Furthermore, health warning labels are generally more effective than ecolabels. The interactions between label types and context formats, as well as label types and context-induced moods, were also explored and discussed. The current study contributed to the scarce literature on warning label comparison and advanced a comprehensive understanding of warning labels and ecolabels, as well as their effectiveness. Results provided important implications for practitioners and policymakers, particularly on how to effectively employ prevention- and/or promotion-oriented warning messages in their campaigns. © 2024 Informa UK Limited, trading as Taylor & Francis Group.","advertising; ecolabels; environmental communication; health communication; PSA; Warning labels",""
"The impact of self-identification with global consumer culture on ewom generation: a test of global consumer culture theory","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162732666&doi=10.1080%2f13527266.2023.2227646&partnerID=40&md5=955f19657e8d4edec4813617f23fe586","Generating positive electronic word-of-mouth (eWOM) has become a goal of many advertisers, including many brands in the growing global market for luxury brands. To better understand factors related to the generation of eWOM in this market, a cross-cultural study investigating the factors associated with eWOM is conducted. Data was collected from two nations, Iran and the U.S. through an online questionnaire to examine whether consumers’ level of self-identification with global consumer culture (along with other factors) plays a key role in generating eWOM. Findings of this research are supportive of global consumer culture theory in that they suggest that there is a cross-national segment of luxury consumers who are influenced by similar factors both within the two countries and across the pooled sample from both countries. Specifically, we find that in addition to being exposed to global culture eWOM, materialistic and cosmopolitan, self-brand expression is important to this group and contributes to eWOM generation. Our findings suggest that appeals consistent with global consumer culture, can allow global luxury brands to enhance eWOM in a way such that these consumers help to promote their brands. © 2023 Informa UK Limited, trading as Taylor & Francis Group.","global; global consumer culture; luxury; materialism; social media; word of mouth",""
