"Title","Year","Link","Abstract","Author Keywords","Index Keywords"
"Inclusivity and Diversity: A Systematic Review of Strategies Employed in the Higher Education Marketing Discipline","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150264795&doi=10.1177%2f02734753231159010&partnerID=40&md5=9de690622b319f1e416aeb00ad72df81","This paper reports on a systematic review into inclusivity and diversity in the higher education marketing discipline. Thirty-one studies met the inclusion criteria and are analyzed to identify the inclusion and diversity identities that have been studied, synthesize strategies that have been identified as successful in supporting inclusion and diversity in the classroom and propose a future research agenda to further scholarly understanding within the marketing discipline. The findings suggest that most prior studies have focused on cultural diversity or diversity in general, and the strategies identified as effective were (a) utilizing technology to support inclusion and diversity, (b) developing curriculum that takes into consideration the diverse society we live in, (c) integrating projects into curriculum that are focused on diversity and inclusion, and (d) considering extra-curricular activities to deepen students’ inclusivity and diversity skills. © The Author(s) 2023.","diversity; higher education; inclusion; marketing; vulnerability",""
"Marketing Analytics Curriculum Integration: An Exploration of Resource Availability for Faculty","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169685705&doi=10.1177%2f02734753231195591&partnerID=40&md5=23b287b51b8bf23d82da3b9473322241","This study builds on the long-identified gap between the marketing industry and marketing academia. The research investigates the relationship between resource-based factors and marketing faculty’s intention to use marketing analytics technology. The theoretical framework for this study is the concerns-based adoption model (CBAM). Resource-based factors explored included technical support, managerial support, financial support, and time. The methodology included a randomized sample of Association to Advance Collegiate Schools of Business (AACSB) marketing faculty, and the statistical analysis used was multiple regression. Perceived technical support, time to integrate technology, and administrative support are all related to the intention to use marketing analytics technology. Overall, these results indicate that administration within AACSB business schools should consider the resources faculty need to adopt marketing analytics technology into the marketing curriculum, and faculty should consider methods to advocate for such resources. © The Author(s) 2023.","marketing analytics; marketing curriculum; marketing technology",""
"Reimagining an Experiential Learning Exercise in Times of Crisis: Lessons Learned and a Proposed Framework","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127814615&doi=10.1177%2f02734753221084128&partnerID=40&md5=439a37b973eb1b23f742d2c67bb9939f","The ongoing COVID-19 pandemic has forced marketing educators to innovate and adapt their existing teaching methods. This article presents and discusses an experiential learning exercise called the market-immersion project (MIP) and how it was adapted to suit online teaching. The MIP was an integral part of the course on the “bottom-of-the-pyramid (BOP) and rural markets,” which had to be pivoted as a photoessay exercise due to the limitations of not being able to venture out for a physical immersion. The design, implementation, and grading are elaborated for both exercises, and lessons are identified for marketing educators. Building on the lessons from two experiential learning exercises and using Kolb’s experiential learning theory, a six-step model of short-term field immersion is proposed. The proposed framework could be useful for marketing educators who want to use experiential exercises, including field-based exercises, in their courses in the postpandemic scenario. Finally, implications for theory, marketing education, limitations, and future directions are presented. © The Author(s) 2022.","bottom-of-the-pyramid; experiential learning; field immersion; marketing education; pedagogical innovation; photoessay",""
"Teaching What Society Needs: “Hacking” an Introductory Marketing Course With Sustainability and Macromarketing","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119405219&doi=10.1177%2f02734753211058070&partnerID=40&md5=b309a87f13d9df3179aa6c9c1dd4fd64","Marketing classes are often focused on the micro level, failing to account for wider societal issues. In this article, we argue for the inclusion of a wider macro-sustainability focus, one that “hacks” marketing education. With that objective in mind, we developed and delivered an introductory marketing course that integrated both the micro and the macro, thus infusing the course with macro-sustainability. This was done through an “expanded voice” perspective that included alternate complementary micro and macro class sessions while using a traditional managerial marketing textbook supplemented by macro-sustainability materials. We also integrated a controversies approach to support discussion and learning. We taught this course to 150 undergraduate students and conducted both quantitative and qualitative assessments of the course, including comparing results with an “unhacked” marketing course. Findings indicated increased awareness of macro-sustainability topics and movement on appreciation of sustainability and the role marketing can have in achieving this awareness. Finally, we offer a model of how marketing classes at all levels can be “hacked” with a macro-sustainability approach. © The Author(s) 2021.","macro-sustainability; macromarketing; marketing education; pedagogy; sustainability",""
"Learning Marketing Online: The Role of Social Interactions and Gamification Rewards","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094662504&doi=10.1177%2f0273475320968252&partnerID=40&md5=f55451eb09b75519edccb2e34908784c","Online learning is a powerful option for professional development in various careers, including marketing. However, massive open online courses (MOOCs) tend to face an issue of course dropouts, and this cannot only be attributed to factors like course content or value. Social interactions among students and interest-generating elements of MOOCs are equally important elements of online learning ecosystems. Therefore, this study approaches the problem from the perspective of the social exchange theory with insights into the cognitive evaluation theory to predict the effects of social interactions and gamification rewards on the process of studies. The data from an experiment and a subsequent survey of marketing course participants were used to analyze student satisfaction and dropouts through the lens of the social exchange theory and to see the effects of expected and unexpected gamification rewards. This contributes to the knowledge about factors that influence online course discontinuation, provides managerial and educational insights on dropout reduction, and specifies directions for further studies on the use of gamification elements in MOOCs. © The Author(s) 2020.","gamification; marketing; massive open online courses; online learning; rewards; social exchange theory",""
"Marketing Student Perceptions of Academic Program Quality and Relationships to Surface, Deep, and Strategic Learning Approaches","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087863566&doi=10.1177%2f0273475320939261&partnerID=40&md5=51e91c47018ad8deee65427de745f44c","A substantial body of empirical research outside of the marketing education literature indicates that students adopt surface, deep, or strategic learning approaches based on their learning environment, among other factors. Using the Revised Approaches to Studying Inventory and the Course Experience Questionnaire, this exploratory research examines upper-level marketing majors’ learning approaches, their perceptions of the overall academic quality of their program of study, and the relationships between those two sets of indicators. Findings from 345 senior-level marketing students indicate the heaviest use of the strategic approach, followed by the deep approach, and then the surface approach. Results also suggest that strategic and deep learning approaches are associated with higher perceptions of the quality of the academic program. Surface learning is the least preferred approach and negatively associated with the perception of academic program quality and satisfaction with academic achievement. Recommendations are offered for reaching strategic learners. © The Author(s) 2020.","academic quality; course experience; learning approaches and issues; marketing education issues; student study habits; undergraduate education",""
"Educating Marketing Students to Understand Designers’ Thought-Worlds","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112823788&doi=10.1177%2f02734753211038997&partnerID=40&md5=532af5ca410e644165f161c23ed0eb89","Marketers and designers are likely to work together on innovation teams as they both have customer satisfaction as their end goals. Collaboration between these disciplines in innovation teams is often impaired due to the different thought-worlds that drive decision making: intuitive versus rational. To facilitate collaboration between design and marketing it is valuable to teach marketers about designers’ ways of thinking. Approaches to teaching design thinking to marketing students often focus on students becoming more creative, intuitive, and innovative themselves. However, the integration of the two disciplines does not require that marketers become designers, and vice versa, as both bring unique skills necessary for successful innovation. An educational framework is presented that aims to teach marketing students an understanding of the thought-world of design thinking rather than to become design thinkers themselves. The focus is on recognizing how the others’ approach to the same goals are complementary to their own approaches instead of being different or “wrong.” This framework is unique in aligning design thinking phases with critical thinking phases—marketing students’ dominant thinking style—through specifically chosen activities to scaffold the understanding of an intuitive, divergent, and creative thinking approach to the development of innovative marketing ideas. © The Author(s) 2021.","creativity/creative problem solving; critical thinking; design thinking; innovation; marketing education",""
"Would You Rather.. a Simulation or a Client-Based Project? A Case Study of Experiential Learning Methods in Digital Marketing Analytics Courses","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182252914&doi=10.1177%2f02734753231223155&partnerID=40&md5=482524e7e506a7744e5a0db46fdb5668","The rapid evolution of digital marketing, characterized by the surge in digital channels and data, has amplified the demand for graduates specialized in digital marketing analytics (DMA). Yet, marketing educators contend with insufficient theoretical guidance and practical pedagogical methods in the course design that aligns with industry expectations in teaching analytics within the novel context of digital marketing. Addressing this void, this paper presents a case study operationalizing a practice-informed model through two experiential learning methods—simulations and client-based projects–in teaching these courses. These methods, grounded in three practice-informed dimensions (i.e., knowledge, hard skills, and soft skills), are incorporated to structure two separate sections of a DMA course over distinct semesters. Preliminary findings from student data regarding actual and perceived learning outcomes suggest a slight edge for the simulation approach over the client-based project approach. However, our faculty reflection delves deeper into the benefits and challenges of both approaches. This case study aims to offer insights and recommendations for marketing educators considering incorporating a practice-informed approach integrated with experiential learning methods to teach their DMA courses. © The Author(s) 2024.","client-based project; digital marketing analytics; experiential learning; practice-informed model; simulation",""
"The Scholarship of Teaching and Learning in Marketing Education","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163864990&doi=10.1177%2f02734753231175048&partnerID=40&md5=14fa394fb9d83835b20b46f5348ae82f","[No abstract available]","",""
"Growing the Talent Pool: How Sponsorship of Professional Sales Programs Enhances Employer Branding","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109367371&doi=10.1177%2f02734753211028641&partnerID=40&md5=5492cc0060ae5eae45f3c7983c776e2d","Increasingly, professional sales programs receive financial support from company sponsors in exchange for varying types of branding and recruiting opportunities. This study builds on the literature regarding employer branding and talent acquisition by examining the effect sales program sponsorship has on students. Grounded in organizational reputation theories, brand equity, and the literature on corporate sponsorship, it is proposed that sponsoring a sales program leads to positive student–firm related perceptions. Additionally, it is predicted that classroom engagement in the form of coteaching enhances these positive effects. Two natural field experiments, one involving two semesters of professional sales students (n = 90), the other involving four semesters of professional sales students (n = 174), are conducted to test the conceptual model. Results confirm the study’s predictions that sponsoring firms are perceived more favorably by students, and classroom engagement enhances these positive perceptions. Finally, results suggest that firms with lower initial familiarity among students have the most to gain in terms of enhancing student perceptions through coteaching. © The Author(s) 2021.","employer branding; recruiting practices; sales; sales education; sponsorship",""
