"Title","Year","Link","Abstract","Author Keywords","Index Keywords"
"The role of social media marketing activities in converting existing students into university advocates","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165642291&doi=10.1080%2f08841241.2023.2225431&partnerID=40&md5=056a75315d8a0c4665c0d2dc92780c16","This paper focuses on university social media marketing (SMM) activities and their role in converting following students into university advocates on social media. The study, which has a relationship-oriented approach, first categorizes university SMM activities into four groups: entertainment, interaction, trendiness, and customization. Then it provides the theoretical background for the research model and unveils the role of university SMM on university image, student satisfaction, student loyalty, and electronic word-of-mouth (e-WoM). Data was gathered from 1072 university students in an undergraduate program at 55 universities in Istanbul, Turkey. Structural equation modeling was used to test the model. Results indicate that a university’s SMM activities have a significant role in spreading favorable attributes of universities on social media, and university image, student satisfaction, and student loyalty foster this relationship. © 2023 Informa UK Limited, trading as Taylor & Francis Group.","brand advocacy; Social media marketing; student loyalty; student satisfaction; university image; word-of-mouth communication",""
"Corporate social responsibility and brand loyalty in private higher education: mediation assessment of brand reputation and trust","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114472311&doi=10.1080%2f08841241.2021.1973645&partnerID=40&md5=b17b6e57976a630131125f5214d22e67","This study investigates the effects of corporate social responsibility (CSR) on brand reputation, brand trust, and brand loyalty in the context of higher education. The direct effect of CSR on brand loyalty, and indirect effects through brand reputation and brand trust have been investigated. Data for this study were collected from 300 students attending a private university in Malaysia. Partial least squares structural equation modeling was applied to assess the measurement model and test the proposed hypotheses. Study findings support all hypotheses. The results confirm the positive direct effect of CSR on brand reputation and brand loyalty, as well as the indirect effects of CSR on brand loyalty through brand reputation and brand trust. This study makes a unique theoretical contribution to the literature through assessing and comparing the mediating role of brand reputation and brand trust between CSR and brand loyalty using the Hierarchy of Effects Model. © 2021 Informa UK Limited, trading as Taylor & Francis Group.","brand loyalty; brand reputation; brand trust; Corporate social responsibility (CSR); higher education; the Hierarchy of Effects Model (HEM)",""
"A bibliometric analysis to reveal the drivers of university reputation","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166780544&doi=10.1080%2f08841241.2023.2242804&partnerID=40&md5=eb3cd8a704b3a8ef577a2ce7ba4c3bb2","University reputation is a topic that is attracting increasing interest. The first analysis of university reputation through the twin perspectives of performance analysis and scientific mapping is presented. The aim of this study is to employ bibliometric tools to visualize the thematic development, the relations, and the tendencies between the topics related with university reputation. In particular, (i) identify the structure of the relationships between past, present, and future research topics; and (ii) determine emerging research trends in the topic research from a longitudinal perspective. Concretely, a bibliometric analysis based on the co-occurrence of keywords (co-word analysis) was carried out, drawing from a sample of 219 papers extracted from the Web of Science. The main results indicated that the university reputation has, as a research topic, only started to attract academic attention more conclusively since 2006. Above all, for the differentiation of some terms from other concepts such as image and where a maturity of analysis has yet to be reached, especially in such topics as university governance and social networks (digital reputation). Moreover, there are topics considered emerging that leave possibilities for research development. Finally, there is a growing interest in academics in relation to the university reputation. © 2023 Informa UK Limited, trading as Taylor & Francis Group.","Bibliometric studies; Co-Word analysis; Scientific mapping; Thematic evolution; University reputation",""
"Impact of marketization on the interpersonal relation between the university and students in modern university prospectuses","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180211340&doi=10.1080%2f08841241.2023.2292107&partnerID=40&md5=c07fa83e6a030b3706c72db9af511f56","To survive amid fierce competition and reduced government funding, educational institutions struggle at various levels, from launching programs to publicizing them. Consequently, the promotional content they produce has changed over the years in many countries. This study investigated whether these neo-liberal trends have impacted the discourse of Pakistani universities’ promotional content, especially the interpersonal relationship between the prospective students and the university. Incorporating Halliday's Functional Grammar with a Critical Discourse Analytical perspective, the textual analysis of the interpersonal meta-function of language reveals that the universities predominantly employ declarative to realize the speech function of a statement; thus, conveying information without generating an imagined dialogue with the students. Following this, imperatives are used to perform the illocutionary function of offer and in rare cases conditional, optative and question statements. The results also established that the universities employ modalities and modulations sparingly which accounts for the text producers’ preference for conveying their propositions in the form of facts, hence leaving no scope for the reader to form his/her opinion. The infrequent use of pronouns in Pakistani universities leads to a lack of liveliness and affinity in writing. The textual analysis reveals that the universities uphold a manifest distance from potential students. © 2023 Informa UK Limited, trading as Taylor & Francis Group.","higher education; interpersonal relation; Marketing trends; Pakistan; prospectuses; students; university",""
"A theoretical and empirical investigation into the effect of accreditation tenure and affiliation on distinctiveness","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179737352&doi=10.1080%2f08841241.2023.2292115&partnerID=40&md5=cce82592546e05af74c383c6194433f1","The objective of this study is to develop knowledge on why some accredited programmes are more distinct. Accreditation and distinctiveness are both important in higher education: maintaining accreditation signals quality, while distinctiveness helps programmes meet their stakeholders’ preferences. Our application of two-stage valuation theory implies that programmes are higher on distinctiveness when they view distinctiveness as beneficial without it posing a substantial risk to their reaccreditation. We quantitatively test the implications of two-stage valuation theory through text analysis of 369 mission statements of business programmes with accreditation from the Association to Advance Collegiate Schools of Business (AACSB). We examined mission statements, because the AACSB requires that mission statements reflect programmes’ aspirations such as distinctiveness. The multisource data show an inverse U-shaped relationship between accreditation tenure and distinctiveness. The data also show that public programmes have lower distinctiveness than private programmes across lengths of accreditation tenure. This research contributes by helping to shift the discussion from whether reaccreditation helps or harms distinctiveness to how and when reaccreditation impacts distinctiveness. Further, it demonstrates that affiliation serves as a boundary condition on the effect of reaccreditation on distinctiveness. © 2023 Informa UK Limited, trading as Taylor & Francis Group.","AACSB; accreditation; distinctiveness; tenure; two-stage valuation theory",""
"‘Your comments boost my value!’–the mediator role of emotional brand attachment between brand equity and social media engagement","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175969391&doi=10.1080%2f08841241.2023.2275749&partnerID=40&md5=e52335aa622d0fbc08d36afe24a1f09b","The COVID-19 pandemic has required new marketing strategies for leveraging brand equity among Higher Education Institutions. Previous research has uncovered the impact of electronic word of mouth in the Higher Education Institutions’ service industry, so this research extends our knowledge of the effects of electronic word of mouth on Higher Education Institutions’ brand equity and, additionally, on social media engagement. A quantitative approach was adopted, using questionnaires among Higher Education Institutions’ students and alumni. The results, obtained through partial least squares structural equation modeling (PLS-SEM), provide evidence of the contribution of the positive valence of electronic word of mouth to brand equity, emotional brand attachment, and social media engagement. The findings suggest customers are becoming more susceptible to positive electronic word of mouth. The research extends current knowledge by demonstrating the relevance of positive valence to electronic word of mouth in Higher Education. © 2023 Informa UK Limited, trading as Taylor & Francis Group.","brand equity; emotional brand attachment; EWOM; higher education; PLS-SEM; SmartPLS; social media engagement",""
"User-generated content effectiveness in co-creation of online higher educational services","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192231413&doi=10.1080%2f08841241.2024.2336917&partnerID=40&md5=af3a61d943b09da6fb8e72e07e4742e3","Improvement of student services is increasingly important for institutions providing higher education in today's competitive market. Consequently, leveraging the online content generated by students is an effective means of actively involving customers in the educational process. As a result, the co-creation of innovative educational services through user-generated content (UGC) has become imperative. Engaging students in the service development process requires the adoption of an appropriate New Service Development (NSD) model, enabling the implementation of a co-creation strategy. The present study investigates this phenomenon by examining user-generated content on a website dedicated to higher education services. Employing the thematic analysis approach, 46 themes were identified that can be utilized in the development of new higher educational services. The findings demonstrate the potential of user-generated content in implementing a co-creation strategy at every stage of the new service development process. © 2024 Informa UK Limited, trading as Taylor & Francis Group.","Co-Creation; higher education; new service development; user-generated content",""
"The educational placebo effect: branding higher education benefits student learning","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114744824&doi=10.1080%2f08841241.2021.1975186&partnerID=40&md5=f9177957d8c3a77a8064b7d78c62a0e8","This research examines the effect of branding in higher education on students’ learning outcomes. In three experiments, we show that identical educational material associated with strong (vs. weak or unknown) brand names can boost students’ performance on various educational assessments. We find that this effect occurs via an expectancy mechanism. Study 1 demonstrates that playing an educational game framed as being developed by an institution with a strong brand improves students’ concentration on a subsequent task. In Study 2, studying an educational course supposedly published by a strong brand is shown to improve performance on a memorization task. Study 3 finds that students value educational content more when they are told it is associated with a strong educational brand. This leads to improvements in students’ performance on a numerical reasoning test. Together, these results document an important benefit of applying branding to higher education institutions. © 2021 Informa UK Limited, trading as Taylor & Francis Group.","Branding; higher education; learning outcomes; placebo effects",""
"The role of university switching costs, perceived service quality, perceived university image and student satisfaction in shaping student loyalty","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115187204&doi=10.1080%2f08841241.2021.1975184&partnerID=40&md5=dcc4a9f803f39c7b305f645e5796dcfb","While majority of earlier studies have examined service quality, student satisfaction, and university image as determinants of student loyalty, university switching costs have largely been ignored. This study includes university switching costs with perceived service quality (perceived academic quality, perceived administrative quality, and perceived physical facilities), student satisfaction, and perceived university image as determinants of student loyalty. Data was gathered through purposively sampling undergraduate business students from five universities in Karachi. Using exploratory factor analysis and structural equation modeling, a significant impact of student satisfaction, university image, and university switching costs on student loyalty was established. Universities may provide monetary and non-monetary incentives to increase university switching costs and, consequently, help retain students. This study contributes to student loyalty literature by adapting the customer loyalty definition to educational context, examining the role of university switching costs in retaining students, and presenting an empirical model depicting interrelations among determinants of student loyalty. © 2021 Informa UK Limited, trading as Taylor & Francis Group.","perceived academic quality; perceived administrative quality; service quality; Student loyalty; university switching costs",""
"Does forced-shift to online learning affect university brand image in South Korea? Role of perceived harm and international students’ learning engagement","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119277176&doi=10.1080%2f08841241.2021.1998285&partnerID=40&md5=8aef4753b71c36fbcb1f113f0437f81b","University brand marketing leaders are reimagining their brand response to the global crisis, as COVID-19 pandemic continues to raise fears, especially due to the recent spike of the ‘delta variant’ outbreaks. Addressing this serious and immediate concern, the present study made the initial attempt to investigate the effects of forced-shift to online learning (FSOL), international students’ learning engagement (ISLE) and perceived harm (PHRM) of COVID-19 on university brand image (UBI) in South Korea. Drawing on survey data of 245 international students, the partial least squares structural equation modeling (PLS-SEM) technique provided empirical evidence on the significant positive effects of FSOL on ISLE and UBI. The findings also confirmed that PHRM significantly and positively moderates FSOL and ISLE, whereas the results supported that ISLE partially mediates FSOL and UBI. Finally, this study developed and validated two new scales to measure FSOL and PHRM. The study findings signal innovative ways of marketing university brand image, while university leaders, faculties and students eagerly wait to switch back to a safer offline learning environment. © 2021 Informa UK Limited, trading as Taylor & Francis Group.","COVID-19; Forced-shift to online learning; international students’ learning engagement; perceived harm; university brand image",""
