"Title","Year","Link","Abstract","Author Keywords","Index Keywords"
"Eliciting patients opinions about your office.","1981","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019568724&partnerID=40&md5=4d4ba295de5487f83297c12ee0f06a0c","[No abstract available]","","Attitude; Consumer Satisfaction; Dentist-Patient Relations; Human; Practice Management, Medical; article; attitude; consumer; doctor patient relation; human; management"
"Can Detroit and dentistry successfully shift gears?","1980","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019072540&partnerID=40&md5=92db9318ff648d357a16b46f3027ffc4","[No abstract available]","","Dentistry; article; dentistry"
"Marketing skills applied to professional practice.","1981","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019568723&partnerID=40&md5=03a28f089632902fb66c7e294acdbf7e","[No abstract available]","","Health Services Needs and Demand; Marketing of Health Services; Professional Practice; article; financial management; health service; professional practice"
"Advertising and promoting the professional practice.","1980","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018995088&partnerID=40&md5=7d6503e164a1c307dd45cd239844ab34","[No abstract available]","","Advertising; Government; Practice Management, Dental; United States; advertizing; article; government; management; United States"
"Increased use of expanded-function dental auxiliaries would benefit consumers, dentists and taxpayers.","1980","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019048248&partnerID=40&md5=d3a9d90eadf6dd0821fd416e9529f6c8","[No abstract available]","","Dental Assistants; Dental Auxiliaries; Dental Hygienists; Human; article; dental assistant; human; utilization review"
"The ""case method"": How it applies to the dental office.","1981","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019568773&partnerID=40&md5=ee5183880aa32c6f28c08bbf651a18fb","[No abstract available]","","Advertising; Fees, Dental; Financial Management; Practice Management, Dental; advertizing; article; economics; fee; financial management; management"
"Franchising today.","1980","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019072869&partnerID=40&md5=b2040bb94a5735b3a70ac7c76a99107a","[No abstract available]","","Investments; article; investment"
"The dental educator in the 1980's. Part 1: The issues in higher education and dentistry.","1981","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019570311&partnerID=40&md5=88b97e949a322b32fd304d147946c6f3","[No abstract available]","","Education, Dental; Faculty, Dental; United States; article; dental education; United States"
"Advertising fees and services. Contrasts and similarities.","1980","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018983546&partnerID=40&md5=6bcdc5dc31895ab61d68f03355aa7a1e","[No abstract available]","","Advertising; Attitude of Health Personnel; Dental Care; Fees, Dental; Practice Management, Dental; advertizing; article; attitude; dental care; fee; management"
"The marketing of orthodontics.","1980","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018982644&partnerID=40&md5=0053da13f1f1b6e5bb11228a4a71cecf","[No abstract available]","","Marketing of Health Services; Orthodontics; Practice Management, Dental; article; financial management; management; orthodontics"
"A pronounced decline in applications to dental schools.","1981","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019571242&partnerID=40&md5=e9462bbe05179b7e6c5517013380795e","[No abstract available]","","Education, Dental; Students, Dental; article; dental education; medical personnel"
"Professional encroachment: a comparison of the emergence of denturists in Canada and Oregon.","1980","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019075892&partnerID=40&md5=33b42eda36a4a1692dd63bf6dd6f0ee2","[No abstract available]","","Canada; Comparative Study; Dental Auxiliaries; Dentistry; Denturists; Legislation, Dental; United States; article; Canada; comparative study; dental assistant; dentistry; law; United States"
"Professional advertising: do you really need it?","1980","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018996040&partnerID=40&md5=bcf12f14d07c967dc100f90e30f65bea","[No abstract available]","","Advertising; Practice Management, Dental; advertizing; article; management"
"Looking through and beyond the eighties.","1980","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019030084&partnerID=40&md5=834acce3149db100c676716d6fb88db4","[No abstract available]","","Dentistry; Government; Great Britain; National Health Insurance, United States; Professional Practice; United States; article; dentistry; government; national health insurance; professional practice; United Kingdom; United States"
"A cost analysis method for dentistry.","1980","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018982626&partnerID=40&md5=381aacede2e98b1cc14e9aa2885aa2ce","[No abstract available]","","Costs and Cost Analysis; Practice Management, Dental; article; cost; economics; management"
