"Title","Year","Link","Abstract","Author Keywords","Index Keywords"
"How, when, and why do stores’ humor climates affect retail customer purchase?","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134595285&doi=10.1080%2f10696679.2022.2080712&partnerID=40&md5=ea7a6854e966de7ba0c6155562316e3a","This study examines the influence of affiliative and aggressive humor climate levels and variability of humor climates on customer purchase, and the mediating effect of customer perceptions of service quality on such relationships. Sixty-seven store managers assessed 615 employees’ use of humor, while 3533 customers were surveyed to assess the quality of service received and their purchase behavior. Results show that a high affiliative humor climate was associated with a decrease in customer perceptions of service quality when variability in this humor usage was low in stores. Furthermore, high usage of aggressive humor was associated with a decrease in customer purchase. © 2022 Taylor & Francis Group, LLC.","",""
"An exploration of first-time dads’ sharenting with social media marketers: implications for children’s online privacy","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123773337&doi=10.1080%2f10696679.2021.2024441&partnerID=40&md5=ed0a1d1a425e0ab45a4c0646d5fee089","This paper explores first-time dads’ (FTDs) decisions to engage in sharenting, or posting information about one’s child on social media, as marketers seek to connect with new parents via engagement tactics that prompt sharenting. We report survey results for 75 FTDs and eight semi-structured interviews from a separate FTD group. We find that FTDs are likely to perceive their own and their child’s information as sensitive yet be willing to share it with marketers when prompted. Marketers should appeal to FTDs’ role as “Involved Protector” via protecting their child’s digital footprint. © 2022 Taylor & Francis Group, LLC.","",""
"Brand authenticity: literature review, comprehensive definition, and an amalgamated scale","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123772763&doi=10.1080%2f10696679.2021.2018937&partnerID=40&md5=d5bd02a509fec2f027c4f5f380315088","Amidst a rapidly changing marketplace, sharp behavioral changes, and increased social media usage, brand authenticity, already an important attribute, has become an essential asset for brands. Even though marketing researchers have been studying the topic for more than 25 years, our extensive literature review shows that a widely accepted definition and scale is still lacking. Many extant definitions and scales only address specific aspects of brand authenticity, thus only providing partial coverage. This paper proposes a new definition and amalgamated scale that addresses authenticity holistically in a germane/relatable manner. The disjointed, and often dated, extant definitions and scales require a re-conceptualization of brand authenticity to meet the needs of today’s consumer in relevant, meaningful manner. © 2021 Taylor & Francis Group, LLC.","",""
"The effects of customer brand engagement on brand love in sharing economy","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194832692&doi=10.1080%2f10696679.2024.2360199&partnerID=40&md5=534ec45f7e631a0042e099bdca179b72","Collaborative consumption has drawn the attention of both managers and researchers. However, the literature focusing on the antecedents and outcomes of brand love in collaborative consumption is not well documented. Drawing on value co-creation theory, this paper has developed and tested a model capturing the role of brand love with data collected from Airbnb consumers. The results from 380 Airbnb consumers show that consumer brand engagement, perceived authenticity, and value co-creation are key drivers of consumer’s love of Airbnb. Brand love then positively influences consumers’ intention to revisit Airbnb. However, consumer brand engagement does not directly affect revisit intention. The paper concludes with theoretical and managerial implications. © 2024 Taylor & Francis Group, LLC.","",""
"The influence of regulatory focus and evaluation mode on consumers’ decision making","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196723194&doi=10.1080%2f10696679.2024.2370376&partnerID=40&md5=2924a6eb517c6a5e5109209331f0ca02","This research investigates the impact of individuals’ regulatory orientation on their responsiveness to context effects arising from different evaluation modes. Drawing on the theoretical framework of regulatory focus, we conducted three experiments to explore these dynamics. The findings reveal that individuals primed with promotion focus display a higher likelihood of choosing an option when presented with a separate evaluation than those with prevention focus. Conversely, in joint evaluation mode, the pattern reverses. Specifically, activating promotion orientation renders individuals more susceptible to an attractive yet risky (extreme) option. Conversely, when a prevention orientation is activated, individuals tend to avoid extreme options and gravitate toward a low-risk, low-return option or even abstain from making a choice altogether. Joint evaluation mode effectively facilitates promotion-focused individuals in selecting an attractive but extreme option, whereas it prompts prevention-focused individuals to opt for a compromise option. These findings provide valuable insights into the intricate interplay between regulatory orientation and evaluation mode in shaping consumer decision-making processes. © 2024 Taylor & Francis Group, LLC.","",""
"Female-friend gift-card giving","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115145087&doi=10.1080%2f10696679.2021.1973903&partnerID=40&md5=99450e7b16d8f66f87d2ba0ac41cf735","Given the continuing strong growth of gift cards in the marketplace, we offer three studies focused on female-friend gift-card giving. Retrospective accounts indicate difficult-to-buy-for recipients, previous gift-card history, greater physical distances, and closer relationships between the parties were associated with greater levels of friend gift-card giving. In two scenarios, giver attitudes toward giving gift cards, difficult-to-buy-for and further-away recipients, as well as gift-card history between the parties tended to increase gift-card likelihoods (versus physical gifts), while close relationships with recipients decreased the likelihood of gift-cards (versus physical gifts) given. Additionally, four unique friend gift-card giving segments are identified and validated. © 2021 Taylor & Francis Group, LLC.","",""
"“PLS-SEM: indeed a silver bullet”–retrospective observations and recent advances","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129129125&doi=10.1080%2f10696679.2022.2056488&partnerID=40&md5=9090c8f17f50b28268279b804e11f46f","In 2011, the Journal of Marketing Theory & Practice published “PLS-SEM: Indeed a silver bullet,” which became a cornerstone contribution in marketing. Critical reflection of research work is a fundamental building block of science, including one’s own writing. In this spirit, we offer a review of our own 2011 paper, assuming we were reviewers with today’s background knowledge of the method. Taking a reviewer’s perspective in our comments, we clarify several ambiguities in our initial overview presentation and offer updates of–from today’s perspective– outdated descriptions that led to some criticisms in recent years which have since been overcome. © 2022 Taylor & Francis Group, LLC.","",""
"The effects of influencer marketing on purchase intention: exploring the roles of materialism, envy and wishful identification","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194879789&doi=10.1080%2f10696679.2024.2353717&partnerID=40&md5=c5379ea8686631e8533af47f52a5a479","The purpose of this paper is to examine how materialism values of followers affect their purchase intention toward travel and leisure experiences promoted by social media influencers. Three studies were conducted using undergraduate students and Amazon MTurk samples (n = 416). The results demonstrate that benign envy and wishful identification mediate the relationship between followers’ materialism and their purchase intention, and malicious envy moderates the mediating effect of wishful identification. As the first research that empirically tested the effects of followers’ benign envy, wishful identification, and malicious envy toward influencers, this paper provides a better understanding of the underlying mechanisms behind the intricate relationship between materialism and purchase intention in the context of influencer marketing. © 2024 Taylor & Francis Group, LLC.","",""
"Exploring antecedents and outcomes of salesperson change agility: a social exchange theory perspective","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147281939&doi=10.1080%2f10696679.2023.2169940&partnerID=40&md5=d498c1868768593b0b51466cfbe8350d","Dynamic business environments can cause unexpected disruptions that can force firms to embrace new ways of working. In such situations, salesforce change agility can be a key to success. However, scant research has examined the factors that promote the development of change agility, or the consequences thereof. We address these notable omissions by using a sample of 237 B2B salespeople to explore the effect of idiosyncratic deals on work absorption, change agility, behavioral performance, and sales performance. The findings indicate that a salesperson’s idiosyncratic work arrangements (i.e. Flexibility and Development Idiosyncratic Deals) enhance work absorption, which in turn increases salesperson change agility. Moreover, we find that while development idiosyncratic deals are positively related to change agility, flexibility idiosyncratic deals do not impact change agility. Finally, our analysis also shows that change agility is positively related to behavioral performance, with subsequent downstream effects on sales performance. Collectively, these findings offer a glimpse into the importance of agile behaviors as salespeople deal with the changes impacting the sales function. © 2023 Taylor & Francis Group, LLC.","",""
"Impact of customized price promotions on deal response: the roles of functional impulsivity, promotion frame, emotional arousal, and self-enhancement","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197584031&doi=10.1080%2f10696679.2024.2370378&partnerID=40&md5=2ae3c1d2a36fda42ae394a95c3fa61d1","Customized price promotions are often used as a strategic marketing tool by retailers/firms. This research examines the moderating roles of functional impulsivity (an individual trait) and promotion frame on the impact of customized price promotions on consumer responses. We also investigate the psychological mechanisms of emotional arousal and self-enhancement on deal response. Through four studies, our findings demonstrate preliminary evidence for the three-way interaction of customized price promotions (deal exclusivity), functional impulsivity, and promotion frame on perceived savings. Additionally, we provide evidence for the affective route (through psychological mechanisms) by which deal exclusivity can influence consumer responses. © 2024 Taylor & Francis Group, LLC.","",""
"Redefining brand globalness: an interpretive inquiry","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158163103&doi=10.1080%2f10696679.2023.2202860&partnerID=40&md5=d4f9ebff8d35056353399e543cdb542e","This study explores brand globalness from an internal customer’s (i.e. employee) perspective. Data is collected employing virtual interviews and analyzed utilizing a thematic analysis. The thematic data analysis revealed four new dimensions of corporate brand globalness, i.e. global vision, global talent development, global iconness, and global value system. Based on the analysis, we redefine brand globalness as a corporate identity where employees attribute global vision, global talent, global iconness, and global value system to comprise the globalness of a firm. This study is unique in exploring brand globalness from an employee’s perspective. © 2023 Taylor & Francis Group, LLC.","",""
"The effects of dual branding rumors on consumers’ national and store brand evaluations","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129178493&doi=10.1080%2f10696679.2022.2046477&partnerID=40&md5=bdad6ddfd9508ebe9f43b3b67d429ca5","The current research considers dual branding, where national brand manufacturers produce store brands against which they compete. Although agreements are confidential, rumors about the practice emerge. Thus, the authors examine the influence of dual branding rumor exposure on consumers’ respective national and store brand evaluations. The results support positive (negative) serial indirect effects of rumor exposure on participants’ store (national) brand evaluations through dual branding beliefs and comparative quality perceptions. In addition, smart shopper perceptions amplify the indirect effects of dual branding rumor exposure on store, but not national, brand outcomes. © 2022 Taylor & Francis Group, LLC.","",""
"How and when brand coolness transforms product quality judgments into positive word of mouth and intentions to buy/use","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132714551&doi=10.1080%2f10696679.2022.2081925&partnerID=40&md5=308655d0f61cc05aac3cb7871e54fcbb","Brand coolness is a relatively understudied but important marketing phenomenon that only recently has received systematic scrutiny. We investigate a multidimensional structure of brand coolness and show how it mediates the effects of product quality on word of mouth communication and on intentions to buy/use cool brands. We also demonstrate under what conditions brand coolness influences WOM and intentions. The self-concept, rooted in materialism and expressed as the desire to impress other people and to compare oneself to others so as to emulate them, serves to regulate the effects of brand coolness in a negative way on WOM and intentions, thereby fulfilling the autonomous function of brand coolness for consumers described in the past as one important aspect of brand coolness. In order to show the incremental contribution of brand coolness in predicting WOM and decisions to buy/use cool brands, the effects of brand coolness are tested in head-to-head comparisons with the influence of self-brand connections and attitudes toward cool brands, which are classically studied brand drivers, on a representative sample of 400 adult Americans aged 20–40 years inclusive. © 2022 Taylor & Francis Group, LLC.","",""
"10 years of consumer behavior in collaborative consumption: a systematic literature review of open access articles","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173097696&doi=10.1080%2f10696679.2023.2245548&partnerID=40&md5=07d4fe66e10ff17e9a948da4d3795c49","Collaborative consumption (CC) is becoming a key concept in marketing. Despite the topic’s relevance, the academic literature on consumer behavior in collaborative consumption remains very fragmented. This present research aims to provide a systematic review of consumer behavior in collaborative consumption research in the existing literature. An extensive literature review was systematically conducted on collaborative consumption spread over the time period between 2010 to 2021 published journals which were identified from online academic and research databases of Web of science and EBSCO. A total of 97 conceptual and empirical articles were analyzed based on criteria such as year of publication, theoretical underpinning, methodological approaches, etc. The paper highlights the critical emergent themes and sub-themes, extensively used methodologies and analysis approaches, and dominant theoretical underpinnings. By providing the distribution schema of collaborative consumption articles based on the mentioned criteria and the future research areas, the present study will help future researchers understand the current status of collaborative consumption research in the marketing and consumer behavior discipline and take this research area forward. Our theme-based segregation of collaborative consumption gives a deeper insight to the managers of sharing services concerning the key motivations and constraints of collaborative consumption. This systematic literature review provides a holistic view of consumer behavior in collaborative consumption. It highlights three major research themes (customer-centric studies, sustainability-centric studies, and consumer trust studies) and their related and relevant sub-themes to date addressed in the research studies. © 2023 Taylor & Francis Group, LLC.","",""
"Eric is bad, but Erica is worse: greater negativity bias toward female brands","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130056988&doi=10.1080%2f10696679.2022.2067066&partnerID=40&md5=eeca11e134c3afbb1445b9d8bc0616d7","We predicted that brand gender moderates the effect of information valence on attitude change, such that negative information leads to a greater decline in attitude for female brands due to differences in trust change. We conducted three studies to test this prediction. Study 1 (N = 260) and Study 2 (N = 205) results reveal a conditional direct effect of negative information on attitude change, whereby negative information decreases attitude more for female (vs. male) brands; these studies also show a conditional indirect effect of negative information on attitude change via trust change, such that negative information decreases trust more for female (vs. male) brands, which leads to a decrease in attitude. By analyzing 2.68 million Yelp.com customer reviews, the results for Study 3 further demonstrate the gender disparity in review usefulness. © 2022 Taylor & Francis Group, LLC.","Brand attitudes; Brand gender; Negative information; Online reviews",""
"Why own when you can access? Motivations for engaging in collaborative consumption","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122757688&doi=10.1080%2f10696679.2021.1985939&partnerID=40&md5=b2d56ce8385e409eac550587985812c3","The rapid development of technological platforms, coupled with changes in consumer preferences, has fueled the rise of collaborative consumption. The present research employs a multi-method approach to examine consumer motivations to engage in collaborative consumption. Consumer profiles for collaborative consumption are developed, followed by an experiment that examines the role of consumer self-image congruence with platforms and workers. The results suggest that firms should prime consumers on similarities that they may share as self-image congruence mediates the relationship with both platforms and workers. This research develops consumer profiles for collaborative consumption engagement across multiple platforms and provides relevant managerial implications. © 2021 Taylor & Francis Group, LLC.","",""
"Exploring the relationship between co-creation (DART), brand experience strength, and brand satisfaction: a brand engagement perspective","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139180189&doi=10.1080%2f10696679.2022.2120013&partnerID=40&md5=e2beb033411d835ff434f41a584cbaac","Although a few studies have examined the influences of the co-creation elements of dialogue, access, risk assessment, and transparency (DART), little is known about the mechanisms underlying these influences. In this article, we empirically study the DART element’s influences on brand experience strength and brand satisfaction, and we explore how brand experience strength mediates the DART elements’ influences on brand satisfaction. We use a brand engagement perspective to explain how the co-creation elements influence brand experience strength. A survey (n = 594) of brands from the banking, mobile, hotel, and restaurant services is reported. We find direct influences from all four co-creation elements on brand experience strength, and we find that brand experience strength partly mediates the influences of risk assessment and transparency on brand satisfaction. The results are compared across utilitarian (bank and mobile) and hedonic (hotel and restaurant) services. © 2022 The Author(s). Published with license by Taylor & Francis Group, LLC.","",""
