"Title","Year","Link","Abstract","Author Keywords","Index Keywords"
"For Shame! Socially Unacceptable Brand Mentions on Social Media Motivate Consumer Disengagement","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166561177&doi=10.1177%2f00222429231179942&partnerID=40&md5=b038db0e9dcd532446f78e6f4d5ffe76","Brands invest tremendous resources into building engagement with their customers on social media. But considerably less focus is placed on addressing disengagement, when users actively choose to distance themselves from the brand through reduced posting or even unfollowing. The authors find that the same self–brand connections that lead individuals to defensively protect the brand can also lead them to experience shame vicariously when others mention the brand in socially unacceptable ways. Experiencing vicarious shame motivates them to distance themselves from the brand, driving disengagement. Three mixed-method studies show that a socially unacceptable behavior—using profanity while mentioning the brand—leads highly connected consumers to experience vicarious shame, prompting disengagement motivations and ultimately leading to real-world unfollowing behaviors on social media. The authors also show that proactive moderation behaviors by the brand can attenuate these responses. These results provide insight into the process by which self–brand connection interacts with socially unacceptable brand mentions and suggest a limitation to the insulating effects of strong self–brand connections. © American Marketing Association 2023.","disengagement; self–brand connection; shame; social media",""
"Behavioral Labeling: Prompting Consumer Behavior Through Activity Tags","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185135601&doi=10.1177%2f00222429231213011&partnerID=40&md5=e5dae9aeef310bcde4243fa04111920e","This research introduces behavioral labeling as the use of names or tags that reflect an associated activity, and it proposes that this can induce corresponding behavior. Contrary to the common intuition that descriptions of behaviors emerge as markings for popular actions (i.e., the label is a consequence of the behavior), the authors propose that a description itself might also induce the corresponding action (i.e., the label is an antecedent of the behavior). Building on linguistic relativity theory and based on five studies conducted in the lab and field, the authors show that merely attaching a fictitious name to a behavior can induce that very behavior. The authors also explore a potential explanation for this finding by showing that a behavioral label can evoke mental imagery regarding the associated behavior, which enhances the implementation of the behavior. The results contribute to marketing theory by introducing behavioral labeling and highlighting how language can shape behaviors. Marketers can use behavioral labels to promote their offerings based on the associated behaviors, while public policy makers can use behavioral labels to encourage prosocial and proenvironmental behaviors. © The Author(s) 2024.","behavioral labels; branding; labeling; language; linguistic relativity; sustainability",""
"The Role of Advertising in High-Tech Medical Procedures: Evidence from Robotic Surgeries","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153707270&doi=10.1177%2f00222429221151058&partnerID=40&md5=a0d68600e0660e55309e7746eaccb1c4","Hospital advertising has grown more than five-fold in the past two decades. However, unlike detailing and advertising for prescription drugs, the topic of hospital advertising has been understudied. This research introduces a customer-centric view to this market by investigating the role of advertising in patients’ choice of high-tech medical procedures, with a focus on robotic surgery. The authors analyze approximately 140,000 individual patient records and television advertising data from Florida during 2011–2015 to investigate how hospital advertising of robotic surgery affects patients’ choice of robotic surgery over more conventional laparoscopic and open surgeries. Using a variation of a designated market area border identification strategy, the authors find that this advertising leads to more robotic surgery choices. The advertising effect is especially strong for Medicaid patients, whose socioeconomic status tends to be lower. While robotic surgery is associated with a short-term health benefit (i.e., reduced length of hospital stay), it does not affect long-term health benefits and comes at a higher cost than other forms of surgery. Thus, understanding the effect of advertising robotic surgery has significant health, cost, and marketing implications for different stakeholders in the health care industry, such as patients, health care providers, surgical robot manufacturers, insurance providers, and policy makers. © American Marketing Association 2023.","advertising; causal inference; health care marketing; public policy",""
"Gift or Donation? Increase the Effectiveness of Charitable Solicitation Through Framing Charitable Giving as a Gift","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141395672&doi=10.1177%2f00222429221081506&partnerID=40&md5=be9d22f9361a548fdaeac6651ef5a3a9","The question of how to improve the effectiveness of charitable solicitation has long been a subject of investigation for charity organizations. Through six studies, including four incentive-compatible studies and a field study, the present research demonstrates an easy, actionable, and widely applicable semantic-framing strategy that can be utilized to promote charitable giving. Semantically framing charitable giving as a gift (rather than a donation) increases not only donors’ intention to contribute but also their actual contribution amount (Studies 1–3). Both mediation (Study 4) and moderation (Study 5) approaches provide convergent evidence that the effect of framing charitable giving as a gift rather than a donation on contribution is driven by donors’ perceived social distance from beneficiaries. The authors further find that this framing effect is weakened when soliciting contributions from donors who see social distance as desirable (e.g., those with a high need for status; Study 6). The current work contributes to the literature streams on charitable giving, social exchange, and semantic framing and provides strong managerial implications for charity organizations. © American Marketing Association 2022.","charitable giving; semantic framing; social distance; social exchange",""
"“We Earned the Coupon Together”: The Missing Link of Experience Cocreation in Shared Coupons","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144294733&doi=10.1177%2f00222429221126990&partnerID=40&md5=de8388b563fe4596d4957397ba5f5c49","Shared coupons, a new form of coupon, differ from coupons distributed directly from businesses (i.e., direct coupons) in that shared coupons combine two influential components: economic savings (e.g., $5 off) and social sharing (e.g., from friends). Using two lab experiments and two large-scale field experiments on social media, the authors find that regular shared coupons underperform direct coupons in terms of coupon redemption because of the norm conflict between economic incentives and communal relationships (i.e., friendships), whereas shared coupons with experience cocreation, in which coupon givers and coupon receivers must invest joint efforts to create a shared experience before redeeming the coupons, outperform direct coupons. Experience cocreation can advance social goals (e.g., building friendships), reduce the norm conflict, and thereby make customers more likely to share and to redeem coupons. The authors further investigate the effects of two strategies for driving the redemption of shared coupons with experience cocreation: changing the coupon's face value (low vs. high) and using ex post communication (social messages vs. economic messages). They find that social messages can make low-value coupons as effective as high-value coupons, thereby enabling the firm to “do more with less.” © American Marketing Association 2022.","cocreation; communal relationships; coupon redemption; customer participation; digital coupons; norm conflict; shared coupons; social influence",""
"Symbolically Simple: How Simple Packaging Design Influences Willingness to Pay for Consumable Products","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173957267&doi=10.1177%2f00222429231192049&partnerID=40&md5=ebf7ff00c6b0bf43a51bcde573ce7fd2","Although consumers often value minimalist aesthetics, little work has examined why and when simple packaging designs of consumable products enhance consumer outcomes. The authors theorize that simple packaging evokes a symbolic association whereby minimizing design complexity signals that the product contains few ingredients, which increases perceived product purity and willingness to pay (WTP). A field study examining a supermarket chain's product packages (N = 1,353) provided preliminary support for this increase in WTP and two boundary conditions. Six preregistered studies replicated these effects and tested the underlying process. Studies 1a and 1b showed that the increase in WTP for simple packaging is driven by few-ingredients inferences increasing perceived product purity. Study 2 demonstrated the increase in WTP using an incentive-compatible design. Study 3 reinforced the proposed process via moderated mediation. Lastly, Studies 4 and 5 tested the boundary conditions in the field study, showing that WTP for simple packaging decreases when the product is from a store (vs. nonstore) brand and when consumers have an indulgence (vs. health) goal. These findings offer theoretical and managerial insight into minimalist aesthetics. © American Marketing Association 2023.","design simplicity; minimalism; product packaging; purity; symbolic associations",""
"The Effect of Content on Zapping in TV Advertising","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138297923&doi=10.1177%2f00222429221105818&partnerID=40&md5=30e794c657c9032df278b2eb93fdb8cb","Consumers who are uninterested in or annoyed by a TV ad may avoid the ad, limiting the effectiveness of not only the ad but also the remaining commercial break. Active avoidance of ads by changing the channel—known as “zapping”—is potentially a major concern for both advertisers and broadcasters. In two studies, the authors investigate whether and why ad content drives or mitigates zapping and develop a conceptual framework linking multiple content factors to psychological reactions that then affect zapping. They test the content–zapping relationship by drawing on a data set reflecting the zapping behavior of over 2,500 German television viewers combined with advertising data and content information for 1,315 spots representing 308 brands from 96 categories. The results of the first study show that ad creativity is associated with less zapping, whereas a strong information focus and a prominent or early integration of branding elements are associated with more zapping. The findings also reveal that the effects differ significantly for products with a utilitarian (vs. hedonic) consumption purpose and for search (vs. experience) goods. The results of the second study show that irritation (determined by feeling, e.g., annoyed, offended, or overwhelmed), relative to enjoyment, acts as the central mechanism in explaining why ad content affects zapping. © American Marketing Association 2022.","advertising avoidance; advertising content; TV advertising; zapping",""
"Competition and the Regulation of Fictitious Pricing","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166587847&doi=10.1177%2f00222429231164640&partnerID=40&md5=b7594e5022e68e507c289ae5d55323ee","Fifty years ago, the Federal Trade Commission stopped enforcing its fictitious reference pricing guidelines, emphasizing the search qualities of price and the belief that competition would drive out deceptive behavior. Yet this practice of posting false, inflated comparison prices alongside sale prices has proliferated. Building on prior analytic work and the documented effects of reference pricing on search behavior and consumer choice, the authors develop a descriptive model explaining why fictitious reference pricing has spread instead of being extinguished by competition. After summarizing the model with a series of generalizations, the authors consider potential regulatory solutions to the problem. They propose that disclosure of the true normal price charged may be the only solution that could plausibly influence both consumer and firm behavior. Then, based on the existing literature, interviews with practitioners and regulators, an analysis of other nations’ approaches, and the results of a laboratory study of 900 consumers to examine how they integrate “true normal price” information into deal evaluations, the authors develop a set of propositions about the likely effects of requiring firms to disclose recent selling prices for goods, identifying both potential benefits and challenges associated with such a requirement. © American Marketing Association 2023.","competition; consumer welfare; deception; Federal Trade Commission; fictitious reference pricing; pricing regulation; reference price; transaction utility",""
"Influencer Mix Strategies in Livestream Commerce: Impact on Product Sales","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181483333&doi=10.1177%2f00222429231213581&partnerID=40&md5=c162add30c03e9bd6bf6dd76d8b4e17b","A new trend in influencer marketing is livestream commerce, which combines influencers’ live video streaming with e-commerce. Little is known, though, about how firms should develop their influencer strategies to maximize product sales. Given a budget constraint, marketers may choose to employ a single, “big” influencer with a large number of followers or several small influencers. They may also employ a combination of both big and small influencers when their budget is adequate. Analyzing data from 1.3 million livestreams on TikTok, the authors find a negative interaction effect between big and small influencers when employed together due to decreased trust in big influencers and substitution effects. Further analysis reveals that livestream sales generated by a big influencer are adversely affected by small influencers who promoted the same product previously, but not the other way around. In addition, big influencers can reach a much larger audience, whereas small influencers are more effective at increasing the audience's conversion rates. Big and small influencers are also different in terms of how product and campaign characteristics moderate their sales effectiveness. Finally, the scenario analysis explores how the profitability of influencer strategies hinges on the influencer mix and their costs. This research is one of the first to investigate the sales effectiveness of influencer marketing and to provide general guidelines for developing influencer mix strategies. © American Marketing Association 2024.","influencer marketing; livestreaming; product sales; social commerce; social media; social shopping; user-generated content",""
"Hospital Portfolio Strategy and Patient Choice","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174263707&doi=10.1177%2f00222429231204247&partnerID=40&md5=d1e31b1a8e0c1e5f6fc08cc695d28606","Specialize? Diversify? Do patients care? The authors investigate the demand-side effects of a hospital's portfolio strategy, which entails decisions about the depth and breadth of its service offerings. Positing that both depth (focus) and breadth (related focus) signal expertise, the authors use both archival and experimental evidence to examine these effects. The archival study is based on Florida's State Inpatient Databases for 2006–2015 and spans all major departments in health care delivery. The empirical analysis exploits plausible exogenous variation from other health care markets and reveals that patient choice is positively influenced by a hospital's depth (focus) and breadth (related focus) of expertise in a department. Complementing the archival evidence, the authors also conducted online experiments to examine the signaling effects of hospital portfolio strategy on patient choice behavior. The results provide support for the idea that hospital portfolio strategy influences patients’ perceptions of hospital expertise in focal and related areas and, subsequently, their choice behavior. The authors also highlight potential synergistic effects between focus and related focus and heterogeneity in the effects across departments, payer types, and hospital profit status. These findings underscore the need for managers to adopt a targeted approach to portfolio decisions in health care. © American Marketing Association 2023.","choice; complexity; focus; health care; portfolio strategy; quality signaling; related focus; services",""
"“Statistical Significance” and Statistical Reporting: Moving Beyond Binary","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184416585&doi=10.1177%2f00222429231216910&partnerID=40&md5=a3c429fa90cd9ab6c0f8e53ed902bb2a","Null hypothesis significance testing (NHST) is the default approach to statistical analysis and reporting in marketing and the biomedical and social sciences more broadly. Despite its default role, NHST has long been criticized by both statisticians and applied researchers, including those within marketing. Therefore, the authors propose a major transition in statistical analysis and reporting. Specifically, they propose moving beyond binary: abandoning NHST as the default approach to statistical analysis and reporting. To facilitate this, they briefly review some of the principal problems associated with NHST. They next discuss some principles that they believe should underlie statistical analysis and reporting. They then use these principles to motivate some guidelines for statistical analysis and reporting. They next provide some examples that illustrate statistical analysis and reporting that adheres to their principles and guidelines. They conclude with a brief discussion. © American Marketing Association 2024.","null hypothesis significance testing; P-value; replication; sociology of science; statistical significance",""
