"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161808986&doi=10.1186%2fs40537-023-00791-8&partnerID=40&md5=d0ae2c9b87cf86ff6b7b747a700c3459","Artificial Intelligence on edge node; Edge computing; Semi-supervised anomaly detection; Similarity datasets; Unregistered users",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159942956&doi=10.1186%2fs40537-023-00746-z&partnerID=40&md5=32eaeab7dac4aae5772a8eac183c151b","Anomaly detection; Condition monitoring; Environmental sensor; Long short-term memory autoencoder; Multivariate time series",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160111697&doi=10.1186%2fs40537-023-00753-0&partnerID=40&md5=ecdee25ffbd34c1c5798ce6b8b1a9181","Center loss; Centroid triplet loss; DukeMTMC-ReID; Inter class distance; Market-1501; Person ReID; Triplet loss",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159942432&doi=10.1186%2fs40537-023-00748-x&partnerID=40&md5=a638c85fadf735b962a3d22ffe7f8851","Machine learning; Multivariate time-series data; Ozone pollution",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152549764&doi=10.1186%2fs40537-023-00724-5&partnerID=40&md5=5dc21b868878ebd99256562d9edec212","AUC; AUPRC; Big Data; Class imbalance; Extremely randomized trees; Undersampling; XGBoost",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153242513&doi=10.1186%2fs40537-023-00723-6&partnerID=40&md5=964d0b4c291c62ecda6c21612e9ff91b","Feature engineering; Investments-business-market; Machine learning methods; Success prediction",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165550221&doi=10.1186%2fs40537-023-00799-0&partnerID=40&md5=8bf8a740b799c9cc794273c2bd13f788","Mobility data; Multidimensional time series; Online trajectory segmentation; Streaming data; Trajectory features",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169145061&doi=10.1186%2fs40537-023-00809-1&partnerID=40&md5=026d53ab154b2557f299ca2ec9bf871f","Immune infiltrating cell; Immunotherapy; Machine learning; Prognosis; Triple-negative breast cancer",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150905316&doi=10.1186%2fs40537-023-00715-6&partnerID=40&md5=664fe5c80c7d86f924acdb4b3385cafa","Generative adversarial networks; Imbalanced data; SMOTE; Turnover intention",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160953997&doi=10.1186%2fs40537-023-00767-8&partnerID=40&md5=026b8ace59db33f04a417334eb445ecf","Asthma; Machine learning; Metagenomics; Respiratory microbiota",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168321967&doi=10.1186%2fs40537-023-00803-7&partnerID=40&md5=e2b82b7aa2d5154e31b550c32e954b31","Anoikis; Anoikis; GEO; HCC; Hepatocellular carcinoma; Machine learning; mRNA vaccine; Prognosis; Subtype; TCGA; Tumor antigen; Tumor immune microenvironment",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159932244&doi=10.1186%2fs40537-023-00764-x&partnerID=40&md5=a02a6e89bd8655b2f60f4277d4a72e2b","Cross-domain; Domain-relevance of influence; Generalist; Opinion leadership; Social media; Specialist",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160259237&doi=10.1186%2fs40537-023-00776-7&partnerID=40&md5=6cc04c97a47c56e215166bb8f2c2d8f2","Content recommendation; Semantic information; TF-IDF; Word vector",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160940205&doi=10.1186%2fs40537-023-00772-x&partnerID=40&md5=0baf4dfd770c9128fcb3ee4ecb10b2c0","Convolutional neural networks; Deep learning; Image classification; Remote sensing images; Satellite images; Vision Transformer",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162916455&doi=10.1186%2fs40537-023-00789-2&partnerID=40&md5=30b68eb4e579720a595cd4ae1e96b2b0","Deep neural network Learning; Feature extraction; GTZAN; Mathematical model; MG; Neural network; Space complexity; Time complexity",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168666782&doi=10.1186%2fs40537-023-00812-6&partnerID=40&md5=0cffda2d6b820946a08c48503a2a5f16","Classical statistics; Indeterminate; Neutrosophic; Simulation; The power of the test",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160924973&doi=10.1186%2fs40537-023-00768-7&partnerID=40&md5=5252feb8c392b434d1f9c82405d25bfa","Classification algorithms; Credit scoring; Model evaluation; Multi-criteria decision making; PROMETHEE II; PROSA",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160039177&doi=10.1186%2fs40537-023-00752-1&partnerID=40&md5=37c1c1cab563b3542a760f3896662581","Hepatocellular carcinoma; HIF-1α; Hypoxia; Immune checkpoint blockade; Immune infiltration; Overall survival; Transcatheter arterial chemoembolization",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160253650&doi=10.1186%2fs40537-023-00775-8&partnerID=40&md5=cb6adad6b9b973ff71934c12c73c13b1","Convolutional neural networks; Dataflow; Deep learning accelerator; Deep neural networks; Endoscopy; Medical Images",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153302580&doi=10.1186%2fs40537-023-00726-3&partnerID=40&md5=ad59b41261cd3481bea056108a3fddec","Deep learning; Gated recurrent attention network; Natural language processing; Recurrent neural network; Term weight-feature extraction; Twitter sentiment; White shark optimizer",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156201237&doi=10.1186%2fs40537-023-00737-0&partnerID=40&md5=9e8e51fa76ad00658f58de4e681974e3","Bayesian network structure learning; Big data analytics; Distributed computing continuum systems; Governance and sustainability; Representation learning; Self-healing",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164730521&doi=10.1186%2fs40537-023-00792-7&partnerID=40&md5=d40f461e8ee856399a5a8936f1213a90","Active Learning; Data privacy; Oversampling; Regularization; Self-supervised Learning; Semi-supervised Learning; Synthetic Data; Tabular data",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162032311&doi=10.1186%2fs40537-023-00790-9&partnerID=40&md5=df3e473a013fd5e4644611b44c464dd5","Big data; Bloom filter; Intrusion detection system; IoT",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160232840&doi=10.1186%2fs40537-023-00778-5&partnerID=40&md5=4cbf33988c6f94939d535b71efd92afc","IPC; Patent statistics; Patentometrics; PCT applications; Triadic patent families",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160105439&doi=10.1186%2fs40537-023-00731-6&partnerID=40&md5=61c60191a6d0bdf8bf5d34b8286a7e26","Artificial intelligence; Big data; Computing paradigms; Control flow; Data flow",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165580420&doi=10.1186%2fs40537-023-00742-3&partnerID=40&md5=fce5afc255910497a42098f29ace2de6","Ant colony optimization; Artificial bee colony optimization; Multi-hop data transmission; Transmission control protocol; Vehicle ad hoc network",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153114840&doi=10.1186%2fs40537-023-00709-4&partnerID=40&md5=cfe7c3cfd7f0448df07343bcbd2bd60a","Approximate computing; Cluster ball model; Ensemble learning; Number of clusters; Random sample partition",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158115432&doi=10.1186%2fs40537-023-00736-1&partnerID=40&md5=66450b39756bde198c68995b63af52cb","Navigation; Property valuation; Routing; Scenic routing",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153306096&doi=10.1186%2fs40537-023-00717-4&partnerID=40&md5=2dab12e26260db72fe49800fa866feb7","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168470204&doi=10.1186%2fs40537-023-00805-5&partnerID=40&md5=4c1124d13e2685216c5b0eb9555664c3","Artificial neural network; Internet of Things; Internet security; Network; Security requirements",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160055408&doi=10.1186%2fs40537-023-00763-y&partnerID=40&md5=078d966881db40f2b5d049b217eec22e","3D reconstruction; Big Data; Medical image processing; Multiscale modelling",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158915908&doi=10.1186%2fs40537-023-00740-5&partnerID=40&md5=8a8d6b8aeff8a2b84895313f61ea1e41","Explainable machine learning; Negation detection; Revisit intention; Text classification; Topic modelling",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161932446&doi=10.1186%2fs40537-023-00762-z&partnerID=40&md5=6c63257b073ea951ca6717bd1687d004","Audio-based diagnosis; CNN; Deep learning; Lung sound; Respiratory system; Signal analysis",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153068510&doi=10.1186%2fs40537-023-00721-8&partnerID=40&md5=3899b1fe1c02f560dc237d4df79d470a","Big data applications; Churn in rental business; Customer churn prediction; Customer retention management; Feature selection; Machine learning",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158891289&doi=10.1186%2fs40537-023-00701-y&partnerID=40&md5=d08055fc8ec51772a3c72204ac9d7231","Autonomous Cars; Driverless Cars; Privacy; Safety; Security",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160907315&doi=10.1186%2fs40537-023-00770-z&partnerID=40&md5=f12c47220c5f131918ee9dd31e95b984","Big Data; Explainable AI; Land cover; Machine learning; Multispectral; Remote sensing; Workflow",""
