"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143282856&doi=10.1108%2fJDAL-09-2018-0015&partnerID=40&md5=2f370dc3670b703fc40fbbf5ab0f9d91","Aircraft availability; Maintenance; Regression; Utilization",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143275881&doi=10.1108%2fJDAL-04-2017-0004&partnerID=40&md5=f1f4409459189473451cb50c15717fa1","Acquisition estimates; Regression modeling; Should-cost; Will-cost",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143283828&doi=10.1108%2fJDAL-10-2021-0009&partnerID=40&md5=95d985839cad8abcdcab0ec342247ffb","D200; Demand; Forecast; Inventory; Spare parts; United States air force",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078446338&doi=10.1108%2fJDAL-10-2017-0021&partnerID=40&md5=ced64b2f4f789227f01efa61727173ac","Agency theory; Defense; Performance-based contracting (PBC); Risk management; Service industries; Service supply chains",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122768332&doi=10.1108%2fJDAL-11-2020-0023&partnerID=40&md5=ac0ce4fb8efa25685c7d1a8a316f099c","Modeling and simulation; Multi-objective optimization; Space domain awareness; System architecting; Value-based decision-making",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120035454&doi=10.1108%2fJDAL-05-2018-0009&partnerID=40&md5=16023a1256be727194389429980a4e42","Order fulfillment; Readiness; Supply discrepancies; Sustainment",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143271169&doi=10.1108%2fJDAL-03-2018-0007&partnerID=40&md5=f7fc72130152582a6a12cf1f6a26d1d1","Defense industry; Early supplier integration; Federal acquisition; New product development; Procurement; Sourcing",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159668495&doi=10.1108%2fJDAL-11-2022-0013&partnerID=40&md5=d37a5a09fa257eef8de38347d0729658","Aircraft; Demand priority; Dial-a-ride problem; Helicopter routing; Heuristic; Military aviation; Multiple refuel nodes; Vehicle utilization",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143292017&doi=10.1108%2fJDAL-08-2019-0015&partnerID=40&md5=a18cd54f8d59e06aaf367103419ed797","Assignment problem; Solution robustness; Stable marriage algorithm",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143268305&doi=10.1108%2fJDAL-01-2018-0001&partnerID=40&md5=5a1ad9d7866014706fe79f4d05edb18f","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138599288&doi=10.1108%2fJDAL-03-2020-0006&partnerID=40&md5=82a9aa56af9899a8dccf4fa029443bcd","Blockchain; CABlock; Code signing; Controlled access blockchain; Cryptocurrency; Cybersecurity; DevOps; DevSecOps; Embedded systems; Mission-critical systems; OFP; Operational flight program; Permissioned blockchain; RBAC; Role-based access control; SDE; Secure development environment; Secure virtual machine; Self-hosting; SGX; Software development; Software support activity; SSA; TADA; Time-limited authorization for developer action; Trusted eXecution technology; Trusted platform module; Trusted software guard; TXT; Zero trust",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141346197&doi=10.1108%2fJDAL-05-2017-0008&partnerID=40&md5=48c6e08b7bb8f4f4c36d6890d4809d2f","Applied statistics; Forecasting; Student attrition",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143283700&doi=10.1108%2fJDAL-07-2020-0014&partnerID=40&md5=6a708cb877fb7e1b473fa53ce66348f3","Decompression sickness; Sea survival; Search and rescue; Submarine tower escape",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161014845&doi=10.1108%2fJDAL-11-2022-0011&partnerID=40&md5=cd58fc4ec27fdc964a86d7c51cc26b5c","Cluster analysis; Country conflict; Forecasting; Principal components evaluation",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143271096&doi=10.1108%2fJDAL-12-2017-023&partnerID=40&md5=283a4a5fc32e44292a85a9d08d6af45b","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159606597&doi=10.1108%2fJDAL-11-2022-0012&partnerID=40&md5=f80e4d3e607e5cfb2794c4f543f05fb7","Markov chain; Military; Monte Carlo simulation; Performance; Small arms combat",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143282621&doi=10.1108%2fJDAL-07-2018-0012&partnerID=40&md5=63aab0f63eab6814a85e65cb23b6d2a8","Betweenness; Binary integer programming; Graph theory; Heuristics; Military route vulnerability; Shortest path",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100112433&doi=10.1108%2fJDAL-05-2019-0010&partnerID=40&md5=1619ebe20b063eaffc4e124fdd34587e","Korea; Noncombatant evacuation; Time-staged network; US Military; Vehicle routing procedure",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143083326&doi=10.1108%2fJDAL-06-2017-0010&partnerID=40&md5=1491c67d541296724af049b7a4e93d85","Category management; Contracting; Services; Small business set-aside; Strategic sourcing",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143290409&doi=10.1108%2fJDAL-02-2019-0004&partnerID=40&md5=241c5f062cf41f7f2151685757f7d4fa","Anthrax; Bioterrorism; Flexibility versus availability; Medical response planning; Supply chain",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143279813&doi=10.1108%2fJDAL-10-2021-0011&partnerID=40&md5=3dd0fb9efa957f09d2400a421d5dd3f8","Artificial intelligence; Game theory; Games",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143083520&doi=10.1108%2fJDAL-10-2017-0022&partnerID=40&md5=dc206f62a9139c00478e902446460f71","Discrete event simulation; Forced distribution; Manpower modeling; Military; Performance appraisal",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143268455&doi=10.1108%2fJDAL-10-2021-0008&partnerID=40&md5=e0fadd43c679641fceab320ac6c8a174","C-130J; Six Sigma DMAIC; Upgrade; Variance Reduction",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143292068&doi=10.1108%2fJDAL-02-2021-0002&partnerID=40&md5=6008ffadcc6d68675088abdfbf6a3157","Decisional analysis; Defence; Optimization; Probability",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140472617&doi=10.1108%2fJDAL-08-2020-0016&partnerID=40&md5=1a6d4e7253e5ef3b80da0a65e0a78241","Additive manufacturing; Intermittent demand; Logistics; Spare parts supply chain; Supply chain design",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143268775&doi=10.1108%2fJDAL-09-2017-0020&partnerID=40&md5=cfa8cf21bc414454330c8f8b4c93aa69","Data analysis; Demographics; Logistic regression; Manning; Readiness",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142300194&doi=10.1108%2fJDAL-07-2022-0003&partnerID=40&md5=ddb11830367f8b13cd6829f6356bb8d5","Chi-square tests; Correlation; Military logistics; Mixed integer programming; Regression; Ship loading; Stowage goals",""
