"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080906060&doi=10.1016%2fj.jfds.2018.04.001&partnerID=40&md5=e3747758f403f5a807107d478e8e1d3d","AUC; Credit scoring; Data science; Machine learning; Regulation",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102146181&doi=10.1016%2fj.jfds.2017.06.001&partnerID=40&md5=560cb08f894ff79a69953f98dae3c259","2007 financial crisis; Asia; Emerging markets; Volatility spillover",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119283337&doi=10.1016%2fj.jfds.2021.10.001&partnerID=40&md5=99d698ec214c4b455c831413fa7a7f8b","Embeddings; Lexicons; Machine learning; Scoring",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087562572&doi=10.1016%2fj.jfds.2019.01.003&partnerID=40&md5=55f8c3b730193dac8eb5a46581fbec65","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106962291&doi=10.1016%2fj.jfds.2021.03.002&partnerID=40&md5=647da56b6e48fc26451a187b0cb8d1c6","Bond IPO; Underpricing",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131363439&doi=10.1016%2fj.jfds.2022.05.002&partnerID=40&md5=90387233a3625e37457447a6c39d9606","Audit data analytics; Full population testing; Machine learning",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045281285&doi=10.1016%2fj.jfds.2017.02.001&partnerID=40&md5=7b029374c6965e1b1ea9eff71c0d95c4","Accounting; Finance; Information; Machine learning; Media news; Sentiment; Textual analysis",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148713323&doi=10.1016%2fj.jfds.2023.01.001&partnerID=40&md5=4d397765510576d53ea24820e848c59b","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111268692&doi=10.1016%2fj.jfds.2021.06.001&partnerID=40&md5=630b4ea8e17c585353b990aba0e544e0","Derivatives pricing; Heston model; Machine learning; Trader inventory",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052757305&doi=10.1016%2fj.jfds.2016.12.001&partnerID=40&md5=fb8d7125c18a08df316912ea62148b49","ARFIMA; GARCH; HAR; Realized volatility; Value-at-risk; Volatility forecasting",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143162110&doi=10.1016%2fj.jfds.2022.11.003&partnerID=40&md5=bcca5bde81e028a6152d8fc3d9e72c01","Copulas; Cross sectional and temporal dependence; ESG; Sustainability; Vine copulas",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058480248&doi=10.1016%2fj.jfds.2017.07.001&partnerID=40&md5=f665612b0a4c514cf399e99b5cdeda58","Agricultural GDP; Cooperatives; Food production; Loan schemes; ZTBL",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090938456&doi=10.1016%2fj.jfds.2018.08.002&partnerID=40&md5=25d3ed41484e30b20a5a5a1463925de8","Banking; DEA; Directional distance function; Efficiency; India; Meta-frontier; Ownership structure",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130865456&doi=10.1016%2fj.jfds.2022.04.004&partnerID=40&md5=3a508f3b7ae74a370ade9f9298d9de66","Earnings; Forecasting; Machine learning; Measurement error; Returns; Uncertainty",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062597392&doi=10.1016%2fj.jfds.2018.02.002&partnerID=40&md5=e8617eb1256174ea1be751499fffcda6","Computational finance; Machine learning; Natural language processing; Technical analysis; Volatility forecasting",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042756855&doi=10.1016%2fj.jfds.2016.01.002&partnerID=40&md5=9c0e7929eaedd1b81d5215a1fff640de","Behavioural finance; Exchange rate benchmarks; Finance; Financial markets; Foreign exchange markets; FX execution; FX market microstructure; Market manipulation; Market microstructure; WM/Reuters 4 pm fix",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987841602&doi=10.1016%2fj.jfds.2015.03.001&partnerID=40&md5=d7df1506fb0bcce8754cb0f00d9d1637","Big data analysis; Fraud detection and prevention; Malicious behavior; Risk model; Risk score",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055846473&doi=10.1016%2fj.jfds.2017.09.002&partnerID=40&md5=b45a87799a30b1da85ae7af84fcb7bd5","Bank; Banking coalition; Cooperative games; Game theory; Profit allocation",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059258188&doi=10.1016%2fj.jfds.2018.02.005&partnerID=40&md5=7a2720d2dca7ce9654b82c41c94ee526","ARDL; GDP per capita; Morocco; Public education expenditure; Tunisia",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067829820&doi=10.1016%2fj.jfds.2017.11.004&partnerID=40&md5=6870a7eb236a6b6cc7dd9b9e3955f62f","CUSUM plot; Economic growth; Liquidity ratio; Market resiliency; Moderating regression analysis; Real interest rate; Risk premium; Variance ratio",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85154035057&doi=10.1016%2fj.jfds.2023.100097&partnerID=40&md5=48b161d4ce19bc5c57273dbc16549696","Cellwise robustness; Distance correlation; Hierarchical clustering; Linkage; Portfolio allocation; Risk contribution",""
