"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104469660&doi=10.3905%2fjfds.2019.1.018&partnerID=40&md5=cd435ca54c248783576956863f16b33a","Big data/machine learning*; Simulations; TOPICS: Statistical methods",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141707645&doi=10.3905%2fjfds.2022.4.4.001&partnerID=40&md5=cb906d63c8bab0d7010ecbb3b4d833ed","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127408948&doi=10.3905%2fjfds.2020.1.039&partnerID=40&md5=a61de051834cf076e87261a9035591cd","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135536042&doi=10.3905%2fjfds.2022.1.096&partnerID=40&md5=460f2318027c6a457b11c20e3ee48b6d","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126554992&doi=10.3905%2fjfds.2021.1.070&partnerID=40&md5=d2282e82bd612e46fe7a632ae3f7725a","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144757735&doi=10.3905%2fjfds.2022.1.111&partnerID=40&md5=ad9a7afc102b2d4b498db4943f5774ff","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126525481&doi=10.3905%2fjfds.2021.1.069&partnerID=40&md5=e361db69d37c09165ad010a7be9c4c45","Big data/ machine learning; Emerging markets*; Portfolio construction; Quantitative methods; Security analysis and valuation",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140885206&doi=10.3905%2fjfds.2022.1.104&partnerID=40&md5=56c5bd9029b3d278d0a75da2aa8b9dc8","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103922429&doi=10.3905%2fjfds.2020.1.049&partnerID=40&md5=125d8d050988f96cf0dffbdf7c7e733f","Big data/machine learning; Derivatives; Simulations; Statistical methods",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126540185&doi=10.3905%2fjfds.2021.1.086&partnerID=40&md5=2dbe447584f43333e54dc4752a6b1ec4","A reliable and statistically defendable bubble prediction model cannot be based on an analysis of a select set of the largest bubble events in financial history; Different bubble return thresholds need to be stipulated across sectors and factors to ensure that bubble prediction is based on outlier samples of an appropriate size and magnitude; The random cut forest algorithm is an effective method for detecting anomalous episodes of asset price appreciation",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135483097&doi=10.3905%2fjfds.2022.1.097&partnerID=40&md5=235db112698c2b4b5de80270924f09d8","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126539095&doi=10.3905%2fjfds.2021.1.059&partnerID=40&md5=842d4f569d4448e1e2a48155d6fe6f37","Big data/machine learning; Performance measurement*; Security analysis and valuation; Style investing",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120708115&doi=10.3905%2fjfds.2019.1.022&partnerID=40&md5=b06300df3c13a6e7f59ea1feeeaadbe3","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126527429&doi=10.3905%2fjfds.2020.1.043&partnerID=40&md5=8907a487f5286eb13cfe7782adde1d65","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130190605&doi=10.3905%2fjfds.2022.4.2.139&partnerID=40&md5=9cb2d9aaf5dcd8de5fc7d42e63da4198","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135447679&doi=10.3905%2fjfds.2022.1.094&partnerID=40&md5=22f0aada12a6c56d0e841fe533207fe7","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151504532&doi=10.3905%2fjfds.2022.1.117&partnerID=40&md5=11bd87f61a663b72f8b6440eeaf0f789","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126535207&doi=10.3905%2fjfds.2019.1.020&partnerID=40&md5=f69f1bc43cfc71153486c5f4bb0cb1aa","Big data/ machine learning*; Equity portfolio management; Simulations; Statistical methods",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092351779&doi=10.3905%2fjfds.2019.1.021&partnerID=40&md5=878e054fbcc980c302200f4fd397c086","Analysis of individual factors/risk premia; Big data/machine learning; Performance measurement; Portfolio construction",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117812718&doi=10.3905%2fjfds.2021.1.074&partnerID=40&md5=3bc49afa2844755d8b9f883cbab58f72","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126546756&doi=10.3905%2fjfds.2020.1.044&partnerID=40&md5=c0e775b79e6c61a0da6db5abafd388bc","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166331928&doi=10.3905%2fjfds.2020.1.033&partnerID=40&md5=39987fcfb22fcb1989cffb8e7048a336","portfolio construction*; Portfolio theory",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127450588&doi=10.3905%2fjfds.2021.1.061&partnerID=40&md5=b487b5d7d3cd4141e94d78a992640559","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107958212&doi=10.3905%2fjfds.2020.1.054&partnerID=40&md5=dbe0a5f23fad1791b489b57055916333","Portfolio construction; Security analysis and valuation; Statistical methods*",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105348143&doi=10.3905%2fjfds.2021.1.062&partnerID=40&md5=6c658a0688ca200b9025ae2f9b4be0b9","Big data/machine learning; Security analysis and valuation",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101857406&doi=10.3905%2fjfds.2020.1.041&partnerID=40&md5=b8308cf4cca05682ca45958e70b34a6f","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140914287&doi=10.3905%2fjfds.2022.1.108&partnerID=40&md5=7fc059610ed4f639004e7ffacf6837bb","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090972955&doi=10.3905%2fjfds.2019.1.019&partnerID=40&md5=740f948eaea0891fbe25a67d32ca0b94","Big data/machine learning; Simulations; Statistical methods",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120603756&doi=10.3905%2fjfds.2021.1.075&partnerID=40&md5=783da6a5e6e38a1056fdda6deba4b262","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126518632&doi=10.3905%2fjfds.2020.1.050&partnerID=40&md5=a827f04cfa5093710d007adfec8f58ad","Big data/machine learning; Currency; Simulations",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127392362&doi=10.3905%2fjfds.2021.1.079&partnerID=40&md5=fa0df905962a4f20cb33b10473c126b7","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126184692&doi=10.3905%2fjfds.2021.1.068&partnerID=40&md5=9d67b30295f4b53e6642d1fe6a2dcdb3","Big data/machine learning; Financial crises and financial market history; Portfolio theory*",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127380439&doi=10.3905%2fjfds.2021.3.1.001&partnerID=40&md5=e18c32ceea36f02f6b8f1a50f8ae7e0e","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126541853&doi=10.3905%2fjfds.2022.4.1.076&partnerID=40&md5=da83c30b02d62eaaf4dcf1ad561e9173","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138661410&doi=10.3905%2fjfds.2022.4.3.001&partnerID=40&md5=ed89cf6544c8d879344caa1488b38928","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126563227&doi=10.3905%2fjfds.2019.1.016&partnerID=40&md5=4f74f5ccafb2916b20506b444de661e0","Big data/machine learning*; TOPICS: Simulations",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140898986&doi=10.3905%2fjfds.2022.1.105&partnerID=40&md5=ca76c902a3a3128db449c073109959ad","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127426776&doi=10.3905%2fjfds.2021.1.085&partnerID=40&md5=81c4a4ba12b533ceaac9096d9c231cc0","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140919962&doi=10.3905%2fjfds.2022.1.107&partnerID=40&md5=f2169fd5e4a7d6277bd2fb91c1baa326","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153528310&doi=10.3905%2fjfds.2023.5.1.001&partnerID=40&md5=cba6cd6ac2c2e8fb987c7897d4455374","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152000659&doi=10.3905%2fjfds.2022.1.115&partnerID=40&md5=ea694fe20bab15b8bb37bd7249be2b7d","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127449330&doi=10.3905%2fjfds.2021.1.065&partnerID=40&md5=1b08b783f9d6c33eb033312ce1c590c0","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140884320&doi=10.3905%2fjfds.2022.1.102&partnerID=40&md5=f78b9a19cf5ddb2bcdf000dc494b0872","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138553655&doi=10.3905%2fjfds.2022.1.100&partnerID=40&md5=c2c4e53f19c27509f2ffe1d8ef6bcaba","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106075223&doi=10.3905%2fjfds.2020.1.052&partnerID=40&md5=76360cfbf6a995227f7995f697a0c759","Big data/machine learning; Derivatives; Simulations",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132640757&doi=10.3905%2fjfds.2022.1.088&partnerID=40&md5=bfbdd9ad3421351d50167780ddf347a4","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125781103&doi=10.3905%2fjfds.2021.1.071&partnerID=40&md5=05e6123dd56a360d62539f9d59b2727f","Big data/machine learning; Exchange-traded funds and applications; Performance measurement; Portfolio construction",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126548557&doi=10.3905%2fjfds.2021.1.084&partnerID=40&md5=6395ef0d3b573946e120ee214728aea2","",""
