"Title","Year","Link","Abstract","Author Keywords","Index Keywords"
"Associative memory, beliefs and market interactions","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192143875&doi=10.1016%2fj.jfineco.2024.103853&partnerID=40&md5=eac0618640625ef1ace271acdc127fe1","Recent theories and narratives highlight the potential role of associative recall in driving overreaction in expectations and market behavior. Based on a simple model, we test this idea through a series of experiments in which news are communicated with memorable contexts. Because the experimental participants predominantly remember those past news that get cued by new information, their beliefs about fundamentals strongly overreact. In a betting market experiment, associative recall translates into overreaction in market prices, which makes realized prices too extreme. Our results highlight the importance of associative memory for beliefs and financial decisions. © 2024 The Author(s)","Associations; Beliefs; Bounded rationality; Expectations; Memory",""
"J'Accuse! Antisemitism and financial markets in the time of the Dreyfus Affair","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186512568&doi=10.1016%2fj.jfineco.2024.103809&partnerID=40&md5=022b1aabc4838b5585c7c457392b622e","We study the stock market performance of firms with Jewish board members during the “Dreyfus Affair” in 19th century France. In a context of widespread latent antisemitism, initial accusations made against the Jewish officer Alfred Dreyfus led to short-lived abnormal negative returns for Jewish-connected firms. However, investors betting on these firms earned higher returns during the period corresponding to Dreyfus' rehabilitation, starting with the publication of the famous op-ed J'Accuse! in 1898. Our conceptual framework illustrates how diminishing antisemitic biases among investors might plausibly explain these effects. Our paper provides novel insights on how antisemitism can increase and decrease over short periods of time at the highest socio-economic levels in response to certain events, which in turn can affect firm value in financial markets. © 2024 The Author(s)","Antisemitism; Discrimination; Financial markets",""
"Fearing the Fed: How wall street reads main street","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183167774&doi=10.1016%2fj.jfineco.2024.103790&partnerID=40&md5=b6a6a7f58387e17eac52286d018aec86","We provide strong evidence of a countercyclical sensitivity of the stock market to major macroeconomic announcements. The most notable cyclical variation takes place within expansions: sensitivity is largest early in an expansion and essentially zero late in an expansion. By exploiting the comovement pattern between stocks and bonds around announcements, we show that the stock market sensitivity is large when the cash flow component of news is least offset by news about future risk-free rates. Observed fluctuations in stock sensitivities can be attributed to shifting perceptions of monetary policy responsiveness. © 2024 Elsevier B.V.","Cyclical return variation; Macroeconomic news announcements; Monetary policy expectations",""
"Concealed carry","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195429745&doi=10.1016%2fj.jfineco.2024.103874&partnerID=40&md5=d175eac29e1af9c7c8911f08590de1a4","The slope carry takes a long (short) position in the long-term bonds of countries with steeper (flatter) yield curves. The traditional carry takes a long (short) position in countries with high (low) short-term rates. We document that: (i) the slope carry return is slightly negative (strongly positive) in the pre (post) 2008 period, whereas it is concealed over longer samples; (ii) the traditional carry return is lower post-2008; and (iii) expected global growth and inflation declined post-2008. We connect these findings through an equilibrium model in which countries feature heterogeneous exposure to news shocks about global output and global inflation. © 2024 The Author(s)","Carry trades; Global inflation risk; Yield curves",""
"The passive ownership share is double what you think it is","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193569343&doi=10.1016%2fj.jfineco.2024.103860&partnerID=40&md5=ebc6573fc8af01838ca336a188ecc069","Each time a stock gets added to or dropped from an index, we ask: “How much money would have to be tracking that index to explain the huge spike in rebalancing volume we observe on reconstitution day?” While index funds held 16% of the US stock market in 2021, we put the overall passive ownership share at 33.5%. Our headline number is twice as large because it reflects index funds as well as other kinds of passive investors, such as institutional investors with internally managed index portfolios and active managers who are closet indexing. © 2024 Elsevier B.V.","G11; G14; G23; Index funds; Index-linked investing; Internal indexing; Passive ownership; Prearranged trades; Reconstitution day",""
"Causal effects of closing businesses in a pandemic","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185152904&doi=10.1016%2fj.jfineco.2024.103794&partnerID=40&md5=3aab86cb233c7f4d3059afb85bad8392","We study whether state-level mandatory business closures implemented in response to the outbreak of the Covid-19 causally affect economic and health outcomes. Using plausibly exogenous variations in exposure to these restrictions, we find that they impose substantial losses to firms and workers, the former bearing approximately two thirds of the cost, consistent with firms partially insuring their workers. We show that mandatory business closures have a significant negative causal effect on mortality rates, particularly in areas featuring contact-intensive occupations. We discuss the assumptions under which the health benefits of business closures exceed their associated economic costs. © 2024 The Author(s)","Business closures; Covid-19; Profits; Wages",""
"Debtor income manipulation in consumer credit contracts","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192749541&doi=10.1016%2fj.jfineco.2024.103851&partnerID=40&md5=709c550f1b4c37a9b14572354ae48e33","We show that forcing insolvent consumer debtors to repay a larger fraction of debt causes them to strategically manipulate the data they report to creditors. Exploiting a policy change that required insolvent debtors to increase debt repayments at an arbitrary income cutoff, we document that some debtors reduce reported income to just below this cutoff to avoid the higher repayment. Those debtors who manipulate income have a lower probability of default on their repayment plans, consistent with having access to hidden income. We estimate this strategic manipulation costs creditors 12% to 36% of their total payout per filing. © 2024","Consumer credit; Data misreporting; Default; Financial distress",""
"Quantifying the impact of red tape on investment: A survey data approach","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181106001&doi=10.1016%2fj.jfineco.2023.103763&partnerID=40&md5=637981ec0084eb5da2692d290821e36e","An important strand of research in macro-finance investigates which factors impede enterprise investment, and what is their aggregate economic cost. In this paper, we make two contributions to this literature. The first contribution is methodological: we introduce a novel framework to calibrate macroeconomic models with firm-level distortions using enterprise survey micro-data. The core of our innovation is to explicitly model the firms' decisions to report in the survey the distortions they face. Our second contribution is to apply our method across seven countries to characterize the distribution of these distortions and estimate the gross domestic product (GDP) loss induced by distortionary red tape. Our estimates are based on a dynamic general equilibrium model with heterogeneous firms whose capital investment decisions are distorted by red tape. We find that the aggregate cost of red tape varies widely across the countries in our dataset, with an average cost of 0.8% of annual GDP. Our framework opens up a new range of applications for enterprise surveys in macro-financial modeling and policy analysis. © 2023 Elsevier B.V.","Bureaucracy; Growth; Investment; Misallocation; Regulations; Survey",""
"Disagreement about public information quality and informational price efficiency","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178099257&doi=10.1016%2fj.jfineco.2023.103762&partnerID=40&md5=a50e62cdb26a84d165edc41ea9b62f6c","Investors often hold differing opinions on public information quality. This paper shows that such investor disagreement provides a novel explanation for financial market dynamics around earnings announcements. We propose a rational expectations equilibrium model where investors disagree about the precision of a public signal, which separates a pre-news trading period from a post-news trading period. In equilibrium, investor disagreement about public signal precision diminishes informational price efficiency before the news, but enhances it afterward. Consequently, investor disagreement leads to a notable jump in informed trading around the news, a decline in abnormal trading volume before the news and a surge immediately after the news, and underreaction of stock price to announced earnings. © 2023 Elsevier B.V.","Dynamic REE model; Informational price efficiency; Investor disagreement; Price underreaction; Trading volume",""
"The reserve supply channel of unconventional monetary policy","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196527538&doi=10.1016%2fj.jfineco.2024.103887&partnerID=40&md5=f6fd601e0501e669263eb121ccb1c923","We find that central bank reserves injected by QE crowd out bank lending. We estimate a structural model with cross-sectional instrumental variables for deposit and loan demand. Our results are determined by the elasticity of loan demand and the impact of reserve holdings on the cost of supplying loans. The reserves injected by QE raise loan rates by 7.4 basis points, and each dollar of reserves reduces bank lending by 7.7 cents. Our results imply that a large injection of central bank reserves has the unintended consequence of crowding out bank loans because of bank balance sheet costs. © 2024 Elsevier B.V.","Balance sheet cost; Deposit competition; Financial intermediation; Quantitative easing; Structural estimation",""
