"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165266994&doi=10.1080%2f23270012.2023.2232804&partnerID=40&md5=57a488772efc3b4dd63bc63cfc452761","group decision making; linguistic neutrosophic matrix; linguistic neutrosophic matrix energy; linguistic neutrosophic weight","Decision making; Energy; Energy applications; Group Decision Making; ITS applications; Linguistic neutrosophic matrix; Linguistic neutrosophic matrix energy; Linguistic neutrosophic weight; matrix; Multiple criteria; Linguistics"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092668827&doi=10.1080%2f23270012.2020.1829113&partnerID=40&md5=2393038bef0c1e662cc603bd96173881","backlogging; demand per unit time; generalized exponential distribution; genetic algorithm; log-normal distribution; variable deterioration","Deterioration; Inventory control; Profitability; Deteriorated products; Economic order quantity; Economical ordering quantities; Generalized exponential distribution; Inventory management; Parametric relationships; Partial backlogging; Probabilistic assumptions; Genetic algorithms"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164460053&doi=10.1080%2f23270012.2023.2229842&partnerID=40&md5=4606dcc845ca20ba996580d24d4790b4","artificial intelligence; combinatorial optimization; multi-agent deep reinforcement learning; multi-depot vehicle routing problem; supply chain management","Combinatorial optimization; Deep learning; Learning systems; Multi agent systems; Reinforcement learning; Vehicle routing; Vehicles; Joint distributions; Multi agent; Multi-agent deep reinforcement learning; Multi-depot vehicle routing problems; Real- time; Reinforcement learning approach; Reinforcement learning models; Reinforcement learnings; Supply chain logistics; Supply chain management"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102587076&doi=10.1080%2f23270012.2021.1886883&partnerID=40&md5=595f247946cc4409c23446845c31517e","algorithmic storytelling; analytic communication; data visualization; enhanced data narratives; video analysis","Artificial intelligence; Knowledge management; Visualization; Communication techniques; Complex information; Computer generated; Empirical studies; Knowledge retention; Knowledge transfer; Knowledge transfer performance; Narrative structures; Data visualization"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103400218&doi=10.1080%2f23270012.2021.1881924&partnerID=40&md5=b99d5de7b2c1eefd344418fbe5e3bc3c","crowd evacuation model; hybrid nature-inspired optimization techniques; microscopic model soft computing techniques; systematic reviews","Biomimetics; Evacuation management; Microscopic modeling; Nature inspired algorithms; Optimization factors; Optimization techniques; Softcomputing techniques; Systematic literature review; Systematic literature review (SLR); Soft computing"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160955409&doi=10.1080%2f23270012.2023.2219993&partnerID=40&md5=bbdcbab1b0496d3fd978770e711807bf","authentic leadership; job engagement; job performance; Positive employee health","Authentic leadership; Employee health; Global competition; Job engagement; Job performance; Job strains; Organizational mechanisms; Organizational politics; Positive employee health; Unpredictable environments; Human resource management"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095800802&doi=10.1080%2f23270012.2020.1768910&partnerID=40&md5=6bf99eae6522f5e5a6d9f51f6b5a3fc7","bank loan; Capital-constrained retailer; price-setting; sales effort; trade credit","Commerce; Finance; Supply chains; Limited funds; Operational activity; Order quantity; Price setting; Retail price; Sales effort; Sales promotions; Trade credit; Sales"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131767430&doi=10.1080%2f23270012.2022.2072779&partnerID=40&md5=a0dce50177566bd88d636edb5535100e","association rules; community detection; graph theory; market basket analysis; social networks; transaction data","Association rules; Commerce; Population dynamics; Sales; Social networking (online); Community detection; Detection approach; Exploratory analysis; Grocery stores; Market basket analysis; Market strategies; Product networks; Rule mining; Social network; Transaction data; Graph theory"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097392531&doi=10.1080%2f23270012.2020.1839362&partnerID=40&md5=c88b1aee83ec792f27b0ac435479d7e3","asynchronous calendar effects; exponential smoothing; Ramadan effect; sales forecasting","Comparative performance analysis; Data set; Forecasting models; Gregorian; Simultaneous effects; Forecasting"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091034006&doi=10.1080%2f23270012.2020.1818320&partnerID=40&md5=095049fb90a58c2ac56d6f43c0facc93","bivariate imperfect proportions; genetic algorithm; imperfect manufacturing system; learning; maintenance; production inventory; rework; warm-up production","Genetic algorithms; Manufacture; Decision variables; Learning capabilities; Learning models; Maintenance periods; Production and demand rate; Production inventory model; Production time; Sensitivity studies; Learning systems"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135932709&doi=10.1080%2f23270012.2022.2089063&partnerID=40&md5=822c2b43106b0a574d1dc41b55846749","bargaining; behavioral operations management; channel coordination; fairness; power retailer; price squeeze","Game theory; Manufacture; Roads and streets; Sales; Supply chains; Bargaining; Behavioral operation management; Behavioral operations; Channel coordination; Ex antes; Fairness; Fairness concerns; Operation management; Power retailers; Price squeeze; Profitability"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100784639&doi=10.1080%2f23270012.2021.1881925&partnerID=40&md5=09892018cea81d85ade2d42ab9d9df76","brand switching analysis; diffusion modeling; industrial marketing; logistic regression; OR in marketing","Commerce; Consumer behavior; Customer satisfaction; Logistic regression; Sales; Telecommunication industry; Market penetration; Model framework; Model validation; Primary data; Secondary datum; Switching behaviors; Formal concept analysis"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081315105&doi=10.1080%2f23270012.2020.1734879&partnerID=40&md5=f3a2d0d7a15564fa355fb5a360d01d00","auxiliary information; document classification; document structure analysis; informatics; information retrieval","Banking; Classification (of information); Competition; Information retrieval systems; Professional aspects; Semantics; Text processing; Auxiliary information; Business decisions; Competitive advantage; Document Classification; Document structure; Personal relationships; Semantic information; Text representation; Predictive analytics"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162114472&doi=10.1080%2f23270012.2023.2219999&partnerID=40&md5=69b9cde348ea3e8b75e213549f2dcb04","coopetition relationship; information resources possession; Lotka-Volterra model; M-commerce information service; simulation; stable equilibrium state","Electronic commerce; MATLAB; Co-opetition; Coopetition relationship; Information resource; Information resource possession; Lotka-Volterra models; M-commerce; M-commerce information service; Resource possession; Simulation; Stable equilibrium state; Information services"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097957609&doi=10.1080%2f23270012.2020.1852895&partnerID=40&md5=743b95ab86dc371fbc24097ec357f367","adoption; Artificial intelligence (AI); DOI; structural equation modeling; telecom industry; TOE","Behavioral research; Decision making; Diffusion of innovations; External environments; Human activities; Industrial revolutions; Innovation attributes; Organizational capabilities; Structural equation modeling; Technologies and applications; Artificial intelligence"
