"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126050483&doi=10.1057%2fs41270-022-00164-9&partnerID=40&md5=83b0aba6cd84fa517eafe290694cd9a6","Impulse buying; Mobile payment; Perceived enjoyment; Perceived interactivity; Perceived risk; Satisfaction; Subjective norm; Visual appeal",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151552281&doi=10.1057%2fs41270-023-00217-7&partnerID=40&md5=efe61a0d09492f27d00df7727c767576","Choice prediction; Ensemble learning; Machine learning",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147511201&doi=10.1057%2fs41270-023-00209-7&partnerID=40&md5=5992c31ba63ee9745f78641b5e90d1a6","Digital economics; Multilevel analysis; Retail; Social impact theory; Social media; WoM",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160063050&doi=10.1057%2fs41270-023-00230-w&partnerID=40&md5=40b76b24d75319e0baf7139ff013927d","Ad clicks; Ad space; Advertising factors; App publisher; Effectiveness framework; Integrated advertising; Mobile in-app advertising; Moderation; Programmatic advertising",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148086864&doi=10.1057%2fs41270-023-00214-w&partnerID=40&md5=246a8985eab2583f3652a5e104951289","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161801311&doi=10.1057%2fs41270-023-00233-7&partnerID=40&md5=47f1978836b998acb5f680b8baf7c51f","Multi-Arm Research; Recombining survey data; Survey length",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158050700&doi=10.1057%2fs41270-023-00225-7&partnerID=40&md5=013a28a6621b7511f081e748aada45ed","Impulse buying; Interaction immersion; Live streaming technology; Para-social interaction; Person–environment interaction; Streamer attractiveness",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160409275&doi=10.1057%2fs41270-023-00232-8&partnerID=40&md5=6d9f11ae22fdec7f5858693c581d03e6","Data visualization; Forecasting; Geodemographics; Google Trends; Predictive analytics",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136281286&doi=10.1057%2fs41270-022-00183-6&partnerID=40&md5=6d341a4c6dc44ca34b9bc684d3c159f1","Lodging attributes; Peer-to-peer; Platform business; Satisfaction; Sharing economy",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159376926&doi=10.1057%2fs41270-023-00227-5&partnerID=40&md5=48021db310d18a6c04a1f8a10de324fe","Brand engagement; Customer brand engagement; Customer engagement; Scale proliferation; Theory development; Validity",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139672903&doi=10.1057%2fs41270-022-00188-1&partnerID=40&md5=1ffcd9df49a8d2ef7cd7c0c267e33bee","Bayesian methodology; Brand commitment; Brand ethicality; COVID-19; Turbulent times",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123604668&doi=10.1057%2fs41270-021-00152-5&partnerID=40&md5=47f1cdd1f0136ff88855a76b40d47d7d","Add-on selling; Companion selling; Cross-selling; In-store promotions; Sales; Suggestive selling; Upselling; Verbal prompting",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124353224&doi=10.1057%2fs41270-022-00156-9&partnerID=40&md5=f0d7d326dd63ac28294d853d8b4bc1ee","Consumer behavior; COVID-19 perceived risk; Online purchase; Perceived ease of purchase; Perceived usefulness",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139262475&doi=10.1057%2fs41270-022-00190-7&partnerID=40&md5=99dbdb825d3c8a8f58686bc121322685","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160847229&doi=10.1057%2fs41270-023-00231-9&partnerID=40&md5=56d1ef9a1dbe91b64fede4b306f229c1","Akaike weights; Mediation; Partial least squares structural equation modeling; PLS-SEM; Uncertainty",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141942657&doi=10.1057%2fs41270-022-00195-2&partnerID=40&md5=0af3ec03264ad06495c9cdb70083d151","Customer citizenship behaviour; Customer engagement; Customer lifetime value; PLS; Prediction-oriented segmentation",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125713323&doi=10.1057%2fs41270-022-00158-7&partnerID=40&md5=ea480eb44d2b07160808c57e02cede1c","Cluster analysis; CLV; Customer migration; RFM; Segmentation",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111916122&doi=10.1057%2fs41270-021-00127-6&partnerID=40&md5=4fce3111320e04c23ce1016d7806dd36","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166585893&doi=10.1057%2fs41270-023-00237-3&partnerID=40&md5=866ca17aaa6239842e5646ccdadf19a4","Advertising; Click-through rate; Digital; Outstream; Sound; Video; Viewed length",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131042611&doi=10.1057%2fs41270-022-00172-9&partnerID=40&md5=75f142ef99f3a3b916966dee46e6f948","Diary data; Hierarchical models; Mixed-effects location scale models; Mixed-effects models; Nonlinear mixed-effects models; Repeated measures; TV",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114640289&doi=10.1057%2fs41270-021-00134-7&partnerID=40&md5=bb528a8231acf29a09ce0f54e2680427","Customer inertia; Health insurance; India; Performance; Reputation; Service",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141939647&doi=10.1057%2fs41270-022-00194-3&partnerID=40&md5=95dad40ac6c6f61e5c6902733aa91d12","Danmu; Information processing; Live comments; Perceived helpfulness of online review; User-generated video",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166972800&doi=10.1057%2fs41270-023-00240-8&partnerID=40&md5=92cab61cbf22270e0bf2f4ec0d8e63e5","Conditional mediation model; PLS-SEM; Privacy concerns; Smart travel technologies; Travel experience",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169153401&doi=10.1057%2fs41270-023-00242-6&partnerID=40&md5=be61ebe90806ed45a8d89dcc9515784b","Customer–brand engagement; Engagement maintenance; Hedonistic brands; Long-term customers; Utilitarian brands",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137598373&doi=10.1057%2fs41270-022-00184-5&partnerID=40&md5=25f8d683f7899d2cf6e98da8a0f8e599","CMA 3.0; Comprehensive Meta-Analysis 3.0; Meta-analysis; Software review",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117256970&doi=10.1057%2fs41270-021-00136-5&partnerID=40&md5=c91189e74612c3e2edc467ce33912e62","Brand community; Brand community engagement; Co-creation; Partial least squares (PLS) modeling; Participation; Relationship quality",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123465932&doi=10.1057%2fs41270-021-00149-0&partnerID=40&md5=8fdbfcb9240af1884192cd71695d3d51","Affective involvement; Consumer relationship experience; Consumer–brand identification; Narrative structure; Purchase intention; Storytelling",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119999450&doi=10.1057%2fs41270-021-00146-3&partnerID=40&md5=b35068fa7ca81a3fbea1115b426ab3fd","Behavioral customer engagement; Customer commitment; PROCESS; Psychological customer engagement; The Johnson–Neyman technique",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111638251&doi=10.1057%2fs41270-021-00125-8&partnerID=40&md5=ff71c597104957441a91c13212354642","Analytics; Customer analytics; Interviews; Multi-criteria analysis; Strategic decisions; Text analytics",""
