"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097092514&doi=10.1177%2f1094670520975143&partnerID=40&md5=b7e5a689e87a747cbcb33be6d848b29d","competitor identification; hotel attributes; k-nearest neighbor; latent Dirichlet allocation; online reviews",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129509389&doi=10.1177%2f10946705221087399&partnerID=40&md5=92f4e93cd6d70971078de3fe39d63ecb","Cross-selling; Leader–member exchange (LMX); Person–organization (P–O) fit; Work meaningfulness of serving others",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116928377&doi=10.1177%2f10946705211050208&partnerID=40&md5=d4e0d9f2d9c23a27f933596df27d5aa0","co-creation; collective consumption context; coworking spaces; flexible pattern matching approach; service business models",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164311319&doi=10.1177%2f10946705231184610&partnerID=40&md5=90387120443d8bc9565335320436732e","liminality; resource integration; service system; value cocreation; vulnerable consumers",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150650613&doi=10.1177%2f10946705231161758&partnerID=40&md5=ed56721ef53f13e1f61bf004d792ce07","chronic disease; customer experience; customer satisfaction; customer value cocreation; healthcare; hidden Markov model; longitudinal analysis; patients; quality of life; service quality; value cocreation; well-being",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107708042&doi=10.1177%2f10946705211018503&partnerID=40&md5=bf09d42c543491ff840baa348dc5daf4","agape; conflicts; convention theory; justice; Kerala; palliative care; transformative service research",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113532617&doi=10.1177%2f10946705211035004&partnerID=40&md5=3bdbcc8e0759891b0f144b13779fafb4","abductive research; institutionalization; reflexivity; service design; social structures",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165981161&doi=10.1177%2f10946705231190871&partnerID=40&md5=27a5f192e7f68c16fab4a050df0bc938","differential service pricing; dynamic service pricing; price complexity; price confusion; price fairness; word of mouth",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109140044&doi=10.1177%2f10946705211031302&partnerID=40&md5=e69721adff38ac4a2e56d589b244c232","disadvantaged consumers and communities; machine learning; platforms; service ecosystems; service research priorities; stakeholders; transformative service research",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125889707&doi=10.1177%2f10946705211063692&partnerID=40&md5=3b75bba89d9a31e319902c15fff93009","dolls; ethics; individual service optimization; intimacy; robots; sex; social acceptance",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129310768&doi=10.1177%2f10946705221076272&partnerID=40&md5=cc8a867d221ec6a5ea6ab5eca910aa2a","activity theory; engagement; experience; gamification; loyalty; systematic literature review",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162681655&doi=10.1177%2f10946705231177385&partnerID=40&md5=f8f84b5c1c0cadd9c112faab0423f5f9","customer experience; customer journey; relational dynamics; service strategy; spaces; subjective time",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096514298&doi=10.1177%2f1094670520975150&partnerID=40&md5=5392801184c8a3eaec0e3ef52c6b4cc2","electronic health records; family caregivers; overtreatment of advanced illness; relational medicine",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115060195&doi=10.1177%2f10946705211032275&partnerID=40&md5=93db657804842ffc95eb907427624eea","customer readiness; employee readiness; microfoundations; multi-actor service provision; service ecosystem",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166905267&doi=10.1177%2f10946705231194076&partnerID=40&md5=c008b3290841fbb9a76ed7ccbfdd31db","affective displays; customer satisfaction; peak and end effect; service encounter",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131067194&doi=10.1177%2f10946705221103538&partnerID=40&md5=89761927303c82fe39fd432df97b07b1","artificial intelligence; emotional attachment; emotions; retail services; theory of multiple intelligences",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101227566&doi=10.1177%2f1094670521989440&partnerID=40&md5=a317c94acbbf9c23d32d9e8f383742e8","cross-cultural service strategy; e-tailing; institutional theory; legitimacy; product returns; self-construal",""
