"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142715362&doi=10.1016%2fj.jsis.2022.101746&partnerID=40&md5=7f137b6ef8f09dbaffb71f27f0f5ab4e","AIS; AIS Senior Scholars; Association for Information Systems; Editor in Chief Role; Journal Inclusivity; Journal of Strategic Information Systems; Journal Structure; Journal Succession; Journals as Gatekeepers; JSIS; Methodological Research; Programmatic Research; Research Relevance",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068211053&doi=10.1016%2fj.jsis.2019.06.001&partnerID=40&md5=5c594ec307645ae1bfd66064fddfca2d","Critical realism; Danermark et al.’s staged model; Digital innovation; Morphogenetic approach; Systems of innovation; Unit of analysis","Information systems; Critical realisms; Digital innovations; Information systems innovation; Innovation process; Microenvironments; Morphogenetic approach; Research approach; Unit of analysis; Management information systems"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090010189&doi=10.1016%2fj.jsis.2020.101623&partnerID=40&md5=cc0fb15c2a99fc6a563b81a05b1b7f3d","Business unit; Complementarity; Cross-domain alignment; Firm performance; IT-strategy fit; Multi-business organization","Strategic planning; Surveys; Business strategy; Business units; Firm Performance; IT applications; IT infrastructures; It portfolios; Multi-business organizations; Theory and practice; Alignment"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089817613&doi=10.1016%2fj.jsis.2020.101617&partnerID=40&md5=56d19d3cef4e08f3d25939c4fd622d38","Complexity; Digital entrepreneurship; Effectuation; Intrapreneurship; Uncertainty","Information systems; Digital technologies; Electronic services; Intrapreneurships; Longitudinal case study; Model points; New ventures; Process Modeling; Uncertainty handling; Management information systems"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130981780&doi=10.1016%2fj.jsis.2022.101720&partnerID=40&md5=6b86619b7a42ed1512659c32c40a48d5","Digital technology; Information systems; Strategizing; Strategy practice","Information use; 'current; Digital technologies; Formal definition; Research agenda; States of knowledge; Strategizing; Strategy practice; Information systems"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123205726&doi=10.1016%2fj.jsis.2022.101705&partnerID=40&md5=ccb5bbc6464c0720cf6fc42eadf28dcf","Adaptation; Chief information officer; Dynamic managerial capabilities; Technology leadership; Top management team","Environmental technology; Industrial management; Managers; Regression analysis; Adaptation; Chief information officer; Data set; Dynamic managerial capability; Dynamics capability; Holistic frameworks; Internal dimensions; Longitudinal data; Technology leadership; Top management teams; Human resource management"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131444929&doi=10.1016%2fj.jsis.2022.101723&partnerID=40&md5=d19b630b59923b125e546be9f69a3622","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079266496&doi=10.1016%2fj.jsis.2020.101598&partnerID=40&md5=abe3155907700548bc5e3b274e998475","Interproject connectedness; Knowledge creation; Maturity; Open source software; Popularity","Open systems; Interproject connectedness; Knowledge creations; Maturity; Open source software projects; Popularity; Project success; Social environment; Structural holes; Open source software"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124710125&doi=10.1016%2fj.jsis.2022.101709&partnerID=40&md5=c047ae3ef97beb374b8849f1a17b2b31","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086597629&doi=10.1016%2fj.jsis.2020.101616&partnerID=40&md5=2b0953f8bab660fc5e19401123f09fc2","Digital transformation; ERP; Qualitative research; Routines; Workplace technologies","Enterprise software; Fluidity; Resource allocation; Corporate level; Enterprise resource planning systems; Information technology services; Strategic intent; Enterprise resource planning"
