"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089986518&partnerID=40&md5=ed9e385451e00aa0162037c329c95e20","Assessment process; Decision making; Financing; SMEs; Supply chain",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123560241&doi=10.1111%2fjscm.12277&partnerID=40&md5=1c123378597ba511b62e2d0769bc1720","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089995472&partnerID=40&md5=bf194ef60eeda924b6e5ed10ec287f30","Business competence; Company; Supply chain management",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089986638&partnerID=40&md5=aad1eeb0b2ecc8e99b6f0c81201cef26","Customer integration; E-supply chain technology adoption; Indonesia; Organizational structure; Top management support",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095720249&doi=10.1111%2fjscm.12242&partnerID=40&md5=3deaf393c5b4def067351032bda8302b","behavioral supply management; buyer–supplier relationships; resource scarcity; risk management; scenario-based role-playing experiment",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099064340&doi=10.1111%2fjscm.12244&partnerID=40&md5=bfd9d04447f71921e641015cc0559f9a","3PL outsourcing; case study research; logistics customer service; middle-range theory; reverse supply chain operations",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100964483&doi=10.1111%2fjscm.12259&partnerID=40&md5=34d02d9b742e8320b87288d47cc6f08c","collective bargaining; freedom of association; global supply chains; labor relations; labor rights",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089995585&partnerID=40&md5=2f0ad8477bfc2e800c3d18268c23cbcf","Information quality; Organizational impact; Service quality; Supply chain management",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101232120&doi=10.1111%2fjscm.12261&partnerID=40&md5=0af528f127e9401979f45348c27b35e9","action research; design science; garment; institutional logics; occupational safety and health; supplier development; sustainability",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099280562&doi=10.1111%2fjscm.12254&partnerID=40&md5=13db28fedb70f24d3bb9b8264abbc3b1","COVID-19; panarchy; supply chain resilience; supply chain risk",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089989470&partnerID=40&md5=e645feb3f80e9448516af6542bda60b9","Shared common values; Supply chain activities; Supply chain fellowship; Supply chain leadership",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130416530&doi=10.1111%2fjscm.12287&partnerID=40&md5=0e9e7394c22414a89ffc36a98bfc1483","NCA; Necessary Condition Analysis; necessity theories; research methodology",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147508446&doi=10.1111%2fjscm.12296&partnerID=40&md5=bff8ea7c62e8ae6078fb181d2b001959","actor–network theory; heterogeneity; performativity; relationality; supply chain management; theory development",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109395039&doi=10.1111%2fjscm.12270&partnerID=40&md5=785e31fbb7d6f7e4a9202dcf9d2890d7","behavioral supply management; contractual governance; relational governance; supplier management; trust violations",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089994252&partnerID=40&md5=4cf726f1fcd0ee1b798c31ea5d6388f1","Costumer; Service climate; Supervisors; Supply chain strategy",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089995064&partnerID=40&md5=b81d6969c803058e4e11ab1132b12df8","Entrepreneurial ecosystem and small medium enterprise; Lean principles",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089986622&partnerID=40&md5=26780fd23321f5f2b208e5e867a10ed2","Agriculture; Econometrics; Economics; Food; Regional economy; Supply chain management",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089994766&partnerID=40&md5=9748a80ca7e26f999e4df7a01f0769a0","Credit risk; Profitability; Supply chain management",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091436742&doi=10.1111%2fjscm.12241&partnerID=40&md5=1a86be4d09a8abb731e8302c0e1e8060","advice; cross-functional sourcing team; impression management; scenario-based experiments; sequential explanatory interviews; social exchange theory",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112467227&doi=10.1111%2fjscm.12272&partnerID=40&md5=35cdb450d199f2f86444fef2c94d69b4","buyer–supplier relationship restoration; distributive justice; interactional justice; procedural justice; supplier transgression; vignette-based experiment",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089988252&partnerID=40&md5=6805b2711867ccea0a039d7d334367b6","Adaptability strategy; Business performance; Entrepreneurial orientation; Role of government; Supply chain",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089991890&partnerID=40&md5=c36091b82de472e4dab54dd64e9e9634","Financial performance; Just-in-time inventory; New product design; Supply chain management; TQM competences",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089993792&partnerID=40&md5=bb4ff52f9fee8955d8e7cf44de31545f","Lean practices; Performance of SMEs; Process innovation; Supply chain management; Sustainability practices",""
