"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167609491&doi=10.1016%2fj.jweia.2023.105529&partnerID=40&md5=44832567f70595dd8ad1fe078cef7f80","Decay; Evolution; Mars dust devils; Tornado CFD simulation; Tornadogenesis","Atmospheric movements; Atmospheric pressure; Buoyancy; Computational fluid dynamics; Flow fields; Flow separation; Reynolds number; Tornadoes; Turbulence models; CFD simulations; Decay; Dust devils; Evolution; Mars dust; Mars dust devil; Numerical implementation; Tornado CFD simulation; Tornadogenesis; Vertical direction; Vortex flow"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156215813&doi=10.1016%2fj.jweia.2023.105446&partnerID=40&md5=49a404c9b0dc5083bb3c58d6a171fb9f","Climate change; Intensity-duration-frequency curves; Moisture load; Water entry equations; Watertightness test; Wind-driven rain","Climate models; Moisture; Rain; Structural dynamics; Walls (structural partitions); Well testing; %moisture; Climate scenarios; Intensity-duration-frequency curves; Moisture load; Moisture performance; Wall assembly; Water entry; Water entry equation; Watertightness test; Wind-driven rain; Climate change"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168796353&doi=10.1016%2fj.jweia.2023.105541&partnerID=40&md5=c4c807fc23430edb46c66fa474836c5c","CBR dispersion; Computational fluid dynamics; Coupled multigrid; Immersed boundary method; Urban environments","Dispersions; Health risks; Mesh generation; Turbulent flow; Wind tunnels; Cartesian mesh; Chemical dispersion; Coarse grid; Coupled multigrid; Immersed boundary; Immersed boundary methods; Multigrid approach; Multigrids; Radiological dispersion; Urban environments; Computational fluid dynamics"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168085371&doi=10.1016%2fj.jweia.2023.105533&partnerID=40&md5=5b63a4eeb9273bc5d2120acc88728e01","Bridge deck; CFD aeroelastic simulation; CFD forced simulation; Method of multiple scales; Vortex-induced force; Vortex-induced vibration","Aeroelasticity; Bridge decks; Fluid structure interaction; Forecasting; Frequency response; Polynomials; Vibrations (mechanical); Vortex flow; Aero-elastic simulations; Computational fluid dynamic aeroelastic simulation; Computational fluid dynamic forced simulation; Forced simulation; Method of multiple scale; Polynomial models; SIMPLE method; Span length; Vortex induced vibration; Vortex-induced forces; Computational fluid dynamics"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164213293&doi=10.1016%2fj.jweia.2023.105502&partnerID=40&md5=bfb17d28042dd45d9e19740e47c311c9","Atmospheric stability; Local similarity theory; Mesoscale turbulence; Microscale turbulence; Turbulence spectrum","Atmospheric turbulence; Offshore oil well production; Wind; Atmospheric stability; Condition; Local similarity; Local similarity theory; Meso scale; Mesoscale turbulence; Microscale turbulence; Similarity theory; Spectral modeling; Turbulence spectrum; Atmospheric thermodynamics"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159078935&doi=10.1016%2fj.jweia.2023.105442&partnerID=40&md5=43f847ae3ccaf3404bc2c71cfd62706e","Asbestos removal; Atmospheric boundary layer; Pressure coefficients; Scaling effects; Threshold pressure exceedance; Wind-tunnel testing","Asbestos; Atmospheric thermodynamics; Health risks; Ventilation; Wind effects; Wind tunnels; Asbestos removals; Depressurizations; Geometrical scaling; Pressure coefficients; Scaling effects; Scaling ratio; Threshold pressure exceedance; Threshold pressures; Turbulent structures; Wind-tunnel testing; Atmospheric boundary layer"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151469706&doi=10.1016%2fj.jweia.2023.105403&partnerID=40&md5=1ed7629ad6f6fb16b5f49a7a32078394","ABL; Dynamic stall; PIV; POD; VAWT; Wake structure","Atmospheric boundary layer; Boundary layer flow; Principal component analysis; Vertical axis wind turbine; Vortex flow; Wakes; ABL; Dynamic stalls; Orthogonal decomposition; PIV; Proper Orthogonal; Proper orthogonal decomposition; VAWT; Vertical axes wind turbines; Vortex-shedding; Wake structures; Vortex shedding"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160008562&doi=10.1016%2fj.jweia.2023.105462&partnerID=40&md5=57cb5107563296d583e8f3f9e49e120b","Air quality; Diffusion characteristic; District heating source; Layout optimization; Urban wind field","Diffusion; District heating; Environmental management; Fossil fuels; Weather forecasting; Air pollutants; Diffusion characteristics; District heating source; Heating source; Layout optimization; Model communities; Sub-regions; Urban wind field; Weather research and forecasting models; Wind field; Air quality"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165115163&doi=10.1016%2fj.jweia.2023.105498&partnerID=40&md5=946e464652bcf38b3ee189ad195b7add","Buffeting responses; Extreme responses; State augmentation method; Velocity quadratic terms","Buffeting; Degrees of freedom (mechanics); Frequency domain analysis; Gaussian noise (electronic); Turbulence; Wind; Augmentation methods; Buffeting response; Extreme response; High-order; Moment based method; Sensitive structure; State augmentation; State augmentation method; Turbulence intensity; Velocity quadratic term; Hurricanes"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168799474&doi=10.1016%2fj.jweia.2023.105506&partnerID=40&md5=3394a0ebc709be266b82cda8b6037a03","Algorithm; Dynamics mode decomposition; Practice guideline; Reduced-order modeling; Wind engineering","Open systems; Principal component analysis; Best practice guidelines; Dynamic mode decompositions; Engineering perspective; Learning and adaptation; Open-source; Practice guideline; Reduced order modelling; Reduced-order model; Sampling convergences; Wind engineering; Dynamic mode decomposition"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165007498&doi=10.1016%2fj.jweia.2023.105492&partnerID=40&md5=6a265264a98ddbe4f99da60666b22a6e","Aerodynamic data; Earthquake; Multi-hazard design; Nonlinear analysis; Wind","Architectural design; Energy dissipation; Floors; Hazards; Nonlinear analysis; Seismic design; Seismic response; Structural frames; Aerodynamic data; Base shear; Design levels; Earthquake design; Multihazard designs; Performance based; Seismic demands; Steel braced frames; Steel buildings; Wind design; Earthquakes"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151509663&doi=10.1016%2fj.jweia.2023.105407&partnerID=40&md5=726692003699f91d718c795b4ade835e","Downburst; Influence line function; Linearization; Quasi-static response; Transmission lines","Analytical models; Linearization; Nonlinear equations; Downbursts; Finite element modelling (FEM); Influence line function; Influence lines; Line function; Linear approximations; Linearisation; Multi-spans; Quasi static response; Transmission-line; Electric lines"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163439236&doi=10.1016%2fj.jweia.2023.105487&partnerID=40&md5=d19e3c4d3d4e634d86d6b0ba4b1abccf","Closed-form solution; Gust response factor; Nonstationary dynamic response; Thunderstorm outflows; Wind engineering","Structural design; Wind speed; Closed form solutions; Equivalent parameters; Gust response; Gust response factor; Non-stationary dynamics; Nonstationary dynamic response; Response factor; Thunderstorm outflow; Wind engineering; Wind velocities; Thunderstorms"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164217787&doi=10.1016%2fj.jweia.2023.105499&partnerID=40&md5=956bd5ac7efc7859865660a1d1cfe3c5","Artificial intelligence prediction model; Empirical wavelet transform; Hyperparameters optimization; Short-term wind speed prediction; Statistical prediction model","Evolutionary algorithms; Forecasting; Intrinsic mode functions; Least squares approximations; Optimization; Stochastic systems; Support vector machines; Wavelet decomposition; Wind power; Artificial intelligence prediction model; Empirical wavelet transform; Hyper-parameter optimizations; Least square support vector machines; Prediction methods; Prediction modelling; Short-term wind speed predictions; Statistical prediction model; Wavelets transform; Wind speed; Wind speed"
