"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161692623&doi=10.1016%2fj.joei.2023.101299&partnerID=40&md5=5c1b27ab82501c1d548da13a899c6064","Coal char; Gasification reactivity; Microstructure; Pyrolysis atmosphere; Reaction kinetics","Activation energy; Carbon dioxide; Coal; Coal deposits; Diffusion; Gasification; Kinetics; Pore structure; Reaction kinetics; Char gasification; Coal chars; Coal pyrolysis; Coal resources; Gasification reactivity; Low rank coals; Physico-chemicals; Pyrolyse atmosphere; Thermo-gravimetric experiments; X- ray diffractions; Pyrolysis"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156099479&doi=10.1016%2fj.joei.2023.101259&partnerID=40&md5=38a5c33878d804606a984305b9208c7e","Desulfurization; Fluidized bed combustion; SO<sub>2</sub> emission; ulfur-containing model compounds","Bubble formation; Coal combustion; Desulfurization; Efficiency; Fluidized bed combustion; Fluidized beds; Pyrites; Bubbling fluidized bed combustors; Compound structures; Desulfurization efficiency; Desulphurization; Excess air; Fluidized bed boilers; Model compound; Operating parameters; SO2 emission; Ulfur-containing model compound; Sulfur compounds"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168716168&doi=10.1016%2fj.joei.2023.101385&partnerID=40&md5=aca884f35d284a27a2c2b0cb9abe237c","Alkali metal; Biomass; Catalyst; Catalytic; Pellets; Soyhull; Steam gasification","Alkali metals; Catalysis; Catalysts; Fluidized beds; Gasification; Loading; Pelletizing; Steam; Tar; Biomass pellets; Catalyst loadings; Catalytic; Catalytic effects; Fluidized bed gasifiers; Metal catalyst; Pellet; Soyhull; Steam gasification; ]+ catalyst; Biomass"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166331909&doi=10.1016%2fj.joei.2023.101346&partnerID=40&md5=9a2008719a71166b168108005f056640","CO<sub>2</sub> utilization; Dry reforming of methane; Hydrogen production; Mesoporous catalysts; Syngas; Taguchi method","Alumina; Aluminum oxide; Catalyst activity; Catalytic reforming; Hydrogen production; Iron; Methane; Nickel; Pore structure; Sintering; Steam reforming; Synthesis gas; Synthesis gas manufacture; Taguchi methods; CO2 utilization; Design and optimization; Dry reforming; Dry reforming-of-methane; Mesoporous catalysts; Metal content; Reforming Catalyst; Syn gas; Taguchi's methods; ]+ catalyst; Carbon dioxide"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156264824&doi=10.1016%2fj.joei.2023.101258&partnerID=40&md5=c867a498e731f0119eafc7b3170f002f","Artificial neural networks; Broadband EMI; Soot pyrometry","Broadband networks; Cameras; Costs; Dust; Industrial emissions; Large dataset; Pyrometers; Pyrometry; Soot; Broadband EMI; Broadband emission; Color cameras; Emission measurement; Emission signal; Laminar flame; Low cost approach; Low-costs; Soot emissions; Soot pyrometry; Neural networks"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152636976&doi=10.1016%2fj.joei.2023.101252&partnerID=40&md5=748a565472c547cddcef47a9c8b6a331","Calcium promoter; Catalyst basicity; Chrome promoter; Copper promoter; Dry reforming; Hydrogen production; Nickel catalyst","Aluminum compounds; Biogas; Carbon dioxide; Catalyst activity; Chromium compounds; Coke; Copper compounds; Nickel; Nickel compounds; Biomass wastes; Calcium promoter; Catalyst basicity; Chrome promoter; Coke formation; Copper promoter; Dry reforming; Nickel catalyst; Performance; ]+ catalyst; Hydrogen production"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152132735&doi=10.1016%2fj.joei.2023.101251&partnerID=40&md5=6c00c5316be3f2646c962c3d9505d3c7","Activated carbon; Biomass; Catalyst; Hydrogen production; Plastic waste; Supercritical water gasification","Activated carbon; Blending; Catalysts; Feedstocks; Gasification; High density polyethylenes; Hydrogen production; Sugar beets; Gas yields; High-density polyethylenes; Hydrogen yields; Hydrogen-rich gas; Plastics waste; Sugar beet pulp; Supercritical water; Supercritical water gasification; Water+CO; ]+ catalyst; Biomass"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163866014&doi=10.1016%2fj.joei.2023.101332&partnerID=40&md5=dc90e77ba7af7d47b2f655b3cec5d67f","CO<sub>2</sub> methanation; Easily reducible catalysts; Low temperature reduction; SiC support","Catalyst deactivation; Catalyst selectivity; Catalyst supports; High resolution transmission electron microscopy; Hydrogenation; Methanation; Nickel; Nickel oxide; Silicon; Silicon carbide; Sintering; Temperature; Thermal conductivity; Carbon deposition; Catalytic performance; CH 4-selectivity; CO2 methanation; Easily reducible catalyst; Low-temperature reduction; Ni-based catalyst; Reaction temperature; SiC support; ]+ catalyst; Carbon dioxide"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160852412&doi=10.1016%2fj.joei.2023.101303&partnerID=40&md5=84cd63fd45d033b06efdf51d7b9cb0f7","Bond cleavage behaviors; Covalent bonds; Product distribution; Solvent quality","Aromatic compounds; Bond strength (chemical); Covalent bonds; Lignite; Pyrolysis; Solvents; Bond cleavage behavior; Bond cleavages; Coal conversion; Coal products; Effect of solvents; Liquefaction process; Oil yield; Product distributions; Solvent quality; Tetralins; Hydrogen bonds"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167793719&doi=10.1016%2fj.joei.2023.101359&partnerID=40&md5=72249eeda85f46753fa2e34c92a1a0e0","4E analysis; MCDM approach; Pyrolysis; RSM; Sensitivity analysis; Waste plastics","Binary mixtures; Decision making; Diesel engines; Elastomers; Multiobjective optimization; Pyrolysis; Sensitivity analysis; 4e analyse; Engine testing; Fuel mixtures; Multi criteria decision-making; Multi-criteria decision-making approach; Multicriteria decision-making; Multicriterion decision makings; Performance and emissions; Response-surface methodology; Waste plastic; Polypropylenes"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166629051&doi=10.1016%2fj.joei.2023.101360&partnerID=40&md5=e498ac80c45e12a53301584839735e7d","Hydrogen; Methanolysis; Nanoparticles; Palladium; Spinel ferrit nanoparticles","Catalyst activity; Hydrazine; Hydrogen production; Iron compounds; Metal nanoparticles; Nanocatalysts; Nanomagnetics; Palladium; Palladium compounds; Particle size; Synthesis (chemical); Transition metal oxides; Catalytic performance; Hydrazine boranes; Methanolysis; Nano-structured; Nanoparticle synthesis; Spinel ferrit nanoparticle; Spinel ferrites; Structural characterization; Transition-metal oxides; ]+ catalyst; Manganese compounds"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165227394&doi=10.1016%2fj.joei.2023.101334&partnerID=40&md5=6259810d9ff83da9fad21a96f658d157","Biogas; Flame schlieren; Pollutant NOx; Premixed swirling; Self-excited","Combustion; Combustors; Flow fields; Fossil fuels; Methane; Vortex flow; Flame schlieren; NOx emissions; Pollutant NOx; Premixed; Premixed swirling; Self - excited; Self excited oscillation; Swirl intensity; Swirling flames; Thermoacoustic oscillations; Biogas"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166011957&doi=10.1016%2fj.joei.2023.101340&partnerID=40&md5=838de3902ebda5d0db058ad3eb729596","Co-hydrothermal carbonization; Heavy metal immobilization; Sewage sludge; Synergistic effects; Thermochemical conversion","Agricultural wastes; Anaerobic digestion; Carbonization; Coal combustion; Feedstocks; Greenhouse gases; Heavy metals; Sludge digestion; Sludge disposal; Waste incineration; Water recycling; Co-hydrothermal carbonization; Hazardous metals; Heavy metal immobilization; Hydrothermal carbonization; Pollutants transport; Process parameters; Reaction pathways; Sewage-treatment plants; Synergistic effect; Thermochemical Conversion; Sewage sludge"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160628533&doi=10.1016%2fj.joei.2023.101294&partnerID=40&md5=a2816dceb21a7e2e2e35d405cd3289a9","Combustion deterioration; Low air inlet flow rate; NTLAF; OH-PLIF; Swirling spray combustion","Air intakes; Deterioration; Diesel engines; Flow rate; Fluorescence; Ignition; Kerosene; Laser excitation; Spray nozzles; Thermography (imaging); Combustion deterioration; Excitation regime; Inlet flow rate; Low air inlet flow rate; Non linear; Non-linear excitation regime two-line atomic fluorescence; OH -; OH-PLIF; Spray combustion; Swirling spray combustion; Two-line atomic fluorescence; Air"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156272721&doi=10.1016%2fj.joei.2023.101265&partnerID=40&md5=a1565869c977d055f0e84eceb185c545","C–C hydrogenolysis; Decarbonylation/decarboxylation; Hydrogenation; In situ deoxygenation in aqueous phase; Ni-Re alloy","Catalyst activity; Charge transfer; Hydrogen; Hydrogenolysis; Hydrolysis; Methanol; Nickel oxide; Palmitic acid; Rhenium alloys; Saturated fatty acids; Sintering; Titanium dioxide; Aqueous phasis; C–C hydrogenolyse; Decarbonylation/decarboxylation; Decarbonylations; Deoxygenations; Dispersed Ni; Hydrogen donor; In situ deoxygenation in aqueous phase; Methyl palmitate; ]+ catalyst; Binary alloys"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158828945&doi=10.1016%2fj.joei.2023.101255&partnerID=40&md5=bafb0ac3418301cc047739b750157155","Aromatic monomer; Hydrogenolysis; Lignin; Metal particle size; Ru/Al<sub>2</sub>O<sub>3</sub>","Hydrogenolysis; Hydrolysis; Monomers; Phenols; Catalyst activity; Catalyst selectivity; Hydrogen; Hydrogenolysis; Hydrolysis; Lignin; Monomers; Phenols; Aromatic monomers; Catalytic hydrogenolysis; Metal particle; Metal particle size; Metal sites; Particles sizes; Preparation method; Property; Ru/al2O3; ]+ catalyst; Particle size"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168012321&doi=10.1016%2fj.joei.2023.101365&partnerID=40&md5=76ed0b288856c7cf270c3a55e07d9e7a","Ammonia; Catalytic combustion; Combustion; Flammability; NO<sub>x</sub> formation","Carbon; Catalysis; Coal combustion; Combustors; Gas turbines; Hydrogen storage; Ignition; Nitrogen oxides; Reaction kinetics; Ammonia combustion; Carbon-free; Catalytic combustion; Hydrogen densities; NO x; NOx formation; Secondary energy sources; Thermal power generation; Volumetric density; Volumetrics; Ammonia"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159760140&doi=10.1016%2fj.joei.2023.101267&partnerID=40&md5=36f1c8fb9d0087013f1dfea5e873b17d","Flash pyrolysis; Molecular level; Organic macromolecular skeleton; Pyrolysis mechanisms; Structural characteristics","Aromatic hydrocarbons; Aromatization; Coal; Hydrogen bonds; Macromolecules; Musculoskeletal system; Nuclear magnetic resonance; Organic chemicals; Pyrolysis; Spectrometers; Thermogravimetric analysis; Aromatic rings; Flash pyrolysis; Macromolecular structures; Molecular levels; Organic macromolecular skeleton; Organics; Pyrolysis mechanism; Pyrolyzing; Structural characteristics; Subbituminous coal; Extraction"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169040721&doi=10.1016%2fj.joei.2023.101392&partnerID=40&md5=3c9d2ba6f264b100aea6cae77ea8d478","Co-pyrolysis; Product distribution; Py-GC/MS; Rapeseed stalk; Synergistic effects; Waste plastics","Aliphatic compounds; Biomass; Gas chromatography; Plastic bottles; Plastic recycling; Plastics industry; Polyethylene terephthalates; Polyethylenes; Polypropylenes; Polyvinyl chlorides; Pyrolysis; Quality control; Aliphatic hydrocarbons; Copyrolysis; Gaschromatography-mass spectrometry; Product distributions; Products quality; Pyrolyze; Pyrolyze coupled with gas chromatography/mass spectrometry; Rapesed stalk; Synergistic effect; Waste plastic; Chlorine compounds"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164704268&doi=10.1016%2fj.joei.2023.101338&partnerID=40&md5=5d53dc63b0cea980718a7dd2913ab44c","Catalytic pyrolysis; FCC; FT-ICR MS; Heteroatom; Plastics","Catalysts; Elastomers; Mass spectrometers; Paraffins; Plastic bottles; Plastic recycling; Polyethylene terephthalates; Polyethylenes; Pyrolysis; Catalytic pyrolysis; Fluid catalytic cracking catalyst; FT-ICR MS; Heating mode; Heteroatoms; Multilayer packaging; Oil composition; Plastic-film; Product distributions; Waste fluid; Atmospheric pressure"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164035479&doi=10.1016%2fj.joei.2023.101311&partnerID=40&md5=6e236d9e3258baa2562b0df46a5a7166","Bio-oil; Co-hydrothermal liquefaction; MCM-41; Metal catalyst","Algae; Catalysts; Liquefaction; Microorganisms; Molybdenum; Physicochemical properties; Bio-oils; Co-hydrothermal liquefaction; Co-liquefaction; Hydrothermal liquefactions; Macro-algae; MCM-41; Metal catalyst; Micro-algae; Mo-MCM-41; ]+ catalyst; Ammonia"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160823664&doi=10.1016%2fj.joei.2023.101300&partnerID=40&md5=107f35ed01a3a45b820819069b253382","Carbon dioxide; Chemical looping; Oxygen carrier; Reaction kinetics; Thermodynamics","Activation energy; Chemical reactors; Chemical stability; Hematite; Kinetics; Magnetite; Oxidation; Oxygen; Reaction kinetics; Thermodynamics; Aluminum industry; Bauxite residue; Behavior characteristic; Chemical looping; Industry wastes; Isothermal reactions; Kinetics characteristics; Oxygen Carrier; Reaction performance; Thermodynamic behaviors; Carbon dioxide"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166640806&doi=10.1016%2fj.joei.2023.101347&partnerID=40&md5=31cd2c28039fd8c4be080156776862e1","Brønsted acid sites; In situ DRIFTS; Sulfated α-Fe<sub>2</sub>O<sub>3</sub>; Surface acidity","Ammonia; Bromine compounds; Catalyst activity; Hematite; Nitrogen oxides; Selective catalytic reduction; Acid site; Brønsted acid site; Environmental-friendly; In situ DRIFTS; NO x; Selective catalytic reduction of NO; Situ DRIFTS; Sulphated α-fe2O3; Surface acidity; ]+ catalyst; Sulfur compounds"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163509451&doi=10.1016%2fj.joei.2023.101331&partnerID=40&md5=1bf57c86c59fa35f198c25d1ba84d339","Fuel film distribution; Gasoline direct injection (GDI) injector; High injection pressure; Impingement spray; Particulate matter (PM) emissions","Climate change; Direct injection; Drops; Ethanol; Particles (particulate matter); Particulate emissions; Fuel film; Fuel film distribution; Gasoline direct injection  injector; Gasoline direct-injection; High injection pressures; Human health; Impingement spray; Injection pressures; Particulate matter emissions; Spray impingement; Gasoline"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168992055&doi=10.1016%2fj.joei.2023.101386&partnerID=40&md5=2abdb7b31cdeff6ce10eb3778d076991","Coke; Combustion; Graphitization; Heavy bio-oil; Pyrolysis; Soot","Aromatic compounds; Combustion; Dust; Graphite; Physicochemical properties; Soot; Bio-oils; Coke formation; Combustion pro-cess; Formation mechanism; Fuel source; Heavy bio-oil; Highest temperature; Oil combustion; Soot; Soot formations; Graphitization"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166639814&doi=10.1016%2fj.joei.2023.101355&partnerID=40&md5=76229c68e59970ae76b95f48c6d63bb4","Advanced combustion; Chemical looping combustion (CLC); Hydrogen; Oxygen carriers","Chemical reactors; Cobalt compounds; Combustion; Copper oxides; Manganese oxide; Oxidation; Oxygen; Temperature; % reductions; Advanced combustion; Chemical looping; Chemical looping combustion; Low-temperature oxidation; Lows-temperatures; Metal-oxide; Oxidation of hydrogen; Oxygen Carrier; Hydrogen"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166471011&doi=10.1016%2fj.joei.2023.101356&partnerID=40&md5=4272d597bbf1111ca01e8495ca48d048","Ammonia; Co-flow diffusion flame; Morphology; Nanostructure; Soot particles","Ammonia; Blending; Carbon; Combustion; Diffusion; Dust; Ethylene; Fractal dimension; High resolution transmission electron microscopy; Nanostructures; Particle size; Soot; Carbon-free; Co-flow; Co-flow diffusion flame; Diffusion Flame; Free ammonia; Fringe spacing; Hydrocarbon fuel; Soot formations; Soot particles; Soot volume fraction; Morphology"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160823023&doi=10.1016%2fj.joei.2023.101297&partnerID=40&md5=82160b6a516be66ba2b4799e4ed0f878","Catalytic hydrogen combustion; Copper; FTIR analysis; Palladium; Reaction kinetics","Aluminum compounds; Catalysis; Catalysts; Chemical reactors; Combustion; Copper compounds; Fourier transform infrared spectroscopy; Hydrogen; Palladium; Physicochemical properties; Reaction rates; Catalytic hydrogen combustions; Catalytic properties; FTIR analysis; Mechanistic studies; Performance; Physicochemical property; Rate laws; Reactions rates; Temperature range; ]+ catalyst; Copper"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162915835&doi=10.1016%2fj.joei.2023.101310&partnerID=40&md5=42a6290cb70f674ea5d2af31a4d56280","Catalyst; Cryo-MXene; Hydrogen; Hydrolysis; Methylamine-borane; Nanoparticle","Catalyst activity; Chemical bonds; Hydrogen production; Hydrolysis; Palladium; Scanning electron microscopy; Synthesis (chemical); Transmission electron microscopy; X ray photoelectron spectroscopy; Chemical reduction; Cryo-mxene; Different analysis techniques; Methylamine-borane; Morphological characterization; Palladium nanoparticles; Structural characterization; Synthesis and characterizations; Wet impregnation method; ]+ catalyst; Nanoparticles"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161319745&doi=10.1016%2fj.joei.2023.101292&partnerID=40&md5=b4b8d0da86001aca5da4fbc2e6fbcb4a","Coal gangue; Corn straw; Fuel-staged gasification; Thermal interaction","Feldspar; Gasification; Steam reforming; Added values; Co-gasification; Coal gangues; Corn straws; Diffusion resistance; Fuel-staged gasification; Residue char; Steam gasification; Structure of coal; Thermal interaction; Coal"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160346554&doi=10.1016%2fj.joei.2023.101290&partnerID=40&md5=04336bc9f90df7737c4e144eecaed458","1-Nitropropane; Flow reactor; Initiated pyrolysis; n-Hexane; SVUV-PIMS","Free radicals; Hexane; Mass spectrometers; Mass spectrometry; Photoionization; 1-nitropropane; Flow reactors; Initiated pyrolyse; Low pressure flow reactor; Mass spectra; Molefraction; N-Hexane; Nitropropane; Synchrotron vacuum ultraviolet-PIMS; Vacuum ultraviolets; Pyrolysis"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166986680&doi=10.1016%2fj.joei.2023.101363&partnerID=40&md5=28086820ef912409fb54a6b4861cdcbb","Bimetallic catalysts; Cerium promoter; Hydrogen production; Response surface methodology; Steam methane reforming","Alumina; Aluminum oxide; Catalysts; Cerium; Hydrogen storage; Methane; Morphology; Potential energy; Steam; Steam reforming; Surface properties; Bimetallic catalysts; Bimetallics; Cerium promoter; Energy carriers; Hydrogen yields; Methane conversions; Molar ratio; Power production; Response-surface methodology; ]+ catalyst; Hydrogen production"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159200855&doi=10.1016%2fj.joei.2023.101274&partnerID=40&md5=a5a853b737714fc6c6d519f7db057d11","Burner interaction; EV burner; Gas turbine combustor; NOx emission; Numerical simulation","Clocks; Combustion; Gas turbines; Nitrogen oxides; Burner interaction; Effect of swirls; EV burner; Flame interaction; Gas turbine combustor; NO x emission; NOx emissions; Numerical results; Premixed Flame; Swirl flow; Combustors"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159423741&doi=10.1016%2fj.joei.2023.101275&partnerID=40&md5=861afe6a52f1007b2cc09f9261cb7865","Ammonia; Blending ratio; Ignition temperature; NOx; Slagging characteristics","Bituminous coal; Blending; Carbon; Coal combustion; Coal storage; Ignition; Nitrogen oxides; Blending ratio; Carbon fuels; Ignition temperatures; Low-storage; Mixed fuel; NOx; Partial replacement; Slagging characteristics; Storage costs; Zero carbons; Ammonia"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161528757&doi=10.1016%2fj.joei.2023.101308&partnerID=40&md5=e55fab13e6f184d907d024289bf39ca6","GC-MS; Hydrothermal liquefaction; Phenolics; Water hyacinth","Biomass; Copper; Copper oxides; Bio-oil yield; Bio-oils; GC-MS; Hydrothermal liquefactions; Oil-production; Phenolics; Rapid growth; Reaction parameters; Water Hyacinth; Water ratio; Liquefaction"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165668611&doi=10.1016%2fj.joei.2023.101339&partnerID=40&md5=2108c2f4a771e503fbbf5abb646947a3","CO oxidation; CuO/Fe<sub>2</sub>O<sub>3</sub> catalysts; Fe<sub>2</sub>O<sub>3</sub> crystal types; Oxygen vacancy","Catalyst activity; Catalyst supports; Chemical activation; Hematite; Oxidation; Oxygen vacancies; Redox reactions; Temperature; CO oxidation; Crystal types; CuO/fe2O3 catalyst; Effect of supports; Fe2O3 crystal type; High activity; Low-temperature CO oxidation; Oxidation effects; Performance; ]+ catalyst; Copper oxides"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156140701&doi=10.1016%2fj.joei.2023.101264&partnerID=40&md5=b6fb28f4df03b26bf8ba26adf3f83fef","Combustion; Methanol; NO generation; O atom","Combustion; Free energy; Hydrogen storage; Methane; Methanol fuels; Fuel properties; Highest temperature; Influence mechanism; Lean combustion; Lean condition; Methanol combustion; NO generation; O atom; Storage fire; Storage medium; Methanol"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167788819&doi=10.1016%2fj.joei.2023.101316&partnerID=40&md5=1bc858b3105a7049d4c0550a9cd690f1","Cu-based catalysts; Hydrogen production; Low CO selectivity; Methanol steam reforming","Catalyst activity; Catalyst selectivity; Chemical reactors; Copper oxides; Fourier transform infrared spectroscopy; II-VI semiconductors; Methanol; Molar ratio; Precipitation (chemical); Scanning electron microscopy; Steam; Steam reforming; Temperature programmed desorption; Zinc oxide; CO concentrations; CO selectivity; Copper-based catalysts; Cu-based catalyst; Gas hourly space velocities; Low CO selectivity; Methanol conversion rates; Methanol-steam reforming; ZnO catalyst; Hydrogen production"
