"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141212886&doi=10.15252%2fmsb.202211033&partnerID=40&md5=7ad25e1464d2ef17c7a7e7d4e04511f2","cancer metabolism; cell lines; metabolic flux; metabolomics; omics","Cell Line; Humans; Metabolic Networks and Pathways; Metabolome; Metabolomics; Neoplasms; Tumor Microenvironment; carbohydrate; carbon 13; lipid; Article; cancer cell line; carbohydrate metabolism; citric acid cycle; controlled study; drug sensitivity; epithelial mesenchymal transition; genetic association; genetic conservation; genetic variation; genotype; human; human cell; KEGG; lipid metabolism; lipidomics; metabolic fingerprinting; metabolic phenotype; metabolome; metabolomics; multiomics; nuclear reprogramming; tumor metabolism; tumor microenvironment; cell line; metabolism; metabolomics; neoplasm; physiology"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156157684&doi=10.15252%2fmsb.202311672&partnerID=40&md5=c89a5fc7a1f604cf6095688572846342","","erratum"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133903363&doi=10.15252%2fmsb.202211017&partnerID=40&md5=4533153159fbe10eed17f64c801129bf","cancer cell lines; computational biology; drug discovery; personalised medicine; pharmacogenomics","Cell Line, Tumor; Gene Editing; Humans; Neoplasms; Precision Medicine; Tumor Microenvironment; bioinformatics; cancer cell line; cancer model; cell heterogeneity; cell immortalization; feature selection; genetic drift; genomics; human; in vitro study; machine learning; multiomics; personalized medicine; pharmacogenomics; primary tumor; Review; selection bias; transfer of learning; tumor microenvironment; gene editing; genetics; neoplasm; personalized medicine; procedures; tumor cell line"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134792582&doi=10.15252%2fmsb.202211168&partnerID=40&md5=2d21b03436a1273e2139887f5718229a","","Anti-Bacterial Agents; Microbial Sensitivity Tests; Neoplasms; antibiotic agent; antiinfective agent; drug; penicillin derivative; antiinfective agent; bacterial infection; biologist; cancer recurrence; chimeric antigen receptor T-cell immunotherapy; early cancer; gene expression; human; lung adenocarcinoma; malignant neoplasm; microorganism; molecular biology; nonhuman; Note; small cell lung cancer; microbial sensitivity test; neoplasm"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146802415&doi=10.15252%2fmsb.202210988&partnerID=40&md5=dc5b8b2f8b7890f1d6173b479aeccf61","allosteric interactions; drug resistance; kinetic modeling; MAPK pathway; rewiring","Cell Line, Tumor; Drug Resistance, Neoplasm; Humans; MAP Kinase Signaling System; Melanoma; Mitogen-Activated Protein Kinase Kinases; Mutation; Neoplasm Recurrence, Local; Protein Kinase Inhibitors; Proteomics; Proto-Oncogene Proteins B-raf; B Raf kinase; mitogen activated protein kinase; mitogen activated protein kinase kinase inhibitor; vemurafenib; B Raf kinase; mitogen activated protein kinase kinase; protein kinase inhibitor; allosterism; Article; controlled study; drug resistance; genetic transcription; human; human cell; MAPK signaling; melanoma cell; oligomerization; proteomics; transcriptomics; drug resistance; genetics; MAPK signaling; melanoma; metabolism; mutation; tumor cell line; tumor recurrence"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136834649&doi=10.15252%2fmsb.202211001&partnerID=40&md5=066699d09186608eda1b71654361bf33","cellular heterogeneity; gene expression; information theory; mutual information; signaling dynamics","Phenotype; RNA, Messenger; Signal Transduction; calcium ion; messenger RNA; messenger RNA; Article; calcium signaling; entropy; gene expression; heuristics; phenotype; quantitative analysis; genetics; metabolism; phenotype; signal transduction"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144913021&doi=10.15252%2fmsb.202211147&partnerID=40&md5=f9925c33fe14e64c906e0a9f67fed08e","cellular stress response; RNA labeling; single-cell transcriptomics; SLAM-seq; tissue dissociation","Animals; Gene Expression Profiling; Mice; Microglia; RNA; Sequence Analysis, RNA; Single-Cell Analysis; Transcriptome; Zebrafish; RNA; RNA; transcriptome; animal experiment; animal tissue; Article; cardiac muscle cell; cellular stress response; dissociation; genetic transcription; hippocampus; larva; microglia; mouse; nonhuman; RNA extraction; single cell analysis; single cell RNA seq; zebra fish; animal; gene expression profiling; genetics; procedures; sequence analysis; single cell analysis"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166955763&doi=10.15252%2fmsb.202311613&partnerID=40&md5=69c6b986e53e19e424b617282ac15451","community-function landscape; functional effect equations; microbial interactions; phylogenetic signal; wine yeasts","alcoholic fermentation; article; ecology; ecosystem; landscape; microbial interaction; nonhuman; phenotype; taxonomy; theoretical study; wine; yeast"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127436580&doi=10.15252%2fmsb.202110822&partnerID=40&md5=f4fa65779d1a3ff7a714eb421a7f8296","active matter; enhanced diffusion; Gibbs energy; metabolism; regulation","Thermodynamics; catalysis; diffusion; feedback system; metabolism; motion; regulatory mechanism; review; thermodynamics"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143558859&doi=10.15252%2fmsb.202211160&partnerID=40&md5=fa0869944ae167081740d96629e7556c","outer membrane; proteomics; starvation; stationary phase; trade-off","Escherichia coli; Proteome; Escherichia coli protein; proteome; proteome; adaptation; Article; bacterial membrane; controlled study; cytoplasm; lifespan; mortality rate; nonhuman; outer membrane; proteomics; starvation; survival; Escherichia coli; genetics"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130113986&doi=10.15252%2fmsb.202210947&partnerID=40&md5=b4a6dbccd341059cffa1e2d08433ef6e","clinical proteomics; liver disease; liver fibrosis; MS-based proteomics; tissue proteome atlas","Humans; Liver; Liver Cirrhosis; Non-alcoholic Fatty Liver Disease; Proteome; Proteomics; proteome; human; liver; liver cirrhosis; metabolism; nonalcoholic fatty liver; proteomics"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159117671&doi=10.15252%2fmsb.202311667&partnerID=40&md5=c92e09a94b5e9a73af44186014b09cd1","","clustered regularly interspaced short palindromic repeat; gene activation; gene control; gene expression; gene expression profiling; human; nonhuman; Note; single cell analysis; systems biology; transcriptomics; article"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168914548&doi=10.15252%2fmsb.202311596&partnerID=40&md5=11b253ce86af56c2a6a08127bfcc7bec","CRISPR-Cas9 genome editing; growth-switches; metabolic valves; metabolomics; temperature-sensitive mutations",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148580144&doi=10.15252%2fmsb.202311544&partnerID=40&md5=4e888e66858ee665526f1688df0c51fd","AlphaFold-Multimer; crosslinking mass spectrometry; protein–protein interactions; pyruvate dehydrogenase; uncharacterized proteins","Artificial Intelligence; Mass Spectrometry; Molecular Biology; Proteins; Proteomics; pyruvate dehydrogenase; RNA polymerase; protein; Article; artificial intelligence; Bacillus subtilis; controlled study; cross linking; mass spectrometry; nonhuman; protein protein interaction; ribosome; structural model; structural proteomics; chemistry; molecular biology; procedures; proteomics"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148037685&doi=10.15252%2fmsb.202211254&partnerID=40&md5=f39c275a33e608e57c4c93e5eed5aabd","","Cell Separation; Flow Cytometry; Microscopy; fluorescent dye; cell isolation; cell structure; fluorescence activated cell sorting; functional genomics; human; microscopy; Note; phenotype; single cell analysis; cell separation; flow cytometry; microscopy"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147177417&doi=10.15252%2fmsb.202211353&partnerID=40&md5=14a644c5f8e403342357a3d633758796","division of labor; evolution; evolvability; multiscale modeling; Streptomyces","Anti-Bacterial Agents; Genome; Genomics; Mutation; antibiotic agent; antiinfective agent; Article; bacterial cell; bacterial evolution; chromosome deletion; computer model; controlled study; gene locus; gene mutation; genome analysis; genomic instability; microbial genome; nonhuman; Streptomyces coelicolor; genome; genomics; mutation"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168876645&doi=10.15252%2fmsb.202211301&partnerID=40&md5=558dbfe9bb250aee11a183bfa662f3a0","data integration; Mycoplasma pneumoniae; protein synthesis; ribosome profiling; translation efficiency",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139159171&doi=10.15252%2fmsb.202110716&partnerID=40&md5=f15e472dda3987269a0dffde13f118c4","cellular quiescence; fatty acid oxidation; metabolic adaptation; quiescence-proliferation transition; trimetazidine","apoptosis; Article; cancer cell; cell cycle arrest; cell cycle G0 phase; cell energy; cell growth; cell metabolism; cell proliferation; cell subpopulation; cells by body anatomy; fatty acid oxidation; growth rate; human; human cell; in vitro study; metabolic fingerprinting; metabolome; mitochondrion; oxidation reduction reaction"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150257631&doi=10.15252%2fmsb.202211148&partnerID=40&md5=a55a9ce534b737a038fd1e08b2bf4523","Drosophila; Elba1; Embryogenesis; miRNA/MZT","Animals; Drosophila; Drosophila melanogaster; Drosophila Proteins; Embryo, Nonmammalian; Embryonic Development; Gene Expression Regulation, Developmental; Heterochromatin; MicroRNAs; microRNA; Piwi interacting RNA; small nucleolar RNA; small untranslated RNA; Drosophila protein; microRNA; adult; Article; cell division; chromatin structure; confocal microscopy; controlled study; developmental gene; down regulation; Drosophila melanogaster; early life stress; embryo; embryo development; environmental stress; female; gene activation; gene cluster; gene expression; gene locus; heterochromatin; image processing; nonhuman; position effect variegation; real time polymerase chain reaction; RNA degradation; RNA extraction; stop codon; upregulation; X chromosome; animal; Drosophila; Drosophila melanogaster; embryo development; gene expression regulation; genetics; metabolism; nonmammalian embryo"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146932108&doi=10.15252%2fmsb.202211406&partnerID=40&md5=e8ca3383fe7f4f270449287fad190bad","extracellular DNA; horizontal gene transfer; microbial co-culture; natural competence; SOS response","Anti-Bacterial Agents; Coculture Techniques; DNA; Gene Transfer, Horizontal; Plasmids; antiinfective agent; DNA; adult; article; cell transfer; cell viability; coculture; horizontal gene transfer; interspecific relationship; monoculture; physiological stress; plasmid; sos response (genetics); coculture; genetics; horizontal gene transfer; plasmid"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130963048&doi=10.15252%2fmsb.202110712&partnerID=40&md5=a74ae3e9a6527c058293bb5e55581423","budding yeast; multi-omics genetic effects; phosphorylation; QTL; systems genetics",""
