"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166913163&doi=10.1038%2fs41551-023-01079-1&partnerID=40&md5=0fc294c665224b20801745ed75bcf503","","Animals; Binding energy; Grafting (chemical); Iterative methods; Antibody structures; Antigen-binding affinity; Complementarity-determining regions; Computational optimization; Conventional methods; Energy-based; Fine tuning; Human antibodies; Property; Rosetta; animal experiment; animal model; antibody structure; article; complementarity determining region; human; nonhuman; simulation; Antibodies"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149550831&doi=10.1038%2fs41551-023-01012-6&partnerID=40&md5=6ec651eef99ee9b2ba3186dee9a38808","","artificial neural network; computer language; Editorial; hemodynamics; human; machine learning; semantics; transfer of learning"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122874066&doi=10.1038%2fs41551-021-00829-3&partnerID=40&md5=c73022d11df75a313ca14ec0c81c1cb6","","Gene Transfer Techniques; Genetic Therapy; Nanostructures; Optogenetics; Prostheses and Implants; Gene transfer; Infrared devices; Red Shift; Tissue; virus vector; nanomaterial; Cellular function; Cellular populations; Fluence rates; Gene delivery vectors; Neural circuits; Non-viral gene delivery; Optogenetics; Red-shifted; Therapeutic Application; Transgene; Caenorhabditis elegans; cell function; cell therapy; gene targeting; human; immune response; optogenetics; Review; transgene; translational research; gene therapy; gene transfer method; Proteins"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169158928&doi=10.1038%2fs41551-023-01085-3&partnerID=40&md5=4f8ae033cef1e53e971013a5f9dad919","","Cytology; Nucleotides; RNA; Antigen receptors; Cell identity; Cell products; In-vivo; Labelings; Microenvironments; Single cells; Small RNA; Transcriptomics; U6 promoter; T-cells"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144550494&doi=10.1038%2fs41551-022-00982-3&partnerID=40&md5=5c9b3339867d162d5f20eb5cbc75e583","","Animals; Contrast Media; Lipids; Liposomes; Magnetic Resonance Imaging; Nanoparticles; Rats; Light scattering; Light sensitive materials; Lipids; Liposomes; Nanomagnetics; Nanoparticles; Paramagnetism; Photosensitivity; Probes; Tissue; gadoteridol; isoflurane; liposome; nanoparticle; contrast medium; lipid; Incident light; Light distribution; Liposomal membranes; Living tissues; Longitudinal relaxation; Nanoparticle probes; Paramagnetic molecules; Photo stimulations; Photoisomerizations; Phototherapy; adult; animal experiment; animal tissue; Article; brain tissue; contrast enhancement; controlled study; encapsulation; fluorescence imaging; hydrodynamics; illumination; isomerization; light absorption; light scattering; lipid composition; liposome membrane; male; nonhuman; nuclear magnetic resonance imaging; photometry; photosensitization; photostimulation; phototherapy; rat; ultraviolet radiation; water permeability; animal; nuclear magnetic resonance imaging; procedures; Magnetic resonance imaging"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136556260&doi=10.1038%2fs41551-022-00910-5&partnerID=40&md5=ea90e434731293efb1726c72f2ece317","","Chromatin; Connective Tissue; Cues; Cytoskeleton; Histones; Humans; Cell culture; Cell proliferation; Chromosomes; Collagen; Musculoskeletal system; histone; histone H2B; histone methyltransferase; interleukin 1beta; transcription factor EZH2; tumor necrosis factor; histone; Chemomechanical; Fibrous connective tissue; Fibrous tissue; Mesenchymal stromal cells; Microenvironments; Nano-scale organization; Reorganisation; Resident cell; Spatial reorganization; Super-resolution microscopy; adult; Article; cell activation; chromatin assembly and disassembly; chromatin condensation; connective tissue; constitutive heterochromatin; controlled study; cytoskeleton; heterochromatin; histone methylation; human; human cell; human tissue; image segmentation; oxygen tension; tissue degeneration; association; chromatin; connective tissue; genetics; Tissue"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161178925&doi=10.1038%2fs41551-023-01002-8&partnerID=40&md5=2ac9a8b64ab59f1186f964e667ffdc5e","","Antigens; Vaccines; Vaccinology; cancer vaccine; cytokine; spherical nucleic acid; unclassified drug; antigen; vaccine; antigen presentation; Article; cytokine production; cytokine release; dendritic cell; drug efficacy; gene expression; human; immune response; T lymphocyte; upregulation; vaccinology"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145228514&doi=10.1038%2fs41551-022-00981-4&partnerID=40&md5=d55eed2308a6f051a5b630640adac474","","Heart; biomaterial; microRNA; endoleak; exosome; extracellular matrix; heart infarction; heart tissue; human; Note; organoid; soft tissue inflammation; stem cell; heart"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151493810&doi=10.1038%2fs41551-023-01017-1&partnerID=40&md5=24d5ddff8c5ae746146bc36e02e058f9","","Humans; Hybridomas; Leukocytes, Mononuclear; Cells; Cytology; Light transmission; Microchannels; Surface plasmon resonance; Analytes; Cell secretion; Extracellular secretion; Gold substrates; High-throughput; Micro wells; Plasmonics; Real- time; Single cells; Single-cell level; human; hybridoma; mononuclear cell; Antibodies"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159670567&doi=10.1038%2fs41551-023-01042-0&partnerID=40&md5=f60da16e50bd76dfb260166884b10b09","","T-Lymphocytes; amphophile; ribonucleoprotein; cell function; clustered regularly interspaced short palindromic repeat; cytotoxicity; electroporation; ex vivo study; human; lymphocyte; nonhuman; Note; primary cell; T lymphocyte"
