"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150026546&doi=10.1038%2fs41560-023-01231-w&partnerID=40&md5=dea5e48f1ea3d711e095d8ffd169a3f0","","Chlorine compounds; Lithium; Lithium batteries; Magnesium compounds; Solid electrolytes; Solid state devices; All-solid-state lithium battery; Battery design; Density value; Electronic- Ionic conductivity; Engineering parameters; Intrinsic property; Large deviations; Lithium dendrite; Overpotential; Solid-state electrolyte; electrodynamics; electrolyte; energy storage; lithium; simulated annealing; Lithium compounds"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164201862&doi=10.1038%2fs41560-023-01298-5&partnerID=40&md5=bd11b57d87cbf13699d68da455431570","","Behavioral research; California; Energy; Energy justices; Energy programs; Field experiment; Low incomes; Policy tools; Social benefits; Social influence; Solar project; Economic and social effects"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150988732&doi=10.1038%2fs41560-023-01238-3&partnerID=40&md5=35c8c68067ea36395cc625c5a2f898a6","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158080880&doi=10.1038%2fs41560-023-01248-1&partnerID=40&md5=6074769f130275045fab9cc7a83b99b4","","Atlantic Ocean; Gulf of Mexico; United States; Abandoned wells; Offshore oil well production; Product liability; Coastal waters; Environmental implications; Environmental risks; Financial risks; Gulf of Mexico; Inland waters; Inland wetlands; Offshore water; Offshore wells; Shallow waters; coastal water; cost analysis; environmental risk; financial system; liability; shallow water; Cost benefit analysis"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161133576&doi=10.1038%2fs41560-023-01210-1&partnerID=40&md5=bd1de61289e8fdb39d9b49471bd717fb","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163346566&doi=10.1038%2fs41560-023-01287-8&partnerID=40&md5=0f0d366fbbf9ac8ca19566d8ef636df4","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164469035&doi=10.1038%2fs41560-023-01294-9&partnerID=40&md5=dee59601cfe4dc27c05da6c0ff4dab1a","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152380146&doi=10.1038%2fs41560-023-01232-9&partnerID=40&md5=7b2b2dcfcc93956896e3c3ab6bae1b5b","","Southern Europe; Climate models; Wind; Climate event; Energy transitions; Extreme climates; Heat island phenomena; Modelling framework; Multi-scales; Urban climates; Urban density; Urban heat island; Urban morphology; alternative energy; climate change; European Union; extreme event; numerical model; urban area; urban morphology; Climate change"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151756820&doi=10.1038%2fs41560-023-01234-7&partnerID=40&md5=af0b21edf85d1d638dedbf6c4e9b20c0","","Domestic energy; Empirical literature; Energy; Energy access; Energy services; Gender equality; Knowledge gaps; Simple++; Theoretical framework; Universal access; empowerment; gender relations; knowledge; literature review; Sustainable Development Goal"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168339260&doi=10.1038%2fs41560-023-01213-y&partnerID=40&md5=0337d38db7d13bec9c410653a5d348d0","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161105673&doi=10.1038%2fs41560-023-01258-z&partnerID=40&md5=e1b73d6798f64db2b1a7dd998035fa00","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153332434&doi=10.1038%2fs41560-023-01252-5&partnerID=40&md5=a7119e6e0c2fa4cb7039ccc69380b3d2","","Charging (batteries); Cobalt compounds; Electrodes; Ethers; Lithium; Lithium compounds; Lithium-ion batteries; Nickel coatings; Nickel oxide; Plastic coatings; Solid electrolytes; Solid-State Batteries; Coating designs; Cycle lives; Cycling performance; Fluorinated ethers; Interfacial coatings; Li metal; Lithium metals; Metal electrodes; Polymer Coating; Solid electrolyte interphase; carbonate; coating; cobalt; electrode; electrolyte; energy storage; ether; lithium; solvent; Solvents"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151644552&doi=10.1038%2fs41560-023-01240-9&partnerID=40&md5=3f1dee050074501562bf3dc89a51dcef","","Cost effectiveness; Electrolytes; Lithium compounds; Spectroscopic analysis; Storage (materials); Titanium oxides; X ray absorption spectroscopy; Acidic electrolytes; Charge storage; Electrochemical energy storage devices; Energy density; In-situ monitoring; Power densities; Pseudocapacitive; Redox process; Storage mechanism; Ultraviolet-visible spectroscopy; electrolyte; energy storage; redox potential; ultraviolet radiation; X-ray spectroscopy; Energy storage"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161464937&doi=10.1038%2fs41560-023-01273-0&partnerID=40&md5=096d2b427c64af68c371ec1bcf7d37e0","","California; United States; employment; greenhouse gas; oil supply; pollution policy; pollution tax"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163357974&doi=10.1038%2fs41560-023-01290-z&partnerID=40&md5=a17e4fbe3f612d6d98db70073a42072c","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164930442&doi=10.1038%2fs41560-023-01283-y&partnerID=40&md5=19af8910fa01ad7be07359cb459aaf1b","","Europe; Budget control; Energy management; Gas emissions; Greenhouse gases; Climate targets; Demand reduction; Domestic energy; Emission saving; Emissions' impacts; Energy demands; Energy use; Energy users; European Countries; Greenhouse gas emission reduction; climate change; emission control; energy use; global perspective; Energy utilization"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164164107&doi=10.1038%2fs41560-023-01285-w&partnerID=40&md5=124f7c1f9c2c67472c703ed28066fc31","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168345306&doi=10.1038%2fs41560-023-01286-9&partnerID=40&md5=1c99dd96b33c82a8f89b38beecb38c44","","Solar power generation; Cost trends; Deployment process; Energy cost; Model dependencies; Photovoltaics; Property; Solar photovoltaic system; Technology evolution; Technology improvement; Usefulness of models; Solar energy"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168339669&doi=10.1038%2fs41560-023-01314-8&partnerID=40&md5=db5048553e6214f4a25ecc3656b035b6","","Carbon; Carbon dioxide; Coatings; Density functional theory; Electrocatalysis; Ion exchange; Molybdenum; Nanoparticles; Anion exchange Ionomer; Catalytic system; Density-functional theory calculations; Electrocatalytic reduction; Electrolysers; Faradaic efficiencies; Functionalized; Imidazolium; Reaction barriers; Reversible hydrogen electrodes; Propane"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148347841&doi=10.1038%2fs41560-023-01212-z&partnerID=40&md5=ca01dbbe7027240057e059c8b18ee090","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85157998861&doi=10.1038%2fs41560-023-01255-2&partnerID=40&md5=213c7ca8e81a516eb6b909dcb2f72281","","Amorphous silicon; Carrier transport; Conversion efficiency; Heterojunctions; Nanocrystals; Silicon solar cells; Silicon wafers; Commercial potential; Contact layers; Contact structure; Device efficiency; Heterojunction solar cells; High power conversion; Optoelectronics property; P-type; Power conversion efficiencies; Silicon heterojunctions; Nanocrystalline silicon"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148592528&doi=10.1038%2fs41560-023-01204-z&partnerID=40&md5=974b078b928e01a2df4175c237557734","","Cell engineering; Efficiency; Heterojunctions; Metal halides; Passivation; Perovskite; Positive ions; Ammonium halides; Capping layer; Capping materials; Interface engineering; Low dimensional; Metal cation; Organic cations; Precursor solutions; Synthetic control; Zero-dimensional; capping; cation; interface; solar phenomena; stabilization; tool use; Perovskite solar cells"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148242143&doi=10.1038%2fs41560-023-01206-x&partnerID=40&md5=b84023823c1f58d6dadb72a8f18c32db","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148244328&doi=10.1038%2fs41560-023-01209-8&partnerID=40&md5=37595fd8efc6c53d123f91371f312441","","Russian Federation; Ukraine; Energy policy; Supply chains; Energy cost; Energy crisis; Energy prices; Global energy; Global supply chain; Good and services; Household energy; Household expenditure; Input-output; Ukraine; cooling; database; energy efficiency; energy management; energy market; household energy; mobility; Costs"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152701750&doi=10.1038%2fs41560-023-01251-6&partnerID=40&md5=c1889b2e78a9e383a70cbacb2a94e21d","","Crystallinity; Reaction kinetics; Silver alloys; Solar absorbers; Solar cells; Annealing process; Collision probability; Kesterites; Phase evolutions; Positive pressure; Reaction chambers; Secondary phase; Selenization; Single-step; Total-area efficiency; annealing; cell; kesterite; kinetics; partial pressure; selenium; Efficiency"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163794219&doi=10.1038%2fs41560-023-01288-7&partnerID=40&md5=a802295dae237788e2dd1cecb0c285b8","","Conversion efficiency; Crystallinity; Lead compounds; Perovskite; Surface defects; % reductions; %moisture; Base additives; Cell-based; Cristallinity; Defects density; Lewis base; Perovskite films; Power conversion efficiencies; Regular configuration; Perovskite solar cells"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152449456&doi=10.1038%2fs41560-023-01247-2&partnerID=40&md5=8cbc7ca95348f8729e26e27098979eb3","","Chemical industry; Electrochemistry; Fuel economy; Hydrogen fuels; Hydrogen production; Indicators (chemical); Solar fuels; Solar power generation; Hydrogen production systems; Large-scales; Level efficiencies; Performance; Photoelectrochemical devices; Photoelectrochemicals; Photovoltaics; Production of hydrogen; Solar Hydrogen Production; Sustainable fuels; electrochemical method; electrokinesis; energy efficiency; equipment; hydrogen; optimization; solar power; Pilot plants"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151375325&doi=10.1038%2fs41560-023-01233-8&partnerID=40&md5=46ffd2e28f8637e3f818b01d26d21089","","Coarsening; Eutectics; Lithium-ion batteries; Ostwald ripening; Salts; Single crystals; Sols; Suspensions (fluids); Advanced lithium-ion batteries; De agglomerations; Electrochemical performance; Eutectic salt; Layered cathode; Lithium salts; Particle agglomerations; Salt-assisted; Single-crystalline; Temperature range; crystallinity; electrochemical method; lithium; morphology; Cathodes"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153304871&doi=10.1038%2fs41560-023-01256-1&partnerID=40&md5=5e75b27820505ac529126d8d27ecac29","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149072685&doi=10.1038%2fs41560-023-01218-7&partnerID=40&md5=2b0d2366ac1fdaccab161065a727099e","","Aromatic compounds; Catalysts; Conversion efficiency; Decomposition; Ketones; Porphyrins; Supramolecular chemistry; 'current; Catalyst system; Energy carriers; Near Infrared; Near-infrared; Photocatalytic synthesis; Sacrificial reagent; Tetrakis; Wavelength response; ]+ catalyst; catalyst; energy efficiency; hydrogen peroxide; photochemistry; porphyrin; thermal decomposition; Infrared devices"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147011828&doi=10.1038%2fs41560-022-01186-4&partnerID=40&md5=03d347f3b1c6fec7e7e82a0d50c8e50b","","Brittle fracture; Electrolytic reduction; Lanthanum compounds; Lithium; Lithium batteries; Lithium compounds; Scanning electron microscopy; Tantalum compounds; Weibull distribution; Zirconium compounds; Applied stress; Contact forces; Cumulative probabilities; Failure diameters; Lithium metals; Mechanical; Micro-probes; Operando; Root cause; Short circuiting; Solid electrolytes"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168454076&doi=10.1038%2fs41560-023-01343-3&partnerID=40&md5=9060e41e6ab063aa220ce17567fe18a4","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160521231&doi=10.1038%2fs41560-023-01253-4&partnerID=40&md5=adc6025ffeef877cb3ab00bc88658cd8","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152404790&doi=10.1038%2fs41560-023-01241-8&partnerID=40&md5=1a344600880000b4a9c41ad845521d25","","United States; United States; Air quality; Carbon dioxide; Electric load dispatching; Nuclear energy; Nuclear fuels; Nuclear power plants; Plant shutdowns; Chemical transport models; Fine particulate matter; Generating unit; Grid infrastructures; Ground-level ozone; Health impact; Mortality risk; NO x; Nuclear power generation; PM 2.5; African American; air quality; atmospheric pollution; compensation; health impact; mortality risk; nuclear power; particulate matter; pollution exposure; power generation; Ozone"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149825828&doi=10.1038%2fs41560-023-01243-6&partnerID=40&md5=32ff0aeb145103b26b4f8123543a943b","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160270258&doi=10.1038%2fs41560-023-01269-w&partnerID=40&md5=2d7b1d16c0b79b856b7fd99a440f6989","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161407615&doi=10.1038%2fs41560-023-01272-1&partnerID=40&md5=a3cf8ef2e1839b38f65122d964fb7075","","Anodes; Cost effectiveness; Electrodeposition; Cost effective; High quality; Initial Coulombic efficiency; Lithium metals; Lithium-ion battery anodes; Performance; Pre-lithiation; Printing system; Roll to Roll; Transfer printing; adhesion; composite; electrode; fuel cell; graphite; lithium; performance assessment; Lithium-ion batteries"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149413495&doi=10.1038%2fs41560-023-01235-6&partnerID=40&md5=430a393d97b9977c9daea4c201880e2c","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165205608&doi=10.1038%2fs41560-023-01307-7&partnerID=40&md5=06061742c1d9288be9d700f5bbbd9743","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149797002&doi=10.1038%2fs41560-023-01214-x&partnerID=40&md5=8fc0ccb6549727b0a0c54a6393888d18","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147673022&doi=10.1038%2fs41560-023-01216-9&partnerID=40&md5=27cf9d2194527343292655bb096ecb4b","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160307389&doi=10.1038%2fs41560-023-01263-2&partnerID=40&md5=087f5f9be94a94e85cc88fe459070802","","Corrosion; Durability; Fuel economy; Ionomers; Proton exchange membrane fuel cells (PEMFC); Cell-be; Cell/B.E; Cell/BE; Electrode structure; Fuel cell performance; High-power-density; Ion-conducting; Performance; Proton-exchange membranes fuel cells; Transport sectors; corrosion; durability; electrode; energy efficiency; fuel cell; machine learning; reaction rate; Electrodes"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165150763&doi=10.1038%2fs41560-023-01305-9&partnerID=40&md5=5955dd82fa009e7e81b42850a812edaa","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165191039&doi=10.1038%2fs41560-023-01296-7&partnerID=40&md5=f458c5a32a70d4c48efda24bde6529de","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153503775&doi=10.1038%2fs41560-023-01257-0&partnerID=40&md5=119120d3fb0da15e3ce97be1b99ed234","",""
