"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146585264&doi=10.1038%2fs41893-022-01058-5&partnerID=40&md5=f86d3a4417b2c389ccd4ac955436d465","","Charging (batteries); Electric vehicles; California; Charging station; Electric vehicle charging; EV Charging; Housing markets; Housing prices; Price premiums; Property value; Station data; Vehicle electrifications; Houses"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144855203&doi=10.1038%2fs41893-022-01012-5&partnerID=40&md5=863a2125443aa87bb068e701b3fd050c","","Blueprints; Industrial research; Packaging; Packaging materials; Plastics applications; 'current; Bio-based materials; Bioproducts; Food packaging; Plastics waste; Rapid growth; Sustainable materials; Sustainable solution; Synthetic plastics; Waste forms; Elastomers"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159074567&doi=10.1038%2fs41893-023-01110-y&partnerID=40&md5=04a78f55748b0c24a8e13d0085b1a577","","Climate change; Farms; 'current; Crop diversity; Environmental outcome; Food system; Number and size; Power; Social and environmental; Social outcomes; Turning-points; Use efficiency; Biodiversity"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148056805&doi=10.1038%2fs41893-023-01067-y&partnerID=40&md5=b4c6df39cdf203776e68979f1420f841","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149838179&doi=10.1038%2fs41893-023-01089-6&partnerID=40&md5=f15513d56c133f7c8e0616d07140f6e8","","Conservation; Fossil fuels; Solar power generation; Carbon emissions; Clean energy; Energy productions; Energy use; Fossil fuel burning; Global energy; Land conservation; Photovoltaic systems; Solar photovoltaics; Water-saving; Reservoirs (water)"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85154615382&doi=10.1038%2fs41893-023-01118-4&partnerID=40&md5=b6cb38040dfb07be75f69ba03acd6326","","Biomimetics; Catalyst activity; Elastomers; Enzymes; Ethylene; Plastic bottles; Plastic recycling; Waste management; Zinc; Binuclear complexes; Building blockes; Catalyse; Human health; Plastics recycling; Poly(ethylene terephthalate) (PET); Recycling technology; Waste plastic; Wide spectrum; ]+ catalyst; Polyethylene terephthalates"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150936058&doi=10.1038%2fs41893-023-01095-8&partnerID=40&md5=b19ef9a828cb9b57d5ad0a882872424d","","Binding energy; Ions; Nuclear reactors; Radioactivity; Strontium; Sustainable development; Characteristic energy; Chemical similarity; Fluorogenics; Food chain; Half lives; Selective detection; Strontium ion; Strontium-90; Thioflavin T; Ultrasensitive; Health hazards"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146892307&doi=10.1038%2fs41893-022-01033-0&partnerID=40&md5=a4155dbb69acfcb0f77a263711356b78","","Agriculture; Climate change; Economic and social effects; Economics; Electric power transmission; Hydroelectric power; Hydroelectric power plants; Investments; Energy systems; Flow variability; Intermittent renewables; Performance; Renewable energies; Renewables; Solar and winds; System development; Temporal variability; Water conflict; Aquatic ecosystems"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146176132&doi=10.1038%2fs41893-022-01038-9&partnerID=40&md5=bbc31df0ab4dce330c45ed607762368c","","Agricultural pollution; Commerce; Costs; Farms; Fertilizers; Gas emissions; Greenhouse gases; Nutrients; Supply chains; Water pollution; Agricultural practices; Biogas production; Crop fields; Dairy farms; Dairy manures; Electricity policy; Greenhouses gas; Nutrient management; Policy changes; Processing systems; Manures"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141392213&doi=10.1038%2fs41893-022-01015-2&partnerID=40&md5=4bcc53e44432331f7588e27ec5ac0433","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165419899&doi=10.1038%2fs41893-023-01195-5&partnerID=40&md5=b1d92ab40e5177873adde58eed2fb664","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147524985&doi=10.1038%2fs41893-022-01049-6&partnerID=40&md5=22dfe7385ad841cadd943a9f89d20b2d","","Biodiversity; Environmental impact; Palm oil; Sustainable development; Above-ground carbons; Agricultural expansion; Agricultural landscapes; Carbon storage; Configuration supports; Ecological degradations; Ecological values; Nutrients cycling; Oil palm; Steep slope; Cultivation"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161362758&doi=10.1038%2fs41893-023-01149-x&partnerID=40&md5=544ce8dafd3dfb1f86de6d8c901421fb","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159346726&doi=10.1038%2fs41893-023-01129-1&partnerID=40&md5=182e5e258b956844b464622be7782467","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145570506&doi=10.1038%2fs41893-022-01057-6&partnerID=40&md5=66ce8c016c587dc36891076fd34bda8d","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151961482&doi=10.1038%2fs41893-023-01072-1&partnerID=40&md5=38366263a90af8c787e970abdf9d8008","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150644751&doi=10.1038%2fs41893-023-01093-w&partnerID=40&md5=e95be1a617536f11d3a31f60329029b4","","Biodiversity; Conservation; Environmental protection; Biodiversity conservation; Cropland dynamics; Expansion rate; Extinction risks; Protected areas; Species extinction; Expansion"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151994644&doi=10.1038%2fs41893-023-01104-w&partnerID=40&md5=45901f9604e7c2893749ad3dcf260178","",""
