"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127820618&doi=10.1109%2fICCV48922.2021.00361&partnerID=40&md5=0ce8835a757e2c644afa9296afd06efe","","Computer vision; Forecasting; Harmonic analysis; Object recognition; Detection performance; Direct interactions; Harmonic loss; Irregular shape; Localisation; Localization accuracy; Object detectors; Objects detection; Optimal direction; Training phasis; Object detection"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127816910&doi=10.1109%2fICCV48922.2021.00094&partnerID=40&md5=15823fa8db1cc331595159311859aecc","","Computer vision; Convolutional neural networks; Piecewise linear techniques; Pixels; Convolutional neural network; Gradient-based method; Image pixels; Inference process; Linear mapping; Map visualizations; Modeling functions; Piecewise linear; Piecewise-linear; Positive/negative; Backpropagation"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127818810&doi=10.1109%2fICCV48922.2021.01117&partnerID=40&md5=769a148a6140fd5029a7e36de3aaf572","","Computer vision; 3D hand pose estimations; Data augmentation; Hand pose estimations; Labelings; Monocular image; Real-world; Regularizer; Samples selection; Semi-supervised; Synthetic data; Semantics"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127823724&doi=10.1109%2fICCV48922.2021.00910&partnerID=40&md5=4e38e209505052d30c8edb8e11b86632","","Clusterings; Common features; Feature space; Generative model; Multi-view clustering; Multiple views; Multiple-view representation; Mutual informations; Research problems; Visual representations; Computer vision"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127823568&doi=10.1109%2fICCV48922.2021.00503&partnerID=40&md5=0c6b4a34c22951541bb3060fa4c2a327","","Computer vision; Rational functions; Semantics; Topology; A-RINGS; Block representation; City block; City model; Generative model; Global and local structures; Graph representation; Ring topology; Two tiers; Vector representations; Land use"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127827253&doi=10.1109%2fICCV48922.2021.01083&partnerID=40&md5=a725464f52d57952549b7b5d510de8aa","","Computer vision; Gesture recognition; 2-d imaging; 3D pose estimation; Body parts; Ground truth; Human pose; Image sequence; Imaging parameters; Inter-frame; Raw images; Video recognition; Long short-term memory"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127825596&doi=10.1109%2fICCV48922.2021.01152&partnerID=40&md5=746bc6fa8e72c7170d86a67825e76266","","Computer vision; Eigenvalues and eigenfunctions; Image reconstruction; Large dataset; Three dimensional computer graphics; 3-d scans; 3D object; Articulated object; Canonical surfaces; Large datasets; Learn+; Monocular 3D reconstruction; Parametric models; Reconstruction method; Surface map; Animals"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127827522&doi=10.1109%2fICCV48922.2021.00019&partnerID=40&md5=777eb1722df61d95302dc86dfa55f809","","Benchmarking; Computer vision; Learning systems; Extraction modeling; Feature refinement; Features extraction; Learning methods; Learning tasks; Performance; Semantic domains; Simple++; Visual feature; Visual semantics; Semantics"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127826316&doi=10.1109%2fICCV48922.2021.00728&partnerID=40&md5=2adc2343d227fca0c2a77cf07121ba17","","Computer vision; Convolutional neural networks; Image compression; Boosting efficiency; Computational resources; Convolutional networks; Dynamic network; Large amounts; Optimal precision; Quantisation; Robust recognition; Video recognition; Video-clips; Efficiency"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127829828&doi=10.1109%2fICCV48922.2021.01446&partnerID=40&md5=dbf6876693b11bd6e9a2cce7b276b08b","","Computer vision; Forecasting; Stochastic models; Stochastic systems; Appearance predictions; Deterministics; Dynamic component; Motion history; Motion prediction; Statics and dynamics; Stochastic-modeling; Stochastics; Video contents; Video prediction; Motion estimation"
