"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150956619&doi=10.1002%2fpip.3690&partnerID=40&md5=f54227006dd6f68a52d6d9518e6ab16d","antireflective coating; damp heat; encapsulant; HV−/HV+ stress; IEC 62804; optical absorptance; optical reflectance; spectral performance","Antireflection coatings; Cytology; Degradation; Glass; Packaging materials; Photoelectrochemical cells; Silicon nitride; Solar panels; Spectrum analysis; Absorptance; Anti reflective coatings; Damp heat; Encapsulants; HV−/HV+ stress; IEC 62804; Optical absorptance; Optical reflectance; Optical-; Spectral performance; Cells"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150520237&doi=10.1002%2fpip.3683&partnerID=40&md5=52e2b891e15413b5fd91413a81ca4065","antireflection coating; chain regression; photovoltaics; random forest; spectral response","Extraction; Learning algorithms; Machine learning; Quantum efficiency; Silicon solar cells; Spectrum analysis; Advanced analysis; Chain regression; Electron currents; Internal quantum efficiency; Machine-learning; Photovoltaics; Quantum Efficiency measurements; Random forests; Research and application; Spectral response; Antireflection coatings"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139050637&doi=10.1002%2fpip.3629&partnerID=40&md5=2424b53a1285618e3528a66268c83afe","AlInP; hydride vapor-phase epitaxy; III–V semiconductors; tandem solar cell","Efficiency; Gallium arsenide; Hydrides; Open circuit voltage; Passivation; Secondary ion mass spectrometry; Semiconducting gallium; Semiconductor alloys; Solar cells; Carrier collection; Control-cell; Current collection; Device performance; GaInP/GaAs; Hydride vapor phase epitaxy; III-V solar cells; III/V semiconductors; Single junction; Tandem solar cells; III-V semiconductors"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162208078&doi=10.1002%2fpip.3723&partnerID=40&md5=45c3dca51d9a798ab28353d3231e8c8e","climate zones; floating PV; offshore; photovoltaics; yield assessment","Energy transfer; Heat transfer; Monocrystalline silicon; Oceanography; Offshore oil well production; Regression analysis; Renewable energy resources; Solar panels; Solar power generation; Specific heat; Surface waters; Water; Climate zone; Floating photovoltaic; Freshwater bodies; Offshore floating; Offshores; Photovoltaic systems; Photovoltaics; Solar photovoltaics; Yield assessment; Wind"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139969597&doi=10.1002%2fpip.3631&partnerID=40&md5=cf842a69cfbe95cdcbf8a7deff6afa01","convective transfers; cooling effect; floating PV; longwave radiations; sky temperature","Cooling systems; Solar panels; Convective transfer; Cooling effects; Floating photovoltaic; Long-wave radiation; Module temperature; Photovoltaic systems; Photovoltaic technology; Photovoltaics; Sky temperatures; Thermal boundary conditions; Photovoltaic effects"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140381180&doi=10.1002%2fpip.3630&partnerID=40&md5=ef14e47e48b0363425c0bf8432bc0f12","characterization; electrical performance; high-efficiency c-Si solar cell; hysteresis effect; interlaboratory comparison; round-robin; transient current","Capacitance; Efficiency; Heterojunctions; Hysteresis; Power quality; Reliability; Silicon; Silicon solar cells; Uncertainty analysis; C-Si solar cell; Characterization; Electrical performance; High-efficiency c-si solar cell; Higher efficiency; Hysteresis effect; Interlaboratory comparison; Round Robin; Transient current; Voltage sweep; Laboratories"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121466045&doi=10.1002%2fpip.3522&partnerID=40&md5=41b6a6aad59a6298037c8f5a1a9cdbf8","high-efficiency silicon solar cells; passivating contacts; polysilicon","Efficiency; Industrial research; Perovskite; Perovskite solar cells; Silicon; Silicon compounds; Silicon solar cells; Tunnel junctions; Contact structure; Crystalline silicon solar cells; High efficiency silicon solar cells; Laboratory cells; Passivating contact; Photovoltaics; Research and application; Silicon-based; SiO x; Tunnel oxides; Passivation"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133192296&doi=10.1002%2fpip.3603&partnerID=40&md5=cf8f3d9d85ab1557a166cab0dcd375d6","Ag crystallite; contact firing; crystalline Si solar cell; electrochemical reaction; screen-printed Ag contact; short-circuit effect","Glass; Lead oxide; Silicon; Silicon solar cells; Silver; Timing circuits; Ag contacts; Ag crystallite; Circuit effects; Contact firing; Crystalline Si solar cells; Electrochemical reactions; Glass frit; Screen-printed; Screen-printed ag contact; Short-circuit effect; Crystallites"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165284216&doi=10.1002%2fpip.3727&partnerID=40&md5=38b1c6c1b32e491277275d0178d32154","agrivoltaics (APV); capacity density; crop production; NUTS-2 region; optimal tilt PV system; photovoltaic (PV) systems; single-axis horizontal tracking; vertically mounted bifacial PV system","Crops; Economic and social effects; Solar panels; Agrivoltaics (APV); Capacity densities; Crop production; NUTS-2 region; Optimal tilt photovoltaic system; Photovoltaic systems; Single-axis; Single-axis horizontal tracking; Vertically mounted bifacial photovoltaic system; Cultivation"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139056908&doi=10.1002%2fpip.3625&partnerID=40&md5=779b7dbed3694ea319202b31e54d51f5","ALD buffer layer; earth abundant; interface recombination; post-deposition annealing; Sb<sub>2</sub>Se<sub>3</sub>; solar cell; thin film","Activation energy; Annealing; Antimony compounds; Atomic layer deposition; Buffer layers; Cadmium sulfide; Cadmium sulfide solar cells; II-VI semiconductors; Layered semiconductors; Open circuit voltage; Photoluminescence spectroscopy; Selenium compounds; Solar absorbers; Thin film solar cells; Timing circuits; Titanium dioxide; ALD buffer layer; Atomic-layer deposition; Earth abundant; Interface recombination; Open-circuit voltages; Photovoltaics; Post deposition annealing; Research and application; Research interests; Thin-films; Thin films"
