Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Firm-Level Political Risk and the Cash Flow Sensitivity of Cash,2024,Quarterly Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186654365&doi=10.1142%2fS2010139224500046&partnerID=40&md5=e91807409b8aef971b4217c496fcdb3f,"We examine the impact of firm-level political risk on the cash flow sensitivity of cash. Using a large sample of U.S. firms from 2003 to 2018, we find that the cash flow sensitivity of cash decreases in political uncertainty and the impact of political risk is asymmetric to cash flow types (positive versus negative). Intensified political uncertainty induces positive/negative cash flow firms to reduce savings out of cash flows to finance investment opportunities/terminate unprofitable projects to retrieve cash. The results are robust to various model specifications, alternative variable definitions, and the control for non-political risks. In addition, we show that a firm's financial status moderates the relation between the two, with financially constrained positive/negative cash flow firms saving more out of cash flows/decreasing existing savings as firm-level political risk increases.  © 2024 The Author(s).",cash flow sensitivity of cash; financial constraints; Firm-level political risk; positive (negative) cash flow firms,
Managing Climate Change Risks: Sea-Level Rise and Mergers and Acquisitions,2024,Quarterly Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191720532&doi=10.1142%2fS201013922450006X&partnerID=40&md5=11a380bcc61320835194ca67c9fd6d17,"Using a large sample over the period 1986 to 2017, we show that companies with higher exposure to climate change risk induced by sea-level rise (SLR) tend to acquire firms that are unlikely to be directly affected by SLR. We find that acquirers with higher SLR exposure experience significantly higher announcement-period abnormal stock returns. Analyses using failed merger bids as an exogenous shock show that post-merger, analyst forecasts become more accurate and environmental-related as well as overall ESG scores improve. © 2024 World Scientific Publishing Company.",Climate change; mergers and acquisitions; sea level rise,
"Institutional Quality, Trust, and Stock Market Participation: Learning to Forget",2024,Quarterly Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181916980&doi=10.1142%2fS2010139224500022&partnerID=40&md5=dd67ae38890f7eb7d0d4a1a3c1213dcb,"In this paper, we explore the relations among institutional quality, households' level of trust, and stock market participation. We ¯nd that institutional quality has a signi¯cant impact on both trust and participation. The individual level of trust signi¯cantly a®ects participation, but trust plays a small role in the e®ect of institutional quality on participation. Further, we demonstrate that immigrants are a®ected by the institutional quality of both their country of residence and their home country, and that education emerges as an important learning factor in immigrants' adaptation to new institutional environments. © The Author(s).",direct and indirect e®ects; Households' stock ownership; immigration; institutional quality; learning ability; trust,
Business Strategy and M&A Transactions,2024,Quarterly Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188844827&doi=10.1142%2fS2010139224500058&partnerID=40&md5=cb7eeae1a0744b41aa92c51a8d537a6a,This paper establishes the relation between the target’s business strategy and M&A transactions. We find that acquirers purchasing an innovation-oriented firm (prospector) experience significantly lower announcement returns and worse long-run operating performance than when they purchase an efficiency-oriented firm (defender). The effect is more pronounced for the acquirer with severe agency problems. Further analysis finds that synergies can be obtained from combining business strategies. We also show that acquirers respond to the presence of a prospector target by using stock payment in their offers. © World Scientific Publishing Company and Midwest Finance Association.,efficiency-oriented strategy; innovation-oriented strategy; Mergers and acquisitions,
Futures Replication and the Law of One Futures Price,2024,Quarterly Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186716756&doi=10.1142%2fS2010139224500034&partnerID=40&md5=8a65d88896b52071f4cb4f8d26cb2606,"We define a synthetic futures contract as a pair consisting of a terminal futures price J (a prespecified random variable) and a zero-value trading strategy whose terminal cumulative cash flow is equal to J to within an additive constant. The construction of synthetic futures contracts is demonstrated for (i) futures on futures, (ii) futures on spot, (iii) quanto futures on futures, (iv) quanto futures on spot and (v) futures on foreign futures and domestic futures. We formulate and derive the Law of One Futures Price, which justifies futures pricing based on such replication. © World Scientific Publishing Company and Midwest Finance Association.",derivatives replication; futures pricing; futures-on-futures; Law of One Futures Price; quanto futures; Trading strategies,
CTO Network Centrality and Corporate Innovation,2024,Quarterly Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195088766&doi=10.1142%2fS2010139224500071&partnerID=40&md5=4497180af63706f4453f74284ec506d6,"Social network centrality of chief technology officers (CTOs) affects corporate innovation. Firms with CTOs who are well-connected within the network of all business professionals invest more in research and development (R&D), receive more patents, attract more patent citations, and create more patent value. Besides the effect of the general business network centrality, higher professional network centrality of CTOs (within the network of all other CTOs) also fosters corporate innovation. In addition, firms innovate more and better if CTOs are hired by the incumbent CEOs. Ultimately, R&D investment of companies with high-centrality CTOs enhances firm value.  © 2024 World Scientific. All rights reserved.",centrality; CTOs; innovation; social networks,
The Impact of Role Models on Women's Self-Selection into Competitive Environments,2024,Quarterly Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191704438&doi=10.1142%2fS2010139224400019&partnerID=40&md5=8addc7f67aecd2c579ba708f9c64bab5,"In this paper, we show that competitive female role models reduce women's perceived stereotype threat and increase their willingness to compete. Competitive male role models have the opposite effect: they reduce women's willingness to compete, and the gender gap in tournament entry increases. Results are strongest for the best performing women who would benefit most from competing. Role models have no impact on low performing women, and on men. © 2024 World Scientific Publishing Company.",competition; Gender; role models; stereotypes,
Performance Monitoring and the Incentives for Exertion of Effort,2024,Quarterly Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193785066&doi=10.1142%2fS2010139224400056&partnerID=40&md5=a8c559e7f338e62ca2d5292f88251f29,"This paper investigates the impact of monitoring intensity on individuals' motivation to exert effort. Using an experimental approach, we designed a test comprising six problems, with varied levels of monitoring and success criteria, to evaluate performance as an indicator of effort. The results reveal a nonlinear relationship between the stringency of monitoring criteria and worker performance. Interestingly, we found that optimal performance is attained when participants are required to answer correctly only one of the six problems. This study enhances our understanding of performance monitoring strategies and their effects in modern work settings. © 2024 World Scientific Publishing Company.",employee motivation; experimental economics; incentive structures; Performance monitoring; success criteria in performance tests,
Trust and Lending: An Experimental Study,2024,Quarterly Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194495971&doi=10.1142%2fS2010139224400044&partnerID=40&md5=f8ace17b28d8d9ea7fab9780771d209b,"This paper investigates the importance and the determinants of trust in a lending situation using a controlled experiment. We find that communication can facilitate collaboration between lenders and borrowers through three channels of trust: (1) an information channel, (2) a preference channel, and (3) a reciprocity channel. Our results highlight the role of trust in mitigating the moral hazard problem in lending. © 2024 World Scientific Publishing Company.",banking; Behavioral finance; credit markets; experimental economics; financial risks; lending; trust,
Optimism in Property Markets,2024,Quarterly Journal of Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192954251&doi=10.1142%2fS2010139224400020&partnerID=40&md5=700792466745bf1d6f4fac3bd7af3d8e,"House valuation involves forecasting household demand for a neighborhood, whereas commercial property valuation involves forecasting area economic activity. Yet, we show optimistic expectations for both. We investigate further possible disparities due to different cultures of home ownership, short, medium, and long-term investment horizons, and bullish or bearish trends. We use an experimental framework to demonstrate expectations are optimistic under all conditions. Buyers use trends to surmise future prices in bull markets, expect price increases in oscillating markets, and price reversals in bear markets, failing to anticipate price busts. Policy implications are important in preventing property boom-induced financial crises. © 2024 World Scientific Publishing Company.",biases; experimental finance; optimism; Property price expectations,
