"Title","Year","Link","Abstract","Author Keywords","Index Keywords"
"Leveraged speculators and asset prices","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193429041&doi=10.1093%2frof%2frfad037&partnerID=40&md5=806ea9e194e9b78cbf5831ee89a9175c","I test the hypothesis that the use of leverage by market speculators can increase the likelihood and magnitude of crashes in asset prices. Using a direct leverage measure derived from US public filings, I find that (1) stocks held by highly leveraged hedge funds subsequently have more negatively skewed returns than stocks held by less leveraged funds and (2) upon extremely negative earnings surprises or funding liquidity shocks, stocks owned by high-leverage funds exhibit abnormal price declines and subsequent reversal. Consistent with the fire sale and contagion hypothesis, high-leverage funds tend to reduce the position following negative news about a stock, and such selling can extend to other stocks in the portfolio, increasing the crash proneness of the stocks they hold. © The Author(s) 2023.","fire sales; hedge fund leverage; price crash; return skewness",""
"Tick Size Wars: The Market Quality Effects of Pricing Grid Competition","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164306123&doi=10.1093%2frof%2frfac032&partnerID=40&md5=b81d890633bd9fa90bd02bfa52eb6374","We explore the effects of a “tick size war” in which European trading venues directly competed on the minimum pricing increment in the limit order book, the tick size. We find that venues that reduced their tick size immediately captured market shares of both quoted and executed volume from the exchanges that kept their ticks large. We find that tick size competition improves market quality, reducing trading costs, and increasing market-wide depth and volume. These market quality improvements are strongest in stocks where the bid-ask spread was constrained to one tick, where liquidity providers use the finer pricing grid to engage in price competition. © The Author(s) 2022. Published by Oxford University Press on behalf of the European Finance Association. All rights reserved.","Equity trading; Limit order markets; Tick sizes",""
"Information Acquisition, Uncertainty Reduction, and Pre-Announcement Premium in China","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161637614&doi=10.1093%2frof%2frfac042&partnerID=40&md5=0e7b7b1977e6e3142993a3b43af67f4f","We examine the stock market returns in an environment in which the dates of the central bank’s information supply through public announcements are not prescheduled. We document that positive excess returns are accumulated as early as 3 days before China’s central bank releases the monthly data of monetary aggregates, which may be announced either early or late in a month. In particular, this pre-announcement premium exists only when an announcement arrives late in an announcement cycle. We provide a theoretical framework in which the degree of information acquisition in the market increases as the date approaches the end of an announcement cycle while investors are still waiting for the arrival of an announcement, a hypothesis that receives strong empirical support. We show that the information acquisition channel highlighted in Ai, Bansal, and Han (2022) explains the uncertainty reduction and the positive risk premium before monetary announcements in China. ©The Author(s) 2022. Published by Oxford University Press on behalf of the European Finance Association. All rights reserved.","Central bank; Equity premium; Information acquisition; Macro announcements",""
"Stock repurchasing bias of mutual funds","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188153387&doi=10.1093%2frof%2frfad035&partnerID=40&md5=8ab1be82410b1d0251de3af0b45e205e","This article shows that mutual funds' trading experiences bias their future repurchasing decisions. Mutual funds are less likely to repurchase a stock if they previously sold the stock for a loss rather than for a gain. After switching to managing a different fund, fund managers still avoid repurchasing stocks they sold for a loss at a past fund. We do not find that mutual fund managers are biased against repurchasing past loser stocks because of superior information. Though less likely to be repurchased, repurchased losers do not underperform repurchased winners-and the fund itself-in the subsequent quarter. © The Author(s) 2023. Published by Oxford University Press on behalf of the European Finance Association.","behavioral bias; fund performance; mutual funds; stock repurchasing",""
"Why momentum concentrates among overvalued stocks?","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188183753&doi=10.1093%2frof%2frfad033&partnerID=40&md5=693b03f2aac74857d02b15a554890e94","We uncover a link between momentum and overvaluation: assets that generate strong momentum profits have lower risk-adjusted unconditional returns; conversely, trading momentum within overvalued assets doubles the profit of the standard momentum strategy. We compute the profits of a momentum strategy within various portfolios; portfolios within which momentum is profitable are defined as momentum trading opportunity (MTO). High-MTO assets have negative unconditional alphas and concentrate in the short legs of most anomalies; controlling for MTO reduces anomaly alphas by up to half. These results imply that the existence of other anomalies is closely linked to the existence of momentum and they should be studied jointly. © The Author(s) 2023. Published by Oxford University Press on behalf of the European Finance Association.","anomalies; momentum",""
"The Term Structure of Equity Risk Premia: Levered Noise and New Estimates","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166203387&doi=10.1093%2frof%2frfac062&partnerID=40&md5=16e28a199b73fcfa423757b49e9b0578","Levered noise occurs when no-arbitrage replication hedges fundamentals but amplifies price errors. Motivated by our theory, we use widely-available end-of-day OptionMetrics data to improve accuracy of synthetic dividend strip prices and provide longer samples than prior studies. Term structure point estimates are approximately flat in simple returns (88 bp/month vs. 87 bp/month for short-term dividends vs. index), and upward-sloping in measurement-error-robust logarithmic returns (43 bp/month vs. 77 bp/month). These results from prominent index options show the importance of diagnosing noise in no-arbitrage prices. Prior conclusions of an average downward slope in the equity term structure are not robust. © 2022 The Author(s). Published by Oxford University Press on behalf of the European Finance Association. All rights reserved.","Dividend strips; Equity risk premium; Limits to arbitrage; Microstructure frictions; Term structure of equity risk premia",""
"Financial Intermediation, Capital Accumulation, and Crisis Recovery","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166191594&doi=10.1093%2frof%2frfac046&partnerID=40&md5=cbc4b32d3c256815f8a44df75f5a949a","We integrate bank and bond financing into a two-sector neoclassical growth model and identify an automatic stabilization effect due to endogenous bank leverage adjustment. We show that although bank leverage amplifies shocks, the increase of leverage due to a decline in bank equity partially offsets the post crisis decline of bank lending and accelerates economic recovery by reducing the persistence of the bank lending channel. In this case, endogenous leverage adjustment is an automatic stabilizer. Regulatory state-independent capital limits and wage rigidities impair the re-allocation of capital between sectors and weaken this automatic stabilization. A quantitative analysis of the US during the Great Recession shows that the magnitude of automatic stabilization can be significant and informs about potentially high costs of strict capital regulation or wage rigidities during banking crises. © 2022 The Author(s). Published by Oxford University Press on behalf of the European Finance Association. All rights reserved.","Banking crises; Business cycles; Capital accumulation; Financial intermediation; Macroeconomic shocks; Managing recoveries",""
"Precious Neighbors: The Value of Co-Locating with the Government","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166331745&doi=10.1093%2frof%2frfac063&partnerID=40&md5=3cfc93c3761fcf90c525a5253a6c425d","In many countries, disproportionately many firms locate their headquarters in the capital city. Spatial proximity to a country's leading politicians may be beneficial for a number of reasons. Since neither firms nor governments move randomly, the effects of firms' co-locating with the government are normally hard to identify. I solve this problem by examining a unique event - the decision to relocate the German federal government from Bonn to Berlin in 1991. Following reunification, there was a free vote in the German parliament on the future location of the government. Berlin won by a narrow margin, an event that could not be anticipated even days before and that is free from confounding factors. Firms with corporate headquarters in Berlin experience abnormal equity returns of more than 3% following the relocation decision.  © 2022 The Author(s). Published by Oxford University Press on behalf of the European Finance Association. All rights reserved.","Co-locating with government; Firm value effects; German government relocation; Headquarters location",""
"When passive funds affect prices: evidence from volatility and commodity ETFs","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193442266&doi=10.1093%2frof%2frfad038&partnerID=40&md5=1fee11d38f9144b218d756ce8e99ee72","This article studies exchange-traded funds’ (ETFs) price impact in the most ETF-dominated asset classes: volatility (VIX) and commodities. I propose a new way to measure ETF-related price distortions based on the specifics of futures contracts. This allows me to isolate a component in VIX futures prices that is strongly related to the rebalancing of ETFs. I derive a novel decomposition of ETF trading demand into leverage rebalancing, calendar rebalancing, and flow rebalancing, and show that trading against ETFs is risky. Leverage rebalancing has the largest effects on the ETF-related price component. This rebalancing amplifies price changes and exposes ETF counterparties to variance. © The Author(s) 2023.","commodities; ETF; futures; leverage; VIX",""
"Life is Too Short? Bereaved Managers and Investment Decisions","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166968707&doi=10.1093%2frof%2frfac067&partnerID=40&md5=501ef915379c3543558e4a47a4cfe511","We examine whether bereavement affects managerial investment decisions in large organizations using the exogenous events of managers' family deaths. We find evidence that bereaved managers take less risk in separate samples of mutual funds and publicly traded firms. Mutual funds managed by bereaved managers exhibit smaller tracking errors, lower active share measures, and higher portfolio weights on larger stocks after bereavement events. Firms managed by bereaved CEOs exhibit lower capital expenditures and fewer acquisitions after bereavement events. Further analyses support the emotion-driven explanation over other explanations. The risk shifting by bereaved managers has negative implications on the performance of funds and firms that they manage.  © 2022 The Author(s). Published by Oxford University Press on behalf of the European Finance Association. All rights reserved.","bereavement; endogenous matching; investment decisions; life experience; mutual fund; public firms; risk-taking",""
