"Title","Year","Link","Abstract","Author Keywords","Index Keywords"
"The Effect of Political Frictions on the Pricing and Supply of Insurance","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188170443&doi=10.1093%2frfs%2fhhad073&partnerID=40&md5=e725a2650adcf5c43a0e6888e8d06693","Political frictions significantly affect both pricing and supply in the long-term care insurance (LTCI) market. Comparing the same insurer's requests submitted for the same policy at the same time to different state regulators, we find that they are 13% more likely to be approved and receive 4% more of the requested amount after an election year. Over time, regulatory pushback on premium increase requests leads to persistently lower cash reserves and increases the probability of company dropout. An insurer who receives one-standard-deviation less of their requested increase is 20% more likely to leave the market next year © 2023 The Author(s). Published by Oxford University Press on behalf of The Society for Financial Studies. All rights reserved.","",""
"Narrative Asset Pricing: Interpretable Systematic Risk Factors from News Text","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165874339&doi=10.1093%2frfs%2fhhad042&partnerID=40&md5=befae28c7c387fa0b423c18716aad362","We estimate a narrative factor pricing model from news text of The Wall Street Journal. Our empirical method integrates topic modeling (LDA), latent factor analysis (IPCA), and variable selection (group lasso). Narrative factors achieve higher out-of-sample Sharpe ratios and smaller pricing errors than standard characteristic-based factor models and predict future investment opportunities in a manner consistent with the ICAPM. We derive an interpretation of the estimated risk factors from narratives in the underlying article text. © The Author(s) 2023. Published by Oxford University Press on behalf of The Society for Financial Studies. All rights reserved.","",""
"Digital Payments and Consumption: Evidence from the 2016 Demonetization in India","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199011430&doi=10.1093%2frfs%2fhhae005&partnerID=40&md5=da54250699a08f1ad5ce98a07f2206dc","We study how consumer spending responds to digital payments, using the differential switch to digital payments across consumers induced by the sudden 2016 Indian Demonetization for identification. Digital payment use rose by 2.94 percentage points and monthly spending increased by 2.38% for an additional 10 percentage points in prior cash dependence. Spending remained elevated even when cash availability recovered. Robustness analyses show that the spending response is not driven by purchase substitution, income shocks, credit supply, or price changes. We provide causal evidence that digital payments increase consumer spending due to subdued endowment effects.  © 2024 The Author(s). Published by Oxford University Press on behalf of The Society for Financial Studies. All rights reserved.","D12; D14; D91; E21",""
"Desperate House Sellers: Distress among Developers","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185247677&doi=10.1093%2frfs%2fhhad076&partnerID=40&md5=1c798c4d01d87853cf9d13e2ad2bee24","I identify the effect of financial constraints on product prices using granular data on home-builder housing developments from the 2006–2009 housing crisis. Builders who experience losses in one area subsequently sell homes in unaffected areas at a discount to raise cash quickly. When builders cut prices, they sell homes faster and builders cut prices more in areas in which price cuts produce larger declines in time-to-sale. Financially constrained firms are more likely to cut prices of homes in healthy areas following losses elsewhere. Firms cut prices following losses in other projects only during the crisis, not during the boom. © The Author(s) 2023. Published by Oxford University Press on behalf of The Society for Financial Studies. All rights reserved.","",""
"Macroprudential Policy, Mortgage Cycles, and Distributional Effects: Evidence from the United Kingdom","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185289915&doi=10.1093%2frfs%2fhhad070&partnerID=40&md5=81560da45e06af1722aff4a42fa10b00","We analyze the distributional effects of macroprudential policy on mortgage cycles by exploiting the U.K. mortgage register and a 2014 15% limit imposed on lenders’ high loan-to-income (LTI) mortgages. Constrained lenders issue fewer and more expensive high-LTI mortgages, with stronger effects on low-income borrowers. Unconstrained lenders strongly substitute high-LTI loans in local areas with higher constrained lender presence, but not high-LTI loans to low-income borrowers—consistent with adverse selection problems—implying lower overall credit to low-income borrowers. Consistently, policy-affected areas experience lower house price growth postregulation and, following the Brexit referendum (negative aggregate shock), better house price growth and lower mortgage defaults for low-income borrowers. © The Author(s) 2023. Published by Oxford University Press.","",""
"Common Venture Capital Investors and Startup Growth","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182894509&doi=10.1093%2frfs%2fhhad071&partnerID=40&md5=54ab84b379491723a6c406d49ad90a20","We exploit the staggered introduction of liability waivers when investors hold stakes in conflicting business opportunities as a shock to venture capital (VC) investment and director networks. After the law changes, we find increases in within-industry VC investment and common directors serving on startup boards. Despite the potential for rent extraction, same-industry startups inside VC portfolios benefit by raising more capital, failing less, and exiting more successfully. VC directors serving on other startup boards are the primary mechanism associated with positive outcomes, consistent with common VC investment facilitating informational exchanges in VC portfolios. Authors have furnished an Internet Appendix, which is available on the Oxford University Press Web site next to the link to the final published paper online. © 2023 The Author(s). Published by Oxford University Press on behalf of The Society for Financial Studies. All rights reserved. [br]For permissions, please e-mail: journals.permissions@oup.com.","G24; G28; G32",""
"A Theory of the Term Structure of Interest Rates under Limited Household Risk Sharing","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198916222&doi=10.1093%2frfs%2fhhae011&partnerID=40&md5=bd4e0c6c44bba39cfa8366b29e4b0cef","We present a theory in which the interaction between limited sharing of idiosyncratic labor income risk and labor adjustment costs (that endogenously arise through search frictions) determines interest rate dynamics. In the general equilibrium, the interaction of these two ingredients relates bond risk premiums, cross-sectional skewness of income growth, and labor market tightness. Our model rationalizes an upward-sloping average yield curve and predicts a negative relation between labor market tightness and bond risk premiums. We provide evidence for our theory's mechanism and predictions. © 2024 The Author(s). Published by Oxford University Press on behalf of The Society for Financial Studies. All rights reserved. [br]For permissions, please e-mail: journals.permissions@oup.com.","E24; E43; E44; G12; J64",""
"Adjusting to Macroprudential Policies: Loan-to-Value Limits and Housing Choice","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174264915&doi=10.1093%2frfs%2fhhad035&partnerID=40&md5=e9e2291c6b92a8020a763d9e224c4f67","This study provides novel evidence regarding the effects of loan-to-value (LTV) limits on housing choices. Using a detailed loan-level dataset, I exploit the introduction of LTV limits in Israel. I find that the LTV limits led borrowers to choose housing units that were more affordable, farther from the central business district, and in lower socioeconomic neighborhoods. Additionally, these LTV limits increase interest rates and decrease loan amounts. The findings of this study indicate that macroprudential policies, which focus on the stability of the financial system, have micro implications on location choices, commuting costs, and movement to less-advantaged areas.  © The Author(s) 2023. Published by Oxford University Press on behalf of The Society for Financial Studies. All rights reserved.","",""
"What Private Equity Does Differently: Evidence from Life Insurance","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182175192&doi=10.1093%2frfs%2fhhad055&partnerID=40&md5=696ee1e903d1fd9b29ea4f1994c82fea","This paper studies how private equity creates value and its consequences for consumer welfare in the insurance industry, where PE investments grewtenfold following the financial crisis. PE firms add value through regulatory and tax arbitrage that increases profits relative to their non-PE counterparts. Crucially, the impact on consumer welfare is nuanced: in the short run, consumers benefit frommore favorably priced products. But the arbitrage strategy also exposes them to more risk, as annual expected losses scaled by capital buffers rise by 50 percentage points. This creates the possibility of consumer harm in the event of a downturn. © The Author(s) 2023.","",""
"Field of Study and Financial Problems: How Economics Reduces the Risk of Default","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176309421&doi=10.1093%2frfs%2fhhad034&partnerID=40&md5=45b63744e8901db97139f23cd704eab3","This paper documents how extensive economic education can reduce the risk of getting into financial trouble by comparing people who enter business and economics programs with people who enter other higher education programs. To identify the causal effect, I exploit GPA admission thresholds that quasi-randomize applicants near the thresholds into different higher education programs. I find that admission to an economics program reduces the probability of loan default and delinquency by one half. This large reduction is associated with changes in financial behavior, but it is not associated with differences in the level or stability of people's income. Authors have furnished an Internet Appendix, which is available on the Oxford University Press Web site next to the link to the final published paper online.  © 2023 The Author(s). Published by Oxford University Press on behalf of The Society for Financial Studies. All rights reserved.","",""
