"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148959463&doi=10.3390%2fmath11040899&partnerID=40&md5=a5760f3d4dd20b3175e97585aaa14cfe","business analytics; descriptive analytics; machine learning and artificial intelligence; perspective analytics; predictive analytics",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134006063&doi=10.1111%2fdsji.12272&partnerID=40&md5=0af65c1076a46141c523a74de6720ce7","artificial intelligence/machine learning; business analytics; capstone; course design",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144124732&doi=10.1111%2fdsji.12281&partnerID=40&md5=90ab675b2d649cc3efc6f5d5f65d7690","competition; data analytics; experiental learning",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139465366&partnerID=40&md5=723ce49e7eda19f7a3868ea831ad3a26","","exploration; food industry; food market; food safety"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136285882&doi=10.1111%2fpoms.13839&partnerID=40&md5=41d59ccf2f3e21be9698096c6f27bd27","algorithmic fairness; business analytics; fairness; machine learning",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111661037&doi=10.1108%2fBIJ-01-2021-0021&partnerID=40&md5=b2a6ad6d612f2d29dbb480f0a755771f","Business analytics capability; Competitive advantage; Data-driven culture; Product development",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152139008&partnerID=40&md5=5fe96b27cb5176d5ebf42a7eafb67c69","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136740121&doi=10.1007%2fs10479-022-04872-4&partnerID=40&md5=6e48074e2fd718e904f5afa5a94ed33e","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158949146&doi=10.1201%2f9781003319917-10&partnerID=40&md5=d6008caacc1bade839ac39ff288b152a","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141164998&doi=10.4324%2f9781003088899-21&partnerID=40&md5=9373e9dc2ba69dea2133d24afa1b7572","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152245539&partnerID=40&md5=3e1766a189640ef9f1306e3db875969e","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150840035&partnerID=40&md5=5c292470f28442d15fdae0a2c0a3dc6a","analytics professionals; European Union; job requirements; United Kingdom; United States",""
