"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149335662&doi=10.53761%2f1.20.02.07&partnerID=40&md5=c8f9de268ebf80409260408166dbdfef","Artificial Intelligence; ChatGPT; GPT-3; Large Language Models; plagiarism",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152931741&doi=10.1016%2fj.iotcps.2023.04.003&partnerID=40&md5=1b1ba816eceaa23d9710ebf570e6457f","ChatGPT; Context understanding; Conversational AI; Generative AI; GPT-3.5; Language model; Natural language processing",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151976837&doi=10.1080%2f14703297.2023.2195846&partnerID=40&md5=20d7778c50d19fef985cebc7b6045ea9","Artificial intelligence; ChatGPT; educational technologies; higher education; SWOT analysis",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152885357&doi=10.1016%2fj.ijresmar.2023.03.001&partnerID=40&md5=e36adeafd87253d0c8e668a2fd8cf02e","Artificial intelligence; ChatGPT; Generative AI; LLMs",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163557911&doi=10.1016%2fj.xops.2023.100324&partnerID=40&md5=35b88d52174cc6588e212cc6387648c9","Artificial intelligence; ChatGPT; Generative Pretrained Transformer; Medical education; Ophthalmology","accreditation; Article; artificial intelligence; cognition; eye disease; general practice; logistic regression analysis; measurement accuracy; measurement repeatability; neuroophthalmology; ophthalmology; post hoc analysis"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158121795&doi=10.37074%2fjalt.2023.6.1.17&partnerID=40&md5=0a9528f874ecd37c92a7b9bfeee9d133","Academic integrity; artificial intelligence; ChatGPT; equity; higher education; student learning",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148222643&doi=10.1080%2f08989621.2023.2177160&partnerID=40&md5=6e8df5a0e055a172fe536a1a92126992","Authorship; ChatGPT; Generative AI; ICMJE guidelines",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152546766&doi=10.1007%2fs10439-023-03204-2&partnerID=40&md5=8ccb9cd16e6b9cd17ff6a43c2b54eb4a","Artificial intelligence; ChatGPT; Global health policy; Policymaking","Artificial Intelligence; Health Policy; Policy Making; Technology; ChatGPT; Global health; Global health policy; Health policy; Intelligence models; Language model; Policy analysis; Policy making; Scientific literature; Simple++; artificial intelligence; global health; health care management; health care policy; human; Letter; natural language processing; process development; scientist; health care policy; management; technology; Artificial intelligence"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151433080&doi=10.1016%2fj.dsx.2023.102744&partnerID=40&md5=b74f0be3527ff683086b3643f6bb7890","Artificial intelligence; ChatGPT; Healthcare; Research","Artificial Intelligence; Biomedical Research; Databases, Factual; Delivery of Health Care; Health Facilities; Humans; Article; artificial intelligence; data accuracy; English (language); health care; human; Internet; medical literature; medical research; Medline; misinformation; publication; Scopus; search engine; artificial intelligence; factual database; health care delivery; health care facility"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150053090&doi=10.1016%2fj.nedt.2023.105796&partnerID=40&md5=effa6e44b5352f6bd5acc4268e0e7ae4","Artificial intelligence; Chatbot; ChatGPT; Nurse Education; Nursing","Artificial Intelligence; Education, Nursing; Educational Status; Humans; Language; artificial intelligence; educational status; human; language; nursing education"
